,,,,Receiving,,,,,,,,,Big Receiving Games,,,Fumbles,
Adam Humphries,TB,WR,16,61,631,10.3,39.4,1,83,7.6,5,1,1,0,0,1,1
Michael Crabtree,OAK,WR,14,58,618,10.7,44.1,8,101,6.1,8,2,0,0,0,1,0
Kendall Wright,CHI,WR,16,59,614,10.4,38.4,1,91,6.7,1,0,1,0,0,0,0
Martavis Bryant,PIT,WR,15,50,603,12.1,40.2,3,84,7.2,7,1,0,0,0,0,0
Sammy Watkins,LAR,WR,15,39,593,15.2,39.5,8,70,8.5,9,2,1,0,0,0,0
Cameron Brate,TB,TE,16,48,591,12.3,36.9,6,77,7.7,5,0,0,0,0,1,0
Hunter Henry,LAC,TE,14,45,579,12.9,41.4,4,62,9.3,8,0,0,0,0,0,0
Eric Ebron,DET,TE,16,53,574,10.8,35.9,4,86,6.7,6,1,0,0,0,1,1
Ryan Grant,WAS,WR,16,45,573,12.7,35.8,4,65,8.8,10,1,0,0,0,0,0
Terrance Williams,DAL,WR,16,53,568,10.7,35.5,0,78,7.3,6,1,1,0,0,0,0
Travis Benjamin,LAC,WR,16,34,567,16.7,35.4,4,65,8.7,10,4,1,0,0,2,0
Eric Decker,TEN,WR,16,54,563,10.4,35.2,1,83,6.8,5,0,0,0,0,0,0
Jason Witten,DAL,TE,16,63,560,8.9,35.0,5,87,6.4,3,0,0,0,0,1,1
Charles Clay,BUF,TE,13,49,558,11.4,42.9,2,74,7.5,7,1,1,0,0,1,0
Deonte Thompson,CHI/BUF,WR,16,38,555,14.6,34.7,2,69,8.0,8,2,1,0,0,1,0
Emmanuel Sanders,DEN,WR,12,47,555,11.8,46.3,2,92,6.0,11,0,1,0,0,0,0
Tyler Lockett,SEA,WR,16,45,555,12.3,34.7,2,71,7.8,5,3,1,0,0,0,0
Albert Wilson,KC,WR,13,42,554,13.2,42.6,3,62,8.9,4,1,1,0,0,0,0
Brandon LaFell,CIN,WR,16,52,548,10.5,34.3,3,89,6.2,6,1,0,0,0,1,0
Kyle Rudolph,MIN,TE,16,57,532,9.3,33.3,8,81,6.6,4,0,0,0,0,0,0
Austin Hooper,ATL,TE,16,49,526,10.7,32.9,3,65,8.1,5,2,1,0,0,0,0
Chris Godwin,TB,WR,16,34,525,15.4,32.8,1,55,9.5,4,1,1,0,0,0,0
Ben Watson,BAL,TE,16,61,522,8.6,32.6,4,79,6.6,5,0,0,0,0,1,0
Jimmy Graham,SEA,TE,16,57,520,9.1,32.5,10,96,5.4,8,0,0,0,0,0,0
Martellus Bennett,GB/GB/NE,TE,16,54,519,9.6,32.4,0,82,6.3,7,0,0,0,0,0,0
George Kittle,SF,TE,15,43,515,12.0,34.3,2,63,8.2,8,1,1,0,0,0,0
Chris Thompson,WAS,RB,10,39,510,13.1,51.0,4,54,9.4,9,2,2,1,0,3,2
J.J. Nelson,ARI,WR,16,29,508,17.5,31.8,2,61,8.3,6,2,1,0,0,1,1
Josh Doctson,WAS,WR,16,35,502,14.3,31.4,6,78,6.4,6,2,0,0,0,0,0
Pierre Garcon,SF,WR,8,40,500,12.5,62.5,0,67,7.5,6,1,1,0,0,0,0
Allen Hurns,JAX,WR,10,39,484,12.4,48.4,2,56,8.6,4,1,1,0,0,0,0
Jordy Nelson,GB,WR,15,53,482,9.1,32.1,6,88,5.5,4,1,0,0,0,0,0
Jaron Brown,ARI,WR,16,31,477,15.4,29.8,4,69,6.9,12,1,1,0,0,0,0
Kenny Golladay,DET,WR,11,28,477,17.0,43.4,3,48,9.9,8,5,0,0,0,0,0
Melvin Gordon,LAC,RB,16,58,476,8.2,29.8,4,83,5.7,4,1,0,0,0,1,0
Seth Roberts,OAK,WR,15,43,455,10.6,30.3,1,65,7.0,6,0,0,0,0,2,2
Kareem Hunt,KC,RB,16,53,455,8.6,28.4,3,63,7.2,4,1,0,0,0,1,1
LeSean McCoy,BUF,RB,16,59,448,7.6,28.0,2,77,5.8,3,0,0,0,0,3,1
Theo Riddick,DET,RB,16,53,444,8.4,27.8,2,71,6.3,5,1,0,0,0,1,1
Jeremy Maclin,BAL,WR,12,40,440,11.0,36.7,3,72,6.1,3,1,0,0,0,0,0
Chris Hogan,NE,WR,9,34,439,12.9,48.8,5,59,7.4,6,1,0,0,0,0,0
Ed Dickson,CAR,TE,16,30,437,14.6,27.3,1,48,9.1,7,2,1,1,0,0,0
O.J. Howard,TB,TE,14,26,432,16.6,30.9,6,39,11.1,9,1,0,0,0,3,2
Trent Taylor,SF,WR,15,43,430,10.0,28.7,2,60,7.2,2,0,0,0,0,1,1
Torrey Smith,PHI,WR,16,36,430,11.9,26.9,2,68,6.3,6,2,1,0,0,0,0
James White,NE,RB,14,56,429,7.7,30.6,3,72,6.0,6,0,0,0,0,0,0
Will Fuller,HOU,WR,10,28,423,15.1,42.3,7,50,8.5,7,2,1,0,0,0,0
Jerick McKinnon,MIN,RB,16,51,421,8.3,26.3,2,68,6.2,7,1,1,0,0,3,2
Mark Ingram,NO,RB,16,58,416,7.2,26.0,0,71,5.9,3,1,0,0,0,3,3
Roger Lewis,NYG,WR,15,36,416,11.6,27.7,2,72,5.8,6,0,0,0,0,0,0
Tyler Kroft,CIN,TE,16,42,404,9.6,25.3,7,62,6.5,4,1,0,0,0,0,0
TJ Jones,DET,WR,14,30,399,13.3,28.5,1,49,8.1,6,0,0,0,0,1,0
Seth DeValve,CLE,TE,16,33,395,12.0,24.7,1,58,6.8,7,1,0,0,0,1,1
Donte Moncrief,IND,WR,12,26,391,15.0,32.6,2,47,8.3,5,2,0,0,0,0,0
Giovani Bernard,CIN,RB,16,43,389,9.0,24.3,2,60,6.5,3,1,0,0,0,0,0
Julius Thomas,MIA,TE,14,41,388,9.5,27.7,3,62,6.3,4,0,0,0,0,1,0
David Njoku,CLE,TE,16,32,386,12.1,24.1,4,60,6.4,8,0,0,0,0,0,0
Taylor Gabriel,ATL,WR,16,33,378,11.5,23.6,1,51,7.4,4,2,0,0,0,0,0
Josh Bellamy,CHI,WR,15,24,376,15.7,25.1,1,46,8.2,4,1,0,0,0,0,0
Corey Davis,TEN,WR,11,34,375,11.0,34.1,0,65,5.8,4,0,0,0,0,1,1
Jesse James,PIT,TE,16,43,372,8.7,23.3,3,63,5.9,1,0,0,0,0,0,0
Andre Ellington,HOU/ARI,RB,12,39,369,9.5,30.8,0,59,6.3,5,0,0,0,0,0,0
Brandon Coleman,NO,WR,16,23,364,15.8,22.8,3,37,9.8,8,2,0,0,0,2,2
Austin Seferian-Jenkins,NYJ,TE,13,50,357,7.1,27.5,3,74,4.8,2,0,0,0,0,1,1
Ricardo Louis,CLE,WR,16,27,357,13.2,22.3,0,61,5.9,7,0,0,0,0,0,0
Tarik Cohen,CHI,RB,16,53,353,6.7,22.1,1,71,5.0,2,1,0,0,0,3,2
Bennie Fowler,DEN,WR,16,29,350,12.1,21.9,3,56,6.3,5,0,0,0,0,1,0
Carlos Hyde,SF,RB,16,59,350,5.9,21.9,0,88,4.0,0,0,0,0,0,2,1
Dontrelle Inman,CHI/LAC,WR,12,25,343,13.7,28.6,1,44,7.8,4,0,0,0,0,0,0
Stephen Anderson,HOU,TE,15,25,342,13.7,22.8,1,52,6.6,5,1,0,0,0,0,0
Dede Westbrook,JAX,WR,7,27,339,12.6,48.4,1,51,6.6,6,0,0,0,0,1,0
Garrett Celek,SF,TE,16,21,336,16.0,21.0,4,33,10.2,6,3,0,0,0,0,0
Josh Gordon,CLE,WR,5,18,335,18.6,67.0,1,42,8.0,5,1,1,0,0,0,0
Bruce Ellington,HOU,WR,11,29,330,11.4,30.0,2,56,5.9,6,0,0,0,0,1,0
Lamar Miller,HOU,RB,16,36,327,9.1,20.4,3,45,7.3,3,0,0,0,0,1,0
Jermaine Gresham,ARI,TE,14,33,322,9.8,23.0,2,46,7.0,3,0,0,0,0,0,0
Nick O'Leary,BUF,TE,15,22,322,14.6,21.5,2,32,10.1,7,0,0,0,0,1,1
Marcedes Lewis,JAX,TE,16,24,318,13.3,19.9,5,48,6.6,5,0,0,0,0,0,0
Devonta Freeman,ATL,RB,14,36,317,8.8,22.6,1,47,6.7,3,0,0,0,0,4,1
Brice Butler,DAL,WR,13,15,317,21.1,24.4,3,23,13.8,7,2,0,0,0,0,0
Antonio Gates,LAC,TE,16,30,316,10.5,19.8,3,52,6.1,3,0,0,0,0,0,0
Zay Jones,BUF,WR,15,27,316,11.7,21.1,2,74,4.3,3,0,0,0,0,0,0
Kyle Juszczyk,SF,FB,14,33,315,9.5,22.5,1,42,7.5,4,1,0,0,0,2,2
Cole Beasley,DAL,WR,15,36,314,8.7,20.9,4,63,5.0,2,1,0,0,0,0,0
Rashard Higgins,CLE,WR,15,27,312,11.6,20.8,2,50,6.2,4,1,0,0,0,1,1
Cordarrelle Patterson,OAK,WR,16,31,309,10.0,19.3,0,42,7.4,3,2,0,0,0,3,0
Corey Coleman,CLE,WR,9,23,305,13.3,33.9,2,58,5.3,4,1,0,0,0,0,0
Leonard Fournette,JAX,RB,13,36,302,8.4,23.2,1,48,6.3,2,0,0,0,0,2,0
Odell Beckham,NYG,WR,4,25,302,12.1,75.5,3,41,7.4,2,2,0,0,0,0,0
John Brown,ARI,WR,10,21,299,14.2,29.9,3,55,5.4,2,1,0,0,0,0,0
Tevin Coleman,ATL,RB,15,27,299,11.1,19.9,3,39,7.7,4,0,0,0,0,1,0
Coby Fleener,NO,TE,11,22,295,13.4,26.8,2,30,9.8,7,0,0,0,0,0,0
Tyler Higbee,LAR,TE,16,25,295,11.8,18.4,1,45,6.6,5,0,0,0,0,0,0
Matt Forte,NYJ,RB,12,37,293,7.9,24.4,1,45,6.5,3,0,0,0,0,1,1
Cody Latimer,DEN,WR,11,19,287,15.1,26.1,2,31,9.3,6,0,0,0,0,1,0
Joe Mixon,CIN,RB,14,30,287,9.6,20.5,0,34,8.4,3,1,0,0,0,3,2
Chester Rogers,IND,WR,11,23,284,12.3,25.8,1,37,7.7,2,1,1,0,0,0,0
Jordan Matthews,BUF,WR,10,25,282,11.3,28.2,1,36,7.8,3,1,0,0,0,1,1
Austin Ekeler,LAC,RB,16,27,279,10.3,17.4,3,35,8.0,3,0,0,0,0,2,2
Devontae Booker,DEN,RB,13,30,275,9.2,21.2,0,38,7.2,4,0,0,0,0,2,1
Ezekiel Elliott,DAL,RB,10,26,269,10.3,26.9,2,38,7.1,5,1,0,0,0,1,1
J.D. McKissic,SEA,RB,13,34,266,7.8,20.5,2,46,5.8,3,0,0,0,0,0,0
DeMarco Murray,TEN,RB,15,39,266,6.8,17.7,1,47,5.7,0,0,0,0,0,1,1
Jamaal Williams,GB,RB,16,25,262,10.5,16.4,2,34,7.7,3,1,0,0,0,0,0
Aldrick Robinson,SF,WR,16,19,260,13.7,16.3,2,48,5.4,3,1,0,0,0,0,0
Kendrick Bourne,SF,WR,11,16,257,16.1,23.4,0,34,7.6,3,1,0,0,0,0,0
Jalen Richard,OAK,RB,16,27,256,9.5,16.0,1,36,7.1,3,0,0,0,0,8,3
Kenny Britt,CLE/NE,WR,12,20,256,12.8,21.3,2,43,6.0,3,0,0,0,0,0,0
Rex Burkhead,NE,RB,10,30,254,8.5,25.4,3,36,7.1,1,0,0,0,0,1,0
Shane Vereen,NYG,RB,16,44,253,5.8,15.8,0,53,4.8,1,0,0,0,0,0,0
Geronimo Allison,GB,WR,15,23,253,11.0,16.9,0,39,6.5,1,1,1,0,0,2,1
Javorius Allen,BAL,RB,16,46,250,5.4,15.6,2,60,4.2,1,0,0,0,0,0,0
Charles Sims,TB,RB,16,35,249,7.1,15.6,1,47,5.3,2,0,0,0,0,1,1
Trey Burton,PHI,TE,15,23,248,10.8,16.5,5,31,8.0,2,0,0,0,0,0,0
Chris Moore,BAL,WR,13,18,248,13.8,19.1,3,38,6.5,5,0,0,0,0,0,0
Frank Gore,IND,RB,16,29,245,8.4,15.3,1,38,6.4,2,0,0,0,0,3,0
A.J. Derby,DEN/MIA,TE,11,21,244,11.6,22.2,2,40,6.1,3,0,0,0,0,1,1
Gerald Everett,LAR,TE,16,16,244,15.3,15.3,2,32,7.6,4,2,0,0,0,1,1
Terrelle Pryor,WAS,WR,9,20,240,12.0,26.7,1,37,6.5,3,1,0,0,0,0,0
Tavarres King,NYG,WR,8,18,240,13.3,30.0,3,37,6.5,2,1,0,0,0,0,0
Benny Cunningham,CHI,RB,14,20,240,12.0,17.1,2,26,9.2,4,1,0,0,0,1,1
Kenyan Drake,MIA,RB,16,32,239,7.5,14.9,1,48,5.0,1,1,0,0,0,2,2
Zach Miller,CHI,TE,8,20,236,11.8,29.5,2,35,6.7,4,0,0,0,0,0,0
Rhett Ellison,NYG,TE,16,24,235,9.8,14.7,2,32,7.3,1,0,0,0,0,0,0
Taywan Taylor,TEN,WR,16,16,231,14.4,14.4,1,28,8.3,4,2,0,0,0,0,0
Mack Hollins,PHI,WR,16,16,226,14.1,14.1,1,22,10.3,3,1,0,0,0,0,0
Tyler Boyd,CIN,WR,10,22,225,10.2,22.5,2,32,7.0,1,1,0,0,0,0,0
Marlon Mack,IND,RB,14,21,225,10.7,16.1,1,33,6.8,4,0,0,0,0,1,0
C.J. Anderson,DEN,RB,16,28,224,8.0,14.0,1,40,5.6,1,0,0,0,0,1,1
Demetrius Harris,KC,TE,16,18,224,12.4,14.0,1,35,6.4,3,1,0,0,0,0,0
T.J. Yeldon,JAX,RB,10,30,224,7.5,22.4,0,41,5.5,1,0,0,0,0,2,1
Justin Hardy,ATL,WR,16,20,221,11.1,13.8,3,29,7.6,3,0,0,0,0,1,0
Johnny Holton,OAK,WR,16,9,218,24.2,13.6,3,18,12.1,3,3,0,0,0,3,2
Jeremy Kerley,NYJ,WR,8,22,217,9.9,27.1,1,27,8.0,2,0,0,0,0,3,2
Dion Lewis,NE,RB,16,32,214,6.7,13.4,3,35,6.1,1,0,0,0,0,0,0
Demarcus Robinson,KC,WR,16,21,212,10.1,13.3,0,39,5.4,1,0,0,0,0,0,0
Jordan Reed,WAS,TE,6,27,211,7.8,35.2,2,35,6.0,1,0,0,0,0,1,0
Lance Kendricks,GB,TE,16,18,203,11.3,12.7,1,35,5.8,3,1,0,0,0,0,0
Jakeem Grant,MIA,WR,16,13,203,15.6,12.7,2,22,9.2,3,1,1,0,0,2,1
Nick Boyle,BAL,TE,15,28,203,7.3,13.5,0,37,5.5,0,0,0,0,0,0,0
Rod Smith,DAL,RB,15,19,202,10.6,13.5,1,23,8.8,1,1,1,0,0,0,0
Russell Shepard,CAR,WR,15,17,202,11.9,13.5,1,33,6.1,1,1,0,0,0,1,0
Ricky Seals-Jones,ARI,TE,10,12,201,16.8,20.1,3,28,7.2,5,0,0,0,0,0,0
Laquon Treadwell,MIN,WR,16,20,200,10.0,12.5,0,35,5.7,2,0,0,0,0,1,0
Danny Woodhead,BAL,RB,8,33,200,6.1,25.0,0,39,5.1,1,0,0,0,0,0,0
Jarius Wright,MIN,WR,16,18,198,11.0,12.4,2,25,7.9,3,0,0,0,0,0,0
DeAndre Washington,OAK,RB,15,34,197,5.8,13.1,1,45,4.4,0,0,0,0,0,2,1
Phillip Dorsett,NE,WR,15,12,194,16.2,12.9,0,18,10.8,4,0,0,0,0,0,0
Wayne Gallman,NYG,RB,13,34,193,5.7,14.8,1,48,4.0,0,0,0,0,0,3,1
Virgil Green,DEN,TE,16,14,191,13.6,11.9,1,22,8.7,3,1,0,0,0,0,0
Greg Olsen,CAR,TE,7,17,191,11.2,27.3,1,38,5.0,2,0,1,0,0,0,0
Vance McDonald,PIT,TE,10,14,188,13.4,18.8,1,24,7.8,3,0,0,0,0,0,0
Alex Collins,BAL,RB,15,23,187,8.1,12.5,0,36,5.2,3,0,0,0,0,4,2
Samaje Perine,WAS,RB,16,22,182,8.3,11.4,1,24,7.6,2,0,0,0,0,2,2
Isaiah Crowell,CLE,RB,16,28,182,6.5,11.4,0,42,4.3,2,0,0,0,0,1,1
Dion Sims,CHI,TE,14,15,180,12.0,12.9,1,29,6.2,3,0,0,0,0,0,0
Alex Erickson,CIN,WR,16,12,180,15.0,11.3,1,16,11.3,3,0,0,0,0,6,1
Matt Breida,SF,RB,16,21,180,8.6,11.3,1,36,5.0,2,0,0,0,0,1,0
Elijah McGuire,NYJ,RB,16,17,177,10.4,11.1,1,26,6.8,2,0,0,0,0,2,2
Darren Fells,DET,TE,16,17,177,10.4,11.1,3,26,6.8,3,0,0,0,0,0,0
Chris Conley,KC,WR,5,11,175,15.9,35.0,0,16,10.9,3,0,0,0,0,0,0
Chris Ivory,JAX,RB,14,21,175,8.3,12.5,1,28,6.3,3,0,0,0,0,2,2
Michael Campanaro,BAL,WR,13,19,173,9.1,13.3,1,27,6.4,0,0,0,0,0,4,0
Ty Montgomery,GB,RB,8,23,173,7.5,21.6,1,31,5.6,3,0,0,0,0,0,0
Bilal Powell,NYJ,RB,15,23,170,7.4,11.3,0,33,5.2,1,0,0,0,0,1,1
Ameer Abdullah,DET,RB,14,25,162,6.5,11.6,1,35,4.6,1,0,0,0,0,2,1
Braxton Miller,HOU,WR,11,19,162,8.5,14.7,1,29,5.6,1,1,0,0,0,0,0
Richard Rodgers,GB,TE,15,12,160,13.3,10.7,1,19,8.4,3,0,0,0,0,0,0
Jay Ajayi,MIA/PHI,RB,14,24,158,6.6,11.3,1,34,4.6,1,0,0,0,0,3,2
Ryan Griffin,HOU,TE,7,13,158,12.2,22.6,1,26,6.1,2,0,0,0,0,0,0
Jonnu Smith,TEN,TE,16,18,157,8.7,9.8,2,30,5.2,2,0,0,0,0,0,0
Damien Williams,MIA,RB,11,20,155,7.8,14.1,1,28,5.5,1,0,0,0,0,0,0
Brandon Marshall,NYG,WR,5,18,154,8.6,30.8,0,33,4.7,0,0,0,0,0,0,0
Luke Willson,SEA,TE,16,15,153,10.2,9.6,4,22,7.0,2,0,0,0,0,0,0
Marshawn Lynch,OAK,RB,15,20,151,7.6,10.1,0,31,4.9,3,0,0,0,0,1,1
Charcandrick West,KC,RB,13,27,150,5.6,11.5,2,34,4.4,1,0,0,0,0,1,0
James O'Shaughnessy,JAX,TE,16,14,149,10.6,9.3,1,24,6.2,1,0,0,0,0,0,0
Eli Rogers,PIT,WR,14,18,149,8.3,10.6,1,36,4.1,0,0,0,0,0,1,1
Tre McBride,CHI,WR,8,8,144,18.0,18.0,0,15,9.6,3,1,0,0,0,0,0
De'Anthony Thomas,KC,WR,16,14,143,10.2,8.9,2,16,8.9,2,1,0,0,0,1,0
Jordan Taylor,DEN,WR,10,13,142,10.9,14.2,0,20,7.1,2,0,0,0,0,1,0
Jeff Heuerman,DEN,TE,14,9,142,15.8,10.1,2,18,7.9,2,1,0,0,0,0,0
Derrick Henry,TEN,RB,16,11,136,12.4,8.5,1,17,8.0,1,1,0,0,0,1,0
D.J. Foster,ARI,RB,7,17,133,7.8,19.0,0,28,4.8,1,0,0,0,0,0,0
Kamar Aiken,IND,WR,15,15,133,8.9,8.9,0,44,3.0,1,0,0,0,0,0,0
Troy Niklas,ARI,TE,15,11,132,12.0,8.8,1,23,5.7,1,0,0,0,0,0,0
Mike Davis,SEA,RB,6,15,131,8.7,21.8,0,18,7.3,3,0,0,0,0,0,0
Brent Celek,PHI,TE,16,13,130,10.0,8.1,1,24,5.4,1,0,0,0,0,0,0
Jamaal Charles,DEN,RB,14,23,129,5.6,9.2,0,28,4.6,1,0,0,0,0,2,2
Daniel Brown,CHI,TE,14,13,129,9.9,9.2,0,20,6.5,0,0,0,0,0,0,0
Brenton Bersin,CAR,WR,8,8,128,16.0,16.0,0,14,9.1,2,0,0,0,0,0,0
Kapri Bibbs,WAS,RB,3,14,128,9.1,42.7,1,17,7.5,0,0,0,0,0,0,0
C.J. Fiedorowicz,HOU,TE,5,14,127,9.1,25.4,0,23,5.5,0,0,0,0,0,0,0
Adam Shaheen,CHI,TE,13,12,127,10.6,9.8,3,14,9.1,2,0,0,0,0,0,0
Jordan Howard,CHI,RB,16,23,125,5.4,7.8,0,32,3.9,0,0,0,0,0,1,1
Josh Hill,NO,TE,16,16,125,7.8,7.8,1,22,5.7,1,0,0,0,0,2,2
Nick Vannett,SEA,TE,15,12,124,10.3,8.3,1,15,8.3,1,0,0,0,0,0,0
Corey Clement,PHI,RB,16,10,123,12.3,7.7,2,15,8.2,3,0,0,0,0,0,0
Levine Toilolo,ATL,TE,15,12,122,10.2,8.1,1,14,8.7,1,0,0,0,0,0,0
Brandon Williams,IND,TE,14,13,121,9.3,8.6,0,17,7.1,2,0,0,0,0,0,0
Louis Murphy,SF,WR,7,8,121,15.1,17.3,1,17,7.1,2,1,0,0,0,0,0
Eric Tomlinson,NYJ,TE,14,8,121,15.1,8.6,1,11,11.0,4,0,0,0,0,0,0
Andre Holmes,BUF,WR,14,13,120,9.2,8.6,3,23,5.2,1,0,0,0,0,0,0
Travaris Cadet,BUF/NYJ,RB,9,16,119,7.4,13.2,0,19,6.3,0,0,0,0,0,0,0
Orleans Darkwa,NYG,RB,15,19,116,6.1,7.7,0,28,4.1,0,0,0,0,0,1,0
Tommylee Lewis,NO,WR,15,10,116,11.6,7.7,1,15,7.7,2,1,0,0,0,1,1
Curtis Samuel,CAR,WR,9,15,115,7.7,12.8,0,26,4.4,2,0,0,0,0,0,0
Peyton Barber,TB,RB,16,16,114,7.1,7.1,0,19,6.0,1,0,0,0,0,2,1
Tanner McEvoy,SEA,WR,15,5,113,22.6,7.5,0,9,12.6,2,1,0,0,0,1,1
Kaelin Clay,CAR/BUF/BUF,WR,17,7,113,16.1,6.6,0,25,4.5,2,0,0,0,0,4,1
