,,,,Receiving,,,Air Yards (AY) / Depth of Target ,,,,,,Team %,,After Catch,,,PASS Int(PI),
Name,Team,Pos,G,TAR,REC,YDS,AY,aDOT,AY/Snap,Cmp AY,Catch %,Drop %,AY,TAR,YDS,AVG,%,Drawn,On
Antonio Brown,PIT,WR,14,163,101,1533,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0
Julio Jones,ATL,WR,16,148,88,1444,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0
Keenan Allen,LAC,WR,16,159,102,1393,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0
DeAndre Hopkins,HOU,WR,15,174,96,1378,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0
Adam Thielen,MIN,WR,16,142,91,1276,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0
Michael Thomas,NO,WR,16,149,104,1245,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0
Tyreek Hill,KC,WR,15,105,75,1183,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0
Larry Fitzgerald,ARI,WR,16,161,109,1156,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0
Marvin Jones,DET,WR,16,107,61,1101,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0
Rob Gronkowski,NE,TE,14,105,69,1084,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0
Brandin Cooks,NE,WR,16,114,65,1082,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0
A.J. Green,CIN,WR,16,142,75,1078,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0
Travis Kelce,KC,TE,15,122,83,1038,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0
Golden Tate,DET,WR,16,120,92,1003,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0
Mike Evans,TB,WR,15,136,71,1001,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0
Doug Baldwin,SEA,WR,16,116,75,991,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0
Jarvis Landry,MIA,WR,16,161,112,987,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0
T.Y. Hilton,IND,WR,16,109,57,966,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0
Marquise Goodwin,SF,WR,16,105,56,962,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0
Demaryius Thomas,DEN,WR,16,140,83,949,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0
Robby Anderson,NYJ,WR,16,114,63,941,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0
JuJu Smith-Schuster,PIT,WR,14,79,58,917,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0
Davante Adams,GB,WR,14,117,74,885,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0
Cooper Kupp,LAR,WR,15,94,62,869,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0
Stefon Diggs,MIN,WR,14,95,64,849,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0
Kenny Stills,MIA,WR,16,105,58,847,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0
Devin Funchess,CAR,WR,16,111,63,840,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0
Dez Bryant,DAL,WR,16,132,69,838,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0
Alvin Kamara,NO,RB,16,100,81,826,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0
Zach Ertz,PHI,TE,14,110,74,824,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0
Jermaine Kearse,NYJ,WR,16,102,65,810,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0
Delanie Walker,TEN,TE,16,111,74,807,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0
Rishard Matthews,TEN,WR,14,87,53,795,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0
Alshon Jeffery,PHI,WR,16,120,57,789,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0
Jamison Crowder,WAS,WR,15,103,66,789,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0
Todd Gurley,LAR,RB,15,87,64,788,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0
Ted Ginn,NO,WR,15,70,53,787,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0
Robert Woods,LAR,WR,12,85,56,781,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0
Nelson Agholor,PHI,WR,16,95,62,768,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0
Keelan Cole,JAX,WR,16,83,42,748,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0
Mike Wallace,BAL,WR,15,92,52,748,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0
Sterling Shepard,NYG,WR,11,84,59,731,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0
Tyrell Williams,LAC,WR,16,69,43,728,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0
Evan Engram,NYG,TE,15,115,64,722,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0
Mohamed Sanu,ATL,WR,15,96,67,703,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0
Paul Richardson,SEA,WR,16,80,44,703,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0
Marqise Lee,JAX,WR,14,96,56,702,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0
Duke Johnson,CLE,RB,16,93,74,693,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0
Jack Doyle,IND,TE,15,108,80,690,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0
Jared Cook,OAK,TE,16,86,54,688,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0
Amari Cooper,OAK,WR,14,96,48,680,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0
DeVante Parker,MIA,WR,13,96,57,670,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0
DeSean Jackson,TB,WR,14,90,50,668,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0
Danny Amendola,NE,WR,15,86,61,659,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0
Le'Veon Bell,PIT,RB,15,106,85,655,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0
Randall Cobb,GB,WR,15,92,66,653,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0
Christian McCaffrey,CAR,RB,16,113,80,651,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0
Vernon Davis,WAS,TE,16,69,43,648,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0
Adam Humphries,TB,WR,16,83,61,631,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0
Michael Crabtree,OAK,WR,14,101,58,618,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0
Kendall Wright,CHI,WR,16,91,59,614,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0
