,,,Fantasy,,Receiving,,,,,,Rushing,,,,This Week,
,Name,Games,Points,Pts/G,REC,YDS,TD,TAR,YPT,Catch %,ATT,YDS,TD,YPC,Opp,Opp WRs This Week
30,Browns,1,79.20,79.2,26,319,3,38,8.39,68.4,1,3,0,3.00,IND,"T.Y. Hilton, Zach Pascal, Daurice Fountain"
29,Bengals,1,59.60,59.6,20,271,2,24,11.29,83.3,1,5,0,5.00,@BAL,"Marquise Brown, Willie Snead, Miles Boykin"
28,Raiders,1,55.70,55.7,16,239,2,19,12.58,84.2,3,8,0,2.67,@KC,"Tyreek Hill, Sammy Watkins, Mecole Hardman"
27,Chargers,1,55.50,55.5,16,245,2,21,11.67,76.2,0,0,0,0.00,@NO,"Michael Thomas, Emmanuel Sanders, Tre'Quan Smith"
26,Cowboys,1,53.68,53.7,10,129,2,14,9.21,71.4,2,73,1,36.50,NYG,"Darius Slayton, Golden Tate, C.J. Board"
25,Dolphins,1,47.20,47.2,11,272,1,17,16.00,64.7,0,0,0,0.00,@SF,"Deebo Samuel, Kendrick Bourne, Brandon Aiyuk"
24,Texans,1,46.50,46.5,12,217,1,16,13.56,75.0,1,8,0,8.00,JAX,"DJ Chark, Laviska Shenault, Keelan Cole"
23,Colts,1,45.20,45.2,18,180,1,28,6.43,64.3,4,2,0,0.50,@CLE,"Odell Beckham, Jarvis Landry, Donovan Peoples-Jones"
22,Seahawks,1,42.40,42.4,18,209,0,30,6.97,60.0,1,5,0,5.00,MIN,"Adam Thielen, Justin Jefferson, Chad Beebe"
T18,Ravens,1,42.30,42.3,20,184,0,26,7.08,76.9,1,9,0,9.00,CIN,"A.J. Green, Tyler Boyd, Tee Higgins"
T18,Lions,1,42.30,42.3,12,173,2,16,10.81,75.0,2,10,0,5.00,-,Bye Week
T18,Vikings,1,42.30,42.3,10,183,2,19,9.63,52.6,0,0,0,0.00,@SEA,"Tyler Lockett, DK Metcalf, David Moore"
T18,Jets,1,42.30,42.3,9,183,2,14,13.07,64.3,0,0,0,0.00,ARI,"DeAndre Hopkins, Christian Kirk, Larry Fitzgerald"
17,Broncos,1,41.80,41.8,18,208,0,32,6.50,56.3,0,0,0,0.00,@NE,"Julian Edelman, N'Keal Harry, Damiere Byrd"
16,Buccaneers,1,40.70,40.7,10,187,2,13,14.38,76.9,0,0,0,0.00,@CHI,"Allen Robinson, Darnell Mooney, Anthony Miller"
15,Jaguars,1,37.30,37.3,15,199,0,23,8.65,65.2,3,24,0,8.00,@HOU,"Will Fuller, Brandin Cooks, Randall Cobb"
14,Cardinals,1,36.60,36.6,16,209,0,22,9.50,72.7,2,-3,0,-1.50,@NYJ,"Jamison Crowder, Breshad Perriman, Chris Hogan"
13,Patriots,1,36.40,36.4,12,134,2,17,7.88,70.6,0,0,0,0.00,DEN,"Jerry Jeudy, Tim Patrick, DaeSean Hamilton"
12,Packers,1,35.50,35.5,17,187,0,26,7.19,65.4,1,-2,0,-2.00,-,Bye Week
11,Chiefs,1,33.50,33.5,12,147,1,23,6.39,52.2,1,8,0,8.00,LV,"Henry Ruggs, Hunter Renfrow, Nelson Agholor"
10,Giants,1,33.00,33.0,14,130,1,19,6.84,73.7,2,0,0,0.00,@DAL,"Amari Cooper, Michael Gallup, CeeDee Lamb"
9,Bills,1,32.30,32.3,13,133,1,18,7.39,72.2,0,0,0,0.00,@TEN,"A.J. Brown, Kalif Raymond, Nick Westbrook-Ikhine"
8,Eagles,1,27.40,27.4,8,86,0,15,5.73,53.3,2,48,1,24.00,@PIT,"JuJu Smith-Schuster, Diontae Johnson, James Washington"
7,Saints,1,27.10,27.1,8,129,1,16,8.06,50.0,1,2,0,2.00,LAC,"Keenan Allen, Mike Williams, Jalen Guyton"
6,Panthers,1,26.70,26.7,14,67,1,20,3.35,70.0,0,0,0,0.00,@ATL,"Julio Jones, Calvin Ridley, Russell Gage"
5,49ers,1,25.70,25.7,8,117,1,12,9.75,66.7,0,0,0,0.00,MIA,"DeVante Parker, Preston Williams, Isaiah Ford"
4,Football Team,1,22.80,22.8,9,138,0,16,8.63,56.3,0,0,0,0.00,LAR,"Cooper Kupp, Robert Woods, Josh Reynolds"
3,Rams,1,20.50,20.5,10,102,0,18,5.67,55.6,1,3,0,3.00,@WAS,"Terry McLaurin, Dontrelle Inman, Isaiah Wright"
2,Bears,1,18.40,18.4,7,114,0,15,7.60,46.7,0,0,0,0.00,TB,"Mike Evans, Scotty Miller, Tyler Johnson"
1,Falcons,1,15.60,15.6,7,86,0,12,7.17,58.3,0,0,0,0.00,CAR,"D.J. Moore, Robby Anderson, Curtis Samuel"
