,,,Fantasy,,Rushing,,,,Receiving,,,,,,This Week,
,Name,Games,Points,Pts/G,ATT,YDS,TD,YPC,REC,YDS,TD,TAR,YPT,Catch %,Opp,Opp RBs This Week
30,Jaguars,1,47.00,47.0,27,170,2,6.30,6,30,1,6,5.00,100.0,@HOU,"David Johnson, Duke Johnson, C.J. Prosise"
29,Lions,1,43.90,43.9,34,151,3,4.44,5,58,0,7,8.29,71.4,-,Bye Week
28,Falcons,1,42.70,42.7,24,84,0,3.50,14,143,1,15,9.53,93.3,CAR,"Mike Davis, Trenton Cannon"
27,Texans,1,39.50,39.5,35,149,3,4.26,2,16,0,3,5.33,66.7,JAX,"James Robinson, Chris Thompson, Dare Ogunbowale"
26,Cardinals,1,37.40,37.4,27,139,1,5.15,7,45,1,8,5.63,87.5,@NYJ,"Le'Veon Bell, Frank Gore, La'Mical Perine"
25,Dolphins,1,37.10,37.1,22,93,2,4.23,6,38,1,7,5.43,85.7,@SF,"Raheem Mostert, Jerick McKinnon, Jeff Wilson"
24,Cowboys,1,36.00,36.0,35,228,2,6.51,1,2,0,1,2.00,100.0,NYG,"Devonta Freeman, Wayne Gallman, Dion Lewis"
23,Chargers,1,34.00,34.0,24,118,0,4.92,9,42,1,14,3.00,64.3,@NO,"Alvin Kamara, Latavius Murray, Dwayne Washington"
22,Ravens,1,33.90,33.9,18,57,1,3.17,11,122,0,14,8.71,78.6,CIN,"Joe Mixon, Giovani Bernard, Samaje Perine"
21,Jets,1,32.00,32.0,26,113,2,4.35,4,17,0,5,3.40,80.0,ARI,"Kenyan Drake, Chase Edmonds, Eno Benjamin"
20,Chiefs,1,31.90,31.9,31,166,0,5.35,8,43,0,9,4.78,88.9,LV,"Josh Jacobs, Jalen Richard, Devontae Booker"
19,Packers,1,30.70,30.7,22,70,2,3.18,7,47,0,7,6.71,100.0,-,Bye Week
18,Browns,1,29.70,29.7,15,70,1,4.67,9,87,0,10,8.70,90.0,IND,"Jonathan Taylor, Nyheim Hines, Jordan Wilkins"
17,Saints,1,28.40,28.4,18,67,1,3.72,6,37,1,8,4.63,75.0,LAC,"Joshua Kelley, Justin Jackson"
16,Eagles,1,27.90,27.9,17,60,1,3.53,9,69,0,11,6.27,81.8,@PIT,"James Conner, Benny Snell, Anthony McFarland"
15,Bills,1,20.00,20.0,19,66,0,3.47,7,64,0,10,6.40,70.0,@TEN,"Derrick Henry, Darrynton Evans, Jeremy McNichols"
T13,Bears,1,19.20,19.2,35,107,0,3.06,5,35,0,5,7.00,100.0,TB,"Ronald Jones, Leonard Fournette, Ke'Shawn Vaughn"
T13,Seahawks,1,19.20,19.2,15,51,0,3.40,8,61,0,9,6.78,88.9,MIN,"Dalvin Cook, Alexander Mattison, Ameer Abdullah"
12,Rams,1,19.10,19.1,18,88,0,4.89,6,43,0,7,6.14,85.7,@WAS,"Antonio Gibson, J.D. McKissic, Peyton Barber"
T10,Raiders,1,18.70,18.7,18,56,1,3.11,5,21,0,7,3.00,71.4,@KC,"Clyde Edwards-Helaire, Darrel Williams, Darwin Thompson"
T10,Vikings,1,18.70,18.7,21,87,0,4.14,5,50,0,7,7.14,71.4,@SEA,"Chris Carson, Carlos Hyde, Travis Homer"
9,Panthers,1,18.50,18.5,17,51,0,3.00,5,24,1,6,4.00,83.3,@ATL,"Todd Gurley, Brian Hill, Ito Smith"
8,Football Team,1,17.20,17.2,22,88,1,4.00,2,4,0,3,1.33,66.7,LAR,"Malcolm Brown, Darrell Henderson, Cam Akers"
7,Giants,1,15.40,15.4,17,59,0,3.47,6,35,0,7,5.00,85.7,@DAL,"Ezekiel Elliott, Tony Pollard, Rico Dowdle"
6,Bengals,1,14.70,14.7,17,75,0,4.41,4,32,0,4,8.00,100.0,@BAL,"Mark Ingram, J.K. Dobbins, Gus Edwards"
5,Buccaneers,1,13.70,13.7,18,32,0,1.78,7,45,0,7,6.43,100.0,@CHI,"David Montgomery, Cordarrelle Patterson, Ryan Nall"
4,Patriots,1,12.30,12.3,17,66,0,3.88,3,27,0,4,6.75,75.0,DEN,"Melvin Gordon, Phillip Lindsay, Royce Freeman"
3,49ers,1,10.00,10.0,18,38,0,2.11,3,32,0,5,6.40,60.0,MIA,"Myles Gaskin, Matt Breida, Jordan Howard"
2,Broncos,1,9.20,9.2,18,45,0,2.50,3,17,0,5,3.40,60.0,@NE,"Damien Harris, James White, Rex Burkhead"
1,Colts,1,8.70,8.7,10,27,0,2.70,3,30,0,6,5.00,50.0,@CLE,"Kareem Hunt, D'Ernest Johnson, Dontrell Hilliard"
