,,,Fantasy,,Receiving,,,,,,Rushing,,,,This Week,
,Name,Games,Points,Pts/G,REC,YDS,TD,TAR,YPT,Catch %,ATT,YDS,TD,YPC,Opp,Opp WRs This Week
30,Eagles,1,43.10,43.1,15,183,1,15,12.20,100.0,1,8,0,8.00,@PIT,"Eric Ebron, Vance McDonald"
29,Falcons,1,33.80,33.8,6,98,3,6,16.33,100.0,0,0,0,0.00,CAR,"Ian Thomas, Chris Manhertz"
28,Bills,1,28.40,28.4,12,114,1,15,7.60,80.0,0,0,0,0.00,@TEN,"Jonnu Smith, Anthony Firkser"
27,Chargers,1,25.20,25.2,5,82,2,10,8.20,50.0,0,0,0,0.00,@NO,"Jared Cook, Adam Trautman"
26,Football Team,1,22.60,22.6,4,66,2,4,16.50,100.0,0,0,0,0.00,LAR,"Tyler Higbee, Gerald Everett"
25,Cowboys,1,22.10,22.1,9,71,1,11,6.45,81.8,0,0,0,0.00,NYG,"Evan Engram, Kaden Smith"
24,Browns,1,21.60,21.6,6,96,1,10,9.60,60.0,0,0,0,0.00,IND,"Jack Doyle, Trey Burton"
23,Panthers,1,15.20,15.2,5,42,1,5,8.40,100.0,0,0,0,0.00,@ATL,"Hayden Hurst, Luke Stocker"
22,Buccaneers,1,14.80,14.8,3,58,1,5,11.60,60.0,0,0,0,0.00,@CHI,"Jimmy Graham, Cole Kmet"
21,Bears,1,14.10,14.1,4,41,1,8,5.13,50.0,0,0,0,0.00,TB,"Rob Gronkowski, Cameron Brate"
20,Giants,1,13.70,13.7,5,35,0,6,5.83,83.3,1,2,1,2.00,@DAL,"Dalton Schultz, Blake Bell"
19,Saints,1,13.00,13.0,3,40,1,6,6.67,50.0,0,0,0,0.00,LAC,"Hunter Henry, Virgil Green"
18,Dolphins,1,12.00,12.0,7,50,0,9,5.56,77.8,0,0,0,0.00,@SF,"George Kittle, Ross Dwelley"
17,Vikings,1,11.70,11.7,5,67,0,5,13.40,100.0,0,0,0,0.00,@SEA,"Greg Olsen, Will Dissly"
T15,Rams,1,11.50,11.5,7,45,0,11,4.09,63.6,0,0,0,0.00,@WAS,"Logan Thomas, Jeremy Sprinkle"
T15,Patriots,1,11.50,11.5,4,75,0,9,8.33,44.4,0,0,0,0.00,DEN,"Jake Butt, Nick Vannett"
14,49ers,1,11.40,11.4,7,44,0,9,4.89,77.8,0,0,0,0.00,MIA,"Mike Gesicki, Adam Shaheen"
13,Cardinals,1,11.20,11.2,3,22,1,6,3.67,50.0,0,0,0,0.00,@NYJ,"Chris Herndon, Ryan Griffin"
12,Jaguars,1,11.10,11.1,4,71,0,6,11.83,66.7,0,0,0,0.00,@HOU,"Jordan Akins, Darren Fells"
11,Jets,1,10.20,10.2,6,42,0,9,4.67,66.7,0,0,0,0.00,ARI,"Dan Arnold, Darrell Daniels"
10,Packers,1,9.10,9.1,4,51,0,6,8.50,66.7,0,0,0,0.00,-,Bye Week
9,Colts,1,8.90,8.9,5,39,0,8,4.88,62.5,0,0,0,0.00,@CLE,"Austin Hooper, David Njoku"
8,Bengals,1,7.80,7.8,3,48,0,8,6.00,37.5,0,0,0,0.00,@BAL,"Mark Andrews, Nick Boyle"
7,Seahawks,1,7.50,7.5,3,45,0,6,7.50,50.0,0,0,0,0.00,MIN,"Kyle Rudolph, Irv Smith"
6,Broncos,1,6.10,6.1,4,21,0,6,3.50,66.7,0,0,0,0.00,@NE,"Ryan Izzo, Devin Asiasi"
5,Raiders,1,5.80,5.8,3,28,0,6,4.67,50.0,0,0,0,0.00,@KC,"Travis Kelce, Nick Keizer"
4,Texans,1,4.70,4.7,2,27,0,3,9.00,66.7,0,0,0,0.00,JAX,"Tyler Eifert, James O'Shaughnessy"
3,Ravens,1,1.80,1.8,1,8,0,4,2.00,25.0,0,0,0,0.00,CIN,"Drew Sample, Cethan Carter"
2,Lions,1,1.70,1.7,1,7,0,1,7.00,100.0,0,0,0,0.00,-,Bye Week
1,Chiefs,1,.00,0.0,0,0,0,3,0.00,0.0,0,0,0,0.00,LV,"Darren Waller, Jason Witten"
