,,,Fantasy,,Passing,,,,,,Rushing,,,,This Week,
,Name,Games,Points,Pts/G,COMP,ATT,YDS,TD,INT,YPA,ATT,YDS,TD,YPC,Opp,Opp QB This Week
30,Browns,1,40.28,40.3,41,58,502,4,1,8.66,2,12,0,6.00,IND,Philip Rivers
29,Chargers,1,36.46,36.5,30,46,369,5,1,8.02,3,-3,0,-1.00,@NO,Drew Brees
28,Falcons,1,32.48,32.5,27,33,327,4,0,9.91,2,4,0,2.00,CAR,Teddy Bridgewater
27,Cardinals,1,27.24,27.2,26,37,276,2,1,7.46,6,32,1,5.33,@NYJ,Joe Flacco
26,Seahawks,1,26.30,26.3,29,45,315,0,2,7.00,6,47,1,7.83,MIN,Kirk Cousins
25,Raiders,1,25.42,25.4,24,34,288,2,0,8.47,3,-1,1,-0.33,@KC,Patrick Mahomes
24,Football Team,1,25.32,25.3,14,22,193,2,2,8.77,10,56,1,5.60,LAR,Jared Goff
T22,Bengals,1,24.94,24.9,27,40,351,2,1,8.78,2,9,0,4.50,@BAL,Lamar Jackson
T22,Dolphins,1,24.90,24.9,24,34,360,2,1,10.59,4,5,0,1.25,@SF,Jimmy Garoppolo
21,Bills,1,24.44,24.4,32,44,311,2,0,7.07,4,20,0,5.00,@TEN,Ryan Tannehill
T19,Broncos,1,24.24,24.2,25,44,246,0,0,5.59,6,84,1,14.00,@NE,Jarrett Stidham
T19,49ers,1,24.22,24.2,18,28,193,1,1,6.89,10,55,1,5.50,MIA,Ryan Fitzpatrick
18,Panthers,1,24.12,24.1,24,31,133,3,0,4.29,6,78,0,13.00,@ATL,Matt Ryan
17,Buccaneers,1,24.00,24.0,20,25,290,3,1,11.60,5,14,0,2.80,@CHI,Nick Foles
16,Vikings,1,23.90,23.9,20,33,300,2,0,9.09,5,9,0,1.80,@SEA,Russell Wilson
15,Saints,1,23.34,23.3,17,31,206,3,1,6.65,3,21,0,7.00,LAC,Justin Herbert
14,Ravens,1,21.86,21.9,32,45,314,0,0,6.98,3,3,1,1.00,CIN,Joe Burrow
13,Patriots,1,20.24,20.2,19,29,236,2,0,8.14,8,28,0,3.50,DEN,Drew Lock
12,Jaguars,1,19.10,19.1,25,36,300,1,1,8.33,4,11,0,2.75,@HOU,Deshaun Watson
11,Lions,1,18.94,18.9,19,25,246,2,1,9.84,6,3,0,0.50,-,Bye Week
10,Cowboys,1,15.20,15.2,19,30,165,2,0,5.50,3,6,0,2.00,NYG,Daniel Jones
9,Jets,1,15.08,15.1,19,31,242,2,3,7.81,6,4,0,0.67,ARI,Kyler Murray
8,Texans,1,14.90,14.9,16,22,260,1,0,11.82,4,5,0,1.25,JAX,Gardner Minshew
7,Eagles,1,14.52,14.5,32,45,338,1,2,7.51,0,0,0,0.00,@PIT,Ben Roethlisberger
6,Colts,1,12.86,12.9,26,42,249,1,1,5.93,2,-1,0,-0.50,@CLE,Baker Mayfield
5,Packers,1,12.40,12.4,28,39,285,0,0,7.31,2,10,0,5.00,-,Bye Week
4,Giants,1,11.70,11.7,25,32,200,1,0,6.25,3,-3,0,-1.00,@DAL,Dak Prescott
3,Bears,1,11.20,11.2,16,29,190,1,0,6.55,3,-4,0,-1.33,TB,Tom Brady
2,Rams,1,11.10,11.1,23,36,190,0,1,5.28,6,45,0,7.50,@WAS,Kyle Allen
1,Chiefs,1,8.70,8.7,20,37,190,1,3,5.14,3,11,0,3.67,LV,Derek Carr
