,,,Fantasy,,Extra Points,,Field Goals,,Field Goal Distance,,,,This Week,
,Name,Games,Points,Pts/G,XPM,XPA,FGM,FGA,0-29,30-39,40-49,50+,Opp,Opp K This Week
30,Football Team,1,.60,0.6,4,4,1,1,0-0,0-0,1-1,0-0,LAR,Samuel Sloman
T1,Cardinals,1,.00,0.0,4,4,1,2,1-1,0-0,0-1,0-0,@NYJ,Sam Ficken
T1,Falcons,1,.00,0.0,3,4,1,1,0-0,0-0,1-1,0-0,CAR,Joey Slye
T1,Ravens,1,.00,0.0,2,2,1,2,0-0,0-0,1-1,0-1,CIN,Randy Bullock
T1,Bills,1,.00,0.0,2,2,3,3,1-1,1-1,0-0,1-1,@TEN,Stephen Gostkowski
T1,Panthers,1,.00,0.0,3,3,0,0,0-0,0-0,0-0,0-0,@ATL,Younghoe Koo
T1,Bears,1,.00,0.0,1,1,4,4,1-1,2-2,1-1,0-0,TB,Ryan Succop
T1,Bengals,1,.00,0.0,1,1,4,5,1-1,2-2,0-1,1-1,@BAL,Justin Tucker
T1,Browns,1,.00,0.0,2,2,0,0,0-0,0-0,0-0,0-0,IND,Rodrigo Blankenship
T1,Cowboys,1,.00,0.0,5,5,2,2,0-0,1-1,1-1,0-0,NYG,Graham Gano
T1,Broncos,1,.00,0.0,1,1,5,5,1-1,3-3,0-0,1-1,@NE,Nick Folk
T1,Lions,1,.00,0.0,5,5,0,0,0-0,0-0,0-0,0-0,-,Bye Week
T1,Packers,1,.00,0.0,1,2,1,1,1-1,0-0,0-0,0-0,-,Bye Week
T1,Texans,1,.00,0.0,4,4,1,2,0-0,1-1,0-0,0-1,JAX,Stephen Hauschka
T1,Colts,1,.00,0.0,0,0,1,1,1-1,0-0,0-0,0-0,@CLE,Cody Parkey
T1,Jaguars,1,.00,0.0,3,3,4,4,0-0,2-2,2-2,0-0,@HOU,Ka'imi Fairbairn
T1,Chiefs,1,.00,0.0,1,1,1,1,0-0,0-0,1-1,0-0,LV,Daniel Carlson
T1,Rams,1,.00,0.0,0,0,3,3,1-1,2-2,0-0,0-0,@WAS,Dustin Hopkins
T1,Chargers,1,.00,0.0,5,5,1,2,1-1,0-0,0-1,0-0,@NO,Wil Lutz
T1,Raiders,1,.00,0.0,3,4,1,1,0-0,1-1,0-0,0-0,@KC,Harrison Butker
T1,Dolphins,1,.00,0.0,4,4,1,1,0-0,0-0,0-0,1-1,@SF,Robbie Gould
T1,Vikings,1,.00,0.0,2,2,3,3,2-2,0-0,0-0,1-1,@SEA,Jason Myers
T1,Patriots,1,.00,0.0,2,3,2,2,1-1,1-1,0-0,0-0,DEN,Brandon McManus
T1,Saints,1,.00,0.0,3,3,0,0,0-0,0-0,0-0,0-0,LAC,Michael Badgley
T1,Giants,1,.00,0.0,2,2,1,1,0-0,1-1,0-0,0-0,@DAL,Greg Zuerlein
T1,Jets,1,.00,0.0,4,4,3,3,0-0,0-0,1-1,2-2,ARI,Zane Gonzalez
T1,Eagles,1,.00,0.0,2,2,0,0,0-0,0-0,0-0,0-0,@PIT,Chris Boswell
T1,Seahawks,1,.00,0.0,0,0,5,5,2-2,0-0,3-3,0-0,MIN,Dan Bailey
T1,49ers,1,.00,0.0,2,2,1,1,0-0,1-1,0-0,0-0,MIA,Jason Sanders
T1,Buccaneers,1,.00,0.0,4,4,1,2,0-0,0-0,0-1,1-1,@CHI,Cairo Santos
