,,,,Passing,,,,,Distance,,Big Passing Games,,,,,,Receivers,,
Name,Team,Pos,G,QBR,COMP,ATT,TD,INT,20+,40+,300+,350+,400+,Bad Pass %,Avg Target Depth,Sack %,Drops,Drop %,Avg YAC
Matt Ryan,ATL,QB,1,98.5,37,54,2,1,5,1,1,1,1,11.1,9.9,3.6,4,7.4,2.9
Aaron Rodgers,GB,QB,1,127.5,32,44,4,0,5,2,1,1,0,13.6,9.7,0.0,2,4.5,4.8
Philip Rivers,IND,QB,1,89.3,36,46,1,2,4,0,1,1,0,13.0,6.6,0.0,1,2.2,6.1
Russell Wilson,SEA,QB,1,152.3,31,35,4,0,3,0,1,0,0,2.9,6.6,7.9,3,8.6,5.4
Josh Allen,BUF,QB,1,104.6,33,46,2,0,3,0,1,0,0,21.7,7.8,6.1,2,4.3,4.0
Matthew Stafford,DET,QB,1,77.2,24,42,1,1,5,0,0,0,0,28.6,8.7,2.3,4,9.5,5.3
Daniel Jones,NYG,QB,1,79.2,26,41,2,2,2,1,0,0,0,14.6,6.4,6.8,3,7.3,4.7
Lamar Jackson,BAL,QB,1,154.6,20,25,3,0,5,1,0,0,0,8.0,9.7,7.4,1,4.0,4.6
Jared Goff,LAR,QB,1,79.4,20,31,0,1,5,0,0,0,0,12.9,4.0,3.1,2,6.5,10.1
Carson Wentz,PHI,QB,1,72.5,24,42,2,2,4,1,0,0,0,33.3,12.8,16.0,4,9.5,4.9
Teddy Bridgewater,CAR,QB,1,98.8,22,34,1,0,1,1,0,0,0,29.4,8.6,2.9,2,5.9,6.0
Dak Prescott,DAL,QB,1,92.5,25,39,1,0,2,0,0,0,0,23.1,7.3,7.1,2,5.1,4.7
Jimmy Garoppolo,SF,QB,1,103.0,19,33,2,0,2,2,0,0,0,27.3,7.6,8.3,3,9.1,8.3
Kirk Cousins,MIN,QB,1,118.6,19,25,2,1,5,0,0,0,0,16.0,10.4,7.4,2,8.0,4.0
Deshaun Watson,HOU,QB,1,84.5,20,32,1,1,3,0,0,0,0,18.8,7.9,11.1,4,12.5,6.7
Ryan Tannehill,TEN,QB,1,97.9,29,43,2,0,3,0,0,0,0,11.6,6.4,2.3,1,2.3,3.4
Mitchell Trubisky,CHI,QB,1,104.2,20,36,3,0,3,0,0,0,0,38.9,10.1,2.7,0,0.0,3.4
Derek Carr,LV,QB,1,107.5,22,30,1,0,3,1,0,0,0,13.3,6.1,0.0,0,0.0,7.5
Tom Brady,TB,QB,1,78.4,23,36,2,2,3,0,0,0,0,27.8,10.5,7.7,0,0.0,4.3
Kyler Murray,ARI,QB,1,78.1,26,40,1,1,1,0,0,0,0,17.5,5.6,4.8,1,2.5,4.9
Ben Roethlisberger,PIT,QB,1,117.8,21,32,3,0,2,0,0,0,0,12.5,6.5,5.9,1,3.1,5.4
Drew Lock,DEN,QB,1,95.0,22,33,1,0,3,0,0,0,0,21.2,8.5,0.0,3,9.1,6.1
Sam Darnold,NYJ,QB,1,75.3,21,35,1,1,3,1,0,0,0,22.9,7.7,7.9,3,8.6,6.6
Patrick Mahomes,KC,QB,1,123.3,24,32,3,0,0,0,0,0,0,9.4,5.1,3.0,1,3.1,5.8
Tyrod Taylor,LAC,QB,1,75.4,16,30,0,0,3,0,0,0,0,23.3,11.6,6.3,2,6.7,5.1
Joe Burrow,CIN,QB,1,66.1,23,36,0,1,0,0,0,0,0,22.2,8.0,7.7,0,0.0,3.7
Ryan Fitzpatrick,MIA,QB,1,42.5,20,30,0,3,2,0,0,0,0,26.7,9.7,3.2,2,6.7,2.8
Baker Mayfield,CLE,QB,1,65.0,21,39,1,1,3,0,0,0,0,23.1,10.1,4.9,1,2.6,1.6
Dwayne Haskins,WAS,QB,1,82.5,17,31,1,0,1,0,0,0,0,35.5,7.7,8.8,0,0.0,6.1
Gardner Minshew,JAX,QB,1,167.3,19,20,3,0,2,0,0,0,0,0.0,6.1,16.7,0,0.0,5.2
Drew Brees,NO,QB,1,96.5,18,30,2,0,1,1,0,0,0,23.3,5.8,3.2,1,3.3,5.6
Cam Newton,NE,QB,1,101.9,15,19,0,0,1,0,0,0,0,10.5,6.3,9.5,0,0.0,5.9
Taysom Hill,NO,QB,1,243.8,1,1,0,0,1,0,0,0,0,0.0,27.0,0.0,0,0.0,11.0
Robert Griffin,BAL,QB,1,122.9,1,1,0,0,0,0,0,0,0,0.0,6.0,0.0,0,0.0,3.0
