,,,,Passing,,,,,,,,,,Rushing,,
Name,Team,Pos,G,QBR,COMP,ATT,COMP%,YDS,YPA,TD,INT,SCK,FUM,ATT,YDS,TD
Matt Ryan,ATL,QB,1,98.5,37,54,0.0,450,8.0,2,1,2,0,1,-1,0
Aaron Rodgers,GB,QB,1,127.5,32,44,0.0,364,8.0,4,0,0,0,1,2,0
Philip Rivers,IND,QB,1,89.3,36,46,0.0,363,7.0,1,2,0,0,1,3,0
Russell Wilson,SEA,QB,1,152.3,31,35,0.0,322,9.0,4,0,3,1,3,29,0
Josh Allen,BUF,QB,1,104.6,33,46,0.0,312,6.0,2,0,3,2,14,57,1
Matthew Stafford,DET,QB,1,77.2,24,42,0.0,297,7.0,1,1,1,0,5,23,0
Daniel Jones,NYG,QB,1,79.2,26,41,0.0,279,6.0,2,2,3,0,4,22,0
Lamar Jackson,BAL,QB,1,154.6,20,25,0.0,275,11.0,3,0,2,1,7,45,0
Jared Goff,LAR,QB,1,79.4,20,31,0.0,275,8.0,0,1,1,0,4,15,0
Carson Wentz,PHI,QB,1,72.5,24,42,0.0,270,6.0,2,2,8,2,1,2,0
Teddy Bridgewater,CAR,QB,1,98.8,22,34,0.0,269,7.0,1,0,1,0,4,26,0
Dak Prescott,DAL,QB,1,92.5,25,39,0.0,266,6.0,1,0,3,0,3,30,0
Jimmy Garoppolo,SF,QB,1,103.0,19,33,0.0,259,7.0,2,0,3,0,1,9,0
Kirk Cousins,MIN,QB,1,118.6,19,25,0.0,259,10.0,2,1,2,0,4,34,0
Deshaun Watson,HOU,QB,1,84.5,20,32,0.0,253,7.0,1,1,4,0,6,27,1
Ryan Tannehill,TEN,QB,1,97.9,29,43,0.0,249,5.0,2,0,1,0,3,14,0
Mitchell Trubisky,CHI,QB,1,104.2,20,36,0.0,242,6.0,3,0,1,1,3,26,0
Derek Carr,LV,QB,1,107.5,22,30,0.0,239,7.0,1,0,0,0,0,0,0
Tom Brady,TB,QB,1,78.4,23,36,0.0,239,6.0,2,2,3,1,3,9,1
Kyler Murray,ARI,QB,1,78.1,26,40,0.0,230,5.0,1,1,2,0,13,91,1
Ben Roethlisberger,PIT,QB,1,117.8,21,32,0.0,229,7.0,3,0,2,1,3,9,0
Drew Lock,DEN,QB,1,95.0,22,33,0.0,216,6.0,1,0,0,2,3,5,0
Sam Darnold,NYJ,QB,1,75.3,21,35,0.0,215,6.0,1,1,3,0,1,6,0
Patrick Mahomes,KC,QB,1,123.3,24,32,0.0,211,6.0,3,0,1,0,0,0,0
Tyrod Taylor,LAC,QB,1,75.4,16,30,0.0,208,6.0,0,0,2,0,6,7,0
Joe Burrow,CIN,QB,1,66.1,23,36,0.0,193,5.0,0,1,3,1,8,46,1
Ryan Fitzpatrick,MIA,QB,1,42.5,20,30,0.0,191,6.0,0,3,1,1,5,18,0
Baker Mayfield,CLE,QB,1,65.0,21,39,0.0,189,4.0,1,1,2,0,2,3,0
Dwayne Haskins,WAS,QB,1,82.5,17,31,0.0,178,5.0,1,0,3,1,7,17,0
Gardner Minshew,JAX,QB,1,167.3,19,20,0.0,173,8.0,3,0,4,0,5,19,0
Drew Brees,NO,QB,1,96.5,18,30,0.0,160,5.0,2,0,1,0,2,0,0
Cam Newton,NE,QB,1,101.9,15,19,0.0,155,8.0,0,0,2,0,15,75,2
Taysom Hill,NO,QB,1,243.8,1,1,100.0,38,38.0,0,0,0,0,3,13,0
Robert Griffin,BAL,QB,1,122.9,1,1,100.0,9,9.0,0,0,0,0,1,-1,0
