,,,,Fantasy,Defensive Stats,,,,,,,
Name,Team,Pos,G,Pts,SOLO,AST,TOT TCKL,SACK,FUM Forced,FUM Rec,INT,TD
Sam Hubbard,CIN,DE,15,95.0,46.0,30,76,8.5,1,0,0,0
Levi Wallace,BUF,CB,16,80.0,66.0,10,76,0.0,0,0,2,0
Germaine Pratt,CIN,LB,16,76.0,50.0,26,76,0.0,0,0,0,0
Haason Reddick,ARI,LB,16,80.0,43.0,33,76,1.0,0,1,0,0
Jabrill Peppers,NYG,S,11,90.0,51.0,25,76,0.0,3,0,1,1
Nick Kwiatkoski,CHI,LB,16,86.0,56.0,20,76,3.0,1,0,1,0
Rodney McLeod,PHI,S,16,86.0,46.0,30,76,1.0,2,0,2,0
Tyrann Mathieu,KC,S,16,87.0,63.0,12,75,2.0,0,0,4,0
Neville Hewitt,NYJ,LB,12,85.0,44.0,31,75,3.0,0,0,2,0
Davon Godchaux,MIA,DT,16,79.0,33.0,42,75,2.0,0,0,0,0
Jamal Adams,NYJ,S,14,108.0,61.0,14,75,6.5,2,1,1,2
Drue Tranquill,LAC,LB,15,75.0,61.0,14,75,0.0,0,0,0,0
Charvarius Ward,KC,CB,16,80.0,56.0,18,74,0.0,1,0,2,0
Damontae Kazee,ATL,S,16,82.0,46.0,28,74,0.0,1,0,3,0
Erik Harris,OAK,S,16,92.0,64.0,10,74,0.0,0,0,3,2
Chuck Clark,BAL,S,16,81.0,45.0,28,73,1.0,2,0,1,0
Andrew Sendejo,PHI/PHI/MIN,S,24,85.0,59.0,14,73,2.0,0,0,4,0
Nicholas Morrow,OAK,LB,16,75.0,53.0,20,73,0.0,0,0,1,0
Leighton Vander Esch,DAL,LB,9,75.0,43.0,29,72,0.5,1,0,0,0
Micah Hyde,BUF,S,16,80.0,50.0,22,72,0.0,2,1,1,0
Raekwon McMillan,MIA,LB,13,72.0,35.0,37,72,0.0,0,0,0,0
Markus Golden,NYG,LB,16,100.0,37.0,35,72,10.0,0,1,0,1
Kareem Jackson,DEN,S,13,83.0,48.0,23,71,0.0,1,0,2,1
Mychal Kendricks,SEA,LB,14,81.0,47.0,24,71,3.0,1,0,1,0
Dont'a Hightower,NE,LB,15,90.0,47.0,24,71,5.5,0,1,0,1
Ronnie Harrison,JAX,S,14,81.0,44.0,27,71,2.0,0,1,2,0
Khari Willis,IND,S,14,71.0,53.0,18,71,0.0,0,0,0,0
Danny Trevathan,CHI,LB,9,74.0,50.0,20,70,1.0,1,0,0,0
