,,,,Pass Defense Stats,,,,,,,,,,
Name,Team,Pos,G,DEF SNAPS,Depth Chart,QB Rating Against,Comp,Att,Comp %,Yards,TD,INT,PassDef,INT Drops
Kendall Fuller,KC,CB,11,507,#1 LCB,128.0,17,26,65.4,206,3,0,2,0
Corey Ballentine,NYG,CB,13,303,#2 RCB,128.3,24,38,63.2,351,4,0,1,0
Darian Thompson,DAL,S,15,435,#1 SS,128.4,9,16,56.3,153,2,0,3,0
Sheldrick Redwine,CLE,S,12,383,#2 FS,129.2,4,7,57.1,67,1,0,2,1
Brandon Copeland,NYJ,LB,12,340,#1 RILB,129.5,9,11,81.8,86,1,0,0,0
Vernon Hargreaves,HOU,CB,6,266,#1 RCB,132.4,14,22,63.6,199,3,0,2,1
Coty Sensabaugh,WAS,CB,2,135,#,133.3,5,7,71.4,54,1,0,0,0
Kemal Ishmael,ATL,S,14,288,#,137.1,12,17,70.6,151,2,0,0,0
Tony McRae,CIN,CB,16,202,#3 RCB,137.5,11,15,73.3,192,1,0,1,0
Aaron Colvin,WAS,CB,6,157,#,138.1,12,14,85.7,160,1,0,1,0
Rolan Milligan,IND,S,11,134,#4 SS,139.0,10,14,71.4,127,2,0,0,0
Antoine Bethea,NYG,S,16,1132,#,139.7,21,29,72.4,408,7,1,5,0
Curtis Riley,LV,S,,,#3 SS,139.8,5,9,55.6,112,2,0,1,0
Germaine Pratt,CIN,LB,16,443,#1 WLB,140.2,11,14,78.6,167,1,0,0,0
Jatavis Brown,LAC,LB,13,94,#,141.7,4,6,66.7,64,1,0,0,0
Preston Brown,CIN,LB,9,423,#,143.8,7,8,87.5,72,1,0,0,0
Josh Jackson,GB,CB,14,103,#2 RCB,143.8,6,7,85.7,63,1,0,0,0
Kayvon Webster,WAS,CB,2,97,#,145.8,4,6,66.7,70,1,0,2,0
Michael Thomas,NYG,S,16,306,#2 FS,147.7,14,18,77.8,190,2,0,3,1
Reshad Jones,MIA,S,4,190,#,148.8,8,10,80.0,102,2,0,1,0
Tahir Whitehead,LV,LB,,,#1 MLB,149.2,28,38,73.7,421,7,0,1,0
Nate Meadors,MIN,CB,2,13,#,149.3,3,3,100.0,31,2,0,0,0
D.J. Swearinger,ARI,S,4,292,#3 FS,152.7,12,14,85.7,156,3,0,1,0
Aaron Colvin,HOU,CB,1,57,#,155.8,8,9,88.9,117,1,0,0,0
Chandler Jones,ARI,LB,16,0,#1 LOLB,158.3,4,4,100.0,53,1,0,0,0
Minkah Fitzpatrick,MIA,S,2,117,#1 FS,158.3,6,6,100.0,117,3,0,0,0
