,,,Extra Points,,,Field Goals,,,0-29,,30-39,,40-49,,50+,
Name,Team,G,XPM,XPA,XP%,FGM,FGA,FG%,FGM,FGA,FGM,FGA,FGM,FGA,FGM,FGA
Ka'imi Fairbairn,HOU,16,39,41,95.1,37,42,88.1,10,10,11,11,12,15,4,6
Justin Tucker,BAL,16,36,37,97.3,35,39,89.7,12,12,9,9,9,11,5,7
Robbie Gould,SF,16,27,29,93.1,33,34,97.1,9,9,13,13,9,10,2,2
Jason Myers,NYJ,16,30,33,90.9,33,36,91.7,4,4,13,14,10,11,6,7
Aldrick Rosas,NYG,16,31,32,96.9,32,33,97.0,9,9,13,13,6,6,4,5
Mason Crosby,GB,16,34,36,94.4,30,37,81.1,4,4,10,11,11,15,5,7
Brett Maher,DAL,16,32,33,97.0,29,36,80.6,10,10,6,8,7,11,6,7
Wil Lutz,NO,16,52,53,98.1,28,30,93.3,6,6,9,9,11,12,2,3
Matt Prater,DET,16,30,30,100.0,28,32,87.5,8,8,12,12,5,7,3,5
Greg Zuerlein,LAR,11,35,36,97.2,27,31,87.1,9,9,10,10,4,6,4,6
Stephen Gostkowski,NE,16,49,50,98.0,27,32,84.4,11,11,10,10,4,6,2,5
Ryan Succop,TEN,16,28,31,90.3,26,30,86.7,5,6,13,13,5,7,3,4
Jake Elliott,PHI,16,33,35,94.3,26,31,83.9,7,7,10,11,7,8,2,5
Dustin Hopkins,WAS,16,25,26,96.2,26,29,89.7,5,5,7,7,10,12,4,5
Harrison Butker,KC,16,65,69,94.2,24,27,88.9,9,9,7,7,6,7,2,4
Cody Parkey,CHI,16,42,45,93.3,23,30,76.7,6,6,7,10,9,12,1,2
Adam Vinatieri,IND,16,44,47,93.6,23,27,85.2,8,8,6,7,5,6,4,6
Sebastian Janikowski,SEA,16,48,51,94.1,22,27,81.5,2,2,9,11,8,9,3,5
Stephen Hauschka,BUF,16,25,26,96.2,22,28,78.6,3,3,8,8,7,10,4,7
Dan Bailey,MIN,14,30,31,96.8,21,28,75.0,5,6,11,11,4,9,1,2
Matt Bryant,ATL,13,33,35,94.3,20,21,95.2,4,4,5,5,7,7,4,5
Brandon McManus,DEN,16,35,35,100.0,20,25,80.0,5,5,6,6,7,7,2,7
Josh Lambo,JAX,13,19,20,95.0,19,21,90.5,4,4,8,8,3,4,4,5
Randy Bullock,CIN,16,39,41,95.1,19,23,82.6,4,4,7,8,6,6,2,5
Jason Sanders,MIA,16,35,36,97.2,18,20,90.0,7,7,3,3,7,9,1,1
Greg Joseph,CLE,14,25,29,86.2,17,20,85.0,4,4,7,7,5,7,1,2
Daniel Carlson,MIN/OAK,12,24,24,100.0,17,21,81.0,2,2,3,4,9,12,3,3
Chandler Catanzaro,CAR/TB,13,30,35,85.7,16,20,80.0,4,4,9,10,0,3,3,3
Michael Badgley,LAC,10,27,28,96.4,15,16,93.8,4,4,5,5,5,5,1,2
Graham Gano,CAR,12,30,33,90.9,14,16,87.5,3,3,4,5,4,4,3,4
Cairo Santos,LAR/TB,9,22,23,95.7,14,18,77.8,5,5,6,6,3,6,0,1
Chris Boswell,PIT,15,43,48,89.6,13,20,65.0,3,3,4,6,5,10,1,1
Matt McCrane,PIT/OAK/OAK,8,14,14,100.0,13,21,61.9,6,6,2,2,5,9,0,4
Zane Gonzalez,ARI/CLE,7,8,11,72.7,9,14,64.3,1,1,4,4,2,4,2,5
Caleb Sturgis,LAC,6,9,15,60.0,9,13,69.2,4,4,2,2,3,6,0,1
Mike Nugent,OAK,3,4,5,80.0,6,6,100.0,3,3,0,0,2,2,1,1
Phil Dawson,ARI,10,15,15,100.0,5,8,62.5,2,2,2,2,1,3,0,1
Giorgio Tavecchio,ATL,3,8,8,100.0,5,5,100.0,1,1,0,0,2,2,2,2
Kai Forbath,JAX,3,3,3,100.0,4,5,80.0,2,2,1,1,1,1,0,1
Johnny Hekker,LAR,16,1,1,100.0,1,1,100.0,1,1,0,0,0,0,0,0
Sam Ficken,LAR,2,10,10,100.0,1,3,33.3,0,1,1,1,0,1,0,0
