,,,,Defensive Stats,,,,,,,,,
Name,Team,Pos,G,DEF SNAPS,SOLO,AST,TOT TCKL,SACK,FUM Forced,FUM Rec,INT,TD,PASS DEF
Jatavis Brown,SD,LB,12,599,64.0,15,79,3.5,2,1,0,0,6
Anthony Hitchens,DAL,LB,16,581,39.0,39,78,1.5,0,0,0,0,1
Harold Jones-Quartey,CHI,S,16,731,66.0,12,78,0.0,0,0,1,0,5
D'Qwell Jackson,IND,LB,12,708,52.0,26,78,1.0,0,2,0,0,3
Isa Abdul-Quddus,MIA,S,15,951,50.0,28,78,1.0,0,0,2,0,5
Von Miller,DEN,LB,16,933,62.0,16,78,13.5,3,0,0,0,3
Linval Joseph,MIN,DT,16,720,37.0,40,77,4.0,3,0,0,0,0
Eric Berry,KC,S,16,1085,62.0,15,77,0.0,1,0,4,2,9
Mike Mitchell,PIT,S,16,1004,55.0,22,77,0.0,0,1,1,0,9
Lorenzo Alexander,BUF,LB,16,788,56.0,20,76,12.5,3,0,1,0,6
Vernon Hargreaves,TB,CB,16,1037,68.0,8,76,0.0,1,0,1,0,9
Ramik Wilson,KC,LB,11,523,61.0,15,76,0.0,1,2,1,0,3
Korey Toomer,SD,LB,13,544,53.0,22,75,1.0,3,1,0,0,2
George Iloka,CIN,S,16,1050,49.0,25,74,0.0,0,0,3,0,7
Khalil Mack,OAK,LB,16,949,54.0,19,73,11.0,5,3,1,1,3
Lardarius Webb,BAL,CB,16,998,59.0,14,73,1.0,0,0,1,0,5
Bashaud Breeland,WAS,CB,14,764,62.0,11,73,1.0,2,0,3,0,11
Darron Lee,NYJ,LB,13,641,45.0,28,73,1.0,0,0,0,0,3
DeForest Buckner,SF,DT,15,1005,43.0,30,73,6.0,0,2,0,0,1
Denzel Perryman,SD,LB,12,484,56.0,16,72,2.0,0,0,1,0,2
Ndamukong Suh,MIA,DE,16,973,41.0,31,72,5.0,0,1,0,0,6
Malcolm Jenkins,PHI,S,16,1019,47.0,25,72,1.0,0,1,3,2,9
Anthony Barr,MIN,LB,16,1025,37.0,33,70,2.0,1,1,0,0,4
Joe Thomas,GB,LB,16,634,55.0,15,70,0.0,0,1,1,0,5
Sean Davis,PIT,S,16,740,55.0,15,70,1.5,0,1,1,0,5
Blake Martinez,GB,LB,13,438,47.0,22,69,1.0,0,0,1,0,4
Ronald Darby,BUF,CB,14,824,60.0,9,69,0.0,0,0,0,0,12
Marcus Cooper,ARI,CB,15,827,63.0,6,69,0.0,0,0,4,1,11
Jason McCourty,TEN,CB,14,813,60.0,9,69,0.0,0,1,2,0,12
Andrew Sendejo,MIN,S,14,855,45.0,24,69,0.5,0,2,2,0,4
Chris Conte,TB,S,14,714,59.0,10,69,0.0,0,1,2,1,5
Darian Stewart,DEN,S,16,1087,55.0,13,68,0.0,1,1,3,0,6
Glover Quin,DET,S,16,1027,55.0,13,68,0.0,1,0,2,0,5
Kenny Vaccaro,NO,S,11,724,51.0,17,68,1.0,2,1,2,0,5
Leonard Williams,NYJ,DE,16,895,36.0,32,68,7.0,2,0,0,0,0
Corey Nelson,DEN,LB,16,545,47.0,21,68,0.0,0,1,0,0,5
Tony Lippett,MIA,CB,16,863,45.0,22,67,0.0,0,0,4,0,10
Josh Norman,WAS,CB,16,1059,52.0,15,67,0.0,2,0,3,0,19
Duke Ihenacho,WAS,S,15,636,54.0,12,66,0.0,0,0,0,0,2
Danny Trevathan,CHI,LB,9,565,49.0,17,66,1.0,0,0,0,0,4
D.J. Swearinger,ARI,S,16,837,58.0,8,66,2.0,0,0,3,0,8
Lamarcus Joyner,LAR,S,14,699,50.0,16,66,1.0,1,0,0,0,5
Donte Whitner,WAS,S,11,566,49.0,17,66,0.0,1,0,0,0,0
Adam Jones,CIN,CB,16,1058,54.0,12,66,0.0,1,0,1,0,7
Edwin Jackson,IND,LB,16,497,47.0,19,66,2.0,0,0,0,0,0
Artie Burns,PIT,CB,16,810,52.0,13,65,0.0,0,0,3,0,13
Jalen Ramsey,JAX,CB,16,1059,55.0,10,65,0.0,1,0,2,1,14
Adrian Amos,CHI,S,15,939,57.0,8,65,0.0,1,1,0,0,4
Steven Nelson,KC,CB,15,1012,59.0,6,65,0.0,0,2,0,0,16
Reggie Nelson,OAK,S,16,1049,50.0,15,65,0.0,0,2,5,0,12
Brian Cushing,HOU,LB,13,613,38.0,27,65,0.0,0,0,0,0,1
Sio Moore,ARI/IND,LB,8,412,50.0,15,65,0.0,2,0,0,0,1
Dont'a Hightower,NE,LB,13,708,31.0,34,65,2.5,1,0,0,0,2
T.J. McDonald,LAR,S,16,1069,50.0,14,64,1.0,0,0,2,0,6
David Amerson,OAK,CB,15,960,56.0,8,64,0.0,0,0,2,0,16
Kyle Williams,BUF,DT,15,795,42.0,22,64,5.0,0,0,0,0,0
Olivier Vernon,NYG,DE,16,1040,46.0,18,64,8.5,1,1,0,0,0
Neville Hewitt,MIA,LB,16,353,40.0,24,64,1.0,0,1,0,0,1
Malcolm Butler,NE,CB,16,1007,48.0,15,63,1.0,1,2,4,0,17
Daniel Sorensen,KC,S,16,540,55.0,8,63,1.0,2,3,3,1,6
Chris Harris,DEN,CB,16,1099,57.0,6,63,0.0,1,1,2,0,11
A.J. Bouye,HOU,CB,15,725,48.0,15,63,1.0,0,0,1,0,16
Calvin Pryor,NYJ,S,15,812,45.0,17,62,0.0,1,0,0,0,6
Eric Reid,SF,S,10,743,48.0,14,62,0.0,1,0,1,0,5
Sheldon Richardson,NYJ,DT,15,761,38.0,24,62,1.5,1,2,0,0,2
Kareem Jackson,HOU,S,14,724,51.0,11,62,0.0,0,0,1,1,4
Ross Cockrell,PIT,CB,16,1025,47.0,15,62,0.0,0,1,0,0,14
Jalen Mills,PHI,S,16,661,52.0,10,62,0.0,0,0,0,0,7
Jaquiski Tartt,SF,S,15,615,47.0,14,61,1.0,0,0,0,0,3
Ron Parker,KC,S,16,1106,52.0,9,61,0.0,2,0,1,0,12
Brandon Carr,DAL,CB,16,1015,53.0,8,61,0.0,0,0,1,0,9
Robert Alford,ATL,CB,16,1080,50.0,11,61,0.0,0,0,2,1,19
Devon Kennard,NYG,LB,16,533,40.0,21,61,1.0,1,1,0,0,1
Rashaan Melvin,IND,CB,15,91,52.0,8,60,0.0,2,0,0,0,7
Dwight Lowery,SD,S,16,1003,49.0,11,60,0.0,1,1,1,1,9
Melvin Ingram,SD,DE,16,893,46.0,14,60,8.0,4,0,0,0,5
Karl Joseph,OAK,S,12,593,44.0,16,60,0.0,0,1,1,0,6
James Bradberry,CAR,CB,13,798,47.0,12,59,0.0,0,0,2,0,10
Clayton Geathers,IND,S,9,561,50.0,9,59,0.0,1,0,0,0,5
Danny Shelton,CLE,DT,16,746,32.0,27,59,1.5,0,0,0,0,0
Kevin Byard,TEN,S,16,655,45.0,14,59,1.0,0,0,0,0,4
Brian Poole,ATL,CB,16,835,43.0,16,59,1.0,0,2,1,0,9
Spencer Paysinger,MIA,LB,15,333,42.0,17,59,0.0,0,1,0,0,3
Tramaine Brock,SF,CB,16,1101,49.0,10,59,0.0,1,0,1,0,14
Brandon Graham,PHI,DE,16,764,41.0,18,59,5.5,2,1,0,0,1
Nathan Stupar,NO,LB,16,376,49.0,10,59,1.0,2,2,1,0,2
Keith Tandy,TB,S,16,404,47.0,11,58,0.0,0,1,4,0,9
Casey Hayward,SD,CB,16,986,51.0,7,58,0.0,0,0,7,1,20
Michael Thomas,MIA,S,16,572,43.0,15,58,1.0,2,0,0,0,1
Micah Hyde,GB,S,16,821,47.0,11,58,1.0,0,0,3,0,9
William Gay,PIT,CB,16,844,42.0,16,58,1.0,1,0,1,0,7
Cameron Jordan,NO,DE,16,965,40.0,18,58,7.5,1,0,0,0,6
Richard Sherman,SEA,CB,16,1053,38.0,20,58,0.0,0,1,4,0,13
Muhammad Wilkerson,NYJ,DE,15,844,33.0,25,58,4.5,1,0,0,0,3
Kyle Emanuel,SD,LB,16,546,36.0,22,58,0.5,1,1,0,0,1
Brent Grimes,TB,CB,16,998,51.0,6,57,0.0,1,0,4,1,24
Wesley Woodyard,TEN,LB,16,612,42.0,15,57,2.0,0,0,1,0,5
Rontez Miles,NYJ,S,16,394,34.0,23,57,0.0,2,0,0,0,0
Nevin Lawson,DET,CB,16,924,46.0,11,57,0.0,0,0,0,0,9
Trumaine Johnson,LAR,CB,14,953,47.0,10,57,0.0,0,1,1,0,11
Bruce Irvin,OAK,LB,16,927,47.0,10,57,7.0,6,0,0,0,1
Jamar Taylor,CLE,CB,15,920,46.0,11,57,0.0,0,0,3,0,13
E.J. Gaines,LAR,CB,11,613,47.0,9,56,0.0,1,1,0,0,7
Sterling Moore,NO,CB,13,806,44.0,12,56,0.0,0,0,2,0,13
Shaq Thompson,CAR,LB,14,535,39.0,17,56,0.0,0,2,1,1,5
Josh Shaw,CIN,S,16,618,38.0,18,56,0.0,0,0,1,0,3
Danielle Hunter,MIN,DE,16,598,34.0,22,56,12.5,1,1,0,1,1
Anthony Brown,DAL,CB,16,717,40.0,15,55,0.0,1,0,1,0,8
Marcus Gilchrist,NYJ,S,13,818,39.0,16,55,0.0,1,0,2,0,3
Albert McClellan,BAL,LB,16,603,34.0,21,55,1.0,0,0,0,0,0
Nolan Carroll,PHI,CB,16,910,41.0,14,55,0.0,1,0,1,0,11
Quintin Demps,HOU,S,13,698,38.0,17,55,0.0,1,0,6,0,9
Captain Munnerlyn,MIN,CB,15,637,38.0,17,55,0.0,1,0,0,0,3
Michael Wilhoite,SF,LB,16,511,44.0,11,55,0.5,1,1,0,0,2
Kawann Short,CAR,DT,16,779,30.0,25,55,6.0,1,0,0,0,3
Sean Spence,TEN,LB,15,505,37.0,17,54,3.0,1,0,0,0,3
Akiem Hicks,CHI,DE,16,930,36.0,18,54,7.0,2,1,0,0,2
Ladarius Gunter,GB,CB,16,861,50.0,4,54,0.0,2,0,0,0,12
Tavon Young,BAL,CB,16,832,44.0,9,53,0.0,0,1,2,0,8
Emmanuel Ogbah,CLE,DE,16,850,28.0,25,53,5.5,0,0,0,0,3
Tre Boston,CAR,S,15,840,38.0,15,53,2.0,0,0,2,0,7
Jimmie Ward,SF,S,11,668,43.0,10,53,1.0,1,1,1,0,12
Jason Pierre-Paul,NYG,LB,12,792,35.0,18,53,7.0,3,1,0,1,8
Calais Campbell,ARI,DE,16,828,34.0,19,53,8.0,2,3,1,1,6
Ahmad Brooks,SF,LB,16,918,41.0,12,53,6.0,1,0,0,0,4
Darrelle Revis,NYJ,CB,15,921,43.0,10,53,0.0,0,0,1,0,5
James Harrison,PIT,LB,15,587,39.0,14,53,5.0,2,0,1,0,1
Rafael Bush,DET,S,16,501,34.0,19,53,1.0,0,0,2,1,3
Byron Maxwell,MIA,CB,13,846,43.0,10,53,0.0,4,0,2,0,15
Whitney Mercilus,HOU,LB,15,874,36.0,17,53,7.5,1,4,0,0,1
Jared Crick,DEN,DE,16,942,32.0,21,53,3.0,2,0,0,0,6
Nick Perry,GB,LB,14,606,35.0,17,52,11.0,0,0,1,0,4
Shareece Wright,BAL,CB,12,673,44.0,8,52,0.0,0,1,0,0,6
Jadeveon Clowney,HOU,DE,14,740,40.0,12,52,6.0,1,0,0,0,2
Kyle Van Noy,NE/DET,LB,14,524,32.0,20,52,1.0,1,0,1,0,3
Daimion Stafford,TEN,S,15,614,42.0,10,52,1.0,0,1,1,0,2
Kemal Ishmael,ATL,S,13,310,32.0,20,52,0.0,0,0,0,0,2
Brandon Marshall,DEN,LB,11,601,39.0,13,52,0.0,0,0,0,0,3
Xavier Rhodes,MIN,CB,14,786,44.0,8,52,0.0,1,0,5,1,11
Antonio Morrison,IND,LB,16,333,33.0,19,52,0.0,0,0,0,0,0
Eli Apple,NYG,CB,14,701,41.0,10,51,0.0,1,1,1,0,7
Markus Golden,ARI,LB,16,761,41.0,10,51,12.5,4,1,0,0,1
Brandon Williams,BAL,DT,16,636,34.0,17,51,1.0,0,0,0,0,1
John Simon,HOU,LB,11,519,32.0,19,51,3.5,1,0,0,0,2
Derek Wolfe,DEN,DE,14,666,38.0,13,51,5.5,0,0,0,0,4
Patrick Peterson,ARI,CB,16,1032,45.0,6,51,0.0,0,0,3,0,6
Reshad Jones,MIA,S,6,431,31.0,20,51,0.5,0,0,1,0,4
Kelvin Sheppard,NYG,LB,16,453,30.0,20,50,0.0,0,0,0,0,2
Jahleel Addae,SD,S,8,511,43.0,7,50,0.0,0,0,1,1,4
Maurice Alexander,LAR,LB,14,918,38.0,12,50,1.0,0,0,2,0,4
Malcom Brown,NE,DT,16,596,24.0,26,50,3.0,1,0,0,0,0
Trae Waynes,MIN,CB,15,579,42.0,8,50,0.0,0,0,3,0,11
J.J. Wilcox,DAL,S,13,557,37.0,12,49,0.0,1,0,1,0,6
Janoris Jenkins,NYG,CB,15,956,44.0,5,49,1.0,1,0,3,0,18
Jeremy Lane,SEA,CB,16,769,36.0,13,49,0.0,0,0,0,0,3
William Gholston,TB,DE,14,585,37.0,12,49,3.0,1,1,0,0,0
Prince Amukamara,JAX,CB,14,871,46.0,3,49,0.0,0,0,0,0,6
Andre Branch,MIA,DE,16,774,27.0,22,49,5.5,2,0,0,0,1
Chandler Jones,ARI,LB,16,938,38.0,11,49,11.0,4,2,0,0,3
Alan Branch,NE,DT,16,625,26.0,23,49,1.5,1,0,0,0,3
Dominique Rodgers-Cromartie,NYG,CB,15,733,41.0,8,49,1.0,1,0,6,0,21
Carlos Dunlap,CIN,DE,16,838,30.0,19,49,8.0,3,0,0,0,15
Everson Griffen,MIN,DE,16,888,36.0,12,48,8.0,2,3,0,1,1
Jerry Hughes,BUF,DE,16,860,31.0,17,48,6.0,1,0,0,0,3
