,,,,Fantasy,Defensive Stats,,,,,,,
Name,Team,Pos,G,Pts,SOLO,AST,TOT TCKL,SACK,FUM Forced,FUM Rec,INT,TD
Bobby Wagner,SEA,LB,16,180.0,85.0,82,167,4.5,0,1,1,0
Zach Brown,BUF,LB,16,163.0,97.0,52,149,4.0,2,0,1,0
Christian Kirksey,CLE,LB,16,153.0,96.0,52,148,2.5,0,0,0,0
Sean Lee,DAL,LB,15,147.0,93.0,52,145,0.0,0,1,0,0
Kwon Alexander,TB,LB,16,163.0,108.0,37,145,3.0,1,1,1,1
Preston Brown,BUF,LB,16,147.0,79.0,60,139,1.0,1,2,0,0
Alec Ogletree,LAR,LB,16,144.0,98.0,38,136,0.0,1,1,2,0
Paul Posluszny,JAX,LB,16,138.0,97.0,36,133,1.5,0,0,1,0
Zach Orr,BAL,LB,15,145.0,92.0,41,133,0.0,1,2,3,0
Tahir Whitehead,DET,LB,15,132.0,99.0,33,132,0.0,0,0,0,0
Benardrick McKinney,HOU,LB,16,141.0,79.0,50,129,5.0,1,0,0,0
Johnathan Cyprien,JAX,S,16,133.0,96.0,31,127,1.0,1,1,0,0
K.J. Wright,SEA,LB,16,138.0,72.0,54,126,4.0,1,1,0,0
Landon Collins,NYG,S,16,151.0,100.0,25,125,4.0,0,1,5,1
Mason Foster,WAS,LB,16,128.0,89.0,35,124,1.0,1,0,0,0
Telvin Smith,JAX,LB,16,127.0,99.0,20,119,1.0,0,1,2,0
Mark Barron,LAR,LB,16,126.0,91.0,27,118,1.0,0,1,2,0
Kiko Alonso,MIA,LB,15,135.0,69.0,46,115,0.0,1,4,2,1
Craig Robertson,NO,LB,15,123.0,71.0,44,115,1.0,0,2,1,0
Lawrence Timmons,PIT,LB,16,125.0,78.0,36,114,2.5,1,0,2,0
Karlos Dansby,CIN,LB,16,118.0,69.0,45,114,1.0,0,1,0,0
Jamie Collins,CLE/NE,LB,15,126.0,79.0,33,112,3.0,2,0,2,0
Antoine Bethea,SF,S,16,116.0,95.0,15,110,0.0,1,1,1,0
Jerrell Freeman,CHI,LB,12,110.0,86.0,24,110,0.0,0,0,0,0
Eric Kendricks,MIN,LB,15,126.0,70.0,39,109,2.5,1,1,1,1
Deion Jones,ATL,LB,15,128.0,75.0,33,108,0.0,1,0,3,2
Keanu Neal,ATL,S,14,118.0,72.0,34,106,0.0,5,1,0,0
Will Compton,WAS,LB,15,114.0,61.0,45,106,0.0,1,2,1,0
Thomas Davis,CAR,LB,16,129.0,73.0,33,106,2.5,1,2,3,1
Avery Williamson,TEN,LB,16,112.0,73.0,31,104,2.0,1,0,1,0
Malcolm Smith,OAK,LB,15,111.0,86.0,17,103,0.0,2,1,1,0
Luke Kuechly,CAR,LB,10,110.0,71.0,31,102,2.0,1,0,1,0
Nigel Bradham,PHI,LB,16,114.0,69.0,33,102,2.0,2,1,1,0
Vontaze Burfict,CIN,LB,11,111.0,73.0,28,101,2.0,1,0,2,0
Demario Davis,CLE,LB,16,105.0,59.0,40,99,2.0,1,0,0,0
Todd Davis,DEN,LB,16,102.0,64.0,33,97,0.5,1,1,0,0
Tony Jefferson,ARI,S,15,108.0,78.0,18,96,2.0,2,2,0,0
Jonathan Casillas,NYG,LB,16,101.0,62.0,34,96,1.5,1,0,0,0
David Harris,NYJ,LB,15,96.0,63.0,32,95,0.5,0,0,0,0
Kurt Coleman,CAR,S,15,113.0,66.0,29,95,1.0,1,0,4,1
Morgan Burnett,GB,S,15,105.0,70.0,23,93,3.0,0,1,2,0
Logan Ryan,NE,S,16,100.0,74.0,18,92,1.0,1,0,2,0
C.J. Mosley,BAL,LB,14,102.0,56.0,36,92,0.0,1,0,4,0
Bradley McDougald,TB,S,16,97.0,79.0,12,91,0.0,0,1,2,0
Deone Bucannon,ARI,LB,13,93.0,66.0,25,91,0.0,0,1,0,0
Harrison Smith,MIN,S,14,97.0,69.0,22,91,2.0,0,1,0,0
Patrick Chung,NE,S,16,95.0,52.0,39,91,1.0,0,0,1,0
Derrick Johnson,KC,LB,13,100.0,70.0,20,90,1.0,0,0,1,1
Ricardo Allen,ATL,S,16,94.0,61.0,29,90,0.0,0,0,2,0
Tavon Wilson,DET,S,15,97.0,74.0,15,89,1.0,0,1,2,0
Eric Weddle,BAL,S,16,101.0,48.0,41,89,1.0,1,0,4,0
Byron Jones,DAL,CB,16,92.0,73.0,15,88,0.0,1,0,1,0
Daryl Worley,CAR,CB,16,92.0,63.0,25,88,1.0,0,0,1,0
Vonn Bell,NO,S,16,95.0,61.0,26,87,1.0,2,1,0,0
Corey Graham,BUF,S,16,93.0,62.0,25,87,1.0,0,1,1,0
T.J. Ward,DEN,S,14,101.0,69.0,18,87,1.0,3,2,1,0
Lavonte David,TB,LB,16,117.0,67.0,20,87,5.0,4,2,1,1
Ryan Shazier,PIT,LB,13,108.0,55.0,32,87,3.5,3,1,3,0
Damon Harrison,NYG,DT,16,93.0,55.0,31,86,2.5,1,0,0,0
Kam Chancellor,SEA,S,12,92.0,51.0,35,86,0.0,1,0,2,0
Vincent Rey,CIN,LB,16,90.0,51.0,35,86,0.0,0,1,1,0
