,,,,Receiving,,,Air Yards (AY) / Depth of Target ,,,,,,Team %,,After Catch,,,PASS Int(PI),
Name,Team,Pos,G,TAR,REC,YDS,AY,aDOT,AY/Snap,Cmp AY,Catch %,Drop %,AY,TAR,YDS,AVG,%,Drawn,On
Julio Jones,ATL,WR,16,170,113,1677,2333,13.7,2.9,1215,66.5,4.1,46.6,28.2,468,4.1,27.9,3,0
DeAndre Hopkins,HOU,WR,16,163,115,1572,1868,11.5,1.7,1184,70.6,1.2,44.4,33.1,396,3.4,25.2,3,1
Mike Evans,TB,WR,16,138,86,1524,2187,15.7,2.3,1222,61.9,5.0,33.9,22.6,302,3.5,19.8,4,2
Tyreek Hill,KC,WR,16,137,87,1479,2027,14.8,2.2,935,63.5,6.6,40.6,24.3,544,6.3,36.8,0,0
JuJu Smith-Schuster,PIT,WR,16,166,111,1426,1445,8.7,1.5,750,66.9,3.0,28.7,24.6,643,5.8,45.1,3,0
Michael Thomas,NO,WR,16,147,125,1405,1135,7.7,1.2,906,85.0,2.0,31.3,28.8,499,4.0,35.5,9,2
Davante Adams,GB,WR,15,169,111,1386,1828,10.9,1.9,897,66.1,3.0,34.6,27.4,489,4.4,35.3,2,2
George Kittle,SF,TE,16,136,88,1377,982,7.3,1.1,506,65.7,3.0,25.7,26.2,871,9.9,63.3,3,3
Adam Thielen,MIN,WR,16,153,113,1373,1418,9.2,1.4,943,73.4,1.3,33.5,25.9,430,3.8,31.3,1,1
Travis Kelce,KC,TE,16,150,103,1336,1308,8.8,1.3,757,69.1,4.0,26.2,26.5,590,5.7,44.2,2,1
Antonio Brown,PIT,WR,15,168,104,1297,1848,10.9,1.8,792,61.5,1.2,36.7,25.0,520,5.0,40.1,2,1
T.Y. Hilton,IND,WR,14,120,76,1270,1341,11.2,1.8,815,63.3,3.3,27.6,18.9,455,6.0,35.8,6,4
Robert Woods,LAR,WR,16,130,86,1219,1489,11.4,1.4,783,65.6,2.3,31.9,24.1,436,5.1,35.8,4,0
Brandin Cooks,LAR,WR,16,117,80,1204,1502,12.7,1.5,853,67.8,0.8,32.1,21.7,352,4.4,29.2,3,1
Keenan Allen,LAC,WR,16,136,97,1196,1164,8.6,1.5,785,71.3,3.7,29.3,27.0,411,4.2,34.4,2,1
Zach Ertz,PHI,TE,16,156,116,1163,1118,7.2,1.1,785,74.4,3.8,25.6,26.4,373,3.2,32.1,2,0
Kenny Golladay,DET,WR,15,119,70,1063,1392,11.9,1.5,699,59.8,4.3,37.5,21.0,363,5.2,34.1,6,1
Odell Beckham,NYG,WR,12,124,77,1052,1364,11.1,1.9,721,62.6,2.4,32.9,21.5,341,4.4,32.4,6,1
Tyler Boyd,CIN,WR,14,108,76,1028,1017,9.6,1.3,610,71.7,5.7,23.8,20.2,418,5.5,40.7,0,0
Stefon Diggs,MIN,WR,15,149,102,1021,1318,8.8,1.5,591,68.5,2.7,31.1,25.1,430,4.2,42.1,2,0
Jarvis Landry,CLE,WR,16,149,81,976,1610,10.9,1.7,688,54.7,4.1,31.2,26.4,290,3.6,29.7,1,1
Tyler Lockett,SEA,WR,16,70,57,965,930,13.3,1.0,749,81.4,0.0,26.1,17.5,216,3.8,22.4,6,0
Jared Cook,OAK,TE,16,101,68,896,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0
Corey Davis,TEN,WR,16,112,65,891,1130,10.2,1.3,608,58.6,5.4,36.7,26.2,283,4.4,31.8,6,0
Sterling Shepard,NYG,WR,16,107,66,872,1085,10.1,1.2,552,61.7,6.5,26.2,18.7,320,4.8,36.7,1,0
Emmanuel Sanders,DEN,WR,12,98,71,868,905,9.2,1.4,567,72.4,5.1,21.4,17.4,309,4.4,35.6,0,1
Christian McCaffrey,CAR,RB,16,124,107,867,82,0.7,0.1,-5,86.3,0.0,2.1,22.8,872,8.1,100.6,0,1
Julian Edelman,NE,WR,12,108,74,850,831,7.8,1.1,491,69.2,7.5,19.7,19.3,359,4.9,42.2,0,2
