,,,,Receiving,,,,Red Zone Targets,,,
Name,Team,Pos,G,REC,YDS,TD,TAR,In20,In10,In5,%Tm
Julio Jones,ATL,WR,16,113,1677,8,170,17,7,5,22.97
DeAndre Hopkins,HOU,WR,16,115,1572,11,163,25,15,9,33.33
Mike Evans,TB,WR,16,86,1524,8,138,14,6,2,16.67
Tyreek Hill,KC,WR,16,87,1479,12,137,16,7,4,16.49
JuJu Smith-Schuster,PIT,WR,16,111,1426,7,166,29,11,8,31.52
Michael Thomas,NO,WR,16,125,1405,9,147,29,14,8,30.53
Davante Adams,GB,WR,15,111,1386,13,169,31,8,2,45.59
George Kittle,SF,TE,16,88,1377,5,136,18,7,4,25.00
Adam Thielen,MIN,WR,16,113,1373,9,153,21,9,6,29.58
Travis Kelce,KC,TE,16,103,1336,10,150,26,12,6,26.80
Antonio Brown,PIT,WR,15,104,1297,15,168,24,8,4,26.09
T.Y. Hilton,IND,WR,14,76,1270,6,120,17,10,8,17.17
Robert Woods,LAR,WR,16,86,1219,6,130,12,8,3,12.90
Brandin Cooks,LAR,WR,16,80,1204,5,117,17,8,3,18.28
Keenan Allen,LAC,WR,16,97,1196,6,136,15,7,4,21.13
Zach Ertz,PHI,TE,16,116,1163,8,156,27,10,4,32.14
Kenny Golladay,DET,WR,15,70,1063,5,119,14,5,3,20.90
Odell Beckham,NYG,WR,12,77,1052,6,124,19,7,4,23.46
Tyler Boyd,CIN,WR,14,76,1028,7,108,10,3,1,15.63
Stefon Diggs,MIN,WR,15,102,1021,9,149,18,8,5,25.35
Jarvis Landry,CLE,WR,16,81,976,4,149,19,7,3,32.76
Tyler Lockett,SEA,WR,16,57,965,10,70,6,3,0,10.71
Jared Cook,OAK,TE,16,68,896,6,101,15,11,3,26.79
Corey Davis,TEN,WR,16,65,891,4,112,15,9,5,26.79
Sterling Shepard,NYG,WR,16,66,872,4,107,19,8,6,23.46
Emmanuel Sanders,DEN,WR,12,71,868,4,98,10,5,3,15.15
Christian McCaffrey,CAR,RB,16,107,867,6,124,16,6,1,23.53
Julian Edelman,NE,WR,12,74,850,6,108,20,11,6,23.81
Alshon Jeffery,PHI,WR,13,65,843,6,92,14,7,4,16.67
Chris Godwin,TB,WR,16,59,842,7,95,15,10,3,17.86
Mohamed Sanu,ATL,WR,16,66,838,4,94,6,3,3,8.11
Calvin Ridley,ATL,WR,16,64,821,10,92,9,4,2,12.16
Adam Humphries,TB,WR,16,76,816,5,105,14,6,4,16.67
D.J. Moore,CAR,WR,16,55,788,2,82,8,3,1,11.76
DeSean Jackson,TB,WR,12,41,774,4,74,5,1,0,5.95
Allen Robinson,CHI,WR,13,55,754,4,94,11,5,2,15.28
Robby Anderson,NYJ,WR,14,50,752,6,94,9,5,4,16.98
James White,NE,RB,16,87,751,7,123,23,10,2,27.38
Eric Ebron,IND,TE,16,66,750,13,110,21,6,3,21.21
Jordy Nelson,OAK,WR,15,63,739,3,88,7,4,1,12.50
Nelson Agholor,PHI,WR,16,64,736,4,97,12,6,2,14.29
Larry Fitzgerald,ARI,WR,16,69,734,6,112,14,6,5,31.11
Tarik Cohen,CHI,RB,16,71,725,5,91,14,7,1,19.44
Amari Cooper,DAL,WR,9,53,725,6,76,9,5,3,12.86
Saquon Barkley,NYG,RB,16,91,721,4,121,15,5,1,18.52
Josh Gordon,NE,WR,11,40,720,3,69,7,4,2,8.33
Dede Westbrook,JAX,WR,16,66,717,5,101,13,7,0,26.53
John Brown,BAL,WR,16,42,715,5,97,14,6,1,21.21
Alvin Kamara,NO,RB,15,81,709,4,105,26,8,3,27.37
Courtland Sutton,DEN,WR,16,42,704,4,84,8,4,3,12.12
A.J. Green,CIN,WR,9,46,694,6,77,14,6,5,21.88
Taylor Gabriel,CHI,WR,16,67,688,2,93,8,5,3,11.11
Rob Gronkowski,NE,TE,13,47,682,3,72,8,2,0,9.52
Cole Beasley,DAL,WR,16,65,672,3,87,10,5,2,14.29
