,,,,Fantasy,Passing,,,,,Rushing,,,Receiving,,,,Fumbles,
Name,Team,Pos,G,Pts,COMP,ATT,YDS,TD,INT,ATT,YDS,TD,REC,TAR,YDS,TD,TOT,LOST
David Njoku,CLE,TE,16,87.9,0,0,0,0,0,0,0,0,56,88,639,4,0,0
Jimmy Graham,GB,TE,16,75.6,0,0,0,0,0,0,0,0,55,89,636,2,0,0
Kyle Rudolph,MIN,TE,16,87.4,0,0,0,0,0,0,0,0,64,82,634,4,0,0
Doug Baldwin,SEA,WR,13,91.8,0,0,0,0,0,0,0,0,50,73,618,5,0,0
Vance McDonald,PIT,TE,15,85.0,0,0,0,0,0,0,0,0,50,72,610,4,2,1
Michael Crabtree,BAL,WR,16,78.7,0,0,0,0,0,0,0,0,54,100,607,3,0,0
Jalen Richard,OAK,RB,16,92.6,0,0,0,0,0,55,259,1,68,81,607,0,3,2
Christian Kirk,ARI,WR,12,80.5,0,0,0,0,0,3,35,0,43,68,590,3,0,0
Antonio Callaway,CLE,WR,16,89.3,0,0,0,0,0,2,7,0,43,79,586,5,1,1
Marquez Valdes-Scantling,GB,WR,16,73.0,0,0,0,0,0,2,29,0,38,73,581,2,0,0
Todd Gurley,LAR,RB,14,309.1,0,0,0,0,0,256,1251,17,59,81,580,4,1,1
Evan Engram,NYG,TE,11,79.3,0,0,0,0,0,3,36,0,45,64,577,3,0,0
Danny Amendola,MIA,WR,15,68.7,1,1,28,1,0,1,-2,0,59,79,575,1,2,0
Rashard Higgins,CLE,WR,13,81.2,0,0,0,0,0,0,0,0,39,53,572,4,2,1
Trey Burton,CHI,TE,16,93.1,0,0,0,0,0,1,2,0,54,76,569,6,1,1
Ezekiel Elliott,DAL,RB,15,254.1,0,0,0,0,0,304,1434,6,77,95,567,3,6,1
Cooper Kupp,LAR,WR,8,95.1,0,0,0,0,0,4,25,0,40,55,566,6,0,0
O.J. Howard,TB,TE,10,86.5,0,0,0,0,0,0,0,0,34,48,565,5,0,0
Jordan Reed,WAS,TE,13,67.8,0,0,0,0,0,0,0,0,54,84,558,2,1,1
Kenny Stills,MIA,WR,15,95.5,1,1,3,1,0,0,0,0,37,64,553,6,1,0
Mark Andrews,BAL,TE,16,73.2,0,0,0,0,0,0,0,0,34,50,552,3,0,0
Devin Funchess,CAR,WR,14,78.9,0,0,0,0,0,0,0,0,44,79,549,4,0,0
Robert Foster,BUF,WR,13,72.1,0,0,0,0,0,0,0,0,27,44,541,3,0,0
Josh Doctson,WAS,WR,15,65.2,0,0,0,0,0,0,0,0,44,78,532,2,0,0
