,,,,Passing,,,,,Distance,,Big Passing Games,,,,,,Receivers,,
Name,Team,Pos,G,QBR,COMP,ATT,TD,INT,20+,40+,300+,350+,400+,Bad Pass %,Avg Target Depth,Sack %,Drops,Drop %,Avg YAC
Dak Prescott,DAL,QB,1,93.6,37,57,3,2,9,4,1,1,1,19.3,8.0,3.4,4,7.0,5.4
Patrick Mahomes,KC,QB,1,133.5,31,42,4,0,5,1,1,1,0,14.3,8.0,0.0,1,2.4,5.8
Nick Mullens,SF,QB,1,108.9,25,36,1,0,4,0,1,0,0,19.4,7.8,5.3,2,5.6,5.7
Justin Herbert,LAC,QB,1,88.0,35,49,1,1,3,0,1,0,0,20.4,7.1,3.9,2,4.1,5.4
Jared Goff,LAR,QB,1,111.6,23,32,2,1,6,0,1,0,0,18.8,5.4,5.9,0,0.0,7.0
Ryan Tannehill,TEN,QB,1,78.8,23,37,0,1,5,2,1,0,0,21.6,9.5,2.6,-1,-2.7,3.7
Russell Wilson,SEA,QB,1,132.8,27,40,5,0,4,2,1,0,0,5.0,9.8,9.1,4,10.0,2.9
Joe Burrow,CIN,QB,1,105.5,31,44,2,0,2,1,1,0,0,18.2,9.2,15.4,0,0.0,4.1
Josh Allen,BUF,QB,1,129.7,24,33,4,1,6,0,1,0,0,21.2,10.2,10.8,1,3.0,5.4
Tom Brady,TB,QB,1,115.8,25,38,3,0,4,1,0,0,0,18.4,8.1,5.0,3,7.9,4.7
Drew Brees,NO,QB,1,130.3,29,36,3,0,2,1,0,0,0,5.6,4.6,5.3,2,5.6,5.6
Aaron Rodgers,GB,QB,1,124.9,21,32,3,0,3,2,0,0,0,25.0,9.8,3.0,-1,-3.1,7.3
Gardner Minshew,JAX,QB,1,79.0,30,42,0,1,1,0,0,0,0,19.0,7.7,8.7,1,2.4,5.5
Kyler Murray,ARI,QB,1,72.3,23,35,2,3,3,0,0,0,0,11.4,9.3,2.8,1,2.9,5.3
Matthew Stafford,DET,QB,1,119.0,22,31,2,0,4,0,0,0,0,16.1,10.9,11.4,0,0.0,7.1
Deshaun Watson,HOU,QB,1,110.7,19,27,2,1,6,0,0,0,0,25.9,9.5,15.6,0,0.0,4.7
Derek Carr,LV,QB,1,119.4,24,32,2,0,4,0,0,0,0,15.6,8.7,5.9,-1,-3.1,5.0
Kirk Cousins,MIN,QB,1,96.4,16,27,3,2,3,1,0,0,0,22.2,8.0,6.9,0,0.0,7.6
Matt Ryan,ATL,QB,1,67.7,19,38,1,1,3,1,0,0,0,36.8,11.7,5.0,3,7.9,3.0
Ben Roethlisberger,PIT,QB,1,101.3,23,36,2,0,2,0,0,0,0,25.0,10.8,5.3,3,8.3,6.3
Teddy Bridgewater,CAR,QB,1,114.4,22,28,1,0,3,0,0,0,0,7.1,4.6,6.7,1,3.6,6.5
Carson Wentz,PHI,QB,1,62.8,29,47,1,2,2,0,0,0,0,23.4,7.1,6.0,1,2.1,3.8
Dwayne Haskins,WAS,QB,1,58.8,21,37,2,3,3,0,0,0,0,29.7,7.2,7.5,1,2.7,6.7
Philip Rivers,IND,QB,1,128.5,17,21,1,0,3,1,0,0,0,9.5,7.2,0.0,1,4.8,6.2
Nick Foles,CHI,QB,1,95.2,16,29,3,1,5,0,0,0,0,0.0,0.0,0.0,0,0.0,0.0
Daniel Jones,NYG,QB,1,56.6,17,32,0,1,3,0,0,0,0,40.6,8.9,5.9,0,0.0,2.6
Jeff Driskel,DEN,QB,1,71.0,17,30,1,1,2,0,0,0,0,30.0,7.8,14.3,3,10.0,4.4
Sam Darnold,NYJ,QB,1,43.5,17,29,1,3,2,0,0,0,0,20.7,6.2,6.5,1,3.4,7.1
Cam Newton,NE,QB,1,73.8,17,28,1,1,2,0,0,0,0,28.6,4.4,6.7,2,7.1,7.8
Ryan Fitzpatrick,MIA,QB,1,143.8,18,20,2,0,1,0,0,0,0,5.0,8.4,4.8,1,5.0,2.4
Baker Mayfield,CLE,QB,1,117.3,16,23,2,0,0,0,0,0,0,17.4,8.0,8.0,2,8.7,4.2
Mitchell Trubisky,CHI,QB,1,71.8,13,22,1,1,0,0,0,0,0,36.4,11.5,8.3,1,4.5,4.4
Lamar Jackson,BAL,QB,1,73.1,15,28,1,0,0,0,0,0,0,21.4,8.9,12.5,5,17.9,2.0
Brett Rypien,DEN,QB,1,54.4,8,9,0,1,1,0,0,0,0,0.0,0.0,100.0,0,0.0,0.0
Jacoby Brissett,IND,QB,1,61.5,2,4,0,0,0,0,0,0,0,25.0,0.0,0.0,1,25.0,0.0
