,,,,Passing,,,,,,Red Zone Passes,,
Name,Team,Pos,G,QBR,COMP,ATT,YDS,TD,INT,In20,In10,In5
Dak Prescott,DAL,QB,1,93.6,37,57,472,3,2,0,0,0
Patrick Mahomes,KC,QB,1,133.5,31,42,385,4,0,6,4,3
Nick Mullens,SF,QB,1,108.9,25,36,343,1,0,8,3,2
Justin Herbert,LAC,QB,1,88.0,35,49,330,1,1,6,1,0
Jared Goff,LAR,QB,1,111.6,23,32,321,2,1,3,0,0
Ryan Tannehill,TEN,QB,1,78.8,23,37,321,0,1,3,0,0
Russell Wilson,SEA,QB,1,132.8,27,40,315,5,0,5,3,3
Joe Burrow,CIN,QB,1,105.5,31,44,312,2,0,8,3,2
Josh Allen,BUF,QB,1,129.7,24,33,311,4,1,10,6,6
Tom Brady,TB,QB,1,115.8,25,38,297,3,0,8,6,3
Drew Brees,NO,QB,1,130.3,29,36,288,3,0,6,2,0
Aaron Rodgers,GB,QB,1,124.9,21,32,283,3,0,7,4,4
Gardner Minshew,JAX,QB,1,79.0,30,42,275,0,1,4,2,0
Kyler Murray,ARI,QB,1,72.3,23,35,270,2,3,5,2,1
Matthew Stafford,DET,QB,1,119.0,22,31,270,2,0,6,5,1
Deshaun Watson,HOU,QB,1,110.7,19,27,264,2,1,3,0,0
Derek Carr,LV,QB,1,119.4,24,32,261,2,0,6,3,1
Kirk Cousins,MIN,QB,1,96.4,16,27,251,3,2,2,1,1
Matt Ryan,ATL,QB,1,67.7,19,38,238,1,1,5,2,2
Ben Roethlisberger,PIT,QB,1,101.3,23,36,237,2,0,5,2,1
Teddy Bridgewater,CAR,QB,1,114.4,22,28,235,1,0,7,3,0
Carson Wentz,PHI,QB,1,62.8,29,47,225,1,2,4,1,0
Dwayne Haskins,WAS,QB,1,58.8,21,37,224,2,3,6,1,0
Philip Rivers,IND,QB,1,128.5,17,21,217,1,0,2,2,1
Nick Foles,CHI,QB,1,95.2,16,29,188,3,1,7,6,3
Daniel Jones,NYG,QB,1,56.6,17,32,179,0,1,0,0,0
Jeff Driskel,DEN,QB,1,71.0,17,30,176,1,1,2,1,0
Sam Darnold,NYJ,QB,1,43.5,17,29,168,1,3,2,1,0
Cam Newton,NE,QB,1,73.8,17,28,162,1,1,9,2,2
Ryan Fitzpatrick,MIA,QB,1,143.8,18,20,160,2,0,2,1,1
Baker Mayfield,CLE,QB,1,117.3,16,23,156,2,0,2,2,1
Mitchell Trubisky,CHI,QB,1,71.8,13,22,128,1,1,2,1,1
Lamar Jackson,BAL,QB,1,73.1,15,28,97,1,0,5,3,1
Brett Rypien,DEN,QB,1,54.4,8,9,53,0,1,2,0,0
Jacoby Brissett,IND,QB,1,61.5,2,4,17,0,0,0,0,0
