,,Evaluation,,Measurements,,,,Time Drills,,,,,,Jumps,,,,,
Name,Team,Date,Title,Height,Weight,Arm,Hand,40 Yard,%,Shuttle,%,Cone,%,Vertical,%,Broad,%,Bench,%
Armon Binns,FA,2011,Combine,6-3,211,32.50,9.50,4.50,50.3,4.31,32.7,6.86,67.8,31.5,7.7,118.0,28.7,13.0,34.7
Justin Blackmon,FA,2012,Combine,6-1,210,,,4.46,64.5,4.38,18.0,7.13,16.9,35.0,42.4,123.0,60.5,,-
Victor Bolden,FA,2017,Pro Day,5-8,178,30.75,9.25,4.51,45.9,,-,6.72,84.5,32.0,10.7,117.0,22.4,9.0,9.5
Anquan Boldin,FA,,Combine,6-1,220,,,4.72,2.4,4.33,26.8,7.35,1.9,33.5,23.1,114.0,11.0,,-
Alan Bonner,FA,2013,Combine,5-10,191,30.25,9.38,4.59,18.1,4.15,70.9,,-,33.0,18.4,117.0,22.4,14.0,44.2
Kendrick Bourne,SF,2017,Combine,6-1,190,32.50,9.13,4.68,4.3,4.21,54.8,6.73,83.6,34.0,31.3,125.0,75.2,9.0,9.5
Lynn Bowden,MIA,2020,Combine,5-11,204,30.88,9.75,,-,,-,,-,,-,0.0,0.0,13.0,34.7
Dwayne Bowe,FA,2007,Combine,6-2,222,33.68,9.88,4.51,45.9,4.35,22.0,6.81,74.5,33.0,18.4,125.0,75.2,,-
Josh Boyce,FA,2013,Combine,5-11,205,31.25,9.25,4.38,90.3,4.10,84.3,6.68,88.9,34.0,31.3,131.0,92.6,22.0,94.5
Chris Boyd,FA,2014,Combine,6-4,210,32.63,9.63,4.73,2.0,,-,,-,,-,,-,12.0,27.4
Tyler Boyd,CIN,2016,Combine,6-2,203,32.00,9.75,4.58,20.0,4.35,22.0,6.90,59.7,34.0,31.3,119.0,32.9,11.0,18.3
Jarrett Boykin,FA,2012,Combine,6-2,218,32.25,10.25,4.72,2.4,4.28,38.2,7.12,18.3,36.0,52.8,123.0,60.5,11.0,18.3
Miles Boykin,BAL,2019,Combine,6-4,220,33.50,9.88,4.42,78.8,4.07,88.2,6.77,79.9,43.5,99.1,140.0,99.8,12.0,27.4
Tyre Brady,FA,2019,Combine,6-3,211,33.63,9.75,,-,4.25,46.6,,-,32.0,10.7,117.0,22.4,12.0,27.4
Daniel Braverman,FA,2016,Pro Day,5-10,185,,,4.47,61.9,4.20,58.2,6.86,67.8,28.5,1.4,112.0,6.1,10.0,12.8
LaVon Brazill,FA,2012,Combine,5-11,205,32.00,9.75,4.48,58.5,,-,,-,32.0,10.7,,-,11.0,18.3
Dezmon Briscoe,FA,2010,Combine,6-2,210,33.50,9.50,4.66,6.5,4.57,2.3,7.10,21.8,33.0,18.4,115.0,13.8,9.0,9.5
Kenny Britt,FA,2009,Combine,6-3,230,34.00,9.00,4.47,61.9,4.47,8.2,,-,37.0,68.3,124.0,68.2,23.0,96.5
Noah Brown,DAL,2017,Pro Day,6-2,225,31.75,9.13,4.57,23.4,,-,,-,,-,,-,,-
Da'Ron Brown,FA,2015,Combine,6-0,199,32.00,10.25,4.54,33.8,4.11,82.0,7.04,34.7,37.0,68.3,120.0,38.6,17.0,71.5
Marquise Brown,BAL,2019,Combine,5-9,180,30.50,9.00,,-,,-,,-,,-,,-,,-
Marlon Brown,FA,2013,Combine,6-5,214,32.75,8.38,,-,,-,,-,,-,,-,,-
John Brown,BUF,,Combine,5-11,178,30.50,8.50,4.34,94.2,4.12,79.8,6.91,57.9,36.5,62.1,119.0,32.9,,-
A.J. Brown,TEN,2019,Combine,6-0,226,32.88,9.75,4.49,55.5,,-,,-,36.5,62.1,120.0,38.6,,-
Vincent Brown,FA,2011,Combine,5-11,190,33.00,10.25,4.68,4.3,4.25,46.6,6.64,94.0,33.5,23.1,121.0,48.5,12.0,27.4
Antonio Brown,FA,2010,Combine,5-10,185,31.00,9.00,4.56,27.0,4.18,65.2,6.98,45.1,33.5,23.1,105.0,2.4,13.0,34.7
Tony Brown,FA,2020,Combine,6-1,192,31.50,9.25,4.65,7.7,4.27,41.6,7.21,8.6,33.5,23.1,119.0,32.9,14.0,44.2
Chris Brown,FA,2010,Combine,6-1,191,29.00,9.13,4.55,30.5,,-,,-,36.0,52.8,115.0,13.8,17.0,71.5
Ryan Broyles,FA,2012,Combine,5-10,195,32.25,9.00,,-,,-,,-,,-,,-,21.0,92.1
Martavis Bryant,FA,2015,Combine,6-4,211,32.63,9.50,4.42,78.8,4.15,70.9,7.18,13.0,39.0,86.0,124.0,68.2,16.0,63.4
