,,Evaluation,,Measurements,,,,Time Drills,,,,,,Jumps,,,,,
Name,Team,Date,Title,Height,Weight,Arm,Hand,40 Yard,%,Shuttle,%,Cone,%,Vertical,%,Broad,%,Bench,%
Rex Burkhead,NE,2013,Combine,5-10,215,30.88,9.75,4.73,6.1,4.09,90.1,6.85,81.1,39.0,90.7,125.0,82.7,21.0,61.8
Reggie Bush,FA,2006,Pro Day,6-0,205,,,4.37,95.6,,-,,-,40.5,96.0,128.0,92.0,24.0,81.2
Raymond Calais,LAR,2020,Combine,5-8,188,30.00,9.25,4.42,88.3,,-,,-,37.5,81.1,120.0,51.8,20.0,52.6
Ka'Deem Carey,FA,2014,Combine,5-10,215,31.75,9.50,4.70,9.1,4.38,20.2,7.08,38.2,32.5,22.0,115.0,19.8,19.0,45.1
Tra Carson,FA,2016,Combine,5-11,228,31.50,9.25,,-,,-,,-,,-,,-,19.0,45.1
Delone Carter,FA,2011,Combine,5-9,225,31.00,9.50,4.54,50.6,4.07,92.8,,-,37.0,77.3,120.0,51.8,27.0,93.2
Jamaal Charles,FA,2008,Combine,5-11,199,,,4.38,94.7,4.22,55.6,6.80,88.2,30.5,10.6,122.0,70.3,,-
Tashard Choice,FA,2008,Combine,5-10,210,,,4.48,71.1,,-,,-,34.0,38.8,119.0,46.0,20.0,52.6
Nick Chubb,CLE,2018,Combine,5-11,227,32.00,9.63,4.53,55.0,4.25,50.7,7.09,34.9,38.5,88.2,128.0,92.0,29.0,96.2
Corey Clement,PHI,2017,Combine,5-10,220,30.50,9.75,4.68,11.1,,-,,-,28.5,1.2,115.0,19.8,19.0,45.1
David Cobb,FA,2015,Combine,5-11,229,31.67,9.38,4.81,2.0,,-,,-,38.5,88.2,121.0,60.7,17.0,28.7
Tarik Cohen,CHI,2017,Combine,5-6,191,29.75,10.13,4.42,88.3,,-,,-,31.5,14.6,118.0,35.1,11.0,3.8
Tevin Coleman,SF,2015,Combine,6-1,210,32.00,8.63,,-,,-,,-,,-,,-,22.0,69.3
Lavon Coleman,FA,2018,Combine,6-0,209,30.50,9.25,4.60,31.0,,-,,-,33.0,25.8,120.0,51.8,23.0,75.8
Alex Collins,FA,2016,Combine,5-10,210,30.25,9.25,4.59,34.2,,-,,-,28.5,1.2,113.0,13.7,18.0,36.9
James Conner,PIT,2017,Pro Day,6-1,233,31.25,9.88,,-,,-,7.41,3.8,,-,,-,,-
Dalvin Cook,MIN,2017,Combine,5-10,210,32.38,9.25,4.49,66.4,4.53,5.4,7.27,9.9,30.5,10.6,116.0,24.0,22.0,69.3
Tim Cook,FA,2017,Pro Day,6-0,242,30.50,9.50,4.63,21.1,,-,7.15,25.9,37.0,77.3,120.0,51.8,25.0,85.7
Marshaun Coprich,FA,2016,Combine,5-8,207,29.67,9.00,4.47,76.6,4.58,2.7,7.26,11.8,34.0,38.8,112.0,11.5,17.0,28.7
Tim Cornett,FA,2014,Combine,6-0,210,31.00,9.25,4.48,71.1,4.26,48.9,7.01,53.3,34.5,46.6,125.0,82.7,,-
Justin Crawford,FA,2018,Combine,6-0,200,32.00,9.13,4.64,19.6,,-,,-,33.5,33.5,122.0,70.3,11.0,3.8
Lennon Creer,FA,2012,Combine,5-11,219,,,4.71,8.2,4.40,14.8,7.26,11.8,33.0,25.8,110.0,7.7,21.0,61.8
Isaiah Crowell,FA,2014,Combine,5-11,225,31.38,9.25,4.57,40.1,,-,,-,38.0,84.5,117.0,28.4,23.0,75.8
DeeJay Dallas,SEA,2020,Combine,5-10,217,30.63,9.25,4.58,37.1,4.32,28.3,7.18,21.7,33.5,33.5,119.0,46.0,,-
B.J. Daniels,FA,2013,Pro Day,5-11,217,,,4.63,21.1,4.27,45.3,7.02,52.4,32.5,22.0,114.0,16.9,20.0,52.6
Justin Davis,FA,2017,Combine,6-1,199,,,,-,,-,,-,,-,,-,21.0,61.8
Knile Davis,FA,2013,Combine,5-11,227,29.75,8.63,4.37,95.6,4.38,20.2,6.96,61.3,33.5,33.5,121.0,60.7,31.0,98.6
Matt Dayes,FA,2017,Combine,5-9,205,30.00,10.50,,-,,-,,-,28.0,0.6,109.0,5.4,18.0,36.9
AJ Dillon,GB,2020,Combine,6-0,247,31.63,9.63,4.53,55.0,,-,7.19,19.3,41.0,97.2,131.0,97.4,23.0,75.8
Kenneth Dixon,FA,2016,Combine,5-10,228,31.38,9.50,4.58,37.1,4.28,41.3,6.97,59.0,37.5,81.1,121.0,60.7,18.0,36.9
Anthony Dixon,FA,2010,Combine,6-1,233,32.63,9.75,4.67,13.2,4.49,9.9,,-,33.0,25.8,121.0,60.7,15.0,11.9
Andre Dixon,FA,2010,Combine,6-1,210,32.25,10.13,4.56,44.4,4.19,69.1,,-,40.0,94.1,117.0,28.4,,-
J.K. Dobbins,BAL,2020,Combine,5-9,209,29.75,9.50,,-,,-,,-,,-,0.0,0.0,23.0,75.8
Rico Dowdle,DAL,2020,Combine,5-11,213,31.38,9.50,4.54,50.6,,-,,-,38.0,84.5,127.0,89.8,0.0,0.0
Kenyan Drake,ARI,2016,Combine,6-1,211,31.75,9.75,4.45,81.9,4.21,59.2,7.04,48.1,34.5,46.6,123.0,77.3,10.0,2.7
Shaun Draughn,FA,2011,Combine,5-11,205,31.00,10.00,4.73,6.1,4.20,63.2,,-,34.0,38.8,118.0,35.1,21.0,61.8
Jonathan Dwyer,FA,2010,Pro Day,5-11,229,,,4.51,60.5,4.29,36.3,7.31,8.5,,-,,-,18.0,36.9
Michael Dyer,FA,2015,Combine,5-8,218,30.63,9.50,4.58,37.1,,-,,-,34.0,38.8,120.0,51.8,26.0,90.1
Chase Edmonds,ARI,2018,Combine,5-9,210,31.13,9.13,4.50,62.9,4.07,92.8,6.79,88.7,34.0,38.8,122.0,70.3,19.0,45.1
Jahwan Edwards,FA,2015,Combine,5-9,220,31.63,8.88,4.80,2.3,4.50,8.1,7.63,0.0,35.5,59.0,117.0,28.4,16.0,21.5
Clyde Edwards-Helaire,KC,2020,Combine,5-8,209,29.00,9.63,4.60,31.0,,-,,-,39.5,92.2,123.0,77.3,15.0,11.9
Andre Ellington,FA,2013,Combine,5-9,200,31.00,9.38,4.61,29.2,,-,,-,34.0,38.8,122.0,70.3,,-
Ezekiel Elliott,DAL,2016,Combine,6-0,228,31.25,10.25,4.47,76.6,,-,,-,32.5,22.0,118.0,35.1,,-
Tyler Ervin,GB,2016,Combine,5-10,192,29.75,9.13,4.41,89.8,,-,,-,39.0,90.7,130.0,94.2,17.0,28.7
Darrynton Evans,TEN,2020,Combine,5-10,203,31.63,9.25,4.41,89.8,,-,,-,37.0,77.3,125.0,82.7,20.0,52.6
Kenneth Farrow,FA,2016,Pro Day,5-9,215,,,4.59,34.2,4.14,82.1,6.95,64.2,38.0,84.5,122.0,70.3,23.0,75.8
Josh Ferguson,FA,2016,Combine,5-10,205,30.00,9.00,4.48,71.1,,-,,-,34.5,46.6,120.0,51.8,21.0,61.8
Tim Flanders,FA,2014,Combine,5-9,210,30.25,9.25,4.75,4.7,,-,7.07,40.6,32.0,17.7,113.0,13.7,20.0,52.6
Quinton Flowers,FA,2018,Combine,5-10,211,30.88,9.75,4.63,21.1,4.57,3.6,6.81,87.3,,-,112.0,11.5,,-
David Fluellen,FA,2014,Combine,5-11,224,33.38,9.13,4.72,7.0,,-,6.90,72.2,36.5,73.6,120.0,51.8,,-
Michael Ford,FA,2013,Combine,5-10,216,30.38,9.00,4.50,62.9,4.25,50.7,6.87,77.4,38.5,88.2,130.0,94.2,25.0,85.7
D'Onta Foreman,FA,2017,Combine,6-1,236,31.38,10.13,,-,,-,,-,,-,,-,18.0,36.9
Justin Forsett,FA,2008,Combine,5-8,195,,,4.62,25.4,,-,6.96,61.3,26.5,0.0,112.0,11.5,26.0,90.1
Matt Forte,FA,2008,Combine,6-2,218,,,4.44,85.1,4.23,54.7,6.84,83.0,33.0,25.8,118.0,35.1,23.0,75.8
Arian Foster,FA,2009,Pro Day,6-1,227,,,4.69,10.5,4.53,5.4,7.09,34.9,32.0,17.7,115.0,19.8,23.0,75.8
D.J. Foster,FA,2016,Combine,6-0,205,30.50,9.25,4.57,40.1,4.07,92.8,6.75,91.0,35.5,59.0,117.0,28.4,14.0,9.6
Leonard Fournette,TB,2017,Pro Day,6-0,228,31.64,9.25,,-,,-,,-,,-,,-,,-
Jarvion Franklin,FA,2018,Combine,5-11,225,31.25,9.25,4.63,21.1,4.31,30.9,6.93,67.9,30.0,7.8,109.0,5.4,18.0,36.9
Johnathan Franklin,FA,2013,Combine,5-10,205,30.00,9.38,4.49,66.4,4.31,30.9,6.89,74.1,31.5,14.6,115.0,19.8,18.0,36.9
Royce Freeman,DEN,2018,Combine,6-0,229,32.00,9.50,4.54,50.6,4.16,77.6,6.90,72.2,34.0,38.8,118.0,35.1,17.0,28.7
Devonta Freeman,NYG,2014,Combine,5-8,206,29.38,9.63,4.58,37.1,4.26,48.9,7.11,33.5,31.5,14.6,118.0,35.1,,-
Tyler Gaffney,FA,2014,Combine,6-0,220,30.25,9.00,4.49,66.4,4.18,73.1,6.78,90.1,36.5,73.6,116.0,24.0,,-
Wayne Gallman,NYG,2017,Combine,6-0,210,32.88,9.13,4.60,31.0,4.28,41.3,7.17,23.1,29.5,4.7,120.0,51.8,21.0,61.8
Myles Gaskin,MIA,2019,Combine,5-10,200,29.50,8.75,4.58,37.1,4.27,45.3,7.19,19.3,35.5,59.0,118.0,35.1,24.0,81.2
Toby Gerhart,FA,2010,Combine,6-0,235,32.00,9.68,4.50,62.9,4.25,50.7,6.94,67.0,38.0,84.5,118.0,35.1,22.0,69.3
Antonio Gibson,WAS,2020,Combine,6-2,220,31.13,8.63,4.39,93.6,,-,,-,35.0,52.2,118.0,35.1,16.0,21.5
Mike Gillislee,FA,2013,Combine,5-11,210,31.13,9.38,4.55,48.0,4.40,14.8,7.12,32.1,30.5,10.6,119.0,46.0,15.0,11.9
Mike Goodson,FA,2009,Combine,6-0,210,,,4.46,79.5,4.22,55.6,,-,39.5,92.2,118.0,35.1,14.0,9.6
Melvin Gordon,DEN,2015,Combine,6-1,215,32.38,9.75,4.52,58.8,4.07,92.8,7.04,48.1,35.0,52.2,126.0,87.2,19.0,45.1
Frank Gore,NYJ,2005,Pro Day,5-9,212,,,4.58,37.1,4.11,87.0,6.91,69.8,34.0,38.8,109.0,5.4,,-
Jonas Gray,FA,2012,Combine,5-10,225,31.38,10.00,,-,,-,,-,,-,,-,20.0,52.6
Cyrus Gray,FA,2012,Combine,5-10,206,29.50,9.13,4.47,76.6,,-,7.17,23.1,32.0,17.7,114.0,16.9,21.0,61.8
Alex Green,FA,2011,Combine,6-0,220,32.00,9.13,4.45,81.9,4.15,79.4,,-,34.0,38.8,114.0,16.9,20.0,52.6
Aaron Green,FA,2016,Combine,5-11,206,,,4.56,44.4,4.04,96.0,6.81,87.3,32.5,22.0,120.0,51.8,18.0,36.9
BenJarvus Green-Ellis,FA,2008,Combine,5-11,220,,,4.60,31.0,,-,,-,30.5,10.6,114.0,16.9,24.0,81.2
Shonn Greene,FA,2009,Combine,5-11,233,,,4.62,25.4,4.40,14.8,7.10,34.0,37.0,77.3,121.0,60.7,19.0,45.1
Marion Grice,FA,2014,Combine,6-0,208,32.00,9.25,,-,,-,,-,,-,,-,,-
Derrius Guice,FA,2018,Combine,5-11,225,30.75,9.75,4.49,66.4,,-,,-,31.5,14.6,,-,15.0,11.9
Todd Gurley,ATL,2015,Combine,6-1,224,31.50,10.00,,-,,-,,-,,-,,-,17.0,28.7
Ryan Hall,FA,2018,Combine,6-2,234,31.50,10.50,4.58,37.1,,-,,-,33.0,25.8,122.0,70.3,15.0,11.9
Jewel Hampton,FA,2012,Combine,5-9,210,31.00,9.63,,-,,-,,-,,-,,-,26.0,90.1
Damien Harris,NE,2019,Combine,5-11,213,30.75,9.75,4.57,40.1,,-,,-,37.0,77.3,121.0,60.7,16.0,21.5
Dee Hart,FA,2015,Combine,5-7,199,29.75,9.00,4.80,2.3,4.38,20.2,7.20,17.5,33.0,25.8,113.0,13.7,,-
JaMycal Hasty,SF,2020,Combine,5-8,205,31.13,9.13,4.55,48.0,,-,,-,39.0,90.7,123.0,77.3,15.0,11.9
Braylon Heard,FA,2015,Combine,5-10,198,30.25,9.00,4.63,21.1,4.40,14.8,7.19,19.3,30.5,10.6,116.0,24.0,19.0,45.1
Roy Helu,FA,2011,Combine,5-11,215,31.38,10.25,4.40,91.2,4.01,97.8,6.67,96.2,36.5,73.6,119.0,46.0,11.0,3.8
De'Angelo Henderson,FA,2017,Combine,5-7,208,29.00,9.50,4.48,71.1,,-,,-,34.0,38.8,120.0,51.8,20.0,52.6
Darrell Henderson,LAR,2019,Combine,5-8,208,31.00,8.63,4.49,66.4,,-,,-,33.5,33.5,121.0,60.7,22.0,69.3
Derrick Henry,TEN,2016,Combine,6-3,247,33.00,8.75,4.54,50.6,4.38,20.2,7.20,17.5,37.0,77.3,130.0,94.2,22.0,69.3
Brian Herrien,FA,2020,Combine,5-11,208,29.75,9.00,4.62,25.4,4.40,14.8,7.12,32.1,38.5,88.2,126.0,87.2,18.0,36.9
Dan Herron,FA,2012,Combine,5-10,215,32.00,9.00,4.66,14.0,4.04,96.0,6.97,59.0,35.0,52.2,117.0,28.4,22.0,69.3
Kyle Hicks,FA,2018,Combine,5-10,210,32.50,9.50,4.63,21.1,,-,,-,36.5,73.6,122.0,70.3,13.0,7.5
Karan Higdon,FA,2019,Combine,5-10,202,30.75,9.63,4.49,66.4,,-,,-,34.0,38.8,123.0,77.3,21.0,61.8
Justice Hill,BAL,2019,Combine,5-10,200,31.63,9.50,4.40,91.2,,-,,-,40.0,94.1,130.0,94.2,21.0,61.8
Jeremy Hill,FA,2014,Combine,6-1,230,32.63,10.38,4.66,14.0,,-,,-,29.0,2.8,113.0,13.7,20.0,52.6
Brian Hill,ATL,2017,Combine,6-1,219,31.38,8.88,4.54,50.6,4.32,28.3,7.03,49.5,34.0,38.8,125.0,82.7,15.0,11.9
Kenny Hilliard,FA,2015,Combine,5-11,226,31.25,9.25,4.83,1.5,4.40,14.8,7.17,23.1,27.0,0.3,111.0,9.3,,-
Peyton Hillis,FA,2008,Combine,6-2,250,,,4.56,44.2,,-,,-,,-,117.0,28.4,26.0,90.1
Ronnie Hillman,FA,2012,Combine,5-10,195,30.00,8.50,4.45,81.9,,-,,-,37.0,77.3,,-,17.0,28.7
Nyheim Hines,IND,2018,Combine,5-9,196,30.75,8.88,4.38,94.7,,-,,-,35.5,59.0,119.0,46.0,,-
