,,Evaluation,,Measurements,,,,Time Drills,,,,,,Jumps,,,,,
Name,Team,Date,Title,Height,Weight,Arm,Hand,40 Yard,%,Shuttle,%,Cone,%,Vertical,%,Broad,%,Bench,%
Hassan Ridgeway,PHI,2016,Combine,6-3,305,33.00,9.38,5.02,63.6,4.82,17.9,8.28,1.1,32.0,77.0,113.0,85.4,24.0,25.0
Malcolm Roach,NO,2020,Combine,6-2,297,31.88,9.63,4.84,91.1,,-,,-,30.0,59.0,114.0,88.3,20.0,5.6
Travian Robertson,FA,,Combine,6-4,304,,,5.12,40.7,,-,,-,26.0,14.0,102.0,30.2,30.0,63.0
A'Shawn Robinson,LAR,2016,Combine,6-4,322,34.50,10.50,5.20,24.0,4.74,33.7,7.80,35.1,26.0,14.0,106.0,53.7,22.0,13.9
Jay Ross,FA,,Combine,6-3,302,,,5.10,43.0,4.64,51.6,7.83,29.3,32.0,77.0,100.0,17.6,30.0,63.0
Ahtyba Rubin,FA,,Combine,6-2,310,,,5.20,24.0,5.00,6.8,8.05,10.6,28.0,35.1,106.0,53.7,35.0,89.4
Dontavius Russell,JAX,2019,Combine,6-3,320,32.00,9.50,5.15,33.7,4.77,26.8,7.81,34.0,,-,,-,24.0,25.0
Khalen Saunders,KC,2019,Combine,6-0,324,32.25,9.13,5.01,65.9,4.62,55.3,7.57,62.8,30.5,65.3,101.0,22.9,27.0,43.1
Deadrin Senat,ATL,2018,Combine,6-1,305,31.67,9.75,5.16,29.8,4.79,21.6,7.77,38.3,26.0,14.0,100.0,17.6,35.0,89.4
Tim Settle,WAS,2018,Combine,6-3,308,33.00,9.13,5.37,5.0,4.83,16.3,7.95,17.0,23.5,2.3,96.0,4.9,,-
Josh Shaw,FA,2015,Combine,6-2,290,,,4.44,99.6,4.12,100.0,7.01,98.9,37.5,99.1,130.0,100.0,26.0,37.0
Danny Shelton,DET,2015,Combine,6-2,345,,,5.64,0.4,4.65,48.9,7.99,14.4,30.5,65.3,95.0,4.4,34.0,84.3
Nathan Shepherd,NYJ,2018,Combine,6-4,315,32.38,10.13,5.09,45.3,4.53,72.6,7.50,72.9,31.0,69.8,112.0,80.5,,-
Kawann Short,CAR,,Combine,6-3,315,,,5.08,46.9,,-,,-,,-,,-,,-
Devaunte Sigler,FA,2016,Combine,6-3,298,33.75,9.88,5.15,33.7,4.97,7.9,7.90,22.9,25.0,9.0,,-,23.0,19.4
Sealver Siliga,FA,,Combine,6-2,345,,,5.38,2.7,4.75,29.5,7.70,46.3,29.0,46.8,100.0,17.6,29.0,59.7
Pat Sims,FA,,Combine,6-2,330,,,5.06,52.7,,-,,-,27.0,24.8,,-,20.0,5.6
Chris Slayton,FA,2019,Combine,6-4,309,33.50,10.63,5.13,38.8,4.73,34.7,,-,29.0,46.8,101.0,22.9,28.0,49.5
Tanzel Smart,FA,2017,Combine,6-1,295,32.63,9.88,5.24,19.0,4.57,66.3,7.53,69.1,27.0,24.8,105.0,46.3,22.0,13.9
D'Anthony Smith,FA,2010,Pro Day,6-2,300,,,5.01,65.9,4.58,64.2,7.42,84.0,35.5,96.8,113.0,85.4,28.0,49.5
Paul Soliai,FA,,Combine,6-4,345,,,5.10,43.0,4.69,44.2,7.66,52.1,29.5,53.2,103.0,36.1,,-
Akeem Spence,FA,,Combine,6-1,303,33.50,10.00,5.15,33.7,4.72,37.4,7.82,31.4,30.0,59.0,107.0,60.0,37.0,94.4
Damion Square,LAC,2013,Combine,6-2,293,,,5.23,19.8,,-,,-,,-,,-,,-
Donta Stallworth,FA,2018,Combine,6-2,312,32.50,10.25,5.28,13.2,4.75,29.5,7.95,17.0,23.5,2.3,101.0,22.9,18.0,1.4
Shamar Stephen,MIN,,Combine,6-5,309,,,5.25,17.1,,-,,-,30.5,65.3,103.0,36.1,25.0,31.0
Devon Still,FA,2012,Combine,6-5,305,,,5.01,65.9,,-,,-,29.5,53.2,,-,26.0,37.0
Kentavius Street,SF,2018,Combine,6-2,287,32.88,10.25,4.87,89.1,,-,,-,,-,,-,28.0,49.5
Will Sutton,FA,,Combine,6-0,297,,,5.36,6.6,4.82,17.9,7.93,19.1,28.5,40.5,99.0,14.6,24.0,25.0
Alameda Ta'amu,FA,,Combine,6-3,348,32.00,9.75,5.37,5.0,,-,,-,26.0,14.0,103.0,36.1,35.0,89.4
Phil Taylor,FA,,Combine,6-3,343,,,5.09,45.3,4.77,26.8,7.75,41.0,29.5,53.2,100.0,17.6,31.0,72.7
Vincent Taylor,CLE,2017,Combine,6-3,311,34.38,10.13,5.07,50.0,4.72,37.4,7.58,61.7,28.5,40.5,108.0,64.4,26.0,37.0
Solomon Thomas,SF,2017,Combine,6-3,280,33.00,9.38,4.69,97.3,4.28,97.4,6.95,99.5,35.0,95.0,126.0,99.0,30.0,63.0
Robert Thomas,FA,,Combine,6-1,316,,,5.26,15.5,,-,,-,,-,,-,32.0,76.9
Brandon Thompson,FA,,Combine,6-2,310,,,5.20,24.0,4.71,38.9,7.97,14.9,31.0,69.8,100.0,17.6,35.0,89.4
Trenton Thompson,FA,2018,Combine,6-3,288,34.00,10.68,5.06,52.7,5.46,0.5,7.68,49.5,32.5,84.2,111.0,73.7,,-
Cedric Thornton,FA,,Combine,6-4,295,33.63,10.00,5.26,15.5,4.71,38.9,7.70,46.3,27.0,24.8,101.0,22.9,23.0,19.4
Khyri Thornton,FA,,Combine,6-3,315,,,5.03,60.1,4.76,27.9,7.83,29.3,29.0,46.8,112.0,80.5,28.0,49.5
Jerry Tillery,LAC,2019,Combine,6-6,295,34.25,10.63,4.93,81.0,4.33,96.3,7.45,78.7,32.0,77.0,115.0,89.8,23.0,19.4
Dalvin Tomlinson,NYG,2017,Combine,6-3,318,33.50,10.13,5.19,25.2,4.59,62.1,7.68,49.5,27.0,24.8,110.0,71.2,,-
Louis Trinca-Pasat,FA,,Combine,6-1,300,,,4.96,76.4,4.30,96.8,7.40,84.6,32.0,77.0,105.0,46.3,,-
Torell Troup,FA,,Combine,6-3,320,,,5.12,40.7,4.73,34.7,7.61,58.0,29.0,46.8,98.0,12.7,34.0,84.3
Stevie Tu'ikolovatu,FA,,Combine,6-1,331,,,5.45,1.6,5.00,6.8,7.83,29.3,24.5,6.3,91.0,2.4,28.0,49.5
Christian Tupou,FA,,Combine,6-2,300,,,5.38,2.7,4.87,13.2,8.07,9.0,24.0,4.1,92.0,2.9,30.0,63.0
Josh Tupou,CIN,2017,Pro Day,6-3,345,,,5.30,11.6,,-,,-,29.0,46.8,,-,,-
Vincent Valentine,FA,2016,Combine,6-3,331,33.13,9.63,5.19,25.2,4.59,62.1,8.03,11.7,29.0,46.8,110.0,71.2,17.0,0.0
Eddie Vanderdoes,HOU,2017,Combine,6-4,305,33.13,10.63,4.99,72.1,4.39,93.7,7.69,47.9,28.5,40.5,111.0,73.7,28.0,49.5
Vita Vea,TB,2018,Combine,6-4,347,32.67,10.00,5.10,43.0,,-,,-,,-,,-,41.0,97.2
Kevin Vickerson,FA,,Combine,6-5,328,,,5.00,68.2,4.64,51.6,7.78,36.2,32.5,84.2,103.0,36.1,,-
Jordan Wade,FA,2017,Pro Day,6-2,310,,,5.16,29.8,,-,,-,30.0,59.0,,-,,-
Charles Walker,FA,2017,Combine,6-2,310,33.75,9.63,4.96,76.4,4.96,8.4,7.89,26.1,28.0,35.1,107.0,60.0,25.0,31.0
Broderick Washington,BAL,2020,Combine,6-2,305,32.50,10.38,,-,,-,,-,,-,,-,23.0,19.4
Adolphus Washington,FA,2016,Combine,6-4,295,34.50,9.88,5.17,29.5,4.79,21.6,8.06,10.1,27.0,24.8,99.0,14.6,21.0,8.8
Cornelius Washington,FA,2013,Combine,6-4,280,,,4.55,99.2,,-,,-,39.0,99.5,128.0,99.5,36.0,92.6
Armon Watts,MIN,2019,Combine,6-5,295,33.38,9.63,5.23,19.8,,-,,-,,-,,-,,-
Dylan Weisman,FA,2017,Combine,6-3,210,,,5.09,45.3,,-,8.03,11.7,28.5,40.5,,-,27.0,43.1
Chris Whaley,FA,,Combine,6-3,272,,,5.02,63.6,,-,,-,,-,,-,,-
Colby Whitlock,FA,,Combine,6-2,302,,,5.27,14.0,4.75,29.5,7.73,43.1,30.5,65.3,105.0,46.3,25.0,31.0
JoJo Wicker,FA,2018,Combine,6-2,296,31.75,9.13,5.16,29.8,,-,,-,30.0,59.0,105.0,46.3,25.0,31.0
Vince Wilfork,FA,2004,Pro Day,6-2,325,,,5.08,46.9,4.50,78.9,7.62,56.9,26.5,19.4,101.0,22.9,36.0,92.6
Brandon Williams,BAL,2013,Combine,6-1,336,,,5.37,5.0,4.91,11.6,8.09,8.5,29.5,53.2,102.0,30.2,38.0,95.4
Ian Williams,FA,,Combine,6-1,305,,,5.21,21.7,4.78,23.7,,-,28.5,40.5,98.0,12.7,31.0,72.7
Jesse Williams,FA,2013,Pro Day,6-3,325,,,4.92,82.9,4.83,16.3,7.81,34.0,,-,,-,,-
Sylvester Williams,FA,,Combine,6-2,328,,,5.03,60.1,4.80,21.1,7.93,19.1,26.5,19.4,102.0,30.2,27.0,43.1
Nick Williams,DET,,Combine,6-4,308,,,4.94,79.8,4.65,48.9,7.55,65.4,33.0,86.0,111.0,73.7,28.0,49.5
Dan Williams,FA,,Combine,6-3,315,33.50,10.13,5.19,25.2,4.87,13.2,7.88,27.1,32.0,77.0,96.0,4.9,27.0,43.1
Kevin Williams,FA,,Combine,6-5,311,,,4.81,93.8,5.04,4.2,7.66,52.1,30.0,59.0,112.0,80.5,23.0,19.4
Raequan Williams,FA,2020,Combine,6-4,308,33.38,9.38,5.04,58.1,4.78,23.7,7.72,44.1,25.5,10.4,101.0,22.9,17.0,0.0
Gerald Willis,FA,2019,Combine,6-2,300,33.00,8.50,,-,,-,,-,,-,,-,,-
Eddy Wilson,FA,2018,Combine,6-3,301,33.88,9.38,5.37,5.0,,-,,-,,-,96.0,4.9,26.0,37.0
Robert Windsor,FA,2020,Combine,6-4,290,33.13,9.88,4.90,86.0,4.44,88.4,7.47,77.1,28.5,40.5,111.0,73.7,21.0,8.8
Antwaun Woods,DAL,2016,Combine,6-1,310,31.00,9.63,,-,,-,,-,,-,,-,,-
Al Woods,JAX,,Combine,6-4,330,,,5.15,33.7,4.67,46.8,7.45,78.7,37.0,98.6,109.0,68.3,,-
Doug Worthington,FA,,Combine,6-5,318,,,5.02,63.6,,-,,-,,-,,-,19.0,2.8
Jerel Worthy,FA,,Combine,6-2,298,,,5.00,68.2,4.56,66.8,7.60,59.0,28.5,40.5,107.0,60.0,,-
Renell Wren,CIN,2019,Combine,6-5,315,33.88,10.00,5.01,65.9,4.53,72.6,7.65,53.7,32.0,77.0,118.0,95.6,30.0,63.0
Gabe Wright,FA,2015,Combine,6-3,305,,,5.07,50.0,4.56,66.8,7.73,43.1,26.5,19.4,100.0,17.6,34.0,84.3
Connor Wujciak,FA,2016,Combine,6-2,291,33.25,10.00,4.91,84.5,4.27,97.9,7.32,91.0,34.5,92.3,117.0,94.1,22.0,13.9
Jarius Wynn,FA,,Combine,6-3,285,,,4.94,79.8,4.58,64.2,7.40,84.6,31.5,74.3,107.0,60.0,19.0,2.8
