,,Evaluation,,Measurements,,,,Time Drills,,,,,,Jumps,,,,,
Name,Team,Date,Title,Height,Weight,Arm,Hand,40 Yard,%,Shuttle,%,Cone,%,Vertical,%,Broad,%,Bench,%
Byron Cowart,NE,2019,Combine,6-3,300,33.75,10.00,5.16,29.8,,-,,-,30.0,59.0,111.0,73.7,26.0,37.0
Fletcher Cox,PHI,,Combine,6-4,310,34.50,10.38,4.79,94.2,4.53,72.6,7.07,96.8,26.0,14.0,103.0,36.1,30.0,63.0
Tyrone Crawford,DAL,2012,Combine,6-4,290,33.75,9.50,4.89,87.2,4.44,88.4,7.09,96.3,33.0,86.0,113.0,85.4,28.0,49.5
Darrion Daniels,FA,2020,Combine,6-3,311,33.75,9.13,5.18,27.9,4.93,10.5,7.75,41.0,27.0,24.8,109.0,68.3,21.0,8.8
Mike Daniels,CIN,,Combine,6-0,310,32.50,9.63,4.84,91.1,,-,,-,,-,,-,,-
Marcell Dareus,FA,2011,Combine,6-3,331,33.38,10.13,4.39,100.0,4.62,55.3,7.83,29.3,27.0,24.8,106.0,53.7,24.0,25.0
Marlon Davidson,ATL,2020,Combine,6-3,303,33.00,10.00,5.04,58.1,,-,,-,,-,,-,21.0,8.8
Carl Davis,JAX,2015,Combine,6-5,320,,,5.07,50.0,4.47,84.7,7.91,22.3,33.0,86.0,103.0,36.1,,-
Carlos Davis,PIT,2020,Combine,6-2,313,32.00,9.63,4.82,93.0,4.52,76.3,,-,,-,,-,27.0,43.1
Khalil Davis,TB,2020,Combine,6-1,308,31.50,9.75,4.75,95.3,,-,,-,,-,,-,32.0,76.9
Tyeler Davison,ATL,2015,Combine,6-2,309,,,5.18,27.9,4.46,86.3,7.53,69.1,33.0,86.0,105.0,46.3,32.0,76.9
Everett Dawkins,FA,,Combine,6-2,300,,,5.06,52.7,4.88,12.6,7.61,58.0,26.5,19.4,103.0,36.1,23.0,19.4
Sheldon Day,IND,2016,Combine,6-1,285,32.67,9.68,5.07,50.0,4.50,78.9,7.44,79.8,30.0,59.0,102.0,30.2,21.0,8.8
Brandon Deaderick,FA,,Combine,6-4,306,,,5.08,46.9,,-,,-,,-,,-,,-
nanasdfandfa dfnasladsfask,FA,,Combine,6-2,296,,,5.16,29.8,4.61,60.5,7.78,36.2,28.0,35.1,101.0,22.9,29.0,59.7
Quinton Dial,FA,,Combine,6-5,318,,,5.29,12.4,,-,,-,,-,,-,,-
Jordan Elliott,CLE,2020,Combine,6-4,302,32.38,10.25,5.02,63.6,4.73,34.7,,-,27.5,31.1,,-,24.0,25.0
Kenrick Ellis,FA,,Combine,6-4,346,,,5.19,25.2,,-,,-,,-,,-,26.0,37.0
Sedrick Ellis,FA,,Combine,6-2,305,,,5.26,15.5,4.73,34.7,7.78,36.2,26.5,19.4,105.0,46.3,34.0,84.3
Darius English,FA,2017,Pro Day,6-5,248,,,4.84,91.1,,-,,-,35.0,95.0,120.0,97.1,19.0,2.8
Nick Fairley,FA,,Combine,6-4,308,34.75,9.75,4.87,89.1,4.56,66.8,7.14,94.7,31.0,69.8,113.0,85.4,,-
Folorunso Fatukasi,NYJ,2018,Combine,6-4,318,34.13,10.25,5.29,12.4,4.53,72.6,7.44,79.8,30.0,59.0,112.0,80.5,33.0,80.6
Sharrif Floyd,FA,,Combine,6-3,297,31.75,10.13,4.92,82.9,4.75,29.5,7.40,84.6,30.0,59.0,106.0,53.7,,-
Andre Fluellen,FA,,Combine,6-2,305,,,5.00,68.2,,-,,-,,-,,-,28.0,49.5
Marcus Forston,FA,,Combine,6-3,305,,,5.05,57.0,4.79,21.6,7.64,54.8,28.0,35.1,105.0,46.3,35.0,89.4
Leki Fotu,ARI,2020,Combine,6-5,330,34.25,10.63,5.15,33.7,,-,,-,,-,,-,21.0,8.8
Joshua Frazier,FA,2018,Pro Day,6-4,315,,,5.25,17.1,,-,,-,,-,,-,,-
Sione Fua,FA,,Combine,6-1,310,,,5.28,13.2,4.54,71.6,7.54,68.1,24.0,4.1,101.0,22.9,30.0,63.0
Greg Gaines,LAR,2019,Combine,6-1,312,31.25,9.63,5.16,29.8,,-,,-,31.0,69.8,109.0,68.3,30.0,63.0
Neville Gallimore,DAL,2020,Combine,6-2,307,32.75,9.63,4.79,94.2,5.01,5.8,7.97,14.9,,-,,-,23.0,19.4
Kwame Geathers,FA,,Combine,6-5,335,,,5.44,2.3,5.27,1.1,8.11,8.0,26.5,19.4,96.0,4.9,,-
Kevin Givens,SF,2019,Combine,6-1,285,32.13,9.63,5.08,46.9,4.62,55.3,7.63,56.4,31.0,69.8,115.0,89.8,32.0,76.9
Ryan Glasgow,FA,2017,Pro Day,6-3,300,33.38,9.63,,-,,-,,-,,-,,-,24.0,25.0
Davon Godchaux,MIA,2017,Combine,6-3,311,32.38,10.25,5.27,14.0,,-,7.82,31.4,29.5,53.2,,-,18.0,1.4
Eddie Goldman,CHI,,Pro Day,6-3,318,,,5.27,14.0,4.87,13.2,7.62,56.9,26.0,14.0,,-,,-
Kedric Golston,FA,,Combine,6-4,330,,,4.88,88.8,4.45,87.9,7.60,59.0,33.0,86.0,111.0,73.7,31.0,72.7
Adrian Grady,FA,,Combine,6-1,290,,,5.18,27.9,4.72,37.4,7.68,49.5,32.0,77.0,105.0,46.3,31.0,72.7
Jarrett Grady,FA,2015,Combine,6-1,304,,,5.06,52.7,4.56,66.8,7.37,87.8,31.0,69.8,112.0,80.5,30.0,63.0
Cory Grissom,FA,,Combine,6-2,316,,,5.31,10.1,4.81,20.5,7.79,35.6,27.5,31.1,97.0,9.8,22.0,13.9
Letroy Guion,FA,,Combine,6-4,322,,,5.31,10.1,,-,,-,,-,,-,26.0,37.0
