,,Evaluation,,Measurements,,,,Time Drills,,,,,,Jumps,,,,,
Name,Team,Date,Title,Height,Weight,Arm,Hand,40 Yard,%,Shuttle,%,Cone,%,Vertical,%,Broad,%,Bench,%
Yasir Durant,KC,2020,Combine,6-6,331,34.75,9.50,5.52,7.1,,-,,-,25.0,15.7,,-,21.0,25.8
Chuma Edoga,NYJ,2019,Combine,6-3,308,34.75,,5.19,56.3,,-,,-,,-,,-,21.0,25.8
Cameron Erving,DAL,2015,Combine,6-5,313,,,5.15,66.7,4.63,77.6,7.48,88.1,30.5,74.1,112.0,81.9,30.0,91.7
Bobby Evans,LAR,2019,Combine,6-4,312,34.75,9.88,5.20,54.8,,-,,-,,-,,-,22.0,31.7
Tayo Fabuluje,FA,2015,Combine,6-6,342,,,5.55,6.3,4.77,56.5,,-,29.5,64.8,,-,,-
Cody Ford,BUF,2019,Combine,6-3,329,34.00,9.75,5.21,50.0,4.87,32.9,8.27,11.9,28.5,50.9,104.0,39.7,19.0,15.0
Brian Gaia,FA,2017,Pro Day,6-1,292,,,5.19,56.3,,-,,-,28.0,43.5,108.0,60.3,32.0,95.8
Antonio Garcia,FA,2017,Combine,6-7,302,33.38,9.88,5.15,66.7,4.94,22.4,7.98,35.7,31.0,79.6,108.0,60.3,24.0,55.8
Laurence Gibson,FA,2015,Combine,6-6,300,,,5.04,84.1,4.56,87.1,7.72,65.5,33.5,92.6,113.0,84.5,24.0,55.8
Crockett Gillmore,FA,2014,Combine,6-6,260,33.75,10.38,4.89,96.0,4.44,97.6,7.42,95.2,33.5,92.6,120.0,97.4,,-
Donnell Greene,FA,2019,Combine,6-5,335,35.25,9.50,,-,,-,,-,,-,,-,,-
Ethan Greenidge,NO,2019,Combine,6-4,335,34.75,10.38,,-,,-,,-,,-,,-,,-
Jay Guillermo,FA,2017,Pro Day,6-3,301,,,5.25,39.7,,-,,-,,-,,-,,-
Joe Haeg,TB,2016,Combine,6-6,305,33.75,9.63,5.16,62.7,4.47,96.5,7.47,89.3,,-,111.0,76.7,,-
Desmond Harrison,FA,2018,Combine,6-6,295,34.00,10.38,4.90,94.4,,-,,-,,-,,-,,-
Bobby Hart,CIN,,Pro Day,6-5,310,,,5.67,1.6,5.07,10.6,8.08,21.4,27.0,30.6,95.0,5.2,22.0,31.7
Taylor Hart,FA,2014,Combine,6-6,305,32.75,10.13,4.92,92.9,,-,,-,,-,,-,21.0,25.8
Caylin Hauptmann,FA,2013,Pro Day,6-3,300,,,5.21,50.0,4.55,88.2,7.69,71.4,20.0,0.9,107.0,56.0,24.0,55.8
Rob Havenstein,LAR,2015,Combine,6-8,330,,,5.46,11.9,4.87,32.9,8.28,10.7,28.5,50.9,96.0,6.9,16.0,5.0
Jerald Hawkins,PIT,2016,Combine,6-6,305,34.25,9.63,5.23,42.9,4.89,29.4,8.19,15.5,,-,100.0,22.4,23.0,40.0
Charlie Heck,HOU,2020,Combine,6-8,315,34.13,10.25,5.16,62.7,4.86,37.6,8.02,29.8,28.0,43.5,112.0,81.9,21.0,25.8
Max Hilpin,FA,2017,Combine,6-2,295,,,,-,,-,,-,,-,,-,35.0,99.2
Will Holden,FA,2017,Combine,6-7,312,33.25,10.13,5.47,11.1,4.72,64.7,7.71,67.9,28.0,43.5,111.0,76.7,23.0,40.0
Tytus Howard,HOU,2019,Combine,6-5,322,34.00,10.63,5.05,80.2,4.87,32.9,8.34,7.1,29.5,64.8,103.0,33.6,21.0,25.8
D.J. Humphries,ARI,2015,Combine,6-5,307,,,5.12,70.6,4.64,76.5,7.87,46.4,31.0,79.6,104.0,39.7,26.0,72.5
Robert Hunt,MIA,2020,Combine,6-6,323,33.50,10.75,,-,,-,,-,,-,,-,,-
Mitch Hyatt,DAL,2019,Combine,6-5,306,34.13,10.25,,-,4.52,92.9,7.72,65.5,25.5,19.4,102.0,28.4,28.0,87.5
Martez Ivey,FA,2019,Combine,6-5,315,36.25,10.38,,-,,-,,-,,-,,-,,-
Austin Jackson,MIA,2020,Combine,6-5,325,34.13,10.25,5.07,78.6,,-,7.95,36.9,31.0,79.6,115.0,92.2,27.0,81.7
Devon Johnson,FA,2019,Combine,6-7,338,34.75,9.50,5.16,62.7,5.28,1.2,8.34,7.1,27.5,39.8,89.0,1.7,26.0,72.5
Tyler Johnstone,FA,2016,Combine,6-5,301,34.00,10.38,5.21,50.0,4.60,78.8,7.31,96.4,,-,104.0,39.7,24.0,55.8
Josh Jones,ARI,2020,Combine,6-5,319,33.88,10.13,5.27,33.3,,-,,-,28.5,50.9,109.0,69.0,24.0,55.8
Tyler Jones,FA,2019,Combine,6-3,306,33.75,9.75,,-,4.82,41.2,7.75,60.7,31.5,84.3,111.0,76.7,23.0,40.0
D.J. Jones,FA,2017,Combine,6-5,310,32.50,10.25,5.04,84.1,4.65,75.3,7.73,63.1,28.5,50.9,108.0,60.3,25.0,66.7
Jarron Jones,FA,2017,Pro Day,6-6,320,35.50,10.50,5.51,8.7,,-,8.62,0.0,24.5,11.1,96.0,6.9,,-
Jamarco Jones,SEA,2018,Combine,6-4,293,35.13,9.50,5.50,9.5,,-,,-,24.0,10.2,102.0,28.4,,-
Jaryd Jones-Smith,FA,2018,Combine,6-6,345,36.25,10.25,5.27,33.3,,-,,-,27.0,30.6,109.0,69.0,16.0,5.0
Andreas Knappe,FA,2017,Pro Day,6-8,325,,,5.25,39.7,,-,,-,30.0,69.4,96.0,6.9,23.0,40.0
Brandon Knight,DAL,2019,Combine,6-4,314,34.00,10.00,,-,,-,,-,,-,,-,,-
Alex Kozan,FA,2017,Pro Day,6-4,310,,,5.52,7.1,,-,,-,32.0,87.0,96.0,6.9,,-
Wendy Laurent,FA,2017,Combine,6-2,288,,,5.43,14.3,,-,,-,29.0,59.3,96.0,6.9,19.0,15.0
Javarius Leamon,FA,2017,Combine,6-7,332,35.25,9.63,,-,,-,,-,23.5,5.6,,-,22.0,31.7
Robert Leff,FA,2017,Pro Day,6-5,302,,,5.13,69.8,,-,,-,28.0,43.5,108.0,60.3,20.0,22.5
Greg Little,CAR,2019,Combine,6-5,310,35.25,10.25,5.33,23.0,4.74,62.4,,-,25.0,15.7,113.0,84.5,0.0,0.0
Damien Mama,FA,2017,Combine,6-4,342,11.00,35.00,5.84,0.8,5.38,0.0,8.51,2.4,24.5,11.1,96.0,6.9,,-
Conor McDermott,NYJ,2017,Combine,6-8,305,34.75,11.00,5.18,57.9,4.58,81.2,7.52,86.9,28.5,50.9,105.0,44.8,,-
K.C. McDermott,FA,2018,Combine,6-5,311,32.50,9.75,5.31,28.6,,-,,-,23.5,5.6,,-,26.0,72.5
Kaleb McGary,ATL,2019,Combine,6-6,306,32.88,10.13,5.05,80.2,4.58,81.2,7.66,75.0,33.5,92.6,111.0,76.7,23.0,40.0
Mike McGlinchey,SF,2018,Combine,6-8,315,34.00,10.00,,-,,-,,-,28.5,50.9,105.0,44.8,24.0,55.8
Joshua Miles,ARI,2019,Combine,6-5,314,35.63,10.75,5.32,25.4,4.75,61.2,8.07,22.6,36.0,98.1,109.0,69.0,0.0,0.0
Kolton Miller,LV,2018,Combine,6-8,325,34.13,10.75,4.91,93.7,,-,,-,31.5,84.3,121.0,98.3,24.0,55.8
Anthony Morris,FA,,Pro Day,6-7,303,,,5.27,33.3,4.87,32.9,7.59,82.1,27.5,39.8,110.0,75.0,25.0,66.7
Brandon Mosley,FA,,Combine,6-5,318,34.00,11.00,5.21,50.0,4.78,50.6,7.43,94.0,27.0,30.6,103.0,33.6,30.0,91.7
Taylor Moton,CAR,2017,Combine,6-5,325,34.13,10.63,5.18,57.9,4.58,81.2,7.73,63.1,30.5,74.1,109.0,69.0,23.0,40.0
Kyle Murphy,FA,2016,Combine,6-6,305,33.50,9.75,,-,,-,,-,,-,,-,23.0,40.0
Kyle Murphy,FA,2020,Combine,6-3,316,33.88,10.00,5.30,31.0,4.68,68.2,7.81,56.0,28.0,43.5,104.0,39.7,19.0,15.0
Stephane Nembot,FA,2016,Combine,6-6,320,34.67,10.75,5.39,16.7,5.15,4.7,8.55,1.2,,-,103.0,33.6,32.0,95.8
Lucas Niang,KC,2020,Combine,6-6,315,34.25,10.50,,-,,-,,-,,-,,-,,-
Yosh Nijman,GB,2019,Combine,6-7,314,34.00,10.00,,-,4.50,94.1,8.07,22.6,,-,114.0,89.7,27.0,81.7
Brian O'Neill,MIN,2018,Combine,6-7,297,34.13,9.38,4.80,98.4,,-,,-,29.5,64.8,107.0,56.0,22.0,31.7
Cedric Ogbuehi,SEA,2015,Combine,6-5,308,,,,-,,-,,-,,-,,-,23.0,40.0
Chukwuma Okorafor,PIT,2018,Combine,6-6,320,34.50,10.25,5.31,28.6,,-,,-,23.5,5.6,102.0,28.4,19.0,15.0
