Player Name,Team,Pos,Status,Injury,Mon,Tue,Wed,Thu,Fri,Sat,Sun
Dre Greenlaw,SF,LB,,,-,-,LP,LP,FP,-,-
Shaquem Griffin,SEA,LB,,,-,-,FP,FP,-,-,-
Shaquill Griffin,SEA,CB,,,-,-,LP,LP,FP,-,-
Rob Gronkowski,TB,TE,,,-,LP,FP,-,-,-,-
Ryan Groy,LAC,OG,,,-,-,-,-,-,LP,-
Todd Gurley,ATL,RB,,,-,-,-,-,DNP-Non Injury,-,-
Porter Gustin,CLE,LB,,,-,-,FP,FP,FP,-,-
Joe Haden,PIT,CB,,,-,-,DNP,FP,FP,-,-
KJ Hamler,DEN,WR,Out,Hamstring,-,-,DNP,DNP,DNP,DNP,-
Johnathan Hankins,LV,DT,,,-,-,LP,FP,FP,-,-
Justin Hardee,NO,CB,Out,Hamstring,-,-,-,DNP,DNP,DNP,-
Mecole Hardman,KC,WR,,,-,-,FP,FP,FP,-,-
Davontae Harris,DEN,CB,,,-,-,LP,FP,FP,FP,-
Deonte Harris,NO,WR,Out,Hamstring,-,-,-,DNP,DNP,DNP,-
Stephen Hauschka,JAX,K,,,-,-,FP,FP,FP,-,-
Jaylinn Hawkins,ATL,S,Out,Concussion,-,-,DNP,DNP,DNP,-,-
D.J. Hayden,JAX,CB,IR,Hamstring,-,-,DNP,DNP,-,-,-
CJ Henderson,JAX,CB,Questionable,Shoulder,-,-,DNP,LP,LP,-,-
Trey Hendrickson,NO,DE,,,-,-,-,LP,LP,LP,-
Nate Herbig,PHI,OG,,,-,-,LP,FP,FP,-,-
Akiem Hicks,CHI,DE,,,-,FP,FP,-,-,-,-
Holton Hill,MIN,CB,Questionable,Foot,-,-,LP,DNP,LP,-,-
Lano Hill,SEA,S,Questionable,Back,-,-,DNP,DNP,DNP,-,-
Troy Hill,LAR,CB,Questionable,Ankle,-,-,-,LP,LP,-,-
Tyreek Hill,KC,WR,,,-,-,FP,FP,FP,-,-
T.Y. Hilton,IND,WR,,,-,-,-,-,DNP-Non Injury,-,-
Chris Hogan,NYJ,WR,Questionable,Ribs,-,-,LP,LP,LP,-,-
Cole Holcomb,WAS,LB,Questionable,Knee,-,-,FP,FP,FP,-,-
DeAndre Hopkins,ARI,WR,,,-,-,DNP-Non Injury,FP,FP,-,-
Justin Houston,IND,DE,,,-,-,-,-,DNP-Non Injury,-,-
Xavien Howard,MIA,CB,,,-,-,FP,FP,FP,-,-
Buddy Howell,HOU,RB,Questionable,Hamstring,-,-,LP,LP,LP,-,-
Rodney Hudson,LV,C,,,-,-,DNP-Non Injury,-,-,-,-
Jerry Hughes,BUF,DE,,,-,-,DNP-Non Injury,-,-,-,-
Mike Hughes,MIN,CB,,,-,-,FP,FP,FP,-,-
Kareem Hunt,CLE,RB,,,-,-,LP,LP,FP,-,-
Carlos Hyde,SEA,RB,Questionable,Shoulder,-,-,LP,LP,LP,-,-
