Player,Team,Pos,Injury,Status
Jurrell Casey,DEN,DE,Biceps,IR
Blake Cashman,NYJ,LB,Groin,IR-R
Anthony Castonzo,IND,OT,Ribs,Out
Saahdiq Charles,WAS,OT,Coach's Decision,Inactive
Marqui Christian,NYJ,S,Coach's Decision,Inactive
Nick Chubb,CLE,RB,Knee - MCL,IR
Patrick Chung,NE,S,Opt Out,Reserve-Ex
Jack Cichy,TB,LB,Hamstring,Questionable
Cameron Clark,NYJ,OG,Knee,IR
Kenny Clark,GB,DT,Groin,Questionable
Darion Clark,CHI,TE,Undisclosed,IR
Adrian Clayborn,CLE,DE,Hip,Questionable
Tarik Cohen,CHI,RB,Knee - ACL,IR
Adrian Colbert,NYG,S,Neck,Questionable
Tevin Coleman,SF,RB,Knee,IR
Justin Coleman,DET,CB,Hamstring,IR
Shon Coleman,SF,OT,Opt Out,Reserve-Ex
La'el Collins,DAL,OT,Hip,IR
Maliek Collins,LV,DT,Shoulder,Inactive
Trystan Colon-Castillo,BAL,C,Coach's Decision,Inactive
Gareon Conley,HOU,CB,Ankle,IR
Jared Cook,NO,TE,Groin,Questionable
Cody Core,NYG,WR,Achilles,IR
Jashon Cornell,DET,DT,Achilles,IR
Kamalei Correa,TEN,LB,Illness,Reserve-Covid-19
Isaiah Coulter,HOU,WR,Neck,IR-R
Keke Coutee,HOU,WR,Coach's Decision,Inactive
Byron Cowart,NE,DT,Illness,Reserve-Covid-19
Randin Crecelius,FA,OG,Concussion,Questionable
Isaiah Crowell,FA,RB,Achilles,Questionable
Dane Cruikshank,TEN,S,Undisclosed,IR
Vinny Curry,PHI,DE,Hamstring,IR-R
Joe Dahl,DET,OG,Groin,IR
Dennis Daley,CAR,OG,Coach's Decision,Inactive
Jalen Dalton,NO,DT,Triceps,IR
Mike Daniels,CIN,DT,Elbow,IR
James Daniels,CHI,C,Pectoral,Out
Michael Danna,KC,DE,Hamstring,IR
Sam Darnold,NYJ,QB,Shoulder - AC Joint,Inactive
Marcus Davenport,NO,DE,Toe,Questionable
Carlos Davis,PIT,DT,Coach's Decision,Inactive
Domenique Davis,FA,DT,Undisclosed,Questionable
Khalil Davis,TB,DT,Coach's Decision,Inactive
Javaris Davis,FA,CB,Undisclosed,Questionable
Keionta Davis,FA,LB,Undisclosed,Questionable
Tae Davis,CLE,LB,Elbow,Out
Cody Davis,NE,S,Ribs,IR
Corey Davis,TEN,WR,Illness,Reserve-Covid-19
Felton Davis,FA,WR,Shoulder,Questionable
Sheldon Day,IND,DT,Knee,IR-R
Josiah Deguara,GB,TE,Knee - ACL,Out
Grant Delpit,CLE,S,Achilles,IR
Darqueze Dennard,ATL,CB,Hamstring,IR
Seth DeValve,FA,TE,Toe,Questionable
Ed Dickson,FA,TE,Knee,Questionable
Andre Dillard,PHI,OT,Biceps,IR
Patrick DiMarco,FA,FB,Neck,Questionable
Johnnie Dixon,FA,WR,Abdomen,Questionable
Joshua Dobbs,PIT,QB,Coach's Decision,Inactive
Josh Doctson,NYJ,WR,Opt Out,Reserve-Ex
Andrew Donnal,FA,OT,Undisclosed,Out
Drake Dorbeck,CLE,OT,Opt Out,Reserve-Ex
Myles Dorn,MIN,S,Undisclosed,IR
Phillip Dorsett,SEA,WR,Foot,IR
Quinton Dunbar,SEA,CB,Knee,Questionable
Casey Dunn,FA,C,Undisclosed,Questionable
Yasir Durant,KC,OT,Coach's Decision,Inactive
Laurent Duvernay-Tardif,KC,OG,Opt Out,Reserve-Ex
Troy Dye,MIN,LB,Foot,IR
Julian Edelman,NE,WR,Knee,Questionable
Bryan Edwards,LV,WR,Ankle,Inactive
T.J. Edwards,PHI,LB,Hamstring,IR
Duke Ejiofor,HOU,LB,Knee - ACL,IR
Austin Ekeler,LAC,RB,Hamstring,IR
Daniel Ekuale,JAX,DT,Ankle,Inactive
Pat Elflein,MIN,OG,Thumb,IR
Ukeme Eligwe,LV,LB,Opt Out,Reserve-Ex
Emmanuel Ellerbee,FA,LB,Undisclosed,Questionable
Justin Ellis,BAL,DE,Coach's Decision,Inactive
Tino Ellis,FA,CB,Undisclosed,Questionable
Malcolm Elmore,FA,CB,Undisclosed,Questionable
Kabion Ento,GB,CB,Undisclosed,IR
Quincy Enunwa,FA,WR,Neck,Out
Cameron Erving,DAL,OT,Knee - MCL,IR-R
Bobby Evans,LAR,OT,Shoulder,Inactive
Justin Evans,TB,S,Foot,PUP-R
Kyler Fackrell,NYG,LB,Neck,Questionable
Noah Fant,DEN,TE,Ankle,Out
Jon Feliciano,BUF,OG,Chest,IR-R
Jason Ferris,FA,LB,Undisclosed,Questionable
Chris Finke,FA,WR,Undisclosed,Questionable
Drew Forbes,CLE,OG,Opt Out,Reserve-Ex
Cody Ford,BUF,OT,Groin,Questionable
Mike Ford,DET,CB,Leg,IR
Dee Ford,SF,DE,Neck,IR
Rudy Ford,PHI,S,Hamstring,IR
Austin Fort,DEN,TE,Knee - ACL,IR
D.J. Foster,FA,RB,Quadriceps,Questionable
Reuben Foster,WAS,LB,Knee,IR
John Franklin,TB,WR,Knee - ACL,IR
John Franklin-Myers,NYJ,DE,Foot,Questionable
Jake Fromm,BUF,QB,Undisclosed,Questionable
Kristian Fulton,TEN,CB,Illness,Reserve-Covid-19
Devin Funchess,GB,WR,Opt Out,Reserve-Ex
E.J. Gaines,BUF,CB,Opt Out,Reserve-Ex
Rashan Gary,GB,LB,Ankle,Questionable
Ben Gedeon,MIN,LB,Undisclosed,PUP-R
Zach Gentry,PIT,TE,Coach's Decision,Inactive
Marcus Gilbert,ARI,OT,Opt Out,Reserve-Ex
Blake Gillikin,NO,P,Back,IR
Stephon Gilmore,NE,CB,Illness,Reserve-Covid-19
Trevis Gipson,CHI,LB,Coach's Decision,Inactive
Chris Godwin,TB,WR,Hamstring,Inactive
Dallas Goedert,PHI,TE,Ankle,IR
Eddie Goldman,CHI,DT,Opt Out,Reserve-Ex
Marquise Goodwin,PHI,WR,Opt Out,Reserve-Ex
Josh Gordon,SEA,WR,Suspension,Reserve-Sus
Dillon Gordon,FA,OT,Shoulder,Questionable
Colby Gossett,CLE,OG,Opt Out,Reserve-Ex
Jakeem Grant,MIA,WR,Illness,Questionable
Derwin Gray,PIT,OT,Coach's Decision,Inactive
Rasheem Green,SEA,DE,Neck,IR
Donnell Greene,FA,OT,Undisclosed,Questionable
Brandon Greene,FA,OG,Neck,Questionable
Randy Gregory,DAL,DE,Personal,Reserve-Ex
Ryan Griffin,TB,QB,Coach's Decision,Inactive
Xavier Grimble,FA,TE,Undisclosed,Questionable
Stephen Guidry,DAL,WR,Opt Out,Reserve-Ex
Rodney Gunter,JAX,DT,Illness,Reserve-Ret
Daeshon Hall,PHI,DE,Knee - ACL,PUP-R
Bryce Hall,NYJ,CB,Undisclosed,NFI-R
Emanuel Hall,WAS,WR,Achilles,NFI-R
Arlington Hambright,CHI,OG,Coach's Decision,Inactive
KJ Hamler,DEN,WR,Hamstring,Out
Chase Hansen,NO,LB,Hip,IR
Justin Hardee,NO,CB,Hamstring,Out
Kelvin Harmon,WAS,WR,Knee - ACL,NFI-R
Chase Harrell,FA,TE,Suspension,Out
Deonte Harris,NO,WR,Hamstring,Out
Chris Harris,LAC,CB,Foot,IR
Demone Harris,KC,DE,Coach's Decision,Inactive
Jonathan Harris,DEN,DE,Illness,NFI-R
Darius Harris,KC,LB,Coach's Decision,Inactive
Montre Hartage,FA,S,Hamstring,Questionable
Nate Harvey,FA,DE,Knee,Questionable
Josh Harvey-Clemons,WAS,LB,Opt Out,Reserve-Ex
Dwayne Haskins,WAS,QB,Illness,Inactive
Jaylinn Hawkins,ATL,S,Concussion,Inactive
D.J. Hayden,JAX,CB,Hamstring,IR
Phil Haynes,SEA,OG,Hip,IR
Joel Heath,DEN,DE,Opt Out,Reserve-Ex
Charlie Heck,HOU,OT,Coach's Decision,Inactive
CJ Henderson,JAX,CB,Shoulder,Inactive
Willie Henry,FA,DT,Illness,Questionable
Treyvon Hester,FA,DT,Undisclosed,Questionable
Dont'a Hightower,NE,LB,Opt Out,Reserve-Ex
Holton Hill,MIN,CB,Foot,Questionable
Lano Hill,SEA,S,Back,Questionable
Justice Hill,BAL,RB,Coach's Decision,Inactive
KhaDarel Hodge,CLE,WR,Hamstring,IR
Isaiah Hodgins,BUF,WR,Shoulder,IR
Cole Holcomb,WAS,LB,Knee,Inactive
Malik Hooker,IND,S,Achilles,IR
Brycen Hopkins,LAR,TE,Coach's Decision,Inactive
O.J. Howard,TB,TE,Achilles,IR
Travin Howard,LAR,LB,Knee - Meniscus,IR
Buddy Howell,HOU,RB,Hamstring,Inactive
Tommy Hudson,FA,TE,Illness,Out
Lil'Jordan Humphrey,FA,WR,Undisclosed,Questionable
Adam Humphries,TEN,WR,Illness,Reserve-Covid-19
Brett Hundley,ARI,QB,Coach's Decision,Inactive
Danielle Hunter,MIN,DE,Neck,IR
Jason Huntley,PHI,RB,Coach's Decision,Inactive
Jalen Hurd,SF,WR,Knee - ACL,IR
Allen Hurns,MIA,WR,Opt Out,Reserve-Ex
John Hurst,TB,WR,Ankle,IR
Maurice Hurst,LV,DT,Illness,Reserve-Covid-19
Mitch Hyatt,DAL,OT,Knee,IR
Carlos Hyde,SEA,RB,Shoulder,Questionable
Richie Incognito,LV,OG,Achilles,IR
Melvin Ingram,LAC,DE,Knee,IR
Matthew Ioannidis,WAS,DT,Biceps,IR
Bruce Irvin,SEA,LB,Knee - ACL,IR
Isaiah Irving,FA,LB,Undisclosed,Questionable
David Irving,FA,DT,Suspension,Reserve-Sus
Steve Ishmael,FA,WR,Knee,Questionable
Mike Iupati,SEA,OG,Knee,Questionable
Myles Jack,JAX,LB,Ankle,Inactive
Austin Jackson,MIA,OT,Foot,IR
Branden Jackson,SEA,DE,Spine,IR
Adoree' Jackson,TEN,CB,Knee,IR
DeSean Jackson,PHI,WR,Hamstring,Inactive
Trishton Jackson,LAR,WR,Coach's Decision,Inactive
Leon Jacobs,JAX,LB,Knee - ACL,IR
Ja'Wuan James,DEN,OT,Opt Out,Reserve-Ex
Richie James,SF,WR,Hamstring,IR-R
Derwin James,LAC,S,Knee - Meniscus,IR
Blake Jarwin,DAL,TE,Knee - ACL,IR
Alshon Jeffery,PHI,WR,Foot,Inactive
Jegs Jegede,FA,DE,Undisclosed,Questionable
John Jenkins,CHI,DT,Thumb,IR
Janoris Jenkins,NO,CB,Shoulder,Out
Darius Jennings,FA,WR,Leg,Questionable
Rysen John,FA,TE,Undisclosed,Questionable
Justin Johnson,FA,TE,Undisclosed,Questionable
Ty Johnson,NYJ,RB,Coach's Decision,Inactive
Malcolm Johnson,FA,FB,Shoulder,Questionable
Anthony Johnson,FA,WR,Knee,Questionable
Dontae Johnson,SF,CB,Groin,Out
Kylan Johnson,FA,LB,Undisclosed,Questionable
Joseph Jones,DEN,LB,Knee,Questionable
Josh Jones,ARI,OT,Coach's Decision,Inactive
DaQuan Jones,TEN,DT,Illness,Reserve-Covid-19
Justin Jones,LAC,DT,Shoulder,IR
Nazair Jones,FA,DT,Knee,Questionable
Dre'Mont Jones,DEN,DE,Knee - PCL,IR
Julio Jones,ATL,WR,Hamstring,Inactive
Jordan Jones,FA,FB,Undisclosed,Questionable
Charles Jones,FA,TE,Quadriceps,Questionable
Reshad Jones,FA,S,Neck,Questionable
Travis Jonsen,FA,WR,Quadriceps,Questionable
Karl Joseph,CLE,S,Hamstring,Questionable
Michael Joseph,CHI,CB,Undisclosed,IR
Peter Kalambayi,HOU,LB,Hamstring,Inactive
Azur Kamara,DAL,LB,Undisclosed,IR
Corbin Kaufusi,FA,OG,Hamstring,Questionable
Damontae Kazee,ATL,S,Achilles,IR
Devon Kennard,ARI,LB,Calf,Inactive
D.J. Killings,LV,CB,Opt Out,Reserve-Ex
Kevin King,GB,CB,Quadriceps,Questionable
Brandon King,NE,S,Quadriceps,PUP-R
Christian Kirksey,GB,LB,Pectoral,IR
Keith Kirkwood,CAR,WR,Shoulder,IR-R
Micah Kiser,LAR,LB,Groin,Inactive
Demetrius Knox,FA,OT,Knee,Questionable
Leo Koloamatangi,NYJ,C,Opt Out,Reserve-Ex
Jonathan Kongbo,FA,DE,Groin,Questionable
Eric Kush,FA,OG,Undisclosed,Questionable
Matt LaCosse,NE,TE,Opt Out,Reserve-Ex
Josh Lambo,JAX,K,Hip,IR
Jaquarius Landrews,NYG,S,Undisclosed,IR
Anthony Lanier,FA,DE,Undisclosed,Questionable
Cody Latimer,FA,WR,Personal,Reserve-CEL
Marshon Lattimore,NO,CB,Hamstring,Questionable
Justin Lawler,LAR,LB,Foot,IR
Shaq Lawson,MIA,DE,Shoulder,Out
Allen Lazard,GB,WR,Abdomen,IR
Dallin Leavitt,LV,S,Coach's Decision,Inactive
Jonathan Ledbetter,MIA,DE,Ankle,NFI-R
Marquel Lee,FA,LB,Undisclosed,Questionable
Sean Lee,DAL,LB,Sports Hernia,IR
Khari Lee,FA,TE,Undisclosed,Questionable
Marqise Lee,NE,WR,Opt Out,Reserve-Ex
Darius Leonard,IND,LB,Groin,Out
Taylor Lewan,TEN,OT,Shoulder,Questionable
Ira Lewis,FA,DT,Back,Questionable
Marcedes Lewis,GB,TE,Knee,Questionable
Michael Liedtke,WAS,OG,Undisclosed,IR
Drew Lock,DEN,QB,Shoulder,Questionable
T.J. Logan,TB,RB,Knee,IR
Joe Looney,DAL,C,Knee - MCL,IR
Star Lotulelei,BUF,DT,Opt Out,Reserve-Ex
Bryce Love,WAS,RB,Knee,IR
Jordan Lucas,CHI,S,Opt Out,Reserve-Ex
Jake Luton,JAX,QB,Coach's Decision,Inactive
Marlon Mack,IND,RB,Achilles,IR
Jordan Mack,CAR,LB,Opt Out,Reserve-Ex
Avonte Maddox,PHI,CB,Ankle,Inactive
Cole Madison,FA,OG,Knee - ACL,Questionable
Marcus Mariota,LV,QB,Pectoral,IR-R
Iman Marshall,BAL,CB,Knee,IR
Justin Martin,FA,CB,Knee,Questionable
Kamal Martin,GB,LB,Knee - Meniscus,IR
Shaq Mason,NE,OG,Calf,Questionable
Arthur Maulet,NYJ,CB,Groin,IR
Josh Mauro,JAX,DE,Suspension,Reserve-Sus
David Mayo,NYG,LB,Knee - Meniscus,IR-R
Christian McCaffrey,CAR,RB,Ankle,IR
Max McCaffrey,FA,WR,Suspension,Reserve-Sus
Rolando McClain,FA,LB,Suspension,Reserve-Sus
Devin McCourty,NE,S,Personal,Questionable
LeSean McCoy,TB,RB,Ankle,Inactive
Gerald McCoy,FA,DT,Quadriceps,Out
Lerentee McCray,JAX,DE,Opt Out,Reserve-Ex
Daniel McCullers,CHI,DT,Coach's Decision,Inactive
Clinton McDonald,FA,DT,Neck,Questionable
Taj McGowan,FA,RB,Knee,Questionable
Xavier McKinney,NYG,S,Foot,IR
Benardrick McKinney,HOU,LB,Shoulder,Inactive
Anthony McKinney,TEN,OT,Opt Out,Reserve-Ex
Sherrick McManis,CHI,S,Hamstring,Inactive
Trace McSorley,BAL,QB,Coach's Decision,Inactive
Carson Meier,FA,TE,Undisclosed,Questionable
Rashaan Melvin,JAX,CB,Opt Out,Reserve-Ex
Eli Mencer,FA,DE,Undisclosed,Questionable
Sony Michel,NE,RB,Quadriceps,IR
Matt Milano,BUF,LB,Pectoral,Out
Joshua Miles,ARI,OT,Coach's Decision,Inactive
Wyatt Miller,FA,OT,Undisclosed,Questionable
Von Miller,DEN,LB,Ankle,IR
Christian Miller,CAR,DE,Opt Out,Reserve-Ex
Jordan Miller,ATL,CB,Coach's Decision,Inactive
Rolan Milligan,IND,S,Opt Out,Reserve-Ex
Denzel Mims,NYJ,WR,Hamstring,IR
John Molchon,TB,OG,Undisclosed,IR
Ty Montgomery,NO,RB,Hamstring,IR
Jalin Moore,FA,RB,Ankle,Reserve-Ret
A.J. Moore,HOU,S,Hamstring,IR
C.J. Moore,DET,S,Calf,Questionable
Chris Moore,BAL,WR,Thigh,Inactive
Skai Moore,IND,LB,Opt Out,Reserve-Ex
David Morgan,FA,TE,Knee,Questionable
James Morgan,NYJ,QB,Coach's Decision,Inactive
Emmanuel Moseley,SF,CB,Concussion,Out
C.J. Mosley,NYJ,LB,Opt Out,Reserve-Ex
Zack Moss,BUF,RB,Toe,Questionable
Thaddeus Moss,WAS,TE,Undisclosed,IR
Raheem Mostert,SF,RB,Knee - MCL,Questionable
Bill Murray,FA,DT,Illness,Out
Tanner Muse,LV,S,Toe,IR
JoJo Natson,CLE,WR,Knee - ACL,IR
J.J. Nelson,FA,WR,Knee,Questionable
Nick Nelson,FA,CB,Knee,Out
Cam Newton,NE,QB,Illness,Reserve-Covid-19
Lucas Niang,KC,OT,Opt Out,Reserve-Ex
Jared Norris,WAS,LB,Coach's Decision,Inactive
Joe Noteboom,LAR,OG,Calf,IR
Mark Nzeocha,SF,LB,Quadriceps,IR
Kitt O'Brien,FA,OG,Undisclosed,Questionable
Nick O'Leary,LV,TE,Illness,NFI-R
George Obinna,CLE,DE,Triceps,IR
Rees Odhiambo,FA,OG,Chest,Questionable
Larry Ogunjobi,CLE,DT,Oblique,Out
Jamize Olawale,DAL,FB,Opt Out,Reserve-Ex
Josh Oliver,JAX,TE,Foot,IR
Qadree Ollison,ATL,RB,Coach's Decision,Inactive
Patrick Omameh,LV,OG,Coach's Decision,Inactive
Patrick Onwuasor,NYJ,LB,Knee,IR
K.J. Osborn,MIN,WR,Hamstring,Out
Devine Ozigbo,JAX,RB,Hamstring,IR
Michael Palardy,CAR,P,Knee - ACL,NFI-R
Brandon Parker,LV,OT,Coach's Decision,Inactive
Colby Parkinson,SEA,TE,Foot,NFI-R
Will Parks,PHI,S,Hamstring,IR
Josh Pearson,TB,WR,Coach's Decision,Inactive
Andrus Peat,NO,OG,Ankle,Questionable
Kyle Peko,DEN,DT,Opt Out,Reserve-Ex
Rashaad Penny,SEA,RB,Knee - ACL,PUP-R
Jabrill Peppers,NYG,S,Ankle,Questionable
Joshua Perkins,PHI,TE,Upper Body,IR
Breshad Perriman,NYJ,WR,Ankle,Inactive
Senorise Perry,TEN,RB,Undisclosed,IR
Jason Peters,PHI,OT,Toe,IR
Tyre Phillips,BAL,OG,Shoulder,Inactive
Del'Shawn Phillips,BUF,LB,Quadriceps,Questionable
Michael Pierce,MIN,DT,Opt Out,Reserve-Ex
Michael Pinckney,FA,LB,Hip - Labrum,Questionable
Eddy Pineiro,CHI,K,Groin,IR
Lenzy Pipkins,FA,CB,Back,Questionable
Michael Pittman,IND,WR,Lower Leg,IR
Quentin Poling,FA,LB,Undisclosed,Questionable
Mike Pouncey,LAC,C,Hip,IR
Brian Price,FA,DT,Undisclosed,Questionable
Malcolm Pridgeon,CLE,OG,Opt Out,Reserve-Ex
Isaiah Prince,CIN,OT,Opt Out,Reserve-Ex
MyCole Pruitt,TEN,TE,Illness,Reserve-Covid-19
Mike Purcell,DEN,DT,Knee,Questionable
Martinas Rankin,KC,OG,Knee,PUP-R
Sheldon Rankins,NO,DT,Thumb,Questionable
Dax Raymond,FA,TE,Ankle,Questionable
Jalen Reagor,PHI,WR,Thumb,IR
Jordan Reed,SF,TE,Knee,IR
D.J. Reed,SEA,S,Pectoral,NFI-R
Brooks Reed,FA,LB,Hamstring,Questionable
Ross Reynolds,FA,OG,Knee,Questionable
Weston Richburg,SF,C,Kneecap,PUP-R
Riley Ridley,CHI,WR,Coach's Decision,Inactive
Tre Roberson,CHI,CB,Foot,NFI-R
Andre Roberts,BUF,WR,Ankle,Questionable
Michael Roberts,FA,TE,Shoulder,Questionable
A'Shawn Robinson,LAR,DT,Undisclosed,NFI-R
Austrian Robinson,FA,DE,Undisclosed,Questionable
Aldrick Rosas,FA,K,Undisclosed,Out
John Ross,CIN,WR,Illness,Inactive
Daniel Ross,LV,DT,Foot,IR
Dontavius Russell,JAX,DT,Undisclosed,IR
Jake Ryan,FA,LB,Hamstring,Questionable
Deebo Samuel,SF,WR,Illness,Questionable
Khalen Saunders,KC,DT,Elbow,IR
Ira Savage-Lewis,FA,DE,Undisclosed,Questionable
Bo Scarbrough,DET,RB,Undisclosed,IR
Brandon Scherff,WAS,OG,Knee - MCL,IR
Michael Schofield,CAR,OG,Coach's Decision,Inactive
Christian Scotland-Williamson,FA,TE,Undisclosed,Questionable
Da'Mari Scott,NYG,WR,Opt Out,Reserve-Ex
Niles Scott,FA,DT,Undisclosed,Questionable
Ricky Seals-Jones,KC,TE,Coach's Decision,Inactive
Brad Seaton,TB,OT,Opt Out,Reserve-Ex
Austin Seibert,CIN,K,Coach's Decision,Inactive
Deadrin Senat,ATL,DT,Coach's Decision,Inactive
Isaac Seumalo,PHI,OG,Knee,IR
Josh Shaw,FA,S,Suspension,Reserve-Sus
Sterling Shepard,NYG,WR,Toe,IR
Richard Sherman,SF,CB,Calf,IR
David Sills,NYG,WR,Foot,IR
Jeffery Simmons,TEN,DE,Illness,Reserve-Covid-19
Matt Simms,FA,QB,Undisclosed,Questionable
Steven Sims,WAS,WR,Toe,IR
Dan Skipper,FA,OT,Undisclosed,Questionable
Andre Smith,BAL,OT,Opt Out,Reserve-Ex
Tyron Smith,DAL,OT,Neck,IR
Cameron Smith,MIN,LB,Chest,NFI-R
Emmanuel Smith,FA,LB,Hamstring,Questionable
Ray Smith,MIA,DT,Undisclosed,Reserve-Ret
Vyncint Smith,NYJ,WR,Abdomen,IR-R
Fish Smithson,FA,S,Undisclosed,Questionable
Durham Smythe,MIA,TE,Knee,Out
L'Jarius Sneed,KC,CB,Collarbone,IR
Nate Solder,NYG,OT,Opt Out,Reserve-Ex
Noah Spence,NO,DE,Knee - ACL,NFI-R
Equanimeous St. Brown,GB,WR,Knee,IR
Drew Stanton,FA,QB,Knee,Questionable
Dylan Stapleton,FA,TE,Shoulder,Out
Simon Stepaniak,GB,OG,Knee - ACL,NFI-R
Aaron Stinnie,TB,OG,Coach's Decision,Inactive
Justin Strnad,DEN,LB,Wrist,IR
Greg Stroman,WAS,CB,Foot,Inactive
Xavier Su'a-Filo,CIN,OG,Ankle,IR
Nate Sudfeld,PHI,QB,Coach's Decision,Inactive
Chandon Sullivan,GB,CB,Concussion,Questionable
Will Sunderland,FA,CB,Undisclosed,Questionable
Keaton Sutherland,CIN,OG,Coach's Decision,Inactive
Courtland Sutton,DEN,WR,Knee - ACL + MCL,IR
