Player,Team,Pos,Injury,Status
Isiah Swann,FA,DB,Undisclosed,Questionable
Tommy Sweeney,BUF,TE,Foot,PUP-R
Jordan Ta'amu,FA,QB,Illness,Out
Teez Tabor,FA,CB,Foot,Questionable
Charles Tapper,FA,DE,Undisclosed,Questionable
Darrell Taylor,SEA,DE,Leg,NFI-R
Jullian Taylor,SF,DT,Knee - ACL,PUP-R
Shakial Taylor,NYG,CB,Opt Out,Reserve-Ex
Lane Taylor,GB,OG,Knee,IR
Alex Taylor,FA,OT,Undisclosed,Questionable
Tyrod Taylor,LAC,QB,Chest,Out
Patrick Taylor,GB,RB,Undisclosed,NFI-R
Marvell Tell,IND,CB,Opt Out,Reserve-Ex
Derrek Thomas,FA,CB,Undisclosed,Questionable
Simeon Thomas,FA,CB,Abdomen,Questionable
Solomon Thomas,SF,DT,Knee - ACL,IR
Jordan Thomas,ARI,TE,Coach's Decision,Inactive
De'Anthony Thomas,BAL,WR,Opt Out,Reserve-Ex
Demaryius Thomas,FA,WR,Hamstring,Questionable
Michael Thomas,NO,WR,Ankle,Questionable
Stantley Thomas-Oliver,CAR,CB,Coach's Decision,Inactive
Chris Thompson,SF,WR,Undisclosed,IR
Jalen Thompson,ARI,S,Ankle,IR
Neiko Thorpe,SEA,CB,Sports Hernia,IR
Casey Toohill,PHI,DE,Coach's Decision,Inactive
Najee Toran,NE,OG,Opt Out,Reserve-Ex
Drue Tranquill,LAC,LB,Ankle,IR
Badara Traore,FA,OT,Illness,Out
Desmond Trufant,DET,CB,Hamstring,Questionable
Josh Tupou,CIN,DT,Opt Out,Reserve-Ex
Kemoko Turay,IND,DE,Ankle,PUP-R
Trai Turner,LAC,OG,Groin,Out
Josh Uche,NE,LB,Foot,IR
Nick Usher,FA,LB,Undisclosed,Questionable
C.J. Uzomah,CIN,TE,Achilles,IR
Jeremiah Valoaga,LV,DE,Opt Out,Reserve-Ex
Leighton Vander Esch,DAL,LB,Collarbone,IR-R
Jason Vander Laan,NO,TE,Opt Out,Reserve-Ex
Eddie Vanderdoes,HOU,DT,Opt Out,Reserve-Ex
Ke'Shawn Vaughn,TB,RB,Chest,Questionable
Vita Vea,TB,DT,Leg,Out
Jordan Veasy,FA,WR,Undisclosed,Questionable
Adam Vinatieri,FA,K,Knee,Questionable
Danny Vitale,NE,FB,Opt Out,Reserve-Ex
LaAdrian Waddle,FA,OT,Quadriceps,Questionable
Anthony Walker,IND,LB,Ankle,Questionable
DeMarcus Walker,DEN,DE,Calf,IR
P.J. Walker,CAR,QB,Coach's Decision,Inactive
Michael Walker,FA,WR,Knee,Questionable
Levi Wallace,BUF,CB,Ankle,IR
Leterrius Walton,FA,DE,Knee - Meniscus,Questionable
Spencer Ware,FA,RB,Shoulder,Questionable
Larry Warford,FA,OG,Personal,Reserve-DNR
Chance Warmack,SEA,OG,Opt Out,Reserve-Ex
Kahale Warring,HOU,TE,Undisclosed,IR
DeAndre Washington,KC,RB,Coach's Decision,Inactive
Broderick Washington,BAL,DT,Illness,Inactive
Justin Watson,TB,WR,Chest,Inactive
Derek Watt,PIT,FB,Hamstring,Inactive
Trae Waynes,CIN,CB,Pectoral,IR
Curtis Weaver,CLE,LB,Foot,IR
Marcus Webb,FA,DE,Undisclosed,Questionable
Antoine Wesley,BAL,WR,Shoulder,IR
Dede Westbrook,JAX,WR,Coach's Decision,Inactive
John Wetzel,ATL,OT,Coach's Decision,Inactive
Tre'Davious White,BUF,CB,Back,Questionable
DeAndrew White,BAL,WR,Undisclosed,IR
Kerrith Whyte,FA,RB,Undisclosed,Questionable
Cole Wick,NO,TE,Opt Out,Reserve-Ex
Elijah Wilkinson,DEN,OT,Shin,IR
Kenny Willekes,MIN,DE,Leg,IR
Brandon Williams,NYG,CB,Groin,IR
Greedy Williams,CLE,CB,Shoulder,Out
K'Waun Williams,SF,CB,Knee - ACL,IR
Trevor Williams,PHI,CB,Ribs,IR
Maxx Williams,ARI,TE,Ankle,IR
Damien Williams,KC,RB,Opt Out,Reserve-Ex
Trayveon Williams,CIN,RB,Coach's Decision,Inactive
Mike Williams,LAC,WR,Hamstring,Questionable
Tyrell Williams,LV,WR,Shoulder - Labrum,IR
Albert Wilson,MIA,WR,Opt Out,Reserve-Ex
Shaun Wilson,FA,RB,Undisclosed,Questionable
Brian Winters,BUF,OG,Knee,Questionable
Stefen Wisniewski,PIT,OG,Chest,IR
Ahkello Witherspoon,SF,CB,Hamstring,Questionable
Eli Wolf,FA,TE,Leg,Questionable
Al Woods,JAX,DT,Opt Out,Reserve-Ex
Nate Wozniak,FA,OT,Undisclosed,Reserve-Ret
Renell Wren,CIN,DT,Quadriceps,IR
Brandon Wright,FA,K,Groin,Questionable
Isaiah Wynn,NE,OT,Calf,Questionable
Oshane Ximines,NYG,LB,Shoulder,IR
Trevon Young,CLE,LB,Undisclosed,IR
Tavon Young,BAL,CB,Knee - ACL,IR
Jabari Zuniga,NYJ,DE,Quadriceps,IR-R
