,,,,Rushing,,,Rush Location,,,,,,,,,After Contact,,
Name,Team,Pos,G,ATT,YDS,TD,In%,In,Out%,Out,Stuffed,BT,BT%,POS%,TD%,YDS,AVG,%
Blake Bortles,JAX,QB,16,58,359,3,0.0,,0.0,,,0,0.0,0.0,0.0,0,0.0,0.0
Duke Johnson,CLE,RB,16,73,358,1,0.0,,0.0,,,0,0.0,0.0,0.0,0,0.0,0.0
Theo Riddick,DET,RB,10,92,357,1,0.0,,0.0,,,0,0.0,0.0,0.0,0,0.0,0.0
Chris Thompson,WAS,RB,16,68,356,3,0.0,,0.0,,,0,0.0,0.0,0.0,0,0.0,0.0
Marcus Mariota,TEN,QB,15,60,349,2,0.0,,0.0,,,0,0.0,0.0,0.0,0,0.0,0.0
Thomas Rawls,SEA,RB,9,109,349,3,0.0,,0.0,,,0,0.0,0.0,0.0,0,0.0,0.0
Rex Burkhead,CIN,RB,16,74,344,2,0.0,,0.0,,,0,0.0,0.0,0.0,0,0.0,0.0
DeAngelo Williams,PIT,RB,9,98,343,4,0.0,,0.0,,,0,0.0,0.0,0.0,0,0.0,0.0
Andrew Luck,IND,QB,15,64,341,2,0.0,,0.0,,,0,0.0,0.0,0.0,0,0.0,0.0
Giovani Bernard,CIN,RB,10,91,337,2,0.0,,0.0,,,0,0.0,0.0,0.0,0,0.0,0.0
Zach Zenner,DET,RB,14,88,334,4,0.0,,0.0,,,0,0.0,0.0,0.0,0,0.0,0.0
Wendell Smallwood,PHI,RB,13,77,312,1,0.0,,0.0,,,0,0.0,0.0,0.0,0,0.0,0.0
Charcandrick West,KC,RB,15,88,293,1,0.0,,0.0,,,0,0.0,0.0,0.0,0,0.0,0.0
Justin Forsett,DEN/DET/BAL,RB,9,87,291,1,0.0,,0.0,,,0,0.0,0.0,0.0,0,0.0,0.0
Dion Lewis,NE,RB,7,64,283,0,0.0,,0.0,,,0,0.0,0.0,0.0,0,0.0,0.0
Dak Prescott,DAL,QB,16,57,282,6,0.0,,0.0,,,0,0.0,0.0,0.0,0,0.0,0.0
Tyreek Hill,KC,WR,16,24,267,3,0.0,,0.0,,,0,0.0,0.0,0.0,0,0.0,0.0
Fozzy Whittaker,CAR,RB,16,57,265,0,0.0,,0.0,,,0,0.0,0.0,0.0,0,0.0,0.0
Dwayne Washington,DET,RB,12,90,265,1,0.0,,0.0,,,0,0.0,0.0,0.0,0,0.0,0.0
Russell Wilson,SEA,QB,16,72,259,1,0.0,,0.0,,,0,0.0,0.0,0.0,0,0.0,0.0
Alfred Morris,DAL,RB,14,69,243,2,0.0,,0.0,,,0,0.0,0.0,0.0,0,0.0,0.0
Peyton Barber,TB,RB,15,55,223,1,0.0,,0.0,,,0,0.0,0.0,0.0,0,0.0,0.0
Matthew Stafford,DET,QB,16,37,207,2,0.0,,0.0,,,0,0.0,0.0,0.0,0,0.0,0.0
Jeremy Langford,CHI,RB,12,62,200,4,0.0,,0.0,,,0,0.0,0.0,0.0,0,0.0,0.0
Shaun Draughn,SF,RB,16,74,196,4,0.0,,0.0,,,0,0.0,0.0,0.0,0,0.0,0.0
Kenneth Farrow,SD,RB,13,60,192,0,0.0,,0.0,,,0,0.0,0.0,0.0,0,0.0,0.0
Robert Griffin,CLE,QB,5,31,190,2,0.0,,0.0,,,0,0.0,0.0,0.0,0,0.0,0.0
Andy Dalton,CIN,QB,16,46,184,4,0.0,,0.0,,,0,0.0,0.0,0.0,0,0.0,0.0
Kenyan Drake,MIA,RB,16,33,179,2,0.0,,0.0,,,0,0.0,0.0,0.0,0,0.0,0.0
Blaine Gabbert,SF,QB,6,40,173,2,0.0,,0.0,,,0,0.0,0.0,0.0,0,0.0,0.0
C.J. Prosise,SEA,RB,6,30,172,1,0.0,,0.0,,,0,0.0,0.0,0.0,0,0.0,0.0
James White,NE,RB,16,39,166,0,0.0,,0.0,,,0,0.0,0.0,0.0,0,0.0,0.0
Jameis Winston,TB,QB,16,53,165,1,0.0,,0.0,,,0,0.0,0.0,0.0,0,0.0,0.0
Corey Grant,JAX,RB,11,32,164,1,0.0,,0.0,,,0,0.0,0.0,0.0,0,0.0,0.0
Ryan Tannehill,MIA,QB,13,39,164,1,0.0,,0.0,,,0,0.0,0.0,0.0,0,0.0,0.0
Robert Turbin,IND,RB,15,47,164,7,0.0,,0.0,,,0,0.0,0.0,0.0,0,0.0,0.0
Tavon Austin,LAR,WR,15,28,159,1,0.0,,0.0,,,0,0.0,0.0,0.0,0,0.0,0.0
Shane Vereen,NYG,RB,5,33,158,1,0.0,,0.0,,,0,0.0,0.0,0.0,0,0.0,0.0
Kerwynn Williams,ARI,RB,10,18,157,2,0.0,,0.0,,,0,0.0,0.0,0.0,0,0.0,0.0
Terron Ward,ATL,RB,5,31,151,0,0.0,,0.0,,,0,0.0,0.0,0.0,0,0.0,0.0
Aaron Ripkowski,GB,FB,16,34,150,2,0.0,,0.0,,,0,0.0,0.0,0.0,0,0.0,0.0
Carson Wentz,PHI,QB,16,46,150,2,0.0,,0.0,,,0,0.0,0.0,0.0,0,0.0,0.0
Charles Sims,TB,RB,7,51,149,1,0.0,,0.0,,,0,0.0,0.0,0.0,0,0.0,0.0
James Starks,GB,RB,9,63,145,0,0.0,,0.0,,,0,0.0,0.0,0.0,0,0.0,0.0
Denard Robinson,JAX,RB,13,41,144,0,0.0,,0.0,,,0,0.0,0.0,0.0,0,0.0,0.0
Cameron Artis-Payne,CAR,RB,3,36,144,2,0.0,,0.0,,,0,0.0,0.0,0.0,0,0.0,0.0
DuJuan Harris,SF,RB,10,38,138,0,0.0,,0.0,,,0,0.0,0.0,0.0,0,0.0,0.0
Alex Smith,KC,QB,15,48,134,5,0.0,,0.0,,,0,0.0,0.0,0.0,0,0.0,0.0
Ronnie Hillman,SD/MIN,RB,8,41,131,0,0.0,,0.0,,,0,0.0,0.0,0.0,0,0.0,0.0
Brock Osweiler,HOU,QB,15,30,131,2,0.0,,0.0,,,0,0.0,0.0,0.0,0,0.0,0.0
Ryan Fitzpatrick,NYJ,QB,14,33,130,0,0.0,,0.0,,,0,0.0,0.0,0.0,0,0.0,0.0
Kenjon Barner,PHI,RB,13,27,129,2,0.0,,0.0,,,0,0.0,0.0,0.0,0,0.0,0.0
Kapri Bibbs,DEN,RB,12,29,129,0,0.0,,0.0,,,0,0.0,0.0,0.0,0,0.0,0.0
Ka'Deem Carey,CHI,RB,12,32,126,0,0.0,,0.0,,,0,0.0,0.0,0.0,0,0.0,0.0
Alex Collins,SEA,RB,11,31,125,1,0.0,,0.0,,,0,0.0,0.0,0.0,0,0.0,0.0
Matt Ryan,ATL,QB,16,35,117,0,0.0,,0.0,,,0,0.0,0.0,0.0,0,0.0,0.0
Danny Woodhead,SD,RB,2,19,116,0,0.0,,0.0,,,0,0.0,0.0,0.0,0,0.0,0.0
Damien Williams,MIA,RB,15,35,115,3,0.0,,0.0,,,0,0.0,0.0,0.0,0,0.0,0.0
Tyler Lockett,SEA,WR,15,6,114,1,0.0,,0.0,,,0,0.0,0.0,0.0,0,0.0,0.0
Mike Tolbert,CAR,FB,16,35,114,0,0.0,,0.0,,,0,0.0,0.0,0.0,0,0.0,0.0
Orleans Darkwa,NYG,RB,10,30,111,2,0.0,,0.0,,,0,0.0,0.0,0.0,0,0.0,0.0
Akeem Hunt,HOU,RB,8,20,109,0,0.0,,0.0,,,0,0.0,0.0,0.0,0,0.0,0.0
Jonathan Grimes,HOU,RB,10,23,105,0,0.0,,0.0,,,0,0.0,0.0,0.0,0,0.0,0.0
Kevin Hogan,CLE,QB,4,8,105,1,0.0,,0.0,,,0,0.0,0.0,0.0,0,0.0,0.0
Ameer Abdullah,DET,RB,2,18,101,0,0.0,,0.0,,,0,0.0,0.0,0.0,0,0.0,0.0
Benny Cunningham,LAR,RB,11,21,101,0,0.0,,0.0,,,0,0.0,0.0,0.0,0,0.0,0.0
Ted Ginn,CAR,WR,16,14,98,0,0.0,,0.0,,,0,0.0,0.0,0.0,0,0.0,0.0
Kirk Cousins,WAS,QB,16,34,96,4,0.0,,0.0,,,0,0.0,0.0,0.0,0,0.0,0.0
Andre Ellington,ARI,RB,16,34,96,0,0.0,,0.0,,,0,0.0,0.0,0.0,0,0.0,0.0
Chris Johnson,ARI,RB,4,25,95,1,0.0,,0.0,,,0,0.0,0.0,0.0,0,0.0,0.0
