,,,,Rushing,,,,Red Zone Rush Att,,,,Red Zone Rush TD,,
Derrick Henry,TEN,RB,15,110,490,4.5,5,22,11,4,28.95,5,4,3
Christine Michael,SEA,RB,9,117,469,4.0,6,21,12,9,30.00,5,5,4
Colin Kaepernick,SF,QB,12,69,468,6.8,2,7,3,1,10.61,2,1,1
DeAndre Washington,OAK,RB,14,87,467,5.4,2,4,3,2,6.67,0,0,0
T.J. Yeldon,JAX,RB,15,130,465,3.6,1,10,2,2,32.26,1,1,1
Matt Jones,WAS,RB,7,99,460,4.6,3,18,6,3,26.47,3,2,2
Ty Montgomery,GB,RB,15,77,457,5.9,3,14,7,5,23.33,3,3,3
Paul Perkins,NYG,RB,14,112,456,4.1,0,9,2,1,20.45,0,0,0
Chris Ivory,JAX,RB,11,117,439,3.8,3,13,11,9,41.94,3,3,3
Darren Sproles,PHI,RB,15,94,438,4.7,2,18,8,3,23.08,1,1,1
C.J. Anderson,DEN,RB,7,110,437,4.0,4,23,12,9,36.51,4,4,3
Doug Martin,TB,RB,8,144,421,2.9,3,23,12,9,38.33,3,3,3
Alfred Blue,HOU,RB,14,100,420,4.2,1,16,11,4,24.62,0,0,0
Matt Asiata,MIN,RB,16,121,402,3.3,6,36,29,20,52.17,6,6,6
Kenneth Dixon,BAL,RB,12,88,382,4.3,2,7,2,2,15.22,2,1,1
Aaron Rodgers,GB,QB,16,67,369,5.5,4,13,7,2,21.67,4,3,0
Eddie Lacy,GB,RB,5,71,360,5.1,0,11,6,3,18.33,0,0,0
Blake Bortles,JAX,QB,16,58,359,6.2,3,6,4,3,19.35,2,2,2
Cam Newton,CAR,QB,15,90,359,4.0,5,19,11,8,24.68,5,5,5
Duke Johnson,CLE,RB,16,73,358,4.9,1,7,5,1,15.22,1,1,1
Theo Riddick,DET,RB,10,92,357,3.9,1,7,5,2,17.07,0,0,0
Chris Thompson,WAS,RB,16,68,356,5.2,3,7,4,2,10.29,2,2,1
Marcus Mariota,TEN,QB,15,60,349,5.8,2,8,3,1,10.53,2,1,1
Thomas Rawls,SEA,RB,9,109,349,3.2,3,19,8,4,27.14,2,2,1
Rex Burkhead,CIN,RB,16,74,344,4.6,2,14,8,5,16.87,2,2,2
DeAngelo Williams,PIT,RB,9,98,343,3.5,4,10,4,3,20.41,4,3,2
Andrew Luck,IND,QB,15,64,341,5.3,2,7,1,0,10.14,2,0,0
Giovani Bernard,CIN,RB,10,91,337,3.7,2,13,7,3,15.66,2,2,1
Zach Zenner,DET,RB,14,88,334,3.8,4,15,8,5,36.59,4,4,3
Wendell Smallwood,PHI,RB,13,77,312,4.1,1,7,3,2,8.97,1,1,1
Charcandrick West,KC,RB,15,88,293,3.3,1,15,11,4,22.39,1,1,1
Dion Lewis,NE,RB,7,64,283,4.4,0,14,7,2,13.46,0,0,0
Dak Prescott,DAL,QB,16,57,282,4.9,6,10,9,4,16.13,6,6,3
Tyreek Hill,KC,WR,16,24,267,11.1,3,4,1,1,5.97,1,1,1
Fozzy Whittaker,CAR,RB,16,57,265,4.6,0,7,2,0,9.09,0,0,0
Dwayne Washington,DET,RB,12,90,265,2.9,1,6,4,4,14.63,1,1,1
Russell Wilson,SEA,QB,16,72,259,3.6,1,6,4,2,8.57,1,1,1
Alfred Morris,DAL,RB,14,69,243,3.5,2,6,2,2,9.68,2,2,2
Peyton Barber,TB,RB,15,55,223,4.1,1,8,3,0,13.33,0,0,0
Matthew Stafford,DET,QB,16,37,207,5.6,2,7,4,2,17.07,2,2,1
Jeremy Langford,CHI,RB,12,62,200,3.2,4,9,8,7,19.15,4,4,4
Shaun Draughn,SF,RB,16,74,196,2.6,4,10,7,5,15.15,4,4,4
Kenneth Farrow,SD,RB,13,60,192,3.2,0,8,3,2,11.27,0,0,0
Robert Griffin,CLE,QB,5,31,190,6.1,2,2,1,1,4.35,2,1,1
Andy Dalton,CIN,QB,16,46,184,4.0,4,6,4,4,7.23,4,4,4
Kenyan Drake,MIA,RB,16,33,179,5.4,2,3,2,0,5.17,1,1,0
Blaine Gabbert,SF,QB,6,40,173,4.3,2,6,2,2,9.09,2,2,2
C.J. Prosise,SEA,RB,6,30,172,5.7,1,8,5,2,11.43,0,0,0
James White,NE,RB,16,39,166,4.3,0,4,4,2,3.85,0,0,0
Jameis Winston,TB,QB,16,53,165,3.1,1,5,3,0,8.33,1,1,0
Ryan Tannehill,MIA,QB,13,39,164,4.2,1,9,4,3,15.52,1,1,1
Robert Turbin,IND,RB,15,47,164,3.5,7,19,15,10,27.54,7,7,5
Corey Grant,JAX,RB,11,32,164,5.1,1,2,1,0,6.45,0,0,0
Tavon Austin,LAR,WR,15,28,159,5.7,1,4,2,0,8.89,0,0,0
Shane Vereen,NYG,RB,5,33,158,4.8,1,7,5,3,15.91,1,1,1
Kerwynn Williams,ARI,RB,10,18,157,8.7,2,4,2,2,5.13,1,1,1
Justin Forsett,DEN,RB,4,43,155,3.6,1,4,2,1,6.35,1,1,1
Terron Ward,ATL,RB,5,31,151,4.9,0,5,3,2,5.68,0,0,0
Carson Wentz,PHI,QB,16,46,150,3.3,2,8,3,3,10.26,2,2,2
Aaron Ripkowski,GB,FB,16,34,150,4.4,2,9,4,2,15.00,2,2,2
Charles Sims,TB,RB,7,51,149,2.9,1,6,4,3,10.00,1,1,1
James Starks,GB,RB,9,63,145,2.3,0,7,4,2,11.67,0,0,0
Cameron Artis-Payne,CAR,RB,3,36,144,4.0,2,3,1,1,3.90,2,1,1
Denard Robinson,JAX,RB,13,41,144,3.5,0,0,0,0,0.00,0,0,0
DuJuan Harris,SF,RB,10,38,138,3.6,0,7,5,3,10.61,0,0,0
Alex Smith,KC,QB,15,48,134,2.8,5,12,8,3,17.91,5,4,2
Brock Osweiler,HOU,QB,15,30,131,4.4,2,6,2,2,9.23,2,2,2
Ryan Fitzpatrick,NYJ,QB,14,33,130,3.9,0,6,2,1,8.96,0,0,0
Kenjon Barner,PHI,RB,13,27,129,4.8,2,5,4,1,6.41,2,2,1
Kapri Bibbs,DEN,RB,12,29,129,4.4,0,0,0,0,0.00,0,0,0
Ka'Deem Carey,CHI,RB,12,32,126,3.9,0,4,1,0,8.51,0,0,0
Alex Collins,SEA,RB,11,31,125,4.0,1,6,2,2,8.57,1,1,1
Matt Ryan,ATL,QB,16,35,117,3.3,0,6,3,1,6.82,0,0,0
Danny Woodhead,SD,RB,2,19,116,6.1,0,3,0,0,4.23,0,0,0
Damien Williams,MIA,RB,15,35,115,3.3,3,10,6,6,17.24,3,2,2
Tyler Lockett,SEA,WR,15,6,114,19.0,1,1,0,0,1.43,0,0,0
Mike Tolbert,CAR,FB,16,35,114,3.3,0,7,4,2,9.09,0,0,0
Christine Michael,GB,RB,6,31,114,3.7,1,1,0,0,1.67,0,0,0
Orleans Darkwa,NYG,RB,10,30,111,3.7,2,5,3,3,11.36,2,2,2
Akeem Hunt,HOU,RB,8,20,109,5.5,0,5,2,1,7.69,0,0,0
Kevin Hogan,CLE,QB,4,8,105,13.1,1,0,0,0,0.00,0,0,0
Jonathan Grimes,HOU,RB,10,23,105,4.6,0,1,0,0,1.54,0,0,0
Ameer Abdullah,DET,RB,2,18,101,5.6,0,2,0,0,4.88,0,0,0
Benny Cunningham,LAR,RB,11,21,101,4.8,0,3,2,2,6.67,0,0,0
Ted Ginn,CAR,WR,16,14,98,7.0,0,1,0,0,1.30,0,0,0
Justin Forsett,BAL,RB,3,31,98,3.2,0,2,2,0,4.35,0,0,0
Kirk Cousins,WAS,QB,16,34,96,2.8,4,7,4,3,10.29,4,3,2
Andre Ellington,ARI,RB,16,34,96,2.8,0,6,3,1,7.69,0,0,0
Chris Johnson,ARI,RB,4,25,95,3.8,1,8,3,2,10.26,1,1,1
Jonathan Williams,BUF,RB,11,27,94,3.5,1,7,5,4,8.05,1,1,1
Darren McFadden,DAL,RB,3,24,87,3.6,0,2,2,2,3.23,0,0,0
Andre Williams,SD,RB,1,18,87,4.8,0,1,1,0,1.41,0,0,0
J.J. Nelson,ARI,WR,15,4,83,20.8,1,1,0,0,1.28,0,0,0
Jacoby Brissett,NE,QB,3,16,83,5.2,1,1,0,0,0.96,0,0,0
Mack Brown,WAS,RB,9,8,82,10.3,1,2,2,1,2.94,0,0,0
Lucky Whitehead,DAL,WR,15,10,82,8.2,0,0,0,0,0.00,0,0,0
Ronnie Hillman,SD,RB,3,23,81,3.5,0,3,1,1,4.23,0,0,0
Adrian Peterson,MIN,RB,3,37,72,1.9,0,3,0,0,4.35,0,0,0
Michael Campanaro,BAL,WR,3,3,72,24.0,0,0,0,0,0.00,0,0,0
Derek Carr,OAK,QB,15,39,70,1.8,0,6,0,0,10.00,0,0,0
Tom Brady,NE,QB,12,28,64,2.3,0,10,8,6,9.62,0,0,0
Byron Marshall,PHI,RB,3,19,64,3.4,0,3,1,0,3.85,0,0,0
Bobby Rainey,NYG,RB,15,17,63,3.7,0,1,0,0,2.27,0,0,0
Darrius Heyward-Bey,PIT,WR,10,1,60,60.0,1,0,0,0,0.00,0,0,0
Jordan Todman,IND,RB,16,9,59,6.6,0,3,0,0,4.35,0,0,0
Joe Flacco,BAL,QB,16,21,58,2.8,2,5,3,2,10.87,2,2,1
Tyler Boyd,CIN,WR,16,4,58,14.5,0,0,0,0,0.00,0,0,0
Fitzgerald Toussaint,PIT,RB,16,14,58,4.1,0,0,0,0,0.00,0,0,0
Trevor Siemian,DEN,QB,14,28,57,2.0,0,4,1,0,6.35,0,0,0
Julian Edelman,NE,WR,16,12,57,4.8,0,2,1,0,1.92,0,0,0
Arian Foster,MIA,RB,4,22,55,2.5,0,3,2,2,5.17,0,0,0
Sam Bradford,MIN,QB,15,20,53,2.7,0,2,0,0,2.90,0,0,0
Case Keenum,LAR,QB,10,20,51,2.6,1,2,1,1,4.44,1,1,1
Taylor Gabriel,ATL,WR,13,4,51,12.8,1,1,1,0,1.14,1,1,0
Albert Wilson,KC,WR,16,2,50,25.0,1,1,0,0,1.49,0,0,0
Mike Davis,SF,RB,8,19,50,2.6,1,2,2,1,3.03,1,1,1
Ronnie Hillman,MIN,RB,5,18,50,2.8,0,1,0,0,1.45,0,0,0
Brandon Tate,BUF,WR,15,3,48,16.0,0,0,0,0,0.00,0,0,0
Jamize Olawale,OAK,FB,16,17,47,2.8,2,5,4,4,8.33,2,2,2
Antone Smith,TB,RB,3,10,47,4.7,0,1,1,0,1.67,0,0,0
Cordarrelle Patterson,MIN,WR,16,7,43,6.1,0,0,0,0,0.00,0,0,0
Johnny Holton,OAK,WR,15,6,43,7.2,0,0,0,0,0.00,0,0,0
Troymaine Pope,SEA,RB,3,11,43,3.9,0,2,1,0,2.86,0,0,0
Robby Anderson,NYJ,WR,16,3,42,14.0,0,0,0,0,0.00,0,0,0
Jamaal Charles,KC,RB,3,12,40,3.3,1,4,3,2,5.97,1,1,1
Malcolm Brown,LAR,RB,16,18,39,2.2,0,0,0,0,0.00,0,0,0
Carson Palmer,ARI,QB,15,14,38,2.7,0,1,1,1,1.28,0,0,0
Jeff Janis,GB,WR,16,2,38,19.0,1,1,0,0,1.67,1,0,0
Justin Forsett,DET,RB,2,13,38,2.9,0,1,0,0,2.44,0,0,0
John Kuhn,NO,FB,16,18,37,2.1,4,7,4,4,7.95,4,4,4
Josh Bellamy,CHI,WR,16,4,37,9.3,0,1,0,0,2.13,0,0,0
Philip Rivers,SD,QB,16,14,35,2.5,0,3,1,1,4.23,0,0,0
Marqise Lee,JAX,WR,16,6,35,5.8,0,0,0,0,0.00,0,0,0
George Atkinson,CLE,RB,16,7,34,4.9,1,2,2,1,4.35,1,1,1
Javorius Allen,BAL,RB,8,9,34,3.8,0,1,0,0,2.17,0,0,0
Randall Cobb,GB,WR,13,10,33,3.3,0,2,2,1,3.33,0,0,0
Andy Janovich,DEN,FB,11,4,33,8.3,1,2,2,2,3.17,0,0,0
Daniel Lasco,NO,RB,7,11,32,2.9,0,3,1,1,3.41,0,0,0
Don Jackson,GB,RB,3,10,32,3.2,0,1,1,0,1.67,0,0,0
Mike Wallace,BAL,WR,16,5,31,6.2,0,0,0,0,0.00,0,0,0
Sterling Shepard,NYG,WR,16,3,31,10.3,0,0,0,0,0.00,0,0,0
Lance Dunbar,DAL,RB,13,9,31,3.4,1,3,2,1,4.84,1,1,1
Brandin Cooks,NO,WR,16,6,30,5.0,0,3,1,0,3.41,0,0,0
De'Anthony Thomas,KC,WR,12,4,29,7.3,0,1,1,1,1.49,0,0,0
Terrell Watson,PHI,RB,1,9,28,3.1,1,0,0,0,0.00,0,0,0
Brandon Wilds,NYJ,RB,4,10,27,2.7,0,2,1,0,2.99,0,0,0
Juwan Thompson,DEN,RB,8,8,26,3.3,1,2,2,2,3.17,1,1,1
Paxton Lynch,DEN,QB,3,11,25,2.3,0,0,0,0,0.00,0,0,0
Jay Cutler,CHI,QB,5,5,24,4.8,0,0,0,0,0.00,0,0,0
D.J. Foster,NE,RB,3,7,24,3.4,0,1,1,0,0.96,0,0,0
Knile Davis,KC,RB,9,13,23,1.8,0,2,0,0,2.99,0,0,0
Kyle Juszczyk,BAL,FB,16,5,22,4.4,1,1,1,0,2.17,1,1,0
EJ Manuel,BUF,QB,6,8,22,2.8,0,1,1,0,1.15,0,0,0
Isaiah Pead,MIA,RB,3,8,22,2.8,0,0,0,0,0.00,0,0,0
Khiry Robinson,NYJ,RB,1,8,22,2.8,0,2,1,0,2.99,0,0,0
Terrelle Pryor,CLE,WR,16,8,21,2.6,1,1,1,1,2.17,1,1,1
Josh McCown,CLE,QB,5,7,21,3.0,0,2,0,0,4.35,0,0,0
Drew Brees,NO,QB,16,23,20,0.9,2,9,5,2,10.23,2,2,2
Josh Ferguson,IND,RB,16,15,20,1.3,0,8,0,0,11.59,0,0,0
Bryce Petty,NYJ,QB,6,5,19,3.8,0,1,1,0,1.49,0,0,0
Travaris Cadet,NO,RB,15,4,19,4.8,0,1,1,0,1.14,0,0,0
Chris Moore,BAL,WR,15,3,19,6.3,0,0,0,0,0.00,0,0,0
Mike James,TB,RB,4,4,19,4.8,0,1,0,0,1.67,0,0,0
Cody Kessler,CLE,QB,9,11,18,1.6,0,3,2,1,6.52,0,0,0
Adam Humphries,TB,WR,15,5,18,3.6,0,0,0,0,0.00,0,0,0
Jarvis Landry,MIA,WR,16,5,17,3.4,0,0,0,0,0.00,0,0,0
Jared Goff,LAR,QB,7,8,16,2.0,1,1,1,1,2.22,1,1,1
Adam Thielen,MIN,WR,16,2,15,7.5,0,1,0,0,1.45,0,0,0
Kendall Wright,TEN,WR,11,1,15,15.0,0,0,0,0,0.00,0,0,0
Zach Line,MIN,FB,15,7,15,2.1,0,1,1,0,1.45,0,0,0
Cedric Peerman,CIN,RB,6,6,15,2.5,0,1,0,0,1.20,0,0,0
Antonio Andrews,TEN,RB,16,2,15,7.5,0,0,0,0,0.00,0,0,0
Marc Mariani,TEN,WR,16,1,15,15.0,0,0,0,0,0.00,0,0,0
Ben Roethlisberger,PIT,QB,14,16,14,0.9,1,5,4,2,10.20,1,1,1
Sammie Coates,PIT,WR,14,4,14,3.5,0,1,0,0,2.04,0,0,0
Nelson Agholor,PHI,WR,15,5,14,2.8,0,0,0,0,0.00,0,0,0
Jerome Felton,BUF,FB,15,8,13,1.6,0,3,2,2,3.45,0,0,0
Quincy Enunwa,NYJ,WR,16,1,12,12.0,0,0,0,0,0.00,0,0,0
Tom Savage,HOU,QB,3,6,12,2.0,0,0,0,0,0.00,0,0,0
Stepfan Taylor,ARI,RB,15,4,12,3.0,0,0,0,0,0.00,0,0,0
Terrence Magee,SEA,RB,2,3,12,4.0,0,0,0,0,0.00,0,0,0
Delanie Walker,TEN,TE,15,2,11,5.5,0,1,0,0,1.32,0,0,0
Tommylee Lewis,NO,WR,12,3,11,3.7,0,1,1,0,1.14,0,0,0
Percy Harvin,BUF,WR,2,1,11,11.0,0,0,0,0,0.00,0,0,0
Bronson Hill,JAX,RB,3,2,11,5.5,0,0,0,0,0.00,0,0,0
Martellus Bennett,NE,TE,16,2,10,5.0,0,0,0,0,0.00,0,0,0
Stefon Diggs,MIN,WR,13,3,10,3.3,0,1,0,0,1.45,0,0,0
Phillip Dorsett,IND,WR,15,2,10,5.0,0,0,0,0,0.00,0,0,0
John Brown,ARI,WR,15,1,10,10.0,0,0,0,0,0.00,0,0,0
Corey Coleman,CLE,WR,10,2,10,5.0,0,0,0,0,0.00,0,0,0
Josh Huff,PHI,WR,7,3,10,3.3,0,0,0,0,0.00,0,0,0
Antonio Brown,PIT,WR,15,3,9,3.0,0,0,0,0,0.00,0,0,0
Odell Beckham,NYG,WR,16,1,9,9.0,0,0,0,0,0.00,0,0,0
Chris Hogan,NE,WR,15,3,9,3.0,0,0,0,0,0.00,0,0,0
Russell Shepard,TB,WR,14,1,9,9.0,0,0,0,0,0.00,0,0,0
Kevin White,CHI,WR,4,1,9,9.0,0,0,0,0,0.00,0,0,0
Geno Smith,NYJ,QB,2,2,9,4.5,0,0,0,0,0.00,0,0,0
C.J. Spiller,SEA,RB,2,3,9,3.0,0,2,0,0,2.86,0,0,0
C.J. Spiller,NYJ,RB,4,3,9,3.0,0,0,0,0,0.00,0,0,0
Jay Prosch,HOU,FB,15,4,9,2.3,0,0,0,0,0.00,0,0,0
Paul Lasike,CHI,FB,10,3,8,2.7,0,0,0,0,0.00,0,0,0
Cole Beasley,DAL,WR,16,1,7,7.0,0,0,0,0,0.00,0,0,0
Bryce Treggs,PHI,WR,9,2,7,3.5,0,0,0,0,0.00,0,0,0
Quan Bray,IND,WR,6,1,7,7.0,0,0,0,0,0.00,0,0,0
Stevan Ridley,ATL,RB,1,3,7,2.3,0,0,0,0,0.00,0,0,0
Daryl Richardson,PIT,RB,3,2,7,3.5,0,0,0,0,0.00,0,0,0
Joe Banyard,JAX,RB,1,2,7,3.5,0,0,0,0,0.00,0,0,0
Brandon McManus,DEN,K,16,1,6,6.0,0,0,0,0,0.00,0,0,0
Cameron Meredith,CHI,WR,14,1,6,6.0,0,1,1,0,2.13,0,0,0
Eli Rogers,PIT,WR,13,1,6,6.0,0,0,0,0,0.00,0,0,0
Robert Woods,BUF,WR,13,1,6,6.0,0,0,0,0,0.00,0,0,0
Jimmy Garoppolo,NE,QB,6,10,6,0.6,0,1,0,0,0.96,0,0,0
Corey Brown,CAR,WR,16,2,6,3.0,0,0,0,0,0.00,0,0,0
Joique Bell,CHI,RB,4,3,6,2.0,0,0,0,0,0.00,0,0,0
Raheem Mostert,SF,RB,1,1,6,6.0,0,1,0,0,1.52,0,0,0
Larry Fitzgerald,ARI,WR,16,2,5,2.5,0,0,0,0,0.00,0,0,0
Mohamed Sanu,ATL,WR,15,1,5,5.0,0,1,1,0,1.14,0,0,0
Paul Richardson,SEA,WR,15,1,5,5.0,0,1,0,0,1.43,0,0,0
Shaun Hill,MIN,QB,3,5,5,1.0,0,0,0,0,0.00,0,0,0
Josh Huff,TB,WR,3,1,5,5.0,0,1,0,0,1.67,0,0,0
Keith Smith,DAL,FB,16,2,5,2.5,0,0,0,0,0.00,0,0,0
Shane Wynn,JAX,WR,5,2,5,2.5,0,0,0,0,0.00,0,0,0
Knile Davis,GB,RB,2,5,5,1.0,0,1,0,0,1.67,0,0,0
Matthew Slater,NE,WR,13,1,5,5.0,0,0,0,0,0.00,0,0,0
Emmanuel Sanders,DEN,WR,16,1,4,4.0,0,0,0,0,0.00,0,0,0
Golden Tate,DET,WR,16,10,4,0.4,0,2,0,0,4.88,0,0,0
Bryan Walters,JAX,WR,10,1,4,4.0,0,0,0,0,0.00,0,0,0
Derek Anderson,CAR,QB,5,1,4,4.0,0,0,0,0,0.00,0,0,0
Derek Watt,SD,FB,16,2,4,2.0,0,0,0,0,0.00,0,0,0
Brandon Bolden,NE,RB,14,1,4,4.0,0,0,0,0,0.00,0,0,0
Bralon Addison,CHI,WR,2,1,4,4.0,0,0,0,0,0.00,0,0,0
Marvin Jones,DET,WR,15,1,3,3.0,0,0,0,0,0.00,0,0,0
Matt Cassel,TEN,QB,4,4,3,0.8,0,0,0,0,0.00,0,0,0
Scott Tolzien,IND,QB,3,6,3,0.5,0,2,2,2,2.90,0,0,0
Tyler Ervin,HOU,RB,12,1,3,3.0,0,0,0,0,0.00,0,0,0
Jalston Fowler,TEN,FB,16,1,3,3.0,0,0,0,0,0.00,0,0,0
Doug Baldwin,SEA,WR,16,3,2,0.7,0,1,0,0,1.43,0,0,0
Matt Barkley,CHI,QB,7,7,2,0.3,0,0,0,0,0.00,0,0,0
Coby Fleener,NO,TE,16,1,2,2.0,1,1,1,1,1.14,1,1,1
Breshad Perriman,BAL,WR,16,1,2,2.0,0,0,0,0,0.00,0,0,0
Malcolm Johnson,CLE,FB,7,1,2,2.0,0,1,0,0,2.17,0,0,0
Bradley Marquez,LAR,WR,14,1,2,2.0,0,0,0,0,0.00,0,0,0
Dexter McCluster,SD,RB,6,3,2,0.7,0,1,1,0,1.41,0,0,0
J.D. McKissic,SEA,RB,1,1,2,2.0,0,0,0,0,0.00,0,0,0
Will Tukuafu,SEA,FB,7,2,2,1.0,0,0,0,0,0.00,0,0,0
Eric Ebron,DET,TE,13,1,1,1.0,1,1,1,1,2.44,1,1,1
Tajae Sharpe,TEN,WR,16,1,1,1.0,0,1,0,0,1.32,0,0,0
Charlie Whitehurst,CLE,QB,1,2,1,0.5,0,0,0,0,0.00,0,0,0
Rhett Ellison,MIN,TE,15,1,1,1.0,1,1,1,1,1.45,1,1,1
Trevone Boykin,SEA,QB,5,8,1,0.1,0,1,0,0,1.43,0,0,0
George Farmer,SEA,RB,2,1,1,1.0,0,1,1,0,1.43,0,0,0
Troymaine Pope,NYJ,RB,1,1,1,1.0,0,0,0,0,0.00,0,0,0
Troymaine Pope,NYJ,RB,1,1,1,1.0,0,0,0,0,0.00,0,0,0
Jakeem Grant,MIA,WR,16,1,1,1.0,0,0,0,0,0.00,0,0,0
Amari Cooper,OAK,WR,16,1,0,0.0,0,0,0,0,0.00,0,0,0
Jimmy Graham,SEA,TE,16,1,0,0.0,0,0,0,0,0.00,0,0,0
Andrew Hawkins,CLE,WR,16,2,0,0.0,0,0,0,0,0.00,0,0,0
Jordan Norwood,DEN,WR,14,1,0,0.0,0,0,0,0,0.00,0,0,0
Braxton Miller,HOU,WR,10,3,0,0.0,0,2,1,0,3.08,0,0,0
Marcel Reece,SEA,FB,4,2,0,0.0,0,1,1,1,1.43,0,0,0
David Fales,CHI,QB,1,1,0,0.0,0,0,0,0,0.00,0,0,0
Lorenzo Taliaferro,BAL,FB,3,1,0,0.0,0,0,0,0,0.00,0,0,0
Joe Kerridge,GB,FB,8,1,0,0.0,0,0,0,0,0.00,0,0,0
Donte Moncrief,IND,WR,9,1,-1,-1.0,0,0,0,0,0.00,0,0,0
Matt Moore,MIA,QB,4,1,-1,-1.0,0,1,1,0,1.72,0,0,0
Jeremy Maclin,KC,WR,12,1,-1,-1.0,0,0,0,0,0.00,0,0,0
Cardale Jones,BUF,QB,1,1,-1,-1.0,0,1,0,0,1.15,0,0,0
Sean Mannion,LAR,QB,1,1,-1,-1.0,0,0,0,0,0.00,0,0,0
Kellen Clemens,SD,QB,12,2,-1,-0.5,0,0,0,0,0.00,0,0,0
Jamison Crowder,WAS,WR,16,2,-2,-1.0,0,0,0,0,0.00,0,0,0
Brandon LaFell,CIN,WR,16,1,-2,-2.0,0,0,0,0,0.00,0,0,0
Brian Hoyer,CHI,QB,6,7,-2,-0.3,0,0,0,0,0.00,0,0,0
Mark Sanchez,DAL,QB,2,4,-2,-0.5,0,2,0,0,3.23,0,0,0
Brett Hundley,GB,QB,4,3,-2,-0.7,0,0,0,0,0.00,0,0,0
Matt Schaub,ATL,QB,4,2,-2,-1.0,0,0,0,0,0.00,0,0,0
Chad Henne,JAX,QB,1,1,-2,-2.0,0,0,0,0,0.00,0,0,0
Travis Benjamin,SD,WR,14,2,-3,-1.5,0,0,0,0,0.00,0,0,0
Will Fuller,HOU,WR,14,1,-3,-3.0,0,1,0,0,1.54,0,0,0
Drew Stanton,ARI,QB,5,3,-3,-1.0,0,0,0,0,0.00,0,0,0
Reggie Bush,BUF,RB,13,12,-3,-0.3,1,3,2,1,3.45,1,1,1
Matt McGloin,OAK,QB,3,3,-3,-1.0,0,0,0,0,0.00,0,0,0
Landry Jones,PIT,QB,8,6,-4,-0.7,0,0,0,0,0.00,0,0,0
Nick Foles,KC,QB,3,4,-4,-1.0,0,0,0,0,0.00,0,0,0
Brandon Burks,NYJ,RB,1,2,-4,-2.0,0,2,2,2,2.99,0,0,0
Travis Kelce,KC,TE,16,1,-5,-5.0,0,1,1,1,1.49,0,0,0
