,,,,Rushing,,,,Red Zone Rush Att,,,,Red Zone Rush TD,,
Name,Team,Pos,G,ATT,YDS,AVG,TD,In20,In10,In5,%Tm,In20,In10,In5
Ezekiel Elliott,DAL,RB,15,322,1631,5.1,15,39,24,13,62.90,12,10,7
Jordan Howard,CHI,RB,15,252,1313,5.2,6,32,16,10,68.09,6,6,5
DeMarco Murray,TEN,RB,16,293,1287,4.4,9,44,29,15,57.89,8,7,7
Jay Ajayi,MIA,RB,15,260,1272,4.9,8,32,17,8,55.17,7,5,5
Le'Veon Bell,PIT,RB,12,261,1268,4.9,7,33,14,7,67.35,7,7,5
LeSean McCoy,BUF,RB,15,234,1267,5.4,13,37,24,10,42.53,11,8,5
David Johnson,ARI,RB,16,293,1239,4.2,16,58,35,25,74.36,14,13,12
LeGarrette Blount,NE,RB,16,299,1161,3.9,18,71,42,29,68.27,16,15,13
Devonta Freeman,ATL,RB,16,227,1079,4.8,11,53,30,19,60.23,9,8,7
Lamar Miller,HOU,RB,14,268,1073,4.0,5,34,15,8,52.31,5,5,5
Mark Ingram,NO,RB,16,205,1043,5.1,6,37,22,9,42.05,5,4,2
Frank Gore,IND,RB,16,263,1025,3.9,4,30,19,10,43.48,4,4,2
Melvin Gordon,SD,RB,13,254,997,3.9,10,52,29,20,73.24,10,10,9
Carlos Hyde,SF,RB,13,217,988,4.6,6,33,14,6,50.00,6,5,3
Isaiah Crowell,CLE,RB,16,198,952,4.8,7,28,18,13,60.87,6,6,5
Spencer Ware,KC,RB,14,214,921,4.3,3,27,20,11,40.30,3,3,3
Todd Gurley,LAR,RB,16,278,885,3.2,6,35,20,10,77.78,5,5,5
Jeremy Hill,CIN,RB,15,222,839,3.8,9,48,25,16,57.83,8,7,6
Jonathan Stewart,CAR,RB,13,218,824,3.8,9,40,22,16,51.95,9,9,9
Matt Forte,NYJ,RB,14,218,813,3.7,7,33,16,12,49.25,6,5,5
Latavius Murray,OAK,RB,14,195,788,4.0,12,40,26,17,66.67,11,11,9
Terrance West,BAL,RB,16,193,774,4.0,5,30,10,8,65.22,5,4,3
Bilal Powell,NYJ,RB,16,131,722,5.5,3,21,9,3,31.34,2,1,1
Rob Kelley,WAS,RB,15,168,704,4.2,6,34,17,10,50.00,5,5,4
Ryan Mathews,PHI,RB,13,155,661,4.3,8,37,25,17,47.44,8,8,7
Devontae Booker,DEN,RB,16,174,612,3.5,4,28,12,6,44.44,4,3,2
Rashad Jennings,NYG,RB,13,181,593,3.3,3,16,10,7,36.36,3,3,3
Tyrod Taylor,BUF,QB,15,95,580,6.1,6,17,12,8,19.54,5,3,1
Mike Gillislee,BUF,RB,15,101,577,5.7,8,18,11,10,20.69,7,7,7
Jacquizz Rodgers,TB,RB,10,129,560,4.3,2,15,5,4,25.00,2,2,2
Tim Hightower,NO,RB,16,133,548,4.1,4,26,16,12,29.55,4,4,4
Jerick McKinnon,MIN,RB,15,159,539,3.4,2,23,12,3,33.33,2,1,1
Tevin Coleman,ATL,RB,13,118,520,4.4,8,22,11,4,25.00,6,5,3
Jalen Richard,OAK,RB,16,83,491,5.9,1,5,0,0,8.33,0,0,0
