,,Week 5 Game,,,,Fantasy,Defensive Stats,,,,,,Touchdowns,,,
Rank,Team,OPP,Fav,Spread,O/U,Points,Points Against,Yards Against,Sacks,Int,Fum Rec,Safeties,Int TD,Fum TD,Kick TD,Punt TD
1,NE,DEN,-,-,,7.78,19.50,309.33,2.86,1.10,0.66,0.07,0.07,0.07,0.00,0.07
2,NE,DEN,NE,-11.0,,7.78,19.50,309.33,2.86,1.10,0.66,0.07,0.07,0.07,0.00,0.07
3,PIT,PHI,PIT,-7.0,44.0,7.74,19.00,344.93,2.98,0.89,0.63,0.07,0.13,0.13,0.00,0.00
4,BAL,CIN,BAL,-12.5,50.5,7.69,19.00,341.21,2.68,0.96,0.64,0.07,0.13,0.07,0.00,0.07
5,LAR,WAS,LAR,-7.5,46.5,7.66,19.50,328.33,3.24,0.97,0.76,0.00,0.08,0.08,0.00,0.00
6,SF,MIA,SF,-9.0,50.5,7.48,19.50,363.44,2.70,0.85,0.62,0.05,0.12,0.12,0.05,0.00
7,TB,CHI,TB,-3.5,44.0,7.45,20.50,350.20,2.80,0.95,0.68,0.07,0.14,0.07,0.00,0.00
8,NO,LAC,NO,-8.0,50.5,7.28,22.00,337.18,2.60,0.89,0.64,0.06,0.13,0.06,0.00,0.06
9,ARI,NYJ,ARI,-7.5,47.0,7.18,19.75,315.93,2.90,0.86,0.65,0.00,0.07,0.07,0.07,0.00
10,KC,LV,KC,-11.0,55.5,6.90,22.25,374.30,2.65,0.89,0.56,0.00,0.07,0.07,0.00,0.07
11,IND,CLE,IND,-1.0,47.5,6.82,23.25,364.64,2.71,0.86,0.62,0.00,0.13,0.06,0.00,0.00
12,DAL,NYG,DAL,-8.5,54.0,6.82,19.00,334.46,2.66,0.80,0.60,0.00,0.08,0.15,0.00,0.00
13,CLE,IND,IND,1,47.5,6.61,24.25,387.99,2.84,0.91,0.59,0.00,0.06,0.06,0.00,0.00
14,HOU,JAX,HOU,-5.5,54.5,6.50,24.50,392.60,2.90,0.89,0.70,0.00,0.00,0.07,0.00,0.00
15,CHI,TB,TB,3.5,44.0,6.37,24.00,368.81,2.52,0.80,0.56,0.00,0.06,0.06,0.06,0.00
16,TEN,BUF,-,-,,6.31,22.75,391.09,2.69,0.81,0.63,0.00,0.06,0.06,0.00,0.00
17,TEN,BUF,-,-,,6.31,22.75,391.09,2.69,0.81,0.63,0.00,0.06,0.06,0.00,0.00
18,SEA,MIN,SEA,-7.0,57.0,6.29,23.75,395.36,2.47,0.77,0.57,0.00,0.06,0.13,0.00,0.00
19,BUF,TEN,-,-,,6.22,22.75,358.94,2.12,0.80,0.54,0.05,0.17,0.05,0.00,0.00
20,BUF,TEN,-,-,,6.22,22.75,358.94,2.12,0.80,0.54,0.05,0.17,0.05,0.00,0.00
21,DEN,NE,-,-,,6.10,27.00,371.11,2.28,0.83,0.54,0.00,0.06,0.06,0.00,0.06
22,DEN,NE,NE,11,,6.10,27.00,371.11,2.28,0.83,0.54,0.00,0.06,0.06,0.00,0.06
23,WAS,LAR,LAR,7.5,46.5,6.07,27.00,407.78,2.53,0.71,0.53,0.00,0.06,0.06,0.06,0.00
24,PHI,PIT,PIT,7,44.0,5.95,26.25,404.78,2.35,0.74,0.52,0.05,0.05,0.11,0.00,0.00
25,ATL,CAR,ATL,-1.0,53.5,5.90,26.00,388.31,2.66,0.86,0.58,0.00,0.06,0.00,0.00,0.00
26,NYJ,ARI,ARI,7.5,47.0,5.66,27.25,395.80,2.27,0.76,0.50,0.06,0.06,0.06,0.00,0.00
27,MIA,SF,SF,9,50.5,5.66,29.75,391.92,2.36,0.77,0.51,0.00,0.06,0.00,0.00,0.06
28,JAX,HOU,HOU,5.5,54.5,5.60,30.00,416.53,2.55,0.75,0.56,0.00,0.07,0.00,0.00,0.00
29,CAR,ATL,ATL,1,53.5,5.45,29.00,404.10,2.47,0.75,0.53,0.00,0.07,0.00,0.00,0.00
30,LAC,NO,NO,8,50.5,5.31,32.50,410.50,2.11,0.65,0.50,0.00,0.05,0.05,0.00,0.05
31,NYG,DAL,DAL,8.5,54.0,5.18,31.50,426.14,2.10,0.76,0.57,0.00,0.07,0.00,0.00,0.00
32,MIN,SEA,SEA,7,57.0,4.98,32.50,441.84,2.02,0.61,0.42,0.00,0.05,0.10,0.00,0.00
33,LV,KC,KC,11,55.5,4.78,33.25,432.82,1.96,0.64,0.47,0.00,0.05,0.05,0.00,0.00
34,CIN,BAL,BAL,12.5,50.5,4.75,31.50,404.93,1.95,0.65,0.45,0.00,0.05,0.05,0.00,0.00
