,,,,Week 5 Game,,,,Fantasy,Passing,,,Rushing,,,Receiving,,
Rank,Name,Team,Pos,OPP,Fav,Spread,O/U,Points,YDS,TD,INT,ATT,YDS,TD,REC,YDS,TD
48,James Conner,PIT,RB,PHI,PIT,-7.0,44.0,12.97,0.00,0.00,0.00,14.60,68.81,0.55,2.82,24.29,0.06
49,David Montgomery,CHI,RB,TB,TB,3.5,44.0,12.71,0.00,0.00,0.00,15.80,61.60,0.40,3.30,29.53,0.20
50,Joe Mixon,CIN,RB,BAL,BAL,12.5,50.5,12.64,0.00,0.00,0.00,16.80,70.18,0.51,2.41,20.85,0.08
51,Mike Davis,CAR,RB,ATL,ATL,1,53.5,12.54,0.00,0.00,0.00,14.20,55.61,0.40,5.00,35.03,0.18
52,Jonathan Taylor,IND,RB,CLE,IND,-1.0,47.5,12.52,0.00,0.00,0.00,14.90,71.30,0.52,2.27,18.51,0.07
53,Calvin Ridley,ATL,WR,CAR,ATL,-1.0,53.5,12.28,0.00,0.00,0.00,0.51,3.21,0.00,6.10,83.59,0.60
54,James Robinson,JAX,RB,HOU,HOU,5.5,54.5,12.23,0.00,0.00,0.00,16.20,70.76,0.42,2.83,20.31,0.10
55,Amari Cooper,DAL,WR,NYG,DAL,-8.5,54.0,12.01,0.00,0.00,0.00,0.18,1.10,0.00,6.87,88.95,0.50
56,Michael Thomas,NO,WR,LAC,NO,-8.0,50.5,11.90,0.00,0.00,0.00,0.06,0.30,0.00,7.37,88.72,0.50
57,DK Metcalf,SEA,WR,MIN,SEA,-7.0,57.0,11.80,0.00,0.00,0.00,0.41,2.12,0.00,5.68,82.83,0.55
58,David Johnson,HOU,RB,JAX,HOU,-5.5,54.5,11.75,0.00,0.00,0.00,14.50,59.93,0.46,3.00,23.97,0.10
59,Tyler Lockett,SEA,WR,MIN,SEA,-7.0,57.0,11.64,0.00,0.00,0.00,0.31,2.07,0.00,5.86,84.34,0.50
60,Todd Gurley,ATL,RB,CAR,ATL,-1.0,53.5,11.53,0.00,0.00,0.00,14.20,58.08,0.54,2.83,20.01,0.08
61,Adam Thielen,MIN,WR,SEA,SEA,7,57.0,11.42,0.00,0.00,0.00,0.20,1.17,0.00,6.26,84.23,0.48
62,Allen Robinson,CHI,WR,TB,TB,3.5,44.0,11.00,0.00,0.00,0.00,0.06,0.45,0.00,5.87,78.96,0.51
