,,Week 3 Game,,,,Fantasy,Defensive Stats,,,,,,Touchdowns,,,
Rank,Team,OPP,Fav,Spread,O/U,Points,Points Against,Yards Against,Sacks,Int,Fum Rec,Safeties,Int TD,Fum TD,Kick TD,Punt TD
1,IND,NYJ,IND,-12.0,44.0,8.23,16.75,301.64,3.30,1.05,0.75,0.00,0.14,0.08,0.00,0.00
2,SF,NYG,SF,-3.0,43.5,7.89,19.75,337.52,2.89,0.91,0.67,0.06,0.11,0.11,0.06,0.00
3,CLE,WAS,CLE,-7.0,45.0,7.72,19.00,306.73,3.31,1.05,0.68,0.00,0.08,0.08,0.00,0.00
4,TB,DEN,TB,-6.0,42.5,7.63,18.25,315.65,2.85,0.97,0.69,0.07,0.15,0.07,0.00,0.00
5,LAC,CAR,LAC,-6.0,43.5,7.58,18.50,341.25,2.99,0.92,0.71,0.00,0.07,0.07,0.00,0.07
6,PHI,CIN,PHI,-5.5,47.0,7.44,20.00,343.78,2.92,0.92,0.64,0.07,0.07,0.14,0.00,0.00
7,NE,LV,NE,-7.0,47.0,6.97,20.25,361.51,2.51,0.96,0.58,0.07,0.07,0.07,0.00,0.07
8,PIT,HOU,PIT,-3.5,46.5,6.81,21.00,325.56,2.66,0.79,0.57,0.06,0.11,0.11,0.00,0.00
9,ATL,CHI,ATL,-2.5,46.0,6.77,22.00,368.99,3.00,0.98,0.65,0.00,0.08,0.00,0.00,0.00
10,JAX,MIA,JAX,-2.5,49.5,6.75,23.50,360.24,3.07,0.91,0.66,0.00,0.09,0.00,0.00,0.00
11,BUF,LAR,BUF,-1.5,46.5,6.75,22.75,375.42,2.35,0.87,0.58,0.06,0.17,0.06,0.00,0.00
12,LAR,BUF,BUF,1.5,46.5,6.55,23.75,369.66,2.79,0.84,0.65,0.00,0.07,0.07,0.00,0.00
13,ARI,DET,ARI,-5.0,55.0,6.49,25.00,395.11,2.63,0.79,0.60,0.00,0.06,0.06,0.06,0.00
14,TEN,MIN,TEN,-3.0,49.0,6.36,23.50,364.32,2.69,0.81,0.63,0.00,0.07,0.07,0.00,0.00
15,MIA,JAX,JAX,2.5,49.5,6.31,25.50,372.73,2.62,0.85,0.57,0.00,0.07,0.00,0.00,0.07
16,DEN,TB,TB,6,42.5,6.27,24.25,379.51,2.35,0.87,0.57,0.00,0.06,0.06,0.00,0.06
17,NYG,SF,SF,3,43.5,6.22,23.25,354.85,2.52,0.92,0.69,0.00,0.08,0.00,0.00,0.00
18,MIN,TEN,TEN,3,49.0,6.17,26.00,370.97,2.55,0.77,0.53,0.00,0.06,0.11,0.00,0.00
19,SEA,DAL,SEA,-5.5,57.0,6.12,25.50,411.09,2.42,0.75,0.55,0.00,0.06,0.12,0.00,0.00
20,NO,GB,NO,-3.0,52.0,6.07,23.00,404.16,2.17,0.74,0.53,0.05,0.11,0.05,0.00,0.05
21,WAS,CLE,CLE,7,45.0,6.04,26.00,393.39,2.56,0.71,0.53,0.00,0.06,0.06,0.06,0.00
22,CHI,ATL,ATL,2.5,46.0,6.03,25.00,394.23,2.40,0.76,0.53,0.00,0.06,0.06,0.06,0.00
23,DAL,SEA,SEA,5.5,57.0,5.90,31.00,439.32,2.36,0.71,0.53,0.00,0.06,0.12,0.00,0.00
24,CIN,PHI,PHI,5.5,47.0,5.79,26.50,385.25,2.38,0.80,0.55,0.00,0.06,0.06,0.00,0.00
25,BAL,KC,BAL,-3.5,55.0,5.75,24.25,419.21,2.01,0.72,0.48,0.05,0.10,0.05,0.00,0.05
26,HOU,PIT,PIT,3.5,46.5,5.70,24.50,395.84,2.55,0.78,0.61,0.00,0.00,0.06,0.00,0.00
27,CAR,LAC,LAC,6,43.5,5.64,25.00,355.89,2.54,0.77,0.54,0.00,0.08,0.00,0.00,0.00
28,NYJ,IND,IND,12,44.0,5.53,27.00,425.52,2.26,0.75,0.50,0.05,0.05,0.05,0.00,0.00
29,LV,NE,NE,7,47.0,5.35,26.75,368.94,2.19,0.71,0.53,0.00,0.06,0.06,0.00,0.00
30,KC,BAL,BAL,3.5,55.0,5.22,28.50,424.28,2.06,0.68,0.44,0.00,0.05,0.05,0.00,0.05
31,DET,ARI,ARI,5,55.0,5.06,30.50,430.67,1.90,0.67,0.46,0.00,0.05,0.05,0.00,0.05
32,GB,NO,NO,3,52.0,5.03,26.00,413.71,2.09,0.68,0.49,0.00,0.10,0.00,0.00,0.00
