,,,,Rushing,,,,,,,Big Rushing Games,,,Fumbles,
Name,Team,Pos,G,ATT,YDS,AVG,YDS/G,TD,20+,40+,100+,150+,200+,TOT,LOST
Aaron Jones,GB,RB,1,18,168,9.3,168.0,2,1,1,1,1,0,0,0
Nick Chubb,CLE,RB,1,22,124,5.6,124.0,2,2,0,1,0,0,0,0
James Conner,PIT,RB,1,16,106,6.6,106.0,1,1,1,1,0,0,0,0
Leonard Fournette,TB,RB,1,12,103,8.6,103.0,2,2,1,1,0,0,0,0
James Robinson,JAX,RB,1,16,102,6.4,102.0,1,1,0,1,0,0,0,0
Jonathan Taylor,IND,RB,1,26,101,3.9,101.0,1,0,0,1,0,0,0,0
Miles Sanders,PHI,RB,1,20,95,4.8,95.0,1,0,0,0,0,0,1,1
Austin Ekeler,LAC,RB,1,16,93,5.8,93.0,0,0,0,0,0,0,0,0
Raheem Mostert,SF,RB,1,8,92,11.5,92.0,1,1,1,0,0,0,0,0
Ezekiel Elliott,DAL,RB,1,22,89,4.0,89.0,1,0,0,0,0,0,2,1
Josh Jacobs,LV,RB,1,27,88,3.3,88.0,0,0,0,0,0,0,0,0
Kenyan Drake,ARI,RB,1,20,86,4.3,86.0,0,0,0,0,0,0,0,0
Kareem Hunt,CLE,RB,1,10,86,8.6,86.0,1,1,0,0,0,0,0,0
Derrick Henry,TEN,RB,1,25,84,3.4,84.0,0,0,0,0,0,0,0,0
David Montgomery,CHI,RB,1,16,82,5.1,82.0,0,1,0,0,0,0,0,0
Darrell Henderson,LAR,RB,1,12,81,6.8,81.0,1,1,1,0,0,0,0,0
Alvin Kamara,NO,RB,1,13,79,6.1,79.0,2,1,0,0,0,0,0,0
Jerick McKinnon,SF,RB,1,3,77,25.7,77.0,1,1,1,0,0,0,0,0
Gus Edwards,BAL,RB,1,10,73,7.3,73.0,0,1,0,0,0,0,0,0
Chris Carson,SEA,RB,1,17,72,4.2,72.0,0,0,0,0,0,0,0,0
Melvin Gordon,DEN,RB,1,19,70,3.7,70.0,0,0,0,0,0,0,0,0
Kyler Murray,ARI,QB,1,8,67,8.4,67.0,2,1,0,0,0,0,0,0
Joshua Kelley,LAC,RB,1,23,64,2.8,64.0,0,0,0,0,0,0,0,0
Dalvin Cook,MIN,RB,1,14,63,4.5,63.0,1,0,0,0,0,0,0,0
Frank Gore,NYJ,RB,1,21,63,3.0,63.0,0,0,0,0,0,0,0,0
Jamaal Williams,GB,RB,1,8,63,7.9,63.0,0,0,0,0,0,0,0,0
Todd Gurley,ATL,RB,1,21,61,2.9,61.0,0,0,0,0,0,0,0,0
Christian McCaffrey,CAR,RB,1,18,59,3.3,59.0,2,0,0,0,0,0,0,0
Devin Singletary,BUF,RB,1,10,56,5.6,56.0,0,0,0,0,0,0,0,0
Antonio Gibson,WAS,RB,1,13,55,4.2,55.0,1,0,0,0,0,0,0,0
Mark Ingram,BAL,RB,1,9,55,6.1,55.0,1,1,0,0,0,0,0,0
Patrick Mahomes,KC,QB,1,6,54,9.0,54.0,0,1,0,0,0,0,0,0
Lamar Jackson,BAL,QB,1,16,54,3.4,54.0,0,0,0,0,0,0,0,0
J.D. McKissic,WAS,RB,1,8,53,6.6,53.0,0,0,0,0,0,0,0,0
J.K. Dobbins,BAL,RB,1,2,48,24.0,48.0,0,1,1,0,0,0,0,0
Malcolm Brown,LAR,RB,1,11,47,4.3,47.0,0,0,0,0,0,0,0,0
Cam Newton,NE,QB,1,11,47,4.3,47.0,2,0,0,0,0,0,0,0
Joe Mixon,CIN,RB,1,16,46,2.9,46.0,0,0,0,0,0,0,0,0
