,,,,Rushing,,,Rush Location,,,,,,,,,After Contact,,
Cordarrelle Patterson,CHI,WR,1,7,25,0,33.3,2,66.7,4,1,1,14.3,85.7,0.0,23,3.3,92.0
Ronald Jones,TB,RB,1,7,23,1,100.0,2,0.0,0,1,2,28.6,85.7,0.1,22,3.1,95.7
Carlos Hyde,SEA,RB,1,5,22,0,50.0,2,50.0,2,0,0,0.0,100.0,0.0,4,0.8,18.2
Daniel Jones,NYG,QB,1,3,21,0,0.0,0,100.0,2,0,0,0.0,100.0,0.0,1,0.3,4.8
Darwin Thompson,KC,RB,1,4,21,0,0.0,0,100.0,2,0,0,0.0,100.0,0.0,6,1.5,28.6
Travis Homer,SEA,RB,1,3,21,0,0.0,0,100.0,3,0,0,0.0,100.0,0.0,14,4.7,66.7
Ito Smith,ATL,RB,1,5,20,0,66.7,2,33.3,1,1,0,0.0,80.0,0.0,8,1.6,40.0
Royce Freeman,DEN,RB,1,3,20,0,100.0,1,0.0,0,0,1,33.3,100.0,0.0,14,4.7,70.0
Dion Lewis,NYG,RB,1,10,20,1,80.0,8,20.0,2,2,0,0.0,80.0,0.1,13,1.3,65.0
Robert Woods,LAR,WR,1,3,19,1,0.0,0,100.0,3,0,1,33.3,100.0,0.3,2,0.7,10.5
Cooper Kupp,LAR,WR,1,2,19,0,0.0,0,100.0,2,0,2,100.0,100.0,0.0,9,4.5,47.4
Sony Michel,NE,RB,1,7,19,0,50.0,2,50.0,2,0,0,0.0,100.0,0.0,13,1.9,68.4
Boston Scott,PHI,RB,1,4,19,0,0.0,0,0.0,0,0,1,25.0,100.0,0.0,10,2.5,52.6
Gardner Minshew,JAX,QB,1,4,19,0,50.0,1,50.0,1,1,0,0.0,75.0,0.0,2,0.5,10.5
Josh Allen,BUF,QB,1,4,19,0,75.0,3,25.0,1,2,3,75.0,50.0,0.0,17,4.3,94.4
Joe Burrow,CIN,QB,1,7,19,0,50.0,3,50.0,3,2,0,0.0,71.4,0.0,-3,-0.4,-15.8
Justin Herbert,LAC,QB,1,4,18,1,0.0,0,100.0,4,0,1,25.0,100.0,0.3,13,3.3,72.2
Dak Prescott,DAL,QB,1,5,18,3,100.0,2,0.0,0,0,0,0.0,100.0,0.6,7,1.4,38.9
Deshaun Watson,HOU,QB,1,5,17,0,0.0,0,100.0,4,0,0,0.0,100.0,0.0,10,2.0,58.8
La'Mical Perine,NYJ,RB,1,3,17,0,0.0,0,100.0,1,0,1,33.3,100.0,0.0,7,2.3,41.2
AJ Dillon,GB,RB,1,5,17,0,0.0,0,0.0,0,2,4,80.0,60.0,0.0,15,3.0,88.2
Matt Ryan,ATL,QB,1,4,16,0,100.0,2,0.0,0,0,0,0.0,100.0,0.0,4,1.0,25.0
Mitchell Trubisky,CHI,QB,1,4,16,0,0.0,0,100.0,3,1,1,25.0,75.0,0.0,22,5.5,137.5
Latavius Murray,NO,RB,1,3,14,0,0.0,0,100.0,1,0,0,0.0,100.0,0.0,9,3.0,64.3
Brian Hill,ATL,RB,1,3,14,0,0.0,0,100.0,1,0,0,0.0,100.0,0.0,5,1.7,35.7
Cam Akers,LAR,RB,1,3,13,0,0.0,0,0.0,0,0,1,33.3,100.0,0.0,11,3.7,84.6
Alexander Mattison,MIN,RB,1,3,13,0,100.0,2,0.0,0,1,0,0.0,66.7,0.0,3,1.0,23.1
Jared Goff,LAR,QB,1,7,13,0,57.1,4,42.9,3,3,0,0.0,57.1,0.0,3,0.4,23.1
Tevin Coleman,SF,RB,1,14,12,0,42.9,3,57.1,4,7,1,7.7,46.2,0.0,19,1.5,190.0
Tarik Cohen,CHI,RB,1,5,12,0,40.0,2,60.0,3,0,1,20.0,100.0,0.0,5,1.0,41.7
Josh Malone,NYJ,WR,1,1,12,0,0.0,0,100.0,1,0,1,100.0,100.0,0.0,21,21.0,175.0
Ryan Fitzpatrick,MIA,QB,1,3,12,0,33.3,1,66.7,2,1,1,33.3,66.7,0.0,12,4.0,100.0
Aaron Rodgers,GB,QB,1,2,12,0,0.0,0,100.0,2,0,0,0.0,100.0,0.0,0,0.0,0.0
Ryan Tannehill,TEN,QB,1,4,12,0,50.0,2,50.0,2,2,0,0.0,50.0,0.0,1,0.3,8.3
D'Andre Swift,DET,RB,1,5,12,0,100.0,4,0.0,0,1,0,0.0,80.0,0.0,7,1.4,58.3
Deonte Harris,NO,WR,1,1,11,0,0.0,0,100.0,1,0,0,0.0,100.0,0.0,16,16.0,145.5
Cameron Batson,TEN,WR,1,1,11,0,0.0,0,100.0,1,0,1,100.0,100.0,0.0,0,0.0,0.0
CeeDee Lamb,DAL,WR,1,1,9,0,0.0,0,100.0,1,0,0,0.0,100.0,0.0,1,1.0,11.1
KJ Hamler,DEN,WR,1,1,9,0,0.0,0,100.0,1,0,0,0.0,100.0,0.0,1,1.0,11.1
Senorise Perry,TEN,RB,1,2,9,0,0.0,0,0.0,0,0,0,0.0,100.0,0.0,2,1.0,22.2
Tyreek Hill,KC,WR,1,1,9,0,0.0,0,100.0,1,0,0,0.0,100.0,0.0,3,3.0,33.3
Taysom Hill,NO,QB,1,2,8,0,50.0,1,50.0,1,1,0,0.0,50.0,0.0,2,1.0,25.0
Dwayne Haskins,WAS,QB,1,1,8,0,0.0,0,0.0,0,0,0,0.0,100.0,0.0,1,1.0,12.5
Joe Reed,LAC,WR,1,1,8,0,0.0,0,100.0,1,0,1,100.0,100.0,0.0,6,6.0,75.0
Sam Darnold,NYJ,QB,1,2,7,0,100.0,1,0.0,0,1,1,50.0,50.0,0.0,12,6.0,171.4
Parris Campbell,IND,WR,1,1,7,0,0.0,0,100.0,1,0,0,0.0,100.0,0.0,1,1.0,14.3
Jeremy McNichols,TEN,RB,1,2,7,0,0.0,0,0.0,0,0,0,0.0,100.0,0.0,0,0.0,0.0
Chris Thompson,JAX,RB,1,2,7,0,100.0,1,0.0,0,0,0,0.0,100.0,0.0,1,0.5,14.3
Carson Wentz,PHI,QB,1,2,7,1,100.0,2,0.0,0,0,1,50.0,100.0,0.5,5,2.5,71.4
Sterling Shepard,NYG,WR,1,1,6,0,0.0,0,100.0,1,0,0,0.0,100.0,0.0,1,1.0,16.7
Tony Pollard,DAL,RB,1,2,6,0,0.0,0,0.0,0,0,0,0.0,100.0,0.0,3,1.5,50.0
Benny Snell,PIT,RB,1,3,5,0,100.0,2,0.0,0,1,0,0.0,66.7,0.0,5,1.7,100.0
Kalen Ballage,NYJ,RB,1,1,5,0,100.0,1,0.0,0,0,0,0.0,100.0,0.0,3,3.0,60.0
Baker Mayfield,CLE,QB,1,3,5,0,66.7,2,33.3,1,2,0,0.0,33.3,0.0,0,0.0,0.0
Jeff Driskel,DEN,QB,1,2,5,0,50.0,1,50.0,1,0,0,0.0,100.0,0.0,0,0.0,0.0
Matthew Stafford,DET,QB,1,1,4,0,100.0,1,0.0,0,0,0,0.0,100.0,0.0,0,0.0,0.0
Jordan Howard,MIA,RB,1,5,4,1,100.0,4,0.0,0,2,0,0.0,60.0,0.2,6,1.2,150.0
C.J. Ham,MIN,FB,1,1,4,0,100.0,1,0.0,0,0,0,0.0,100.0,0.0,3,3.0,75.0
Chase Edmonds,ARI,RB,1,3,4,0,100.0,2,0.0,0,1,1,33.3,66.7,0.0,5,1.7,125.0
Jeff Wilson,SF,RB,1,2,3,0,50.0,1,50.0,1,0,0,0.0,100.0,0.0,4,2.0,133.3
Christian Kirk,ARI,WR,1,1,3,0,0.0,0,100.0,1,0,0,0.0,100.0,0.0,0,0.0,0.0
Mecole Hardman,KC,WR,1,1,3,0,0.0,0,100.0,1,0,0,0.0,100.0,0.0,1,1.0,33.3
Philip Rivers,IND,QB,1,4,3,0,100.0,4,0.0,0,3,0,0.0,25.0,0.0,0,0.0,0.0
Derek Carr,LV,QB,1,3,3,0,66.7,2,33.3,1,2,0,0.0,33.3,0.0,0,0.0,0.0
Giovani Bernard,CIN,RB,1,1,3,0,100.0,1,0.0,0,0,0,0.0,100.0,0.0,1,1.0,33.3
Darian Thompson,DAL,S,1,1,3,0,100.0,1,0.0,0,0,0,0.0,100.0,0.0,2,2.0,66.7
Keith Smith,ATL,FB,1,1,2,0,100.0,1,0.0,0,0,0,0.0,100.0,0.0,1,1.0,50.0
Rex Burkhead,NE,RB,1,6,2,0,33.3,1,66.7,2,3,0,0.0,50.0,0.0,8,1.3,400.0
Peyton Barber,WAS,RB,1,1,1,0,100.0,1,0.0,0,0,0,0.0,100.0,0.0,0,0.0,0.0
Mike Davis,CAR,RB,1,1,1,0,0.0,0,0.0,0,0,0,0.0,100.0,0.0,1,1.0,100.0
Jeremy Chinn,CAR,S,1,1,1,0,100.0,1,0.0,0,0,0,0.0,100.0,0.0,2,2.0,200.0
Scotty Miller,TB,WR,1,1,1,0,0.0,0,100.0,1,0,0,0.0,100.0,0.0,1,1.0,100.0
Josh Adams,NYJ,RB,1,1,0,0,100.0,1,0.0,0,1,0,0.0,0.0,0.0,2,2.0,0.0
Gabriel Davis,BUF,WR,1,1,0,0,100.0,1,0.0,0,1,0,0.0,0.0,0.0,3,3.0,0.0
Will Fuller,HOU,WR,1,1,0,0,0.0,0,100.0,1,1,0,0.0,0.0,0.0,2,2.0,0.0
Tom Brady,TB,QB,1,1,0,0,100.0,1,0.0,0,1,0,0.0,0.0,0.0,0,0.0,0.0
Sam Martin,DEN,P,1,1,0,0,100.0,1,0.0,0,1,0,0.0,0.0,0.0,0,0.0,0.0
Devontae Booker,LV,RB,1,3,-1,0,0.0,0,100.0,1,1,0,0.0,66.7,0.0,2,0.7,-200.0
Tim Boyle,GB,QB,1,2,-1,0,100.0,2,0.0,0,2,0,0.0,0.0,0.0,0,0.0,0.0
J.J. Taylor,NE,RB,1,1,-1,0,0.0,0,100.0,1,1,0,0.0,0.0,0.0,1,1.0,-100.0
Van Jefferson,LAR,WR,1,1,-1,0,0.0,0,100.0,1,1,0,0.0,0.0,0.0,2,2.0,-200.0
Nick Mullens,SF,QB,1,2,-2,0,100.0,3,0.0,0,3,0,0.0,0.0,0.0,0,0.0,0.0
Ben Roethlisberger,PIT,QB,1,3,-2,0,100.0,3,0.0,0,3,0,0.0,0.0,0.0,0,0.0,0.0
LeSean McCoy,TB,RB,1,1,-5,0,0.0,0,0.0,0,1,0,0.0,0.0,0.0,0,0.0,0.0
