,,,,Rushing,,,Rush Location,,,,,,,,,After Contact,,
Name,Team,Pos,G,ATT,YDS,TD,In%,In,Out%,Out,Stuffed,BT,BT%,POS%,TD%,YDS,AVG,%
Aaron Jones,GB,RB,1,18,168,2,64.3,9,35.7,5,1,2,11.1,94.4,0.1,103,5.7,61.3
Nick Chubb,CLE,RB,1,22,124,2,75.0,3,25.0,1,3,7,31.8,86.4,0.1,96,4.4,77.4
James Conner,PIT,RB,1,16,106,1,66.7,8,33.3,4,3,2,12.5,81.3,0.1,83,5.2,78.3
Leonard Fournette,TB,RB,1,12,103,2,87.5,7,12.5,1,1,4,33.3,91.7,0.2,64,5.3,62.1
James Robinson,JAX,RB,1,16,102,1,87.5,7,12.5,1,0,2,12.5,100.0,0.1,27,1.7,26.5
Jonathan Taylor,IND,RB,1,26,101,1,46.2,6,53.8,7,3,1,3.8,88.5,0.0,69,2.7,68.3
Miles Sanders,PHI,RB,1,20,95,1,90.0,9,10.0,1,0,1,5.0,100.0,0.1,34,1.7,35.8
Austin Ekeler,LAC,RB,1,16,93,0,50.0,3,50.0,3,2,2,12.5,87.5,0.0,69,4.3,74.2
Raheem Mostert,SF,RB,1,8,92,1,20.0,1,80.0,4,3,1,12.5,62.5,0.1,44,5.5,47.8
Ezekiel Elliott,DAL,RB,1,22,89,1,91.7,11,8.3,1,4,6,27.3,81.8,0.0,63,2.9,70.8
Josh Jacobs,LV,RB,1,27,88,0,40.0,4,60.0,6,9,3,11.1,66.7,0.0,60,2.2,68.2
Kenyan Drake,ARI,RB,1,20,86,0,92.9,13,7.1,1,2,0,0.0,90.0,0.0,36,1.8,41.9
Kareem Hunt,CLE,RB,1,10,86,1,50.0,1,50.0,1,0,2,20.0,100.0,0.1,58,5.8,67.4
Derrick Henry,TEN,RB,1,25,84,0,81.8,9,18.2,2,5,3,12.0,80.0,0.0,39,1.6,46.4
David Montgomery,CHI,RB,1,16,82,0,28.6,2,71.4,5,3,2,12.5,81.3,0.0,49,3.1,59.8
Darrell Henderson,LAR,RB,1,12,81,1,66.7,4,33.3,2,0,3,25.0,100.0,0.1,56,4.7,69.1
Alvin Kamara,NO,RB,1,13,79,2,100.0,3,0.0,0,1,2,15.4,92.3,0.2,48,3.7,60.8
Jerick McKinnon,SF,RB,1,3,77,1,50.0,1,50.0,1,0,1,33.3,100.0,0.3,23,7.7,29.9
Gus Edwards,BAL,RB,1,10,73,0,100.0,6,0.0,0,1,2,20.0,90.0,0.0,50,5.0,68.5
Chris Carson,SEA,RB,1,17,72,0,75.0,6,25.0,2,2,1,5.9,88.2,0.0,53,3.1,73.6
Melvin Gordon,DEN,RB,1,19,70,0,0.0,0,100.0,3,5,3,15.8,73.7,0.0,42,2.2,60.0
Kyler Murray,ARI,QB,1,8,67,2,16.7,1,83.3,5,0,2,25.0,100.0,0.3,10,1.3,14.9
Joshua Kelley,LAC,RB,1,23,64,0,85.7,12,14.3,2,3,1,4.3,87.0,0.0,32,1.4,50.0
Dalvin Cook,MIN,RB,1,14,63,1,66.7,4,33.3,2,1,3,21.4,92.9,0.1,33,2.4,52.4
Frank Gore,NYJ,RB,1,21,63,0,93.3,14,6.7,1,5,0,0.0,76.2,0.0,35,1.7,55.6
Jamaal Williams,GB,RB,1,8,63,0,100.0,6,0.0,0,0,0,0.0,100.0,0.0,23,2.9,36.5
Todd Gurley,ATL,RB,1,21,61,0,70.0,7,30.0,3,3,0,0.0,85.7,0.0,31,1.5,50.8
Christian McCaffrey,CAR,RB,1,18,59,2,71.4,5,28.6,2,3,3,16.7,83.3,0.1,41,2.3,69.5
Devin Singletary,BUF,RB,1,10,56,0,100.0,8,0.0,0,1,3,30.0,90.0,0.0,46,4.6,82.1
Antonio Gibson,WAS,RB,1,13,55,1,66.7,4,33.3,2,3,4,30.8,76.9,0.1,47,3.6,85.5
Mark Ingram,BAL,RB,1,9,55,1,40.0,2,60.0,3,0,0,0.0,100.0,0.1,17,1.9,30.9
Patrick Mahomes,KC,QB,1,6,54,0,20.0,1,80.0,4,0,0,0.0,100.0,0.0,9,1.5,16.7
Lamar Jackson,BAL,QB,1,16,54,0,42.9,6,57.1,8,4,0,0.0,75.0,0.0,15,0.9,27.8
J.D. McKissic,WAS,RB,1,8,53,0,100.0,2,0.0,0,1,2,25.0,87.5,0.0,20,2.5,37.7
J.K. Dobbins,BAL,RB,1,2,48,0,50.0,1,50.0,1,0,1,50.0,100.0,0.0,6,3.0,12.5
Malcolm Brown,LAR,RB,1,11,47,0,71.4,5,28.6,2,4,2,18.2,63.6,0.0,12,1.1,25.5
Cam Newton,NE,QB,1,11,47,2,50.0,3,50.0,3,2,0,0.0,81.8,0.2,7,0.6,14.9
Joe Mixon,CIN,RB,1,16,46,0,88.9,8,11.1,1,3,2,12.5,81.3,0.0,36,2.3,78.3
Myles Gaskin,MIA,RB,1,7,46,0,100.0,5,0.0,0,0,3,42.9,100.0,0.0,31,4.4,67.4
Adrian Peterson,DET,RB,1,7,41,0,100.0,4,0.0,0,2,1,14.3,71.4,0.0,16,2.3,39.0
Jordan Wilkins,IND,RB,1,9,40,0,100.0,3,0.0,0,1,2,22.2,88.9,0.0,34,3.8,85.0
Russell Wilson,SEA,QB,1,5,39,0,25.0,1,75.0,3,0,0,0.0,100.0,0.0,39,7.8,100.0
Clyde Edwards-Helaire,KC,RB,1,10,38,0,33.3,2,66.7,4,2,3,30.0,80.0,0.0,22,2.2,57.9
Laviska Shenault,JAX,WR,1,5,37,0,0.0,0,100.0,1,0,0,0.0,100.0,0.0,2,0.4,5.4
Zack Moss,BUF,RB,1,8,37,0,100.0,5,0.0,0,0,0,0.0,100.0,0.0,17,2.1,45.9
Matt Breida,MIA,RB,1,7,37,0,75.0,3,25.0,1,0,0,0.0,100.0,0.0,22,3.1,59.5
David Johnson,HOU,RB,1,11,34,0,100.0,4,0.0,0,1,1,9.1,90.9,0.0,20,1.8,58.8
Kerryon Johnson,DET,RB,1,8,32,1,83.3,5,16.7,1,0,0,0.0,100.0,0.1,15,1.9,46.9
Saquon Barkley,NYG,RB,1,4,28,0,75.0,3,25.0,1,1,1,25.0,75.0,0.0,12,3.0,42.9
Curtis Samuel,CAR,WR,1,4,26,0,25.0,1,75.0,3,0,1,25.0,100.0,0.0,22,5.5,84.6
Jalen Richard,LV,RB,1,2,26,1,0.0,0,100.0,2,0,1,50.0,100.0,0.5,15,7.5,57.7
