,,,,Rushing,,,,Red Zone Rush Att,,,,Red Zone Rush TD,,
Name,Team,Pos,G,ATT,YDS,AVG,TD,In20,In10,In5,%Tm,In20,In10,In5
Aaron Jones,GB,RB,1,18,168,9.3,2,3,1,0,100.00,1,0,0
Nick Chubb,CLE,RB,1,22,124,5.6,2,7,5,4,70.00,2,1,1
James Conner,PIT,RB,1,16,106,6.6,1,5,5,3,83.33,1,1,1
Leonard Fournette,TB,RB,1,12,103,8.6,2,3,1,1,75.00,1,1,1
James Robinson,JAX,RB,1,16,102,6.4,1,1,0,0,50.00,1,0,0
Jonathan Taylor,IND,RB,1,26,101,3.9,1,6,2,1,60.00,1,1,1
Miles Sanders,PHI,RB,1,20,95,4.8,1,4,3,2,66.67,1,1,1
Austin Ekeler,LAC,RB,1,16,93,5.8,0,1,0,0,14.29,0,0,0
Raheem Mostert,SF,RB,1,8,92,11.5,1,1,0,0,33.33,0,0,0
Ezekiel Elliott,DAL,RB,1,22,89,4.0,1,8,7,5,72.73,1,1,1
Josh Jacobs,LV,RB,1,27,88,3.3,0,5,2,1,55.56,0,0,0
Kareem Hunt,CLE,RB,1,10,86,8.6,1,3,1,1,30.00,1,1,1
Kenyan Drake,ARI,RB,1,20,86,4.3,0,4,1,0,44.44,0,0,0
Derrick Henry,TEN,RB,1,25,84,3.4,0,6,2,0,85.71,0,0,0
David Montgomery,CHI,RB,1,16,82,5.1,0,0,0,0,0.00,0,0,0
Darrell Henderson,LAR,RB,1,12,81,6.8,1,2,2,1,28.57,1,1,1
Alvin Kamara,NO,RB,1,13,79,6.1,2,5,4,3,83.33,2,2,2
Jerick McKinnon,SF,RB,1,3,77,25.7,1,1,0,0,33.33,1,0,0
Gus Edwards,BAL,RB,1,10,73,7.3,0,1,1,1,16.67,0,0,0
Chris Carson,SEA,RB,1,17,72,4.2,0,3,2,1,100.00,0,0,0
Melvin Gordon,DEN,RB,1,19,70,3.7,0,1,0,0,100.00,0,0,0
Kyler Murray,ARI,QB,1,8,67,8.4,2,4,1,0,44.44,1,0,0
Joshua Kelley,LAC,RB,1,23,64,2.8,0,4,3,2,57.14,0,0,0
Dalvin Cook,MIN,RB,1,14,63,4.5,1,2,2,2,66.67,1,1,1
Jamaal Williams,GB,RB,1,8,63,7.9,0,0,0,0,0.00,0,0,0
Frank Gore,NYJ,RB,1,21,63,3.0,0,3,1,0,75.00,0,0,0
Todd Gurley,ATL,RB,1,21,61,2.9,0,5,0,0,55.56,0,0,0
Christian McCaffrey,CAR,RB,1,18,59,3.3,2,6,3,1,100.00,2,2,1
Devin Singletary,BUF,RB,1,10,56,5.6,0,2,1,0,66.67,0,0,0
Mark Ingram,BAL,RB,1,9,55,6.1,1,3,1,0,50.00,0,0,0
Antonio Gibson,WAS,RB,1,13,55,4.2,1,2,0,0,50.00,1,0,0
Patrick Mahomes,KC,QB,1,6,54,9.0,0,1,0,0,50.00,0,0,0
Lamar Jackson,BAL,QB,1,16,54,3.4,0,2,1,0,33.33,0,0,0
J.D. McKissic,WAS,RB,1,8,53,6.6,0,2,1,1,50.00,0,0,0
J.K. Dobbins,BAL,RB,1,2,48,24.0,0,0,0,0,0.00,0,0,0
Cam Newton,NE,QB,1,11,47,4.3,2,6,5,4,75.00,2,2,2
Malcolm Brown,LAR,RB,1,11,47,4.3,0,2,2,2,28.57,0,0,0
Joe Mixon,CIN,RB,1,16,46,2.9,0,4,1,1,50.00,0,0,0
