,,,,Rushing,,,,Red Zone Rush Att,,,,Red Zone Rush TD,,
Myles Gaskin,MIA,RB,1,7,46,6.6,0,2,1,0,25.00,0,0,0
Adrian Peterson,DET,RB,1,7,41,5.9,0,0,0,0,0.00,0,0,0
Jordan Wilkins,IND,RB,1,9,40,4.4,0,1,0,0,10.00,0,0,0
Russell Wilson,SEA,QB,1,5,39,7.8,0,0,0,0,0.00,0,0,0
Clyde Edwards-Helaire,KC,RB,1,10,38,3.8,0,1,0,0,50.00,0,0,0
Laviska Shenault,JAX,WR,1,5,37,7.4,0,1,0,0,50.00,0,0,0
Matt Breida,MIA,RB,1,7,37,5.3,0,1,0,0,12.50,0,0,0
Zack Moss,BUF,RB,1,8,37,4.6,0,0,0,0,0.00,0,0,0
David Johnson,HOU,RB,1,11,34,3.1,0,0,0,0,0.00,0,0,0
Kerryon Johnson,DET,RB,1,8,32,4.0,1,3,2,2,75.00,1,1,1
Saquon Barkley,NYG,RB,1,4,28,7.0,0,0,0,0,0.00,0,0,0
Jalen Richard,LV,RB,1,2,26,13.0,1,1,0,0,11.11,1,0,0
Curtis Samuel,CAR,WR,1,4,26,6.5,0,0,0,0,0.00,0,0,0
Cordarrelle Patterson,CHI,WR,1,7,25,3.6,0,0,0,0,0.00,0,0,0
Ronald Jones,TB,RB,1,7,23,3.3,1,1,1,0,25.00,1,1,0
Carlos Hyde,SEA,RB,1,5,22,4.4,0,0,0,0,0.00,0,0,0
Daniel Jones,NYG,QB,1,3,21,7.0,0,0,0,0,0.00,0,0,0
Darwin Thompson,KC,RB,1,4,21,5.3,0,0,0,0,0.00,0,0,0
Travis Homer,SEA,RB,1,3,21,7.0,0,0,0,0,0.00,0,0,0
Dion Lewis,NYG,RB,1,10,20,2.0,1,1,1,1,100.00,1,1,1
Royce Freeman,DEN,RB,1,3,20,6.7,0,0,0,0,0.00,0,0,0
Ito Smith,ATL,RB,1,5,20,4.0,0,2,2,1,22.22,0,0,0
Josh Allen,BUF,QB,1,4,19,4.8,0,0,0,0,0.00,0,0,0
Gardner Minshew,JAX,QB,1,4,19,4.8,0,0,0,0,0.00,0,0,0
Joe Burrow,CIN,QB,1,7,19,2.7,0,3,2,2,37.50,0,0,0
Cooper Kupp,LAR,WR,1,2,19,9.5,0,0,0,0,0.00,0,0,0
Robert Woods,LAR,WR,1,3,19,6.3,1,1,1,1,14.29,1,1,1
Boston Scott,PHI,RB,1,4,19,4.8,0,1,0,0,16.67,0,0,0
Sony Michel,NE,RB,1,7,19,2.7,0,1,1,0,12.50,0,0,0
Dak Prescott,DAL,QB,1,5,18,3.6,3,3,3,3,27.27,3,3,3
Justin Herbert,LAC,QB,1,4,18,4.5,1,2,1,1,28.57,1,1,1
Deshaun Watson,HOU,QB,1,5,17,3.4,0,0,0,0,0.00,0,0,0
AJ Dillon,GB,RB,1,5,17,3.4,0,0,0,0,0.00,0,0,0
La'Mical Perine,NYJ,RB,1,3,17,5.7,0,0,0,0,0.00,0,0,0
Matt Ryan,ATL,QB,1,4,16,4.0,0,2,0,0,22.22,0,0,0
Mitchell Trubisky,CHI,QB,1,4,16,4.0,0,2,0,0,66.67,0,0,0
Latavius Murray,NO,RB,1,3,14,4.7,0,0,0,0,0.00,0,0,0
Brian Hill,ATL,RB,1,3,14,4.7,0,0,0,0,0.00,0,0,0
Jared Goff,LAR,QB,1,7,13,1.9,0,1,1,0,14.29,0,0,0
Alexander Mattison,MIN,RB,1,3,13,4.3,0,0,0,0,0.00,0,0,0
Cam Akers,LAR,RB,1,3,13,4.3,0,1,1,0,14.29,0,0,0
Ryan Tannehill,TEN,QB,1,4,12,3.0,0,0,0,0,0.00,0,0,0
Ryan Fitzpatrick,MIA,QB,1,3,12,4.0,0,3,2,1,37.50,0,0,0
Aaron Rodgers,GB,QB,1,2,12,6.0,0,0,0,0,0.00,0,0,0
D'Andre Swift,DET,RB,1,5,12,2.4,0,1,1,0,25.00,0,0,0
Tevin Coleman,SF,RB,1,14,12,0.9,0,1,1,0,33.33,0,0,0
Josh Malone,NYJ,WR,1,1,12,12.0,0,0,0,0,0.00,0,0,0
Tarik Cohen,CHI,RB,1,5,12,2.4,0,1,0,0,33.33,0,0,0
Cameron Batson,TEN,WR,1,1,11,11.0,0,0,0,0,0.00,0,0,0
Deonte Harris,NO,WR,1,1,11,11.0,0,0,0,0,0.00,0,0,0
Tyreek Hill,KC,WR,1,1,9,9.0,0,0,0,0,0.00,0,0,0
CeeDee Lamb,DAL,WR,1,1,9,9.0,0,0,0,0,0.00,0,0,0
KJ Hamler,DEN,WR,1,1,9,9.0,0,0,0,0,0.00,0,0,0
Senorise Perry,TEN,RB,1,2,9,4.5,0,0,0,0,0.00,0,0,0
Dwayne Haskins,WAS,QB,1,1,8,8.0,0,0,0,0,0.00,0,0,0
Joe Reed,LAC,WR,1,1,8,8.0,0,0,0,0,0.00,0,0,0
Taysom Hill,NO,QB,1,2,8,4.0,0,1,1,1,16.67,0,0,0
Carson Wentz,PHI,QB,1,2,7,3.5,1,1,1,1,16.67,1,1,1
Sam Darnold,NYJ,QB,1,2,7,3.5,0,0,0,0,0.00,0,0,0
Chris Thompson,JAX,RB,1,2,7,3.5,0,0,0,0,0.00,0,0,0
Jeremy McNichols,TEN,RB,1,2,7,3.5,0,1,0,0,14.29,0,0,0
Parris Campbell,IND,WR,1,1,7,7.0,0,0,0,0,0.00,0,0,0
Sterling Shepard,NYG,WR,1,1,6,6.0,0,0,0,0,0.00,0,0,0
Tony Pollard,DAL,RB,1,2,6,3.0,0,0,0,0,0.00,0,0,0
Jeff Driskel,DEN,QB,1,2,5,2.5,0,0,0,0,0.00,0,0,0
Baker Mayfield,CLE,QB,1,3,5,1.7,0,0,0,0,0.00,0,0,0
Kalen Ballage,NYJ,RB,1,1,5,5.0,0,0,0,0,0.00,0,0,0
Benny Snell,PIT,RB,1,3,5,1.7,0,0,0,0,0.00,0,0,0
Matthew Stafford,DET,QB,1,1,4,4.0,0,0,0,0,0.00,0,0,0
Jordan Howard,MIA,RB,1,5,4,0.8,1,2,2,2,25.00,1,1,1
Chase Edmonds,ARI,RB,1,3,4,1.3,0,1,0,0,11.11,0,0,0
C.J. Ham,MIN,FB,1,1,4,4.0,0,1,1,0,33.33,0,0,0
Derek Carr,LV,QB,1,3,3,1.0,0,2,1,1,22.22,0,0,0
Philip Rivers,IND,QB,1,4,3,0.8,0,3,0,0,30.00,0,0,0
Christian Kirk,ARI,WR,1,1,3,3.0,0,0,0,0,0.00,0,0,0
Mecole Hardman,KC,WR,1,1,3,3.0,0,0,0,0,0.00,0,0,0
Giovani Bernard,CIN,RB,1,1,3,3.0,0,1,1,1,12.50,0,0,0
Jeff Wilson,SF,RB,1,2,3,1.5,0,0,0,0,0.00,0,0,0
Rex Burkhead,NE,RB,1,6,2,0.3,0,1,1,0,12.50,0,0,0
Keith Smith,ATL,FB,1,1,2,2.0,0,0,0,0,0.00,0,0,0
Mike Davis,CAR,RB,1,1,1,1.0,0,0,0,0,0.00,0,0,0
Scotty Miller,TB,WR,1,1,1,1.0,0,0,0,0,0.00,0,0,0
Peyton Barber,WAS,RB,1,1,1,1.0,0,0,0,0,0.00,0,0,0
Tom Brady,TB,QB,1,1,0,0.0,0,0,0,0,0.00,0,0,0
Gabriel Davis,BUF,WR,1,1,0,0.0,0,1,1,0,33.33,0,0,0
Josh Adams,NYJ,RB,1,1,0,0.0,0,1,0,0,25.00,0,0,0
Will Fuller,HOU,WR,1,1,0,0.0,0,0,0,0,0.00,0,0,0
Van Jefferson,LAR,WR,1,1,-1,-1.0,0,0,0,0,0.00,0,0,0
Devontae Booker,LV,RB,1,3,-1,-0.3,0,1,0,0,11.11,0,0,0
Tim Boyle,GB,QB,1,2,-1,-0.5,0,0,0,0,0.00,0,0,0
J.J. Taylor,NE,RB,1,1,-1,-1.0,0,0,0,0,0.00,0,0,0
Ben Roethlisberger,PIT,QB,1,3,-2,-0.7,0,1,1,0,16.67,0,0,0
Nick Mullens,SF,QB,1,2,-2,-1.0,0,0,0,0,0.00,0,0,0
LeSean McCoy,TB,RB,1,1,-5,-5.0,0,0,0,0,0.00,0,0,0
