,,,,Pass Defense Stats,,,,,,,,,,
Name,Team,Pos,G,DEF SNAPS,Depth Chart,QB Rating Against,Comp,Att,Comp %,Yards,TD,INT,PassDef,INT Drops
Tre'Davious White,BUF,CB,1,74,#1 LCB,82.9,3,5,60.0,37,0,0,1,0
James Bradberry,NYG,CB,1,57,#1 LCB,83.3,3,3,100.0,12,0,0,-1,0
Eric Rowe,MIA,S,1,50,#1 SS,83.6,5,7,71.4,37,0,0,0,0
Blake Martinez,NYG,LB,1,57,#1 LILB,84.4,4,4,100.0,17,0,0,0,0
Marlon Humphrey,BAL,CB,1,71,#1 LCB,84.7,9,12,75.0,58,0,0,1,0
Ryan Lewis,NYG,CB,1,42,#3 RCB,86.1,4,6,66.7,41,0,0,0,0
Rasul Douglas,CAR,CB,1,57,#1 RCB,88.5,3,4,75.0,23,0,0,0,0
DeShon Elliott,BAL,S,1,63,#1 FS,89.6,2,3,66.7,23,0,0,0,0
Jeff Gladney,MIN,CB,1,65,#2 RCB,89.6,4,7,57.1,67,0,0,1,0
Anthony Walker,IND,LB,1,53,#1 MLB,89.6,4,4,100.0,22,0,0,0,0
Joe Thomas,DAL,LB,1,75,#1 MLB,90.3,3,3,100.0,17,0,0,0,0
Jon Bostic,WAS,LB,1,57,#1 MLB,90.6,3,4,75.0,25,0,0,0,0
Darius Slay,PHI,CB,1,73,#1 LCB,91.7,4,6,66.7,49,0,0,0,0
Bobby Okereke,IND,LB,1,53,#1 SLB,92.7,4,4,100.0,25,0,0,0,0
Josh Norman,BUF,CB,1,67,#2 LCB,94.4,3,3,100.0,20,0,0,0,0
Daryl Worley,DAL,CB,1,75,#3 RCB,95.8,3,6,50.0,16,2,0,0,0
Donte Jackson,CAR,CB,1,41,#1 LCB,95.8,2,4,50.0,11,1,0,1,0
Essang Bassey,DEN,CB,1,37,#2 LCB,97.2,4,6,66.7,57,0,0,0,0
Jessie Bates,CIN,S,1,68,#1 FS,97.9,3,4,75.0,32,0,0,2,0
Bobby Wagner,SEA,LB,1,71,#1 MLB,99.0,3,4,75.0,33,0,0,0,0
Anthony Averett,BAL,CB,1,62,#2 LCB,100.0,6,7,85.7,56,0,0,1,0
Josh Jackson,GB,CB,1,28,#2 RCB,101.0,3,4,75.0,35,0,0,0,0
Ceedy Duce,NO,S,1,59,#,103.1,2,4,50.0,19,1,0,0,0
C.J. Gardner-Johnson,NO,S,1,59,#2 SS,103.1,2,4,50.0,19,1,0,0,0
Tre Flowers,SEA,CB,1,71,#2 RCB,103.6,7,8,87.5,71,0,0,0,0
Eric Kendricks,MIN,LB,1,65,#1 MLB,104.2,3,5,60.0,65,0,0,1,0
Tavierre Thomas,CLE,CB,1,39,#3 RCB,104.2,3,4,75.0,38,0,0,0,0
Terrance Mitchell,CLE,CB,1,82,#2 RCB,106.3,11,14,78.6,133,0,0,0,0
Josh Jones,JAX,S,1,74,#1 SS,106.3,3,4,75.0,40,0,0,0,0
Nevin Lawson,LV,CB,1,57,#3 RCB,106.9,3,3,100.0,29,0,0,0,0
Taron Johnson,BUF,CB,1,53,#3 LCB,107.6,4,6,66.7,72,0,0,0,0
Roquan Smith,CHI,LB,1,72,#1 LILB,108.3,3,3,100.0,30,0,0,-1,0
Landon Collins,WAS,S,1,57,#1 SS,109.0,2,3,66.7,37,0,0,0,0
Nate Gerry,PHI,LB,1,72,#1 ROLB,109.2,5,5,100.0,51,0,0,0,0
Kareem Jackson,DEN,S,1,77,#1 SS,109.7,2,3,66.7,38,0,0,0,0
Amani Oruwariye,DET,CB,1,60,#1 RCB,109.7,2,3,66.7,47,0,0,0,0
Jaylinn Hawkins,ATL,S,1,26,#2 SS,109.7,2,3,66.7,46,0,0,0,0
Akeem Davis-Gaither,CIN,LB,1,21,#2 WLB,109.7,2,3,66.7,43,0,0,0,0
Kyle Dugger,NE,S,1,16,#3 FS,110.4,3,4,75.0,44,0,0,0,0
Jordan Poyer,BUF,S,1,73,#1 SS,112.5,3,5,60.0,25,1,0,0,0
Pierre Desir,NYJ,CB,1,70,#1 LCB,113.4,8,11,72.7,134,2,2,0,1
Andrew Wingard,JAX,S,1,75,#2 FS,115.0,4,5,80.0,58,0,0,1,0
Buster Skrine,CHI,CB,1,49,#2 RCB,115.6,3,4,75.0,49,0,0,0,0
Demario Davis,NO,LB,1,61,#1 WLB,116.7,2,3,66.7,14,1,0,0,0
Karl Joseph,CLE,S,1,73,#1 SS,116.7,2,4,50.0,32,1,0,0,0
Adrian Amos,GB,S,1,70,#1 SS,118.8,3,3,100.0,51,0,0,1,0
Cre'von LeBlanc,PHI,CB,1,31,#2 LCB,118.8,5,5,100.0,66,0,0,1,0
Joe Schobert,JAX,LB,1,74,#1 MLB,118.8,3,3,100.0,48,0,0,0,0
Erik Harris,LV,S,1,60,#1 FS,118.8,3,3,100.0,69,0,0,0,0
Cody Barton,SEA,LB,1,24,#2 MLB,118.8,3,3,100.0,50,0,0,0,0
Cody Barton,SEA,LB,1,24,#2 WLB,118.8,3,3,100.0,50,0,0,0,0
