,,,,Defensive Stats,,,,,,,,,
Name,Team,Pos,G,DEF SNAPS,SOLO,AST,TOT TCKL,SACK,FUM Forced,FUM Rec,INT,TD,PASS DEF
Jon Bostic,WAS,LB,1,57,6,8,14,0.0,0,0,0,0,0
Blake Martinez,NYG,LB,1,57,8,5,13,0.0,0,0,0,0,0
Roquan Smith,CHI,LB,1,72,10,3,13,0.0,0,0,0,0,0
Tremaine Edmunds,BUF,LB,1,74,8,5,13,0.0,0,0,0,0,0
Patrick Queen,BAL,LB,1,57,9,3,12,0.0,0,0,0,0,0
Bobby Wagner,SEA,LB,1,71,10,2,12,0.0,0,0,0,0,1
Terrance Mitchell,CLE,CB,1,82,11,1,12,0.0,0,0,0,0,0
Eric Kendricks,MIN,LB,1,65,7,5,12,0.0,0,0,0,0,1
Jordan Hicks,ARI,LB,1,77,8,4,12,0.0,0,0,0,0,0
Josh Jones,JAX,S,1,74,7,4,11,0.0,0,0,0,0,0
Anthony Walker,IND,LB,1,53,9,2,11,0.0,0,0,0,0,0
Zach Cunningham,HOU,LB,1,57,7,3,10,0.0,0,0,0,0,0
Josey Jewell,DEN,LB,1,73,8,2,10,2.0,0,0,0,0,1
Mike Pennel,KC,DT,1,46,5,5,10,0.0,0,0,0,0,0
Lavonte David,TB,LB,1,51,9,1,10,0.0,0,0,0,0,1
Kyzir White,LAC,LB,1,76,8,2,10,0.0,0,0,0,0,1
Kenneth Murray,LAC,LB,1,74,6,4,10,0.0,0,0,0,0,0
Jessie Bates,CIN,S,1,68,6,4,10,0.0,0,0,0,0,2
Donovan Wilson,DAL,S,1,70,6,4,10,1.0,0,0,0,0,0
Andrew Wingard,JAX,S,1,75,5,5,10,0.0,0,0,0,0,1
Deionte Thompson,ARI,S,1,59,4,5,9,0.0,0,0,0,0,1
Marlon Humphrey,BAL,CB,1,71,8,1,9,0.0,1,0,0,0,1
Neville Hewitt,NYJ,LB,1,70,5,4,9,0.0,0,0,0,0,0
Jamie Collins,DET,LB,1,63,7,2,9,0.0,0,0,0,0,0
Rodney McLeod,PHI,S,1,73,8,1,9,0.0,0,0,1,0,1
Jordan Poyer,BUF,S,1,73,4,5,9,0.0,0,0,0,0,0
Tashaun Gipson,CHI,S,1,72,8,1,9,0.0,0,0,0,0,1
Eric Wilson,MIN,LB,1,65,3,6,9,0.0,0,0,0,0,0
Benardrick McKinney,HOU,LB,1,57,4,5,9,0.0,0,0,0,0,0
Kwon Alexander,SF,LB,1,61,6,3,9,0.0,0,0,0,0,0
Erik Harris,LV,S,1,60,7,2,9,0.0,0,0,0,0,0
Elandon Roberts,MIA,LB,1,32,5,4,9,0.0,1,0,0,0,0
De'Vondre Campbell,ARI,LB,1,77,4,5,9,0.0,0,0,0,0,0
Tre'Davious White,BUF,CB,1,74,6,2,8,0.0,0,0,0,0,1
Landon Collins,WAS,S,1,57,4,4,8,0.0,0,0,0,0,0
Nate Gerry,PHI,LB,1,72,5,3,8,0.0,0,0,0,0,0
Za'Darius Smith,GB,LB,1,64,6,2,8,3.0,0,0,0,0,0
Deion Jones,ATL,LB,1,63,6,2,8,0.0,0,0,0,0,0
LeShaun Sims,CIN,CB,1,59,6,2,8,0.0,0,0,0,0,1
K.J. Wright,SEA,LB,1,68,6,2,8,0.0,1,0,0,0,3
Pierre Desir,NYJ,CB,1,70,7,1,8,0.0,0,0,2,1,2
Raven Greene,GB,S,1,50,5,3,8,1.0,0,0,0,0,0
Foyesade Oluokun,ATL,LB,1,61,5,3,8,0.0,0,0,0,0,0
Bobby Okereke,IND,LB,1,53,6,2,8,0.0,0,0,0,0,0
Marcus Epps,PHI,S,1,44,4,4,8,0.0,0,0,0,0,0
Taylor Rapp,LAR,S,1,68,7,1,8,0.0,0,0,0,0,0
Trevon Diggs,DAL,CB,1,75,4,4,8,1.0,0,0,0,0,0
Jeremy Chinn,CAR,S,1,51,5,3,8,0.0,0,0,0,0,0
Chris Claybrooks,JAX,CB,1,54,6,2,8,0.0,0,0,0,0,1
Tavierre Thomas,CLE,CB,1,39,7,0,7,0.0,0,0,0,0,0
Trayvon Mullen,LV,CB,1,60,6,1,7,0.0,0,0,0,0,0
Taron Johnson,BUF,CB,1,53,5,2,7,0.0,0,0,0,0,0
Ty Summers,GB,LB,1,52,6,1,7,0.0,0,0,0,0,0
P.J. Hall,HOU,DT,1,43,2,5,7,1.0,0,0,0,0,0
Jaylon Smith,DAL,LB,1,75,2,5,7,0.0,0,0,0,0,0
Tre Flowers,SEA,CB,1,71,4,3,7,0.0,0,0,0,0,0
Christian Jones,DET,LB,1,37,6,1,7,0.0,0,0,0,0,0
Bryce Callahan,DEN,CB,1,77,6,1,7,0.0,0,0,0,0,1
Bradley Roby,HOU,CB,1,66,6,1,7,0.0,0,0,0,0,2
B.J. Goodson,CLE,LB,1,64,5,2,7,0.0,0,0,0,0,0
