,,,,Receiving,,,,Red Zone Targets,,,
Name,Team,Pos,G,REC,YDS,TD,TAR,In20,In10,In5,%Tm
Justin Jefferson,MIN,WR,1,7,175,1,9,0,0,0,0.00
Allen Lazard,GB,WR,1,6,146,1,8,1,1,1,14.29
Alvin Kamara,NO,RB,1,13,139,2,14,3,0,0,50.00
Michael Gallup,DAL,WR,1,6,138,1,9,0,0,0,0.00
DeAndre Hopkins,ARI,WR,1,10,137,0,12,2,1,0,40.00
Keenan Allen,LAC,WR,1,13,132,1,19,3,1,0,50.00
Tyler Boyd,CIN,WR,1,10,125,0,13,0,0,0,0.00
Allen Robinson,CHI,WR,1,10,123,1,13,0,0,0,0.00
Kalif Raymond,TEN,WR,1,3,118,0,3,0,0,0,0.00
DK Metcalf,SEA,WR,1,4,110,1,8,0,0,0,0.00
Calvin Ridley,ATL,WR,1,5,110,0,13,2,1,1,40.00
Cedrick Wilson,DAL,WR,1,5,107,2,7,0,0,0,0.00
Cooper Kupp,LAR,WR,1,9,107,1,10,2,0,0,100.00
Tyler Lockett,SEA,WR,1,9,100,3,13,3,2,2,60.00
Cole Beasley,BUF,WR,1,6,100,0,7,1,1,1,10.00
Randall Cobb,HOU,WR,1,4,95,1,4,0,0,0,0.00
Travis Kelce,KC,TE,1,6,87,0,7,0,0,0,0.00
Amari Cooper,DAL,WR,1,9,86,0,12,0,0,0,0.00
Austin Ekeler,LAC,RB,1,11,84,0,11,1,0,0,16.67
Hunter Renfrow,LV,WR,1,6,84,1,9,2,0,0,33.33
James Robinson,JAX,RB,1,6,83,0,6,0,0,0,0.00
Terry McLaurin,WAS,WR,1,4,83,0,8,2,0,0,33.33
Scotty Miller,TB,WR,1,3,83,0,5,0,0,0,0.00
Mecole Hardman,KC,WR,1,4,81,1,6,0,0,0,0.00
Gabriel Davis,BUF,WR,1,4,81,0,4,0,0,0,0.00
Tyreek Hill,KC,WR,1,5,77,1,6,2,1,0,40.00
Robert Woods,LAR,WR,1,5,74,1,6,0,0,0,0.00
Greg Ward,PHI,WR,1,8,72,1,11,2,0,0,66.67
Brandon Aiyuk,SF,WR,1,5,70,0,8,2,2,1,25.00
Clyde Edwards-Helaire,KC,RB,1,5,70,0,6,1,1,1,20.00
Zach Ertz,PHI,TE,1,7,70,0,10,1,1,0,33.33
Corey Davis,TEN,WR,1,5,69,0,6,0,0,0,0.00
DeVante Parker,MIA,WR,1,5,69,0,5,0,0,0,0.00
CeeDee Lamb,DAL,WR,1,5,65,0,7,0,0,0,0.00
D.J. Moore,CAR,WR,1,2,65,0,4,0,0,0,0.00
Chris Godwin,TB,WR,1,5,64,1,6,2,2,1,28.57
Braxton Berrios,NYJ,WR,1,4,64,1,4,1,0,0,50.00
Kendrick Bourne,SF,WR,1,4,63,0,6,0,0,0,0.00
Sammy Watkins,KC,WR,1,7,62,0,8,1,0,0,20.00
Greg Olsen,SEA,TE,1,5,61,0,6,1,0,0,20.00
Jonnu Smith,TEN,TE,1,5,61,0,8,1,0,0,33.33
Jimmy Graham,CHI,TE,1,6,60,2,10,4,3,3,50.00
Josh Reynolds,LAR,WR,1,4,60,0,5,0,0,0,0.00
Odell Beckham,CLE,WR,1,4,59,0,6,0,0,0,0.00
Kenny Golladay,DET,WR,1,6,57,1,7,2,1,0,33.33
Emmanuel Sanders,NO,WR,1,4,56,1,5,1,1,0,16.67
Giovani Bernard,CIN,RB,1,3,55,0,3,2,0,0,25.00
Jerry Jeudy,DEN,WR,1,5,55,0,9,1,0,0,25.00
Robby Anderson,CAR,WR,1,5,55,0,5,1,1,0,14.29
Jeff Wilson,SF,RB,1,3,54,1,3,2,0,0,25.00
Will Fuller,HOU,WR,1,4,54,1,5,2,0,0,66.67
T.J. Hockenson,DET,TE,1,4,53,0,7,1,1,0,16.67
Darius Slayton,NYG,WR,1,3,53,0,7,0,0,0,0.00
Eric Ebron,PIT,TE,1,5,52,1,7,1,1,0,25.00
T.Y. Hilton,IND,WR,1,3,52,0,3,0,0,0,0.00
Marvin Jones,DET,WR,1,3,51,0,3,0,0,0,0.00
Devin Singletary,BUF,RB,1,4,50,0,5,1,0,0,10.00
Mo Alie-Cox,IND,TE,1,3,50,1,3,1,1,1,50.00
Robert Tonyan,GB,TE,1,5,50,1,5,1,1,1,14.29
Hunter Henry,LAC,TE,1,5,50,0,7,0,0,0,0.00
Rex Burkhead,NE,RB,1,7,49,1,10,3,0,0,33.33
Stefon Diggs,BUF,WR,1,4,49,1,6,2,2,2,20.00
O.J. Howard,TB,TE,1,3,49,0,4,0,0,0,0.00
Ross Dwelley,SF,TE,1,4,49,0,4,1,1,1,12.50
Rob Gronkowski,TB,TE,1,6,48,0,7,1,1,0,14.29
Dalton Schultz,DAL,TE,1,4,48,0,6,0,0,0,0.00
Bryan Edwards,LV,WR,1,2,48,0,3,0,0,0,0.00
Andy Isabella,ARI,WR,1,4,47,2,4,2,1,1,40.00
Noah Fant,DEN,TE,1,5,46,0,10,1,0,0,25.00
Mike Davis,CAR,RB,1,8,45,1,9,4,2,0,57.14
Curtis Samuel,CAR,WR,1,4,45,0,4,2,0,0,28.57
Kalen Ballage,NYJ,RB,1,5,44,0,5,0,0,0,0.00
Tim Patrick,DEN,WR,1,4,43,1,4,1,1,0,25.00
JuJu Smith-Schuster,PIT,WR,1,4,43,1,5,0,0,0,0.00
Keelan Cole,JAX,WR,1,4,43,0,6,0,0,0,0.00
Tre'Quan Smith,NO,WR,1,4,42,0,6,1,0,0,16.67
Anthony Miller,CHI,WR,1,2,41,1,5,2,1,1,25.00
Adam Humphries,TEN,WR,1,4,41,0,7,1,0,0,33.33
Olamide Zaccheaus,ATL,WR,1,4,41,0,6,0,0,0,0.00
James Conner,PIT,RB,1,4,40,0,5,2,0,0,50.00
Tee Higgins,CIN,WR,1,5,40,2,9,3,2,2,37.50
Nyheim Hines,IND,RB,1,4,40,0,5,1,1,0,50.00
Tyler Higbee,LAR,TE,1,2,40,0,2,0,0,0,0.00
Jerick McKinnon,SF,RB,1,3,39,0,4,1,0,0,12.50
Dontrelle Inman,WAS,WR,1,3,38,2,6,2,0,0,33.33
J.K. Dobbins,BAL,RB,1,4,38,0,4,0,0,0,0.00
J.D. McKissic,WAS,RB,1,3,37,0,4,0,0,0,0.00
Jace Sternberger,GB,TE,1,3,36,0,3,0,0,0,0.00
A.J. Green,CIN,WR,1,5,36,0,6,0,0,0,0.00
Jarvis Landry,CLE,WR,1,4,36,0,4,0,0,0,0.00
James Washington,PIT,WR,1,5,36,0,7,1,0,0,25.00
Golden Tate,NYG,WR,1,5,36,0,7,0,0,0,0.00
Chris Thompson,JAX,RB,1,5,35,0,6,1,0,0,25.00
Lawrence Cager,NYJ,WR,1,2,35,0,4,1,1,0,50.00
Vance McDonald,PIT,TE,1,3,35,0,3,0,0,0,0.00
Kenny Stills,HOU,WR,1,3,35,0,4,0,0,0,0.00
N'Keal Harry,NE,WR,1,2,34,0,4,3,0,0,33.33
Chris Conley,JAX,WR,1,3,34,0,8,0,0,0,0.00
Zach Pascal,IND,WR,1,2,34,0,4,0,0,0,0.00
Gerald Everett,LAR,TE,1,2,34,0,2,0,0,0,0.00
