,,,,Receiving,,,,,,,,,Big Receiving Games,,,Fumbles,
Name,Team,Pos,G,REC,YDS,YPC,YDS/G,TD,TAR,YPT,20+,40+,100+,150+,200+,TOT,LOST
Justin Jefferson,MIN,WR,1,7,175,25.0,175.0,1,9,19.0,3,1,1,1,0,0,0
Allen Lazard,GB,WR,1,6,146,24.0,146.0,1,8,18.0,2,2,1,0,0,0,0
Alvin Kamara,NO,RB,1,13,139,10.0,139.0,2,14,9.0,2,1,1,0,0,0,0
Michael Gallup,DAL,WR,1,6,138,23.0,138.0,1,9,15.0,2,2,1,0,0,0,0
DeAndre Hopkins,ARI,WR,1,10,137,13.0,137.0,0,12,11.0,2,0,1,0,0,0,0
Keenan Allen,LAC,WR,1,13,132,10.0,132.0,1,19,6.0,2,0,1,0,0,1,1
Tyler Boyd,CIN,WR,1,10,125,12.0,125.0,0,13,9.0,1,0,1,0,0,0,0
Allen Robinson,CHI,WR,1,10,123,12.0,123.0,1,13,9.0,1,0,1,0,0,0,0
Kalif Raymond,TEN,WR,1,3,118,39.0,118.0,0,3,39.0,2,2,1,0,0,0,0
DK Metcalf,SEA,WR,1,4,110,27.0,110.0,1,8,13.0,2,1,1,0,0,1,1
Calvin Ridley,ATL,WR,1,5,110,22.0,110.0,0,13,8.0,2,1,1,0,0,0,0
Cedrick Wilson,DAL,WR,1,5,107,21.0,107.0,2,7,15.0,2,2,1,0,0,0,0
Cooper Kupp,LAR,WR,1,9,107,11.0,107.0,1,10,10.0,2,0,1,0,0,0,0
Tyler Lockett,SEA,WR,1,9,100,11.0,100.0,3,13,7.0,1,1,1,0,0,0,0
Cole Beasley,BUF,WR,1,6,100,16.0,100.0,0,7,14.0,2,0,1,0,0,0,0
Randall Cobb,HOU,WR,1,4,95,23.0,95.0,1,4,23.0,2,0,0,0,0,0,0
Travis Kelce,KC,TE,1,6,87,14.0,87.0,0,7,12.0,1,0,0,0,0,0,0
Amari Cooper,DAL,WR,1,9,86,9.0,86.0,0,12,7.0,2,0,0,0,0,0,0
Austin Ekeler,LAC,RB,1,11,84,7.0,84.0,0,11,7.0,1,0,0,0,0,0,0
Hunter Renfrow,LV,WR,1,6,84,14.0,84.0,1,9,9.0,2,0,0,0,0,0,0
Scotty Miller,TB,WR,1,3,83,27.0,83.0,0,5,16.0,2,1,0,0,0,0,0
Terry McLaurin,WAS,WR,1,4,83,20.0,83.0,0,8,10.0,2,0,0,0,0,0,0
James Robinson,JAX,RB,1,6,83,13.0,83.0,0,6,13.0,1,0,0,0,0,0,0
Mecole Hardman,KC,WR,1,4,81,20.0,81.0,1,6,13.0,1,1,0,0,0,0,0
Gabriel Davis,BUF,WR,1,4,81,20.0,81.0,0,4,20.0,2,0,0,0,0,0,0
Tyreek Hill,KC,WR,1,5,77,15.0,77.0,1,6,12.0,2,0,0,0,0,0,0
Robert Woods,LAR,WR,1,5,74,14.0,74.0,1,6,12.0,2,0,0,0,0,1,0
Greg Ward,PHI,WR,1,8,72,9.0,72.0,1,11,6.0,1,0,0,0,0,0,0
Zach Ertz,PHI,TE,1,7,70,10.0,70.0,0,10,7.0,1,0,0,0,0,0,0
Clyde Edwards-Helaire,KC,RB,1,5,70,14.0,70.0,0,6,11.0,1,0,0,0,0,0,0
Brandon Aiyuk,SF,WR,1,5,70,14.0,70.0,0,8,8.0,1,0,0,0,0,0,0
DeVante Parker,MIA,WR,1,5,69,13.0,69.0,0,5,13.0,1,0,0,0,0,0,0
Corey Davis,TEN,WR,1,5,69,13.0,69.0,0,6,11.0,1,0,0,0,0,0,0
CeeDee Lamb,DAL,WR,1,5,65,13.0,65.0,0,7,9.0,2,0,0,0,0,0,0
D.J. Moore,CAR,WR,1,2,65,32.0,65.0,0,4,16.0,2,0,0,0,0,0,0
Braxton Berrios,NYJ,WR,1,4,64,16.0,64.0,1,4,16.0,1,0,0,0,0,0,0
Chris Godwin,TB,WR,1,5,64,12.0,64.0,1,6,10.0,1,0,0,0,0,0,0
Kendrick Bourne,SF,WR,1,4,63,15.0,63.0,0,6,10.0,0,0,0,0,0,0,0
Sammy Watkins,KC,WR,1,7,62,8.0,62.0,0,8,7.0,0,0,0,0,0,0,0
Greg Olsen,SEA,TE,1,5,61,12.0,61.0,0,6,10.0,1,0,0,0,0,0,0
Jonnu Smith,TEN,TE,1,5,61,12.0,61.0,0,8,7.0,1,0,0,0,0,0,0
Jimmy Graham,CHI,TE,1,6,60,10.0,60.0,2,10,6.0,1,0,0,0,0,1,0
Josh Reynolds,LAR,WR,1,4,60,15.0,60.0,0,5,12.0,1,0,0,0,0,1,1
Odell Beckham,CLE,WR,1,4,59,14.0,59.0,0,6,9.0,0,0,0,0,0,0,0
Kenny Golladay,DET,WR,1,6,57,9.0,57.0,1,7,8.0,0,0,0,0,0,0,0
Emmanuel Sanders,NO,WR,1,4,56,14.0,56.0,1,5,11.0,0,0,0,0,0,0,0
Giovani Bernard,CIN,RB,1,3,55,18.0,55.0,0,3,18.0,1,1,0,0,0,0,0
Robby Anderson,CAR,WR,1,5,55,11.0,55.0,0,5,11.0,0,0,0,0,0,0,0
Jerry Jeudy,DEN,WR,1,5,55,11.0,55.0,0,9,6.0,1,0,0,0,0,0,0
Jeff Wilson,SF,RB,1,3,54,18.0,54.0,1,3,18.0,0,0,0,0,0,0,0
Will Fuller,HOU,WR,1,4,54,13.0,54.0,1,5,10.0,0,0,0,0,0,0,0
Darius Slayton,NYG,WR,1,3,53,17.0,53.0,0,7,7.0,2,0,0,0,0,1,1
T.J. Hockenson,DET,TE,1,4,53,13.0,53.0,0,7,7.0,1,0,0,0,0,0,0
Eric Ebron,PIT,TE,1,5,52,10.0,52.0,1,7,7.0,0,0,0,0,0,0,0
T.Y. Hilton,IND,WR,1,3,52,17.0,52.0,0,3,17.0,1,0,0,0,0,0,0
Marvin Jones,DET,WR,1,3,51,17.0,51.0,0,3,17.0,2,0,0,0,0,0,0
Mo Alie-Cox,IND,TE,1,3,50,16.0,50.0,1,3,16.0,1,1,0,0,0,0,0
Robert Tonyan,GB,TE,1,5,50,10.0,50.0,1,5,10.0,0,0,0,0,0,0,0
Hunter Henry,LAC,TE,1,5,50,10.0,50.0,0,7,7.0,0,0,0,0,0,0,0
Devin Singletary,BUF,RB,1,4,50,12.0,50.0,0,5,10.0,1,0,0,0,0,0,0
O.J. Howard,TB,TE,1,3,49,16.0,49.0,0,4,12.0,1,0,0,0,0,0,0
Ross Dwelley,SF,TE,1,4,49,12.0,49.0,0,4,12.0,1,0,0,0,0,0,0
Stefon Diggs,BUF,WR,1,4,49,12.0,49.0,1,6,8.0,1,0,0,0,0,0,0
Rex Burkhead,NE,RB,1,7,49,7.0,49.0,1,10,4.0,0,0,0,0,0,0,0
Rob Gronkowski,TB,TE,1,6,48,8.0,48.0,0,7,6.0,0,0,0,0,0,0,0
Bryan Edwards,LV,WR,1,2,48,24.0,48.0,0,3,16.0,1,0,0,0,0,0,0
Dalton Schultz,DAL,TE,1,4,48,12.0,48.0,0,6,8.0,1,0,0,0,0,0,0
Andy Isabella,ARI,WR,1,4,47,11.0,47.0,2,4,11.0,1,0,0,0,0,0,0
Noah Fant,DEN,TE,1,5,46,9.0,46.0,0,10,4.0,0,0,0,0,0,0,0
Curtis Samuel,CAR,WR,1,4,45,11.0,45.0,0,4,11.0,1,0,0,0,0,0,0
Mike Davis,CAR,RB,1,8,45,5.0,45.0,1,9,5.0,0,0,0,0,0,0,0
Kalen Ballage,NYJ,RB,1,5,44,8.0,44.0,0,5,8.0,1,0,0,0,0,0,0
JuJu Smith-Schuster,PIT,WR,1,4,43,10.0,43.0,1,5,8.0,1,0,0,0,0,0,0
Tim Patrick,DEN,WR,1,4,43,10.0,43.0,1,4,10.0,1,0,0,0,0,0,0
Keelan Cole,JAX,WR,1,4,43,10.0,43.0,0,6,7.0,0,0,0,0,0,0,0
Tre'Quan Smith,NO,WR,1,4,42,10.0,42.0,0,6,7.0,0,0,0,0,0,0,0
Olamide Zaccheaus,ATL,WR,1,4,41,10.0,41.0,0,6,6.0,0,0,0,0,0,0,0
Anthony Miller,CHI,WR,1,2,41,20.0,41.0,1,5,8.0,1,0,0,0,0,1,0
Adam Humphries,TEN,WR,1,4,41,10.0,41.0,0,7,5.0,1,0,0,0,0,0,0
James Conner,PIT,RB,1,4,40,10.0,40.0,0,5,8.0,0,0,0,0,0,0,0
Tyler Higbee,LAR,TE,1,2,40,20.0,40.0,0,2,20.0,1,0,0,0,0,0,0
Nyheim Hines,IND,RB,1,4,40,10.0,40.0,0,5,8.0,0,0,0,0,0,0,0
Tee Higgins,CIN,WR,1,5,40,8.0,40.0,2,9,4.0,0,0,0,0,0,0,0
Jerick McKinnon,SF,RB,1,3,39,13.0,39.0,0,4,9.0,1,0,0,0,0,0,0
Dontrelle Inman,WAS,WR,1,3,38,12.0,38.0,2,6,6.0,0,0,0,0,0,1,0
J.K. Dobbins,BAL,RB,1,4,38,9.0,38.0,0,4,9.0,0,0,0,0,0,0,0
J.D. McKissic,WAS,RB,1,3,37,12.0,37.0,0,4,9.0,1,0,0,0,0,0,0
Golden Tate,NYG,WR,1,5,36,7.0,36.0,0,7,5.0,0,0,0,0,0,0,0
A.J. Green,CIN,WR,1,5,36,7.0,36.0,0,6,6.0,0,0,0,0,0,0,0
Jarvis Landry,CLE,WR,1,4,36,9.0,36.0,0,4,9.0,0,0,0,0,0,0,0
Jace Sternberger,GB,TE,1,3,36,12.0,36.0,0,3,12.0,1,0,0,0,0,0,0
James Washington,PIT,WR,1,5,36,7.0,36.0,0,7,5.0,0,0,0,0,0,0,0
Lawrence Cager,NYJ,WR,1,2,35,17.0,35.0,0,4,8.0,0,0,0,0,0,0,0
Vance McDonald,PIT,TE,1,3,35,11.0,35.0,0,3,11.0,0,0,0,0,0,0,0
Chris Thompson,JAX,RB,1,5,35,7.0,35.0,0,6,5.0,0,0,0,0,0,0,0
Kenny Stills,HOU,WR,1,3,35,11.0,35.0,0,4,8.0,1,0,0,0,0,0,0
Chris Conley,JAX,WR,1,3,34,11.0,34.0,0,8,4.0,0,0,0,0,0,0,0
Zach Pascal,IND,WR,1,2,34,17.0,34.0,0,4,8.0,1,0,0,0,0,0,0
Gerald Everett,LAR,TE,1,2,34,17.0,34.0,0,2,17.0,0,0,0,0,0,0,0
N'Keal Harry,NE,WR,1,2,34,17.0,34.0,0,4,8.0,1,0,0,0,0,0,0
Laviska Shenault,JAX,WR,1,5,33,6.0,33.0,0,6,5.0,0,0,0,0,0,0,0
Nelson Agholor,LV,WR,1,2,32,16.0,32.0,0,3,10.0,0,0,0,0,0,0,0
Zay Jones,LV,WR,1,3,32,10.0,32.0,0,3,10.0,0,0,0,0,0,0,0
Logan Thomas,WAS,TE,1,4,31,7.0,31.0,0,7,4.0,0,0,0,0,0,0,0
Royce Freeman,DEN,RB,1,2,31,15.0,31.0,0,2,15.0,1,0,0,0,0,0,0
KJ Hamler,DEN,WR,1,3,30,10.0,30.0,0,5,6.0,0,0,0,0,0,0,0
Damion Ratley,NYG,WR,1,1,29,29.0,29.0,0,2,14.0,1,0,0,0,0,1,0
Myles Gaskin,MIA,RB,1,5,29,5.0,29.0,0,5,5.0,0,0,0,0,0,0,0
Auden Tate,CIN,WR,1,2,29,14.0,29.0,0,4,7.0,0,0,0,0,0,0,0
James O'Shaughnessy,JAX,TE,1,3,29,9.0,29.0,0,4,7.0,0,0,0,0,0,0,0
Ted Ginn,CHI,WR,1,1,29,29.0,29.0,0,3,9.0,1,0,0,0,0,0,0
Adam Thielen,MIN,WR,1,3,29,9.0,29.0,1,5,5.0,0,0,0,0,0,0,0
Jesse James,DET,TE,1,3,28,9.0,28.0,1,4,7.0,0,0,0,0,0,0,0
Jordan Akins,HOU,TE,1,2,28,14.0,28.0,0,3,9.0,1,0,0,0,0,0,0
Brandon Powell,ATL,WR,1,3,27,9.0,27.0,0,4,6.0,0,0,0,0,0,0,0
Damiere Byrd,NE,WR,1,3,27,9.0,27.0,0,3,9.0,1,0,0,0,0,0,0
Russell Gage,ATL,WR,1,2,26,13.0,26.0,0,3,8.0,0,0,0,0,0,0,0
Michael Pittman,IND,WR,1,3,26,8.0,26.0,0,4,6.0,0,0,0,0,0,0,0
Foster Moreau,LV,TE,1,2,25,12.0,25.0,1,2,12.0,1,0,0,0,0,0,0
Austin Hooper,CLE,TE,1,3,25,8.0,25.0,0,4,6.0,0,0,0,0,0,0,0
Darrell Daniels,ARI,TE,1,2,24,12.0,24.0,0,2,12.0,0,0,0,0,0,0,0
Ezekiel Elliott,DAL,RB,1,6,24,4.0,24.0,0,11,2.0,0,0,0,0,0,0,0
LeSean McCoy,TB,RB,1,2,24,12.0,24.0,0,4,6.0,0,0,0,0,0,0,0
Tyler Kroft,BUF,TE,1,4,24,6.0,24.0,2,5,4.0,0,0,0,0,0,0,0
KeeSean Johnson,ARI,WR,1,2,24,12.0,24.0,0,7,3.0,0,0,0,0,0,0,0
Isaiah Wright,WAS,WR,1,4,24,6.0,24.0,0,6,4.0,0,0,0,0,0,0,0
Chase Claypool,PIT,WR,1,1,24,24.0,24.0,0,4,6.0,1,0,0,0,0,1,0
Jalen Guyton,LAC,WR,1,2,23,11.0,23.0,0,3,7.0,0,0,0,0,0,0,0
Daurice Fountain,IND,WR,1,2,23,11.0,23.0,0,2,11.0,0,0,0,0,0,0,0
Sony Michel,NE,RB,1,2,23,11.0,23.0,0,2,11.0,0,0,0,0,0,0,0
David Johnson,HOU,RB,1,2,23,11.0,23.0,0,3,7.0,1,0,0,0,0,0,0
Jordan Reed,SF,TE,1,2,23,11.0,23.0,0,6,3.0,0,0,0,0,0,0,0
Julian Edelman,NE,WR,1,2,23,11.0,23.0,0,6,3.0,0,0,0,0,0,0,0
Brandin Cooks,HOU,WR,1,3,23,7.0,23.0,0,5,4.0,1,0,0,0,0,0,0
Evan Engram,NYG,TE,1,3,22,7.0,22.0,0,5,4.0,0,0,0,0,0,0,0
Brian Hill,ATL,RB,1,1,22,22.0,22.0,0,3,7.0,1,0,0,0,0,0,0
Mark Andrews,BAL,TE,1,3,22,7.0,22.0,0,8,2.0,0,0,0,0,0,1,0
Chris Herndon,NYJ,TE,1,3,21,7.0,21.0,0,5,4.0,0,0,0,0,0,0,0
Chase Edmonds,ARI,RB,1,2,21,10.0,21.0,0,2,10.0,0,0,0,0,0,0,0
Jared Cook,NO,TE,1,2,21,10.0,21.0,0,3,7.0,0,0,0,0,0,0,0
Jamal Agnew,DET,WR,1,2,20,10.0,20.0,0,2,10.0,1,0,0,0,0,0,0
Tarik Cohen,CHI,RB,1,3,20,6.0,20.0,0,6,3.0,1,0,0,0,0,0,0
Trent Taylor,SF,WR,1,1,20,20.0,20.0,0,1,20.0,1,0,0,0,0,0,0
Ronald Jones,TB,RB,1,2,20,10.0,20.0,0,4,5.0,0,0,0,0,0,0,0
Darnell Mooney,CHI,WR,1,2,19,9.0,19.0,0,5,3.0,0,0,0,0,0,0,0
Deontay Burnett,PHI,WR,1,3,19,6.0,19.0,0,4,4.0,0,0,0,0,0,0,0
D'Andre Swift,DET,RB,1,1,19,19.0,19.0,0,2,9.0,0,0,0,0,0,0,0
John Hightower,PHI,WR,1,2,19,9.0,19.0,0,3,6.0,0,0,0,0,0,0,0
Jakeem Grant,MIA,WR,1,1,19,19.0,19.0,0,1,19.0,0,0,0,0,0,0,0
Kareem Hunt,CLE,RB,1,2,18,9.0,18.0,1,3,6.0,0,0,0,0,0,0,0
Danny Amendola,DET,WR,1,1,18,18.0,18.0,0,4,4.0,0,0,0,0,0,0,0
Marcedes Lewis,GB,TE,1,1,18,18.0,18.0,1,2,9.0,0,0,0,0,0,0,0
Dalvin Cook,MIN,RB,1,2,18,9.0,18.0,0,5,3.0,0,0,0,0,0,1,1
