,,,,Receiving,,,,,,,,,Big Receiving Games,,,Fumbles,
Adam Trautman,NO,TE,1,2,17,8.0,17.0,0,2,8.0,0,0,0,0,0,0,0
Mike Williams,LAC,WR,1,1,17,17.0,17.0,0,1,17.0,0,0,0,0,0,0,0
Aaron Jones,GB,RB,1,2,17,8.0,17.0,0,4,4.0,0,0,0,0,0,0,0
Seth Roberts,CAR,WR,1,2,16,8.0,16.0,0,3,5.0,0,0,0,0,0,0,0
MyCole Pruitt,TEN,TE,1,2,16,8.0,16.0,0,2,8.0,0,0,0,0,0,0,0
Joe Mixon,CIN,RB,1,2,16,8.0,16.0,0,3,5.0,0,0,0,0,0,0,0
Mike Gesicki,MIA,TE,1,1,15,15.0,15.0,1,3,5.0,0,0,0,0,0,0,0
KJ Hill,LAC,WR,1,1,15,15.0,15.0,0,4,3.0,0,0,0,0,0,0,0
Demetrius Harris,CHI,TE,1,3,15,5.0,15.0,0,3,5.0,0,0,0,0,0,0,0
Richard Rodgers,PHI,TE,1,2,15,7.0,15.0,0,2,7.0,0,0,0,0,0,0,0
Kerryon Johnson,DET,RB,1,1,14,14.0,14.0,0,1,14.0,0,0,0,0,0,0,0
Isaiah Ford,MIA,WR,1,2,14,7.0,14.0,0,2,7.0,0,0,0,0,0,0,0
Freddie Swain,SEA,WR,1,1,13,13.0,13.0,0,1,13.0,0,0,0,0,0,0,0
Marquise Brown,BAL,WR,1,2,13,6.0,13.0,0,6,2.0,0,0,0,0,0,0,0
Kaden Smith,NYG,TE,1,1,13,13.0,13.0,0,2,6.0,0,0,0,0,0,1,0
Andy Janovich,CLE,FB,1,1,13,13.0,13.0,0,1,13.0,0,0,0,0,0,0,0
Melvin Gordon,DEN,RB,1,4,12,3.0,12.0,0,6,2.0,0,0,0,0,0,0,0
Miles Sanders,PHI,RB,1,4,12,3.0,12.0,0,8,1.0,0,0,0,0,0,0,0
Josh Jacobs,LV,RB,1,3,12,4.0,12.0,0,4,3.0,0,0,0,0,0,1,1
Chris Carson,SEA,RB,1,3,12,4.0,12.0,0,3,4.0,0,0,0,0,0,0,0
Alec Ingold,LV,FB,1,1,11,11.0,11.0,0,1,11.0,0,0,0,0,0,0,0
C.J. Ham,MIN,FB,1,1,11,11.0,11.0,0,2,5.0,0,0,0,0,0,0,0
Antonio Gibson,WAS,RB,1,3,11,3.0,11.0,0,3,3.0,0,0,0,0,0,1,1
Dan Arnold,ARI,TE,1,1,11,11.0,11.0,0,2,5.0,0,0,0,0,0,0,0
Derrick Henry,TEN,RB,1,2,11,5.0,11.0,0,3,3.0,0,0,0,0,0,0,0
Carlos Hyde,SEA,RB,1,1,11,11.0,11.0,0,1,11.0,0,0,0,0,0,0,0
Tyler Eifert,JAX,TE,1,2,11,5.0,11.0,0,3,3.0,0,0,0,0,0,0,0
DeSean Jackson,PHI,WR,1,2,11,5.0,11.0,0,4,2.0,0,0,0,0,0,0,0
Kyle Rudolph,MIN,TE,1,2,11,5.0,11.0,1,3,3.0,0,0,0,0,0,0,0
Dion Lewis,NYG,RB,1,1,10,10.0,10.0,0,3,3.0,0,0,0,0,0,0,0
Adrian Peterson,DET,RB,1,1,10,10.0,10.0,0,1,10.0,0,0,0,0,0,0,0
Mohamed Sanu,SF,WR,1,1,9,9.0,9.0,0,1,9.0,0,0,0,0,0,0,0
Darren Waller,LV,TE,1,2,9,4.0,9.0,0,4,2.0,0,0,0,0,0,0,0
C.J. Board,NYG,WR,1,1,9,9.0,9.0,0,2,4.0,0,0,0,0,0,0,0
JaMycal Hasty,SF,RB,1,1,9,9.0,9.0,0,1,9.0,0,0,0,0,0,0,0
Ian Thomas,CAR,TE,1,1,9,9.0,9.0,0,2,4.0,0,0,0,0,0,0,0
David Montgomery,CHI,RB,1,2,9,4.0,9.0,0,3,3.0,0,0,0,0,0,0,0
Joshua Kelley,LAC,RB,1,2,9,4.0,9.0,0,2,4.0,0,0,0,0,0,1,1
Mike Thomas,CIN,WR,1,2,9,4.0,9.0,0,2,4.0,0,0,0,0,0,0,0
Noah Brown,DAL,WR,1,1,9,9.0,9.0,0,2,4.0,0,0,0,0,0,0,0
Miles Boykin,BAL,WR,1,1,8,8.0,8.0,0,2,4.0,0,0,0,0,0,0,0
Jalen Richard,LV,RB,1,3,8,2.0,8.0,0,3,2.0,0,0,0,0,0,0,0
Tyler Ervin,GB,RB,1,2,8,4.0,8.0,0,2,4.0,0,0,0,0,0,0,0
Diontae Spencer,DEN,WR,1,1,7,7.0,7.0,0,1,7.0,0,0,0,0,0,0,0
Kyle Juszczyk,SF,FB,1,1,7,7.0,7.0,0,1,7.0,0,0,0,0,0,0,0
Latavius Murray,NO,RB,1,1,7,7.0,7.0,0,1,7.0,0,0,0,0,0,0,0
Wayne Gallman,NYG,RB,1,2,7,3.0,7.0,0,3,2.0,0,0,0,0,0,0,0
Chad Beebe,MIN,WR,1,1,7,7.0,7.0,0,1,7.0,0,0,0,0,0,0,0
Durham Smythe,MIA,TE,1,1,7,7.0,7.0,0,1,7.0,0,0,0,0,0,0,0
Dallas Goedert,PHI,TE,1,1,7,7.0,7.0,0,1,7.0,0,0,0,0,0,0,0
Preston Williams,MIA,WR,1,2,7,3.0,7.0,1,2,3.0,0,0,0,0,0,0,0
Leonard Fournette,TB,RB,1,2,7,3.0,7.0,0,2,3.0,0,0,0,0,0,0,0
Anthony McFarland,PIT,RB,1,1,7,7.0,7.0,0,2,3.0,0,0,0,0,0,0,0
Devin Duvernay,BAL,WR,1,2,7,3.0,7.0,0,3,2.0,0,0,0,0,0,0,0
Darrell Henderson,LAR,RB,1,1,6,6.0,6.0,0,3,2.0,0,0,0,0,0,0,0
Jakob Johnson,NE,FB,1,1,6,6.0,6.0,0,1,6.0,0,0,0,0,0,0,0
Isaiah McKenzie,BUF,WR,1,1,6,6.0,6.0,0,2,3.0,0,0,0,0,0,0,0
Cullen Gillaspia,HOU,FB,1,1,6,6.0,6.0,0,1,6.0,0,0,0,0,0,0,0
Jordan Wilkins,IND,RB,1,1,6,6.0,6.0,0,1,6.0,0,0,0,0,0,0,0
Kenyan Drake,ARI,RB,1,1,6,6.0,6.0,0,1,6.0,0,0,0,0,0,0,0
Luke Stocker,ATL,TE,1,1,6,6.0,6.0,0,1,6.0,0,0,0,0,0,0,0
Anthony Sherman,KC,FB,1,1,5,5.0,5.0,1,1,5.0,0,0,0,0,0,0,0
Frank Gore,NYJ,RB,1,1,5,5.0,5.0,0,1,5.0,0,0,0,0,0,0,0
Jake Butt,DEN,TE,1,1,5,5.0,5.0,0,1,5.0,0,0,0,0,0,0,0
Nick Boyle,BAL,TE,1,1,5,5.0,5.0,1,1,5.0,0,0,0,0,0,0,0
Marquez Valdes-Scantling,GB,WR,1,1,5,5.0,5.0,0,4,1.0,0,0,0,0,0,0,0
Jeremy McNichols,TEN,RB,1,1,5,5.0,5.0,0,1,5.0,0,0,0,0,0,0,0
Will Dissly,SEA,TE,1,2,5,2.0,5.0,0,2,2.0,0,0,0,0,0,0,0
Deonte Harris,NO,WR,1,2,5,2.0,5.0,0,3,1.0,0,0,0,0,0,1,0
Dede Westbrook,JAX,WR,1,1,4,4.0,4.0,0,1,4.0,0,0,0,0,0,0,0
Willie Snead,BAL,WR,1,2,4,2.0,4.0,0,2,2.0,0,0,0,0,0,0,0
Keith Smith,ATL,FB,1,1,3,3.0,3.0,0,1,3.0,0,0,0,0,0,0,0
Jamaal Williams,GB,RB,1,1,3,3.0,3.0,0,1,3.0,0,0,0,0,0,0,0
Jonathan Taylor,IND,RB,1,1,3,3.0,3.0,0,1,3.0,0,0,0,0,0,0,0
Harrison Bryant,CLE,TE,1,1,3,3.0,3.0,1,2,1.0,0,0,0,0,0,0,0
Collin Johnson,JAX,WR,1,1,3,3.0,3.0,0,2,1.0,0,0,0,0,0,0,0
David Moore,SEA,WR,1,1,2,2.0,2.0,0,1,2.0,0,0,0,0,0,1,0
Nick Chubb,CLE,RB,1,1,2,2.0,2.0,0,1,2.0,0,0,0,0,0,0,0
Todd Gurley,ATL,RB,1,1,2,2.0,2.0,0,2,1.0,0,0,0,0,0,1,0
Mike Evans,TB,WR,1,2,2,1.0,2.0,2,4,0.0,0,0,0,0,0,0,0
Eric Fisher,KC,OT,1,1,2,2.0,2.0,1,1,2.0,0,0,0,0,0,0,0
Lee Smith,BUF,TE,1,1,1,1.0,1.0,1,1,1.0,0,0,0,0,0,0,0
Taysom Hill,NO,QB,1,1,1,1.0,1.0,0,1,1.0,0,0,0,0,0,1,1
Cethan Carter,CIN,TE,1,1,1,1.0,1.0,0,1,1.0,0,0,0,0,0,0,0
Jacob Hollister,SEA,TE,1,1,1,1.0,1.0,1,2,0.0,0,0,0,0,0,0,0
Darrel Williams,KC,RB,1,2,1,0.0,1.0,0,2,0.0,0,0,0,0,0,0,0
Drew Sample,CIN,TE,1,1,1,1.0,1.0,0,1,1.0,0,0,0,0,0,0,0
Hayden Hurst,ATL,TE,1,1,1,1.0,1.0,1,3,0.0,0,0,0,0,0,0,0
Nick Westbrook-Ikhine,TEN,WR,1,0,0,0.0,0.0,0,2,0.0,0,0,0,0,0,0,0
Noah Togiai,IND,TE,1,0,0,0.0,0.0,0,1,0.0,0,0,0,0,0,0,0
Van Jefferson,LAR,WR,1,0,0,0.0,0.0,0,1,0.0,0,0,0,0,0,1,0
Ryan Izzo,NE,TE,1,0,0,0.0,0.0,0,1,0.0,0,0,0,0,0,0,0
Ito Smith,ATL,RB,1,0,0,0.0,0.0,0,2,0.0,0,0,0,0,0,0,0
Darrius Shepherd,GB,WR,1,0,0,0.0,0.0,0,1,0.0,0,0,0,0,0,0,0
Darwin Thompson,KC,RB,1,0,0,0.0,0.0,0,2,0.0,0,0,0,0,0,1,1
Nick Keizer,KC,TE,1,0,0,0.0,0.0,0,1,0.0,0,0,0,0,0,0,0
Ashton Dulin,IND,WR,1,0,0,0.0,0.0,0,1,0.0,0,0,0,0,0,0,0
Diontae Johnson,PIT,WR,1,0,0,0.0,0.0,0,2,0.0,0,0,0,0,0,0,0
J.J. Taylor,NE,RB,1,0,0,0.0,0.0,0,1,0.0,0,0,0,0,0,0,0
Javon Wims,CHI,WR,1,0,0,0.0,0.0,0,1,0.0,0,0,0,0,0,0,0
Travis Homer,SEA,RB,1,0,0,0.0,0.0,0,1,0.0,0,0,0,0,0,0,0
Antonio Gandy-Golden,WAS,WR,1,0,0,0.0,0.0,0,2,0.0,0,0,0,0,0,0,0
Demarcus Robinson,KC,WR,1,0,0,0.0,0.0,0,1,0.0,0,0,0,0,0,0,0
Malcolm Brown,LAR,RB,1,0,0,0.0,0.0,0,2,0.0,0,0,0,0,0,0,0
Boston Scott,PHI,RB,1,0,0,0.0,0.0,0,1,0.0,0,0,0,0,0,0,0
KhaDarel Hodge,CLE,WR,1,0,0,0.0,0.0,0,1,0.0,0,0,0,0,0,0,0
Blake Bell,DAL,TE,1,0,0,0.0,0.0,0,1,0.0,0,0,0,0,0,0,0
Chris Hogan,NYJ,WR,1,0,0,0.0,0.0,0,3,0.0,0,0,0,0,0,0,0
Ryan Tannehill,TEN,QB,1,1,0,0.0,0.0,0,1,0.0,0,0,0,0,0,2,0
Virgil Green,LAC,TE,1,0,0,0.0,0.0,0,1,0.0,0,0,0,0,0,0,0
Ryan Fitzpatrick,MIA,QB,1,1,0,0.0,0.0,0,1,0.0,0,0,0,0,0,0,0
Larry Fitzgerald,ARI,WR,1,1,0,0.0,0.0,0,3,0.0,0,0,0,0,0,0,0
Darren Fells,HOU,TE,1,0,0,0.0,0.0,0,2,0.0,0,0,0,0,0,0,0
John Brown,BUF,WR,1,0,0,0.0,0.0,0,2,0.0,0,0,0,0,0,0,0
Ryan Griffin,NYJ,TE,1,0,0,0.0,0.0,0,2,0.0,0,0,0,0,0,0,0
Mark Ingram,BAL,RB,1,0,0,0.0,0.0,0,1,0.0,0,0,0,0,0,0,0
La'Mical Perine,NYJ,RB,1,2,-1,0.0,-1.0,0,2,0.0,0,0,0,0,0,0,0
