,,,,Receiving,,,Air Yards (AY) / Depth of Target ,,,,,,Team %,,After Catch,,,PASS Int(PI),
Name,Team,Pos,G,TAR,REC,YDS,AY,aDOT,AY/Snap,Cmp AY,Catch %,Drop %,AY,TAR,YDS,AVG,%,Drawn,On
Justin Jefferson,MIN,WR,1,9,7,175,128,14.2,2.5,96,77.8,0.0,60.4,40.9,79,11.3,45.1,0,0
Allen Lazard,GB,WR,1,8,6,146,109,13.6,1.8,95,75.0,0.0,44.1,27.6,51,8.5,34.9,1,0
Alvin Kamara,NO,RB,1,14,13,139,4,0.3,0.1,-1,92.9,7.1,2.4,40.0,140,10.8,100.7,0,1
Michael Gallup,DAL,WR,1,9,6,138,165,18.3,2.4,104,60.0,10.0,42.2,20.0,34,5.7,24.6,0,0
DeAndre Hopkins,ARI,WR,1,12,10,137,103,8.6,1.7,77,83.3,0.0,53.6,46.2,60,6.0,43.8,0,0
Keenan Allen,LAC,WR,1,19,13,132,157,8.3,2.1,84,68.4,0.0,58.1,43.2,48,3.7,36.4,0,0
Tyler Boyd,CIN,WR,1,13,10,125,125,9.6,2.3,92,76.9,0.0,42.8,35.1,33,3.3,26.4,0,0
Allen Robinson,CHI,WR,1,13,10,123,101,7.8,1.6,60,76.9,0.0,19.9,26.5,63,6.3,51.2,0,0
Kalif Raymond,TEN,WR,1,3,3,118,96,32.0,4.8,96,100.0,0.0,30.5,10.0,22,7.3,0.0,0,0
DK Metcalf,SEA,WR,1,8,4,110,165,20.6,2.3,97,50.0,25.0,45.7,21.1,13,3.3,11.8,0,0
Calvin Ridley,ATL,WR,1,13,5,110,250,19.2,4.0,101,38.5,7.7,62.0,38.2,9,1.8,8.2,0,0
Cedrick Wilson,DAL,WR,1,7,5,107,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0
Cooper Kupp,LAR,WR,1,10,9,107,69,6.9,1.1,62,90.0,0.0,39.7,33.3,45,5.0,42.1,0,0
Tyler Lockett,SEA,WR,1,13,9,100,128,9.8,1.7,96,69.2,7.7,35.5,34.2,4,0.4,4.0,1,0
Cole Beasley,BUF,WR,1,7,6,100,75,10.7,2.0,61,85.7,0.0,27.9,26.9,39,6.5,39.0,0,0
Randall Cobb,HOU,WR,1,4,4,95,60,15.0,1.8,60,100.0,0.0,23.3,15.4,35,8.8,36.8,0,0
Travis Kelce,KC,TE,1,7,6,87,45,6.4,0.7,38,85.7,0.0,13.8,18.4,49,8.2,56.3,0,0
Amari Cooper,DAL,WR,1,12,9,86,114,9.5,1.8,62,75.0,0.0,29.2,24.0,24,2.7,27.9,0,0
Austin Ekeler,LAC,RB,1,11,11,84,-30,-2.7,-0.5,-30,100.0,0.0,-11.1,25.0,114,10.4,135.7,0,0
Hunter Renfrow,LV,WR,1,9,6,84,104,11.6,2.7,40,66.7,0.0,43.0,28.1,44,7.3,52.4,0,0
Scotty Miller,TB,WR,1,5,3,83,129,25.8,4.4,70,60.0,0.0,42.4,13.9,13,4.3,15.7,0,0
Terry McLaurin,WAS,WR,1,8,4,83,77,9.6,1.2,19,50.0,0.0,34.2,26.7,64,16.0,77.1,0,1
James Robinson,JAX,RB,1,6,6,83,6,1.0,0.2,6,100.0,0.0,2.3,16.7,77,12.8,92.8,0,0
Mecole Hardman,KC,WR,1,6,4,81,121,20.2,4.2,65,66.7,16.7,37.2,15.8,16,4.0,19.8,0,0
Gabriel Davis,BUF,WR,1,4,4,81,62,15.5,1.3,62,100.0,0.0,23.0,15.4,19,4.8,23.5,1,0
Tyreek Hill,KC,WR,1,6,5,77,87,14.5,1.5,52,83.3,0.0,26.8,15.8,25,5.0,32.5,0,0
Robert Woods,LAR,WR,1,6,5,74,1,0.2,0.0,9,83.3,0.0,0.6,20.0,65,13.0,87.8,0,0
Greg Ward,PHI,WR,1,11,8,72,61,5.5,0.8,33,72.7,0.0,23.4,28.9,39,4.9,54.2,0,0
Zach Ertz,PHI,TE,1,10,7,70,80,8.0,1.0,58,77.8,11.1,30.7,23.7,12,1.7,17.1,0,0
Clyde Edwards-Helaire,KC,RB,1,6,5,70,9,1.5,0.2,8,83.3,0.0,2.8,15.8,62,12.4,88.6,0,0
Brandon Aiyuk,SF,WR,1,8,5,70,78,9.8,1.4,56,62.5,0.0,31.6,26.7,14,2.8,20.0,0,0
DeVante Parker,MIA,WR,1,5,5,69,59,11.8,1.1,59,100.0,0.0,41.5,27.8,10,2.0,14.5,1,0
Corey Davis,TEN,WR,1,6,5,69,43,7.2,0.8,37,83.3,0.0,13.7,20.0,32,6.4,46.4,0,0
CeeDee Lamb,DAL,WR,1,7,5,65,64,9.1,1.3,53,71.4,0.0,16.4,14.0,12,2.4,18.5,0,0
D.J. Moore,CAR,WR,1,4,2,65,72,18.0,1.6,56,50.0,25.0,56.3,14.3,9,4.5,13.8,0,0
