,,,,Receiving,,,Air Yards (AY) / Depth of Target ,,,,,,Team %,,After Catch,,,PASS Int(PI),
Name,Team,Pos,G,TAR,REC,YDS,AY,aDOT,AY/Snap,Cmp AY,Catch %,Drop %,AY,TAR,YDS,AVG,%,Drawn,On
Julian Edelman,NE,WR,1,11,8,179,165,15.0,3.2,148,72.7,18.2,49.1,25.6,31,3.9,17.3,0,0
Stefon Diggs,BUF,WR,1,13,8,153,159,12.2,3.3,115,61.5,0.0,38.4,32.5,38,4.8,24.8,0,0
Mike Gesicki,MIA,TE,1,11,8,130,109,9.9,2.7,91,72.7,0.0,36.9,22.9,39,4.9,30.0,0,0
Terry McLaurin,WAS,WR,1,10,7,125,104,10.4,1.7,39,70.0,10.0,37.1,30.3,86,12.3,68.8,1,0
D.J. Moore,CAR,WR,1,13,8,120,165,12.7,2.5,109,61.5,0.0,58.1,32.5,11,1.4,9.2,0,0
Mo Alie-Cox,IND,TE,1,6,5,111,76,12.7,1.6,69,83.3,0.0,31.8,20.7,42,8.4,37.8,0,0
Robby Anderson,CAR,WR,1,10,9,109,97,9.7,1.8,79,90.0,0.0,34.2,25.0,30,3.3,27.5,1,0
Calvin Ridley,ATL,WR,1,10,7,109,162,16.2,2.6,94,77.8,0.0,40.1,22.5,15,2.1,13.8,0,0
CeeDee Lamb,DAL,WR,1,9,6,106,68,7.6,1.0,47,66.7,0.0,15.3,16.7,59,9.8,55.7,0,0
Darren Waller,LV,TE,1,16,12,105,98,6.1,1.3,45,75.0,0.0,40.0,45.7,58,4.8,56.3,0,0
Mike Evans,TB,WR,1,10,7,104,80,8.0,1.5,58,70.0,0.0,35.2,28.6,46,6.6,44.2,0,0
Amari Cooper,DAL,WR,1,9,6,100,121,13.4,1.6,68,66.7,11.1,27.3,16.7,32,5.3,32.0,0,0
Tyreek Hill,KC,WR,1,11,5,99,133,12.1,1.9,73,45.5,18.2,40.8,22.9,26,5.2,26.3,0,0
Keenan Allen,LAC,WR,1,10,7,96,101,10.1,1.2,51,70.0,0.0,33.0,28.6,45,6.4,46.9,0,0
Brandin Cooks,HOU,WR,1,8,5,95,122,15.3,2.3,80,62.5,0.0,47.1,22.9,15,3.0,15.8,0,0
Alvin Kamara,NO,RB,1,9,9,95,0,0.0,0.0,0,100.0,0.0,0.0,24.3,100,11.1,105.3,0,0
Diontae Johnson,PIT,WR,1,13,8,92,107,8.2,2.0,61,61.5,15.4,41.8,31.7,31,3.9,33.7,0,0
DK Metcalf,SEA,WR,1,6,4,92,88,14.7,1.4,60,66.7,0.0,41.1,24.0,32,8.0,34.8,0,0
Travis Kelce,KC,TE,1,14,9,90,103,7.4,1.4,58,64.3,7.1,31.6,29.2,32,3.6,35.6,0,0
Chase Claypool,PIT,WR,1,3,3,88,41,13.7,1.7,41,100.0,0.0,16.0,7.3,47,15.7,53.4,0,0
Dalton Schultz,DAL,TE,1,10,9,88,41,4.1,0.7,37,90.0,0.0,9.2,18.5,50,5.6,57.5,0,0
Tre'Quan Smith,NO,WR,1,7,5,86,68,9.7,1.3,51,71.4,0.0,36.0,18.9,35,7.0,40.7,0,0
Jonnu Smith,TEN,TE,1,5,4,84,23,4.6,0.4,25,80.0,0.0,11.3,19.2,59,14.8,70.2,1,0
DJ Chark,JAX,WR,1,4,4,84,68,17.0,1.2,68,100.0,0.0,16.4,8.2,16,4.0,19.0,0,0
Hunter Henry,LAC,TE,1,8,6,83,72,9.0,1.0,49,75.0,0.0,23.5,22.9,34,5.7,41.0,0,0
John Brown,BUF,WR,1,6,4,82,120,20.0,2.1,79,66.7,0.0,29.0,15.0,3,0.8,3.7,0,0
Cooper Kupp,LAR,WR,1,6,5,81,21,3.5,0.4,20,83.3,0.0,10.1,22.2,61,12.2,75.3,0,0
Isaiah Ford,MIA,WR,1,9,7,76,71,7.9,1.5,53,77.8,0.0,24.1,18.8,23,3.3,30.3,0,0
Chris Hogan,NYJ,WR,1,8,6,75,58,7.3,1.0,42,75.0,0.0,34.1,22.2,33,5.5,44.0,0,0
Odell Beckham,CLE,WR,1,6,4,74,88,14.7,2.3,51,66.7,0.0,43.1,30.0,23,5.8,31.1,0,0
Mike Davis,CAR,RB,1,8,8,74,2,0.3,0.1,2,100.0,0.0,0.7,20.0,72,9.0,97.3,0,0
Tyler Boyd,CIN,WR,1,8,7,72,45,5.6,0.6,44,87.5,12.5,11.5,15.1,28,4.0,38.9,0,0
Damiere Byrd,NE,WR,1,9,6,72,97,10.8,1.6,65,66.7,0.0,28.9,20.9,7,1.2,9.7,0,0
N'Keal Harry,NE,WR,1,12,8,72,72,6.0,1.2,38,66.7,0.0,21.4,27.9,34,4.3,47.2,0,0
Hayden Hurst,ATL,TE,1,8,5,72,60,7.5,1.2,27,62.5,0.0,14.9,20.0,45,9.0,62.5,0,0
Cole Beasley,BUF,WR,1,6,5,70,47,7.8,1.1,44,83.3,0.0,11.4,15.0,26,5.2,37.1,1,0
DeAndre Hopkins,ARI,WR,1,9,8,68,37,4.1,0.5,29,88.9,11.1,11.5,26.5,39,4.9,57.4,0,0
Aaron Jones,GB,RB,1,8,4,68,65,8.1,1.9,35,50.0,0.0,22.0,26.7,33,8.3,48.5,0,0
Kendrick Bourne,SF,WR,1,5,4,67,71,14.2,1.6,38,80.0,20.0,45.8,16.1,29,7.3,43.3,0,0
Tyler Lockett,SEA,WR,1,8,7,67,67,8.4,1.1,37,87.5,0.0,31.3,32.0,30,4.3,44.8,0,0
Andy Isabella,ARI,WR,1,2,2,67,71,35.5,5.1,59,66.7,0.0,22.0,8.8,8,4.0,11.9,0,0
Courtland Sutton,DEN,WR,1,6,3,66,100,16.7,3.2,58,50.0,16.7,19.2,15.4,8,2.7,12.1,0,0
Evan Engram,NYG,TE,1,8,6,65,45,5.6,0.7,32,75.0,0.0,18.4,22.2,33,5.5,50.8,0,0
Marquez Valdes-Scantling,GB,WR,1,7,3,64,101,14.4,2.2,44,42.9,14.3,34.2,23.3,20,6.7,31.3,0,0
DeSean Jackson,PHI,WR,1,9,6,64,76,8.4,1.4,60,66.7,22.2,31.0,20.9,4,0.7,6.3,0,0
Jerry Jeudy,DEN,WR,1,7,4,62,97,13.9,2.2,44,57.1,28.6,18.7,17.9,18,4.5,29.0,1,0
T.J. Hockenson,DET,TE,1,4,4,62,21,5.3,0.5,21,100.0,0.0,7.7,11.4,41,10.3,66.1,0,0
D'Andre Swift,DET,RB,1,5,5,60,11,2.2,0.6,11,100.0,0.0,4.1,14.3,49,9.8,81.7,0,0
Randall Cobb,HOU,WR,1,6,5,59,33,5.5,0.8,29,83.3,0.0,12.7,17.1,30,6.0,50.8,0,0
Braxton Berrios,NYJ,WR,1,8,6,59,43,5.4,0.9,31,75.0,0.0,25.3,22.2,28,4.7,47.5,0,0
