,,,,Rushing,,,Rush Location,,,,,,,,,After Contact,,
Name,Team,Pos,G,ATT,YDS,TD,In%,In,Out%,Out,Stuffed,BT,BT%,POS%,TD%,YDS,AVG,%
Royce Freeman,DEN,RB,1,3,6,0,0.0,0,100.0,1,0,-1,-33.3,100.0,0.0,4,1.3,66.7
Jeff Wilson,SF,RB,1,3,6,0,0.0,0,100.0,1,0,1,33.3,100.0,0.0,5,1.7,83.3
Jalen Richard,LV,RB,1,1,6,0,100.0,1,0.0,0,0,0,0.0,100.0,0.0,2,2.0,33.3
J.D. McKissic,WAS,RB,1,2,6,0,0.0,0,0.0,0,0,-2,-100.0,100.0,0.0,1,0.5,16.7
Baker Mayfield,CLE,QB,1,3,6,0,66.7,2,33.3,1,2,0,0.0,33.3,0.0,0,0.0,0.0
Taysom Hill,NO,QB,1,3,6,0,100.0,1,0.0,0,2,0,0.0,33.3,0.0,5,1.7,83.3
Aaron Rodgers,GB,QB,1,1,5,0,0.0,0,100.0,1,0,0,0.0,100.0,0.0,0,0.0,0.0
Russell Wilson,SEA,QB,1,4,5,0,100.0,3,0.0,0,3,0,0.0,25.0,0.0,2,0.5,40.0
Kirk Cousins,MIN,QB,1,4,5,0,66.7,2,33.3,1,2,0,0.0,50.0,0.0,0,0.0,0.0
Peyton Barber,WAS,RB,1,3,5,0,100.0,1,0.0,0,1,0,0.0,66.7,0.0,1,0.3,20.0
Cordarrelle Patterson,CHI,WR,1,3,5,0,0.0,0,0.0,0,1,0,0.0,66.7,0.0,7,2.3,140.0
Laviska Shenault,JAX,WR,1,1,5,0,0.0,0,100.0,1,0,1,100.0,100.0,0.0,4,4.0,80.0
Lynn Bowden,MIA,WR,1,1,5,0,0.0,0,0.0,0,0,0,0.0,100.0,0.0,1,1.0,20.0
Travis Homer,SEA,RB,1,4,5,0,100.0,2,0.0,0,2,0,0.0,50.0,0.0,1,0.3,20.0
Gabe Nabers,LAC,FB,1,1,4,0,100.0,1,0.0,0,0,0,0.0,100.0,0.0,2,2.0,50.0
Ke'Shawn Vaughn,TB,RB,1,3,4,0,100.0,1,0.0,0,1,0,0.0,66.7,0.0,3,1.0,75.0
Tyler Boyd,CIN,WR,1,1,4,0,0.0,0,100.0,1,0,0,0.0,100.0,0.0,1,1.0,25.0
Michael Burton,NO,FB,1,1,4,0,100.0,1,0.0,0,0,0,0.0,100.0,0.0,3,3.0,75.0
Robert Griffin,BAL,QB,1,3,3,0,66.7,2,33.3,1,2,0,0.0,33.3,0.0,1,0.3,33.3
LeSean McCoy,TB,RB,1,1,3,0,0.0,0,0.0,0,0,0,0.0,100.0,0.0,0,0.0,0.0
Corey Clement,PHI,RB,1,2,3,0,0.0,0,100.0,1,0,1,50.0,100.0,0.0,3,1.5,100.0
C.J. Board,NYG,WR,1,1,3,0,0.0,0,100.0,1,0,0,0.0,100.0,0.0,0,0.0,0.0
Jarrett Stidham,NE,QB,1,2,3,0,100.0,2,0.0,0,0,0,0.0,100.0,0.0,3,1.5,100.0
Ito Smith,ATL,RB,1,2,3,0,100.0,1,0.0,0,1,0,0.0,50.0,0.0,1,0.5,33.3
Dwayne Haskins,WAS,QB,1,3,3,1,100.0,3,0.0,0,1,0,0.0,66.7,0.3,2,0.7,66.7
AJ Dillon,GB,RB,1,1,3,0,0.0,0,100.0,1,0,0,0.0,100.0,0.0,2,2.0,66.7
CeeDee Lamb,DAL,WR,1,1,3,0,0.0,0,100.0,1,0,0,0.0,100.0,0.0,1,1.0,33.3
Alex Armah,CAR,FB,1,1,2,0,100.0,1,0.0,0,0,0,0.0,100.0,0.0,1,1.0,50.0
C.J. Ham,MIN,FB,1,1,2,0,100.0,1,0.0,0,0,0,0.0,100.0,0.0,0,0.0,0.0
Gerald Everett,LAR,TE,1,1,2,1,0.0,0,100.0,1,0,0,0.0,100.0,1.0,0,0.0,0.0
Darrel Williams,KC,RB,1,1,2,0,100.0,1,0.0,0,0,0,0.0,100.0,0.0,0,0.0,0.0
Jamal Agnew,DET,WR,1,1,2,0,0.0,0,100.0,1,0,0,0.0,100.0,0.0,1,1.0,50.0
Jordan Howard,MIA,RB,1,2,2,0,0.0,0,0.0,0,1,0,0.0,50.0,0.0,6,3.0,300.0
Robert Woods,LAR,WR,1,1,2,0,0.0,0,100.0,1,0,0,0.0,100.0,0.0,0,0.0,0.0
Boston Scott,PHI,RB,1,2,1,0,0.0,0,100.0,1,1,0,0.0,50.0,0.0,3,1.5,300.0
Tim Boyle,GB,QB,1,1,-1,0,100.0,1,0.0,0,1,0,0.0,0.0,0.0,0,0.0,0.0
Nick Foles,CHI,QB,1,2,-1,0,100.0,1,0.0,0,2,0,0.0,0.0,0.0,0,0.0,0.0
Josh Allen,BUF,QB,1,3,-1,1,100.0,3,0.0,0,2,0,0.0,33.3,0.3,1,0.3,-100.0
Alec Ingold,LV,FB,1,1,-1,0,100.0,1,0.0,0,1,0,0.0,0.0,0.0,2,2.0,-200.0
Russell Gage,ATL,WR,1,1,-2,0,0.0,0,100.0,1,1,0,0.0,0.0,0.0,0,0.0,0.0
Cooper Kupp,LAR,WR,1,1,-2,0,0.0,0,100.0,1,1,0,0.0,0.0,0.0,0,0.0,0.0
Jared Goff,LAR,QB,1,3,-3,0,100.0,3,0.0,0,3,0,0.0,0.0,0.0,0,0.0,0.0
Andre Roberts,BUF,WR,1,1,-3,0,0.0,0,100.0,1,1,0,0.0,0.0,0.0,0,0.0,0.0
Tom Brady,TB,QB,1,3,-3,0,100.0,3,0.0,0,3,0,0.0,0.0,0.0,0,0.0,0.0
Drew Brees,NO,QB,1,3,-3,0,100.0,3,0.0,0,3,0,0.0,0.0,0.0,0,0.0,0.0
Curtis Samuel,CAR,WR,1,2,-3,0,50.0,1,50.0,1,1,0,0.0,50.0,0.0,1,0.5,-33.3
Darnell Mooney,CHI,WR,1,1,-3,0,0.0,0,100.0,1,1,0,0.0,0.0,0.0,0,0.0,0.0
Philip Rivers,IND,QB,1,3,-4,0,100.0,3,0.0,0,3,0,0.0,0.0,0.0,0,0.0,0.0
Brett Rypien,DEN,QB,1,5,-5,0,100.0,5,0.0,0,5,0,0.0,0.0,0.0,0,0.0,0.0
Adrian Killins,PHI,RB,1,1,-12,0,0.0,,0.0,,,0,0.0,0.0,0.0,0,0.0,0.0
