,,,,Fantasy,Passing,,,,,Rushing,,,Receiving,,,,Fumbles,
Name,Team,Pos,G,Pts,COMP,ATT,YDS,TD,INT,ATT,YDS,TD,REC,TAR,YDS,TD,TOT,LOST
Joe Mixon,CIN,RB,1,36.1,0,0,0,0,0,25,151,2,6,6,30,1,0,0
Dalvin Cook,MIN,RB,1,26.6,0,0,0,0,0,27,130,2,2,2,16,0,0,0
Ronald Jones,TB,RB,1,12.8,0,0,0,0,0,20,111,0,6,9,17,0,0,0
Melvin Gordon,DEN,RB,1,23.8,0,0,0,0,0,23,107,2,2,3,11,0,0,0
Damien Harris,NE,RB,1,10.0,0,0,0,0,0,17,100,0,0,0,0,0,0,0
D'Ernest Johnson,CLE,RB,1,9.5,0,0,0,0,0,13,95,0,0,0,0,0,0,0
Sam Darnold,NYJ,QB,1,25.9,23,42,230,0,0,6,84,1,0,0,0,0,0,0
Mike Davis,CAR,RB,1,17.1,0,0,0,0,0,16,84,1,5,6,27,0,0,0
Alvin Kamara,NO,RB,1,17.9,0,0,0,0,0,19,83,1,3,4,36,0,0,0
Chris Carson,SEA,RB,1,22.0,0,0,0,0,0,16,80,2,3,4,20,0,1,0
Kyler Murray,ARI,QB,1,26.5,24,31,133,3,0,6,78,0,0,0,0,0,1,1
James Robinson,JAX,RB,1,10.7,0,0,0,0,0,17,75,0,4,4,32,0,0,0
Odell Beckham,CLE,WR,1,33.4,0,0,0,0,0,2,73,1,5,8,81,2,0,0
Aaron Jones,GB,RB,1,17.1,0,0,0,0,0,15,71,0,5,5,40,1,0,0
Kareem Hunt,CLE,RB,1,19.1,0,0,0,0,0,11,71,2,0,0,0,0,0,0
Jonathan Taylor,IND,RB,1,7.9,0,0,0,0,0,17,68,0,1,1,11,0,0,0
Clyde Edwards-Helaire,KC,RB,1,9.1,0,0,0,0,0,16,64,0,3,3,27,0,0,0
Latavius Murray,NO,RB,1,20.3,0,0,0,0,0,14,64,2,1,2,19,0,0,0
David Johnson,HOU,RB,1,9.2,0,0,0,0,0,16,63,0,2,3,29,0,0,0
Todd Gurley,ATL,RB,1,18.3,0,0,0,0,0,16,57,2,1,1,6,0,0,0
Devin Singletary,BUF,RB,1,13.7,0,0,0,0,0,18,56,1,5,6,21,0,0,0
Ezekiel Elliott,DAL,RB,1,12.5,0,0,0,0,0,12,54,0,8,8,71,0,1,1
Jerick McKinnon,SF,RB,1,15.7,0,0,0,0,0,14,54,1,7,8,43,0,0,0
Lamar Jackson,BAL,QB,1,29.0,14,21,193,2,1,7,53,1,0,0,0,0,0,0
Reggie Bonnafon,CAR,RB,1,13.1,0,0,0,0,0,10,53,0,2,2,18,1,0,0
Josh Jacobs,LV,RB,1,7.3,0,0,0,0,0,15,48,0,3,4,25,0,0,0
Ryan Fitzpatrick,MIA,QB,1,26.5,29,45,315,0,2,6,47,1,0,0,0,0,0,0
Miles Sanders,PHI,RB,1,7.6,0,0,0,0,0,13,46,0,2,4,30,0,0,0
Antonio Gibson,WAS,RB,1,18.8,0,0,0,0,0,13,46,1,4,5,82,0,0,0
Daniel Jones,NYG,QB,1,14.0,23,36,190,0,1,6,45,0,0,0,0,0,1,0
Rex Burkhead,NE,RB,1,5.0,0,0,0,0,0,11,45,0,1,1,5,0,0,0
Wayne Gallman,NYG,RB,1,4.5,0,0,0,0,0,6,45,0,0,0,0,0,0,0
Nick Chubb,CLE,RB,1,4.3,0,0,0,0,0,6,43,0,0,0,0,0,0,0
Myles Gaskin,MIA,RB,1,6.2,0,0,0,0,0,10,40,0,3,4,22,0,0,0
Brandon Aiyuk,SF,WR,1,11.6,0,0,0,0,0,1,38,1,2,5,18,0,0,0
Gus Edwards,BAL,RB,1,3.8,0,0,0,0,0,9,38,0,0,0,0,0,0,0
Malcolm Brown,LAR,RB,1,5.7,0,0,0,0,0,9,38,0,5,6,19,0,0,0
Carson Wentz,PHI,QB,1,23.4,18,28,193,1,1,7,37,1,0,0,0,0,1,0
Adrian Peterson,DET,RB,1,9.6,0,0,0,0,0,11,36,1,0,2,0,0,0,0
Kenyan Drake,ARI,RB,1,3.5,0,0,0,0,0,13,35,0,0,0,0,0,0,0
Mark Ingram,BAL,RB,1,9.7,0,0,0,0,0,8,34,1,1,1,3,0,0,0
Devonta Freeman,NYG,RB,1,6.8,0,0,0,0,0,11,33,0,4,4,35,0,0,0
Teddy Bridgewater,CAR,QB,1,31.0,26,37,276,2,1,6,32,1,0,0,0,0,0,0
Frank Gore,NYJ,RB,1,3.6,0,0,0,0,0,13,30,0,1,2,6,0,0,0
Patrick Mahomes,KC,QB,1,22.6,19,29,236,2,0,8,28,0,0,0,0,0,0,0
David Montgomery,CHI,RB,1,5.7,0,0,0,0,0,10,27,0,3,6,30,0,0,0
Nyheim Hines,IND,RB,1,3.2,0,0,0,0,0,9,24,0,3,3,8,0,0,0
Duke Johnson,HOU,RB,1,4.5,0,0,0,0,0,5,24,0,3,4,21,0,0,0
D'Andre Swift,DET,RB,1,11.2,0,0,0,0,0,4,22,0,4,4,30,1,0,0
Darrell Henderson,LAR,RB,1,3.7,0,0,0,0,0,8,21,0,1,1,16,0,0,0
Matthew Stafford,DET,QB,1,24.4,17,31,206,3,1,3,21,0,0,0,0,0,0,0
