,,,,Rushing,,,,Red Zone Rush Att,,,,Red Zone Rush TD,,
Name,Team,Pos,G,ATT,YDS,AVG,TD,In20,In10,In5,%Tm,In20,In10,In5
Joe Mixon,CIN,RB,1,25,151,6.0,2,6,2,1,85.71,0,0,0
Dalvin Cook,MIN,RB,1,27,130,4.8,2,10,3,1,76.92,2,2,1
Ronald Jones,TB,RB,1,20,111,5.6,0,2,1,0,50.00,0,0,0
Melvin Gordon,DEN,RB,1,23,107,4.7,2,3,2,2,60.00,1,1,1
Damien Harris,NE,RB,1,17,100,5.9,0,1,0,0,25.00,0,0,0
D'Ernest Johnson,CLE,RB,1,13,95,7.3,0,0,0,0,0.00,0,0,0
Sam Darnold,NYJ,QB,1,6,84,14.0,1,0,0,0,0.00,0,0,0
Mike Davis,CAR,RB,1,16,84,5.3,1,5,3,2,62.50,1,1,1
Alvin Kamara,NO,RB,1,19,83,4.4,1,6,4,1,54.55,1,1,1
Chris Carson,SEA,RB,1,16,80,5.0,2,5,3,3,100.00,2,2,2
Kyler Murray,ARI,QB,1,6,78,13.0,0,1,0,0,14.29,0,0,0
James Robinson,JAX,RB,1,17,75,4.4,0,0,0,0,0.00,0,0,0
Odell Beckham,CLE,WR,1,2,73,36.5,1,0,0,0,0.00,0,0,0
Kareem Hunt,CLE,RB,1,11,71,6.5,2,4,1,1,66.67,2,1,1
Aaron Jones,GB,RB,1,15,71,4.7,0,4,3,1,66.67,0,0,0
Jonathan Taylor,IND,RB,1,17,68,4.0,0,3,1,1,33.33,0,0,0
Latavius Murray,NO,RB,1,14,64,4.6,2,2,2,1,18.18,2,2,1
Clyde Edwards-Helaire,KC,RB,1,16,64,4.0,0,2,1,0,66.67,0,0,0
David Johnson,HOU,RB,1,16,63,3.9,0,3,3,2,75.00,0,0,0
Todd Gurley,ATL,RB,1,16,57,3.6,2,5,4,3,55.56,2,2,2
Devin Singletary,BUF,RB,1,18,56,3.1,1,2,1,1,66.67,1,1,1
Jerick McKinnon,SF,RB,1,14,54,3.9,1,2,1,1,66.67,1,1,1
Ezekiel Elliott,DAL,RB,1,12,54,4.5,0,2,2,2,50.00,0,0,0
Lamar Jackson,BAL,QB,1,7,53,7.6,1,0,0,0,0.00,0,0,0
Reggie Bonnafon,CAR,RB,1,10,53,5.3,0,0,0,0,0.00,0,0,0
Josh Jacobs,LV,RB,1,15,48,3.2,0,1,0,0,25.00,0,0,0
Ryan Fitzpatrick,MIA,QB,1,6,47,7.8,1,1,1,0,20.00,1,1,0
Antonio Gibson,WAS,RB,1,13,46,3.5,1,4,3,3,57.14,1,1,1
Miles Sanders,PHI,RB,1,13,46,3.5,0,0,0,0,0.00,0,0,0
Daniel Jones,NYG,QB,1,6,45,7.5,0,0,0,0,0.00,0,0,0
Rex Burkhead,NE,RB,1,11,45,4.1,0,3,2,1,75.00,0,0,0
Wayne Gallman,NYG,RB,1,6,45,7.5,0,0,0,0,0.00,0,0,0
Nick Chubb,CLE,RB,1,6,43,7.2,0,0,0,0,0.00,0,0,0
Myles Gaskin,MIA,RB,1,10,40,4.0,0,3,1,0,60.00,0,0,0
Brandon Aiyuk,SF,WR,1,1,38,38.0,1,0,0,0,0.00,0,0,0
Malcolm Brown,LAR,RB,1,9,38,4.2,0,2,0,0,33.33,0,0,0
Gus Edwards,BAL,RB,1,9,38,4.2,0,0,0,0,0.00,0,0,0
Carson Wentz,PHI,QB,1,7,37,5.3,1,1,0,0,50.00,1,0,0
Adrian Peterson,DET,RB,1,11,36,3.3,1,3,1,1,75.00,1,1,1
Kenyan Drake,ARI,RB,1,13,35,2.7,0,4,3,1,57.14,0,0,0
Mark Ingram,BAL,RB,1,8,34,4.3,1,1,1,1,100.00,1,1,1
Devonta Freeman,NYG,RB,1,11,33,3.0,0,1,0,0,100.00,0,0,0
Teddy Bridgewater,CAR,QB,1,6,32,5.3,1,2,0,0,25.00,1,0,0
Frank Gore,NYJ,RB,1,13,30,2.3,0,4,1,0,100.00,0,0,0
Patrick Mahomes,KC,QB,1,8,28,3.5,0,1,1,0,33.33,0,0,0
David Montgomery,CHI,RB,1,10,27,2.7,0,0,0,0,0.00,0,0,0
Duke Johnson,HOU,RB,1,5,24,4.8,0,0,0,0,0.00,0,0,0
Nyheim Hines,IND,RB,1,9,24,2.7,0,2,2,0,22.22,0,0,0
D'Andre Swift,DET,RB,1,4,22,5.5,0,0,0,0,0.00,0,0,0
Matthew Stafford,DET,QB,1,3,21,7.0,0,1,0,0,25.00,0,0,0
James White,NE,RB,1,3,21,7.0,0,0,0,0,0.00,0,0,0
Darrell Henderson,LAR,RB,1,8,21,2.6,0,3,2,1,50.00,0,0,0
Derek Carr,LV,QB,1,4,20,5.0,0,2,0,0,50.00,0,0,0
Dontrell Hilliard,CLE,RB,1,5,19,3.8,0,2,0,0,33.33,0,0,0
Giovani Bernard,CIN,RB,1,2,19,9.5,0,0,0,0,0.00,0,0,0
Jalen Hurts,PHI,QB,1,3,18,6.0,0,0,0,0,0.00,0,0,0
Alexander Mattison,MIN,RB,1,7,17,2.4,1,2,2,1,15.38,1,1,1
Chase Edmonds,ARI,RB,1,4,16,4.0,0,2,1,1,28.57,0,0,0
Tony Pollard,DAL,RB,1,3,16,5.3,1,1,1,1,25.00,1,1,1
J.K. Dobbins,BAL,RB,1,5,16,3.2,0,0,0,0,0.00,0,0,0
Jordan Wilkins,IND,RB,1,9,15,1.7,0,4,0,0,44.44,0,0,0
La'Mical Perine,NYJ,RB,1,5,15,3.0,0,0,0,0,0.00,0,0,0
Justin Herbert,LAC,QB,1,5,14,2.8,0,0,0,0,0.00,0,0,0
Tee Higgins,CIN,WR,1,1,13,13.0,0,0,0,0,0.00,0,0,0
Theo Riddick,LV,RB,1,2,13,6.5,0,1,0,0,25.00,0,0,0
Dak Prescott,DAL,QB,1,2,12,6.0,0,1,0,0,25.00,0,0,0
Austin Ekeler,LAC,RB,1,2,12,6.0,0,0,0,0,0.00,0,0,0
Joe Burrow,CIN,QB,1,4,11,2.8,0,0,0,0,0.00,0,0,0
Isaiah McKenzie,BUF,WR,1,2,11,5.5,0,0,0,0,0.00,0,0,0
Matt Ryan,ATL,QB,1,2,10,5.0,0,1,0,0,11.11,0,0,0
Jamaal Williams,GB,RB,1,8,10,1.3,0,2,1,1,33.33,0,0,0
Deebo Samuel,SF,WR,1,1,10,10.0,0,0,0,0,0.00,0,0,0
Brian Hill,ATL,RB,1,4,10,2.5,0,2,2,1,22.22,0,0,0
Deonte Harris,NO,WR,1,2,10,5.0,0,1,0,0,9.09,0,0,0
Dion Lewis,NYG,RB,1,1,10,10.0,0,0,0,0,0.00,0,0,0
Gardner Minshew,JAX,QB,1,2,9,4.5,0,0,0,0,0.00,0,0,0
Deshaun Watson,HOU,QB,1,5,9,1.8,0,1,1,1,25.00,0,0,0
Matt Breida,MIA,RB,1,3,9,3.0,0,0,0,0,0.00,0,0,0
Isaiah Wright,WAS,WR,1,1,9,9.0,0,0,0,0,0.00,0,0,0
Justin Jackson,LAC,RB,1,6,9,1.5,0,0,0,0,0.00,0,0,0
Kerryon Johnson,DET,RB,1,3,9,3.0,0,0,0,0,0.00,0,0,0
Jeff Driskel,DEN,QB,1,1,9,9.0,0,1,0,0,20.00,0,0,0
George Kittle,SF,TE,1,1,8,8.0,0,0,0,0,0.00,0,0,0
Adam Thielen,MIN,WR,1,1,8,8.0,0,0,0,0,0.00,0,0,0
Brian Hoyer,NE,QB,1,1,8,8.0,0,0,0,0,0.00,0,0,0
DeeJay Dallas,SEA,RB,1,2,8,4.0,0,0,0,0,0.00,0,0,0
Isaiah Zuber,NE,WR,1,1,8,8.0,0,0,0,0,0.00,0,0,0
Joshua Kelley,LAC,RB,1,9,7,0.8,0,0,0,0,0.00,0,0,0
Alex Erickson,CIN,WR,1,1,7,7.0,0,0,0,0,0.00,0,0,0
Baker Mayfield,CLE,QB,1,3,6,2.0,0,0,0,0,0.00,0,0,0
J.D. McKissic,WAS,RB,1,2,6,3.0,0,0,0,0,0.00,0,0,0
Jeff Wilson,SF,RB,1,3,6,2.0,0,1,1,0,33.33,0,0,0
Jalen Richard,LV,RB,1,1,6,6.0,0,0,0,0,0.00,0,0,0
Taysom Hill,NO,QB,1,3,6,2.0,0,2,1,1,18.18,0,0,0
Royce Freeman,DEN,RB,1,3,6,2.0,0,0,0,0,0.00,0,0,0
Aaron Rodgers,GB,QB,1,1,5,5.0,0,0,0,0,0.00,0,0,0
Russell Wilson,SEA,QB,1,4,5,1.3,0,0,0,0,0.00,0,0,0
Kirk Cousins,MIN,QB,1,4,5,1.3,0,0,0,0,0.00,0,0,0
Laviska Shenault,JAX,WR,1,1,5,5.0,0,0,0,0,0.00,0,0,0
Travis Homer,SEA,RB,1,4,5,1.3,0,0,0,0,0.00,0,0,0
Cordarrelle Patterson,CHI,WR,1,3,5,1.7,0,0,0,0,0.00,0,0,0
Lynn Bowden,MIA,WR,1,1,5,5.0,0,1,0,0,20.00,0,0,0
Peyton Barber,WAS,RB,1,3,5,1.7,0,1,1,1,14.29,0,0,0
Tyler Boyd,CIN,WR,1,1,4,4.0,0,1,0,0,14.29,0,0,0
Ke'Shawn Vaughn,TB,RB,1,3,4,1.3,0,2,2,0,50.00,0,0,0
Gabe Nabers,LAC,FB,1,1,4,4.0,0,0,0,0,0.00,0,0,0
Michael Burton,NO,FB,1,1,4,4.0,0,0,0,0,0.00,0,0,0
Dwayne Haskins,WAS,QB,1,3,3,1.0,1,2,2,2,28.57,1,1,1
CeeDee Lamb,DAL,WR,1,1,3,3.0,0,0,0,0,0.00,0,0,0
Jarrett Stidham,NE,QB,1,2,3,1.5,0,0,0,0,0.00,0,0,0
Ito Smith,ATL,RB,1,2,3,1.5,0,0,0,0,0.00,0,0,0
LeSean McCoy,TB,RB,1,1,3,3.0,0,0,0,0,0.00,0,0,0
Robert Griffin,BAL,QB,1,3,3,1.0,0,0,0,0,0.00,0,0,0
AJ Dillon,GB,RB,1,1,3,3.0,0,0,0,0,0.00,0,0,0
Corey Clement,PHI,RB,1,2,3,1.5,0,1,0,0,50.00,0,0,0
C.J. Board,NYG,WR,1,1,3,3.0,0,0,0,0,0.00,0,0,0
Gerald Everett,LAR,TE,1,1,2,2.0,1,1,1,1,16.67,1,1,1
Robert Woods,LAR,WR,1,1,2,2.0,0,0,0,0,0.00,0,0,0
Jamal Agnew,DET,WR,1,1,2,2.0,0,0,0,0,0.00,0,0,0
C.J. Ham,MIN,FB,1,1,2,2.0,0,1,0,0,7.69,0,0,0
Darrel Williams,KC,RB,1,1,2,2.0,0,0,0,0,0.00,0,0,0
Alex Armah,CAR,FB,1,1,2,2.0,0,0,0,0,0.00,0,0,0
