,,,,Rushing,,,,,,,Big Rushing Games,,,Fumbles,
Name,Team,Pos,G,ATT,YDS,AVG,YDS/G,TD,20+,40+,100+,150+,200+,TOT,LOST
Joe Mixon,CIN,RB,1,25,151,6.0,151.0,2,3,0,1,1,0,0,0
Dalvin Cook,MIN,RB,1,27,130,4.8,130.0,2,0,0,1,0,0,0,0
Ronald Jones,TB,RB,1,20,111,5.6,111.0,0,1,0,1,0,0,0,0
Melvin Gordon,DEN,RB,1,23,107,4.7,107.0,2,1,1,1,0,0,0,0
Damien Harris,NE,RB,1,17,100,5.9,100.0,0,1,1,1,0,0,0,0
D'Ernest Johnson,CLE,RB,1,13,95,7.3,95.0,0,1,0,0,0,0,0,0
Sam Darnold,NYJ,QB,1,6,84,14.0,84.0,1,1,1,0,0,0,0,0
Mike Davis,CAR,RB,1,16,84,5.3,84.0,1,1,0,0,0,0,0,0
Alvin Kamara,NO,RB,1,19,83,4.4,83.0,1,0,0,0,0,0,0,0
Chris Carson,SEA,RB,1,16,80,5.0,80.0,2,0,0,0,0,0,1,0
Kyler Murray,ARI,QB,1,6,78,13.0,78.0,0,1,1,0,0,0,1,1
James Robinson,JAX,RB,1,17,75,4.4,75.0,0,0,0,0,0,0,0,0
Odell Beckham,CLE,WR,1,2,73,36.5,73.0,1,2,1,0,0,0,0,0
Aaron Jones,GB,RB,1,15,71,4.7,71.0,0,1,0,0,0,0,0,0
Kareem Hunt,CLE,RB,1,11,71,6.5,71.0,2,0,0,0,0,0,0,0
Jonathan Taylor,IND,RB,1,17,68,4.0,68.0,0,0,0,0,0,0,0,0
Clyde Edwards-Helaire,KC,RB,1,16,64,4.0,64.0,0,0,0,0,0,0,0,0
Latavius Murray,NO,RB,1,14,64,4.6,64.0,2,0,0,0,0,0,0,0
David Johnson,HOU,RB,1,16,63,3.9,63.0,0,0,0,0,0,0,0,0
Todd Gurley,ATL,RB,1,16,57,3.6,57.0,2,0,0,0,0,0,0,0
Devin Singletary,BUF,RB,1,18,56,3.1,56.0,1,0,0,0,0,0,0,0
Ezekiel Elliott,DAL,RB,1,12,54,4.5,54.0,0,1,0,0,0,0,1,1
Jerick McKinnon,SF,RB,1,14,54,3.9,54.0,1,0,0,0,0,0,0,0
Lamar Jackson,BAL,QB,1,7,53,7.6,53.0,1,1,1,0,0,0,0,0
Reggie Bonnafon,CAR,RB,1,10,53,5.3,53.0,0,1,0,0,0,0,0,0
