,,,,Defensive Stats,,,,,,,,,
Name,Team,Pos,G,DEF SNAPS,SOLO,AST,TOT TCKL,SACK,FUM Forced,FUM Rec,INT,TD,PASS DEF
Jordan Poyer,BUF,S,1,69,10,3,13,0.0,0,0,0,0,0
Shaq Thompson,CAR,LB,1,66,8,4,12,0.0,1,1,0,0,2
Tracy Walker,DET,S,1,65,10,2,12,0.0,0,0,0,0,0
Jeremy Chinn,CAR,S,1,78,6,6,12,0.0,0,0,0,0,0
Julian Love,NYG,S,1,68,10,2,12,0.0,0,0,0,0,0
Kyzir White,LAC,LB,1,50,8,3,11,0.0,0,0,0,0,0
Zach Cunningham,HOU,LB,1,65,8,3,11,0.0,0,0,0,0,0
Myles Jack,JAX,LB,1,61,7,4,11,0.0,0,0,0,0,0
Shaquill Griffin,SEA,CB,1,82,11,0,11,0.0,0,0,1,0,1
Benardrick McKinney,HOU,LB,1,65,7,4,11,0.0,0,0,0,0,0
Bradley McDougald,NYJ,S,1,56,5,5,10,0.0,0,0,0,0,0
Eric Kendricks,MIN,LB,1,75,5,5,10,0.0,0,0,0,0,1
Darius Leonard,IND,LB,1,57,6,4,10,0.0,0,0,0,0,1
Chuck Clark,BAL,S,1,75,6,4,10,0.0,1,0,0,0,0
Taron Johnson,BUF,CB,1,60,9,1,10,0.0,0,0,0,0,0
Ty Summers,GB,LB,1,44,6,3,9,0.0,0,0,0,0,0
Jonathan Allen,WAS,DT,1,50,6,3,9,1.0,0,0,0,0,0
Krys Barnes,GB,LB,1,17,4,5,9,0.0,0,0,0,0,0
Trevon Diggs,DAL,CB,1,76,9,0,9,0.0,1,0,0,0,1
Levi Wallace,BUF,CB,1,69,6,3,9,0.0,0,0,1,0,1
Avery Williamson,NYJ,LB,1,57,5,4,9,0.0,0,0,0,0,0
Micah Hyde,BUF,S,1,67,7,2,9,0.0,0,0,0,0,0
Malcolm Jenkins,NO,S,1,62,8,1,9,0.0,0,0,0,0,0
Carlos Dunlap,CIN,DE,1,75,9,0,9,0.0,0,0,0,0,1
K.J. Wright,SEA,LB,1,82,7,2,9,0.0,0,0,0,0,0
Harrison Smith,MIN,S,1,75,4,5,9,0.0,0,0,1,0,1
Bobby Wagner,SEA,LB,1,82,4,5,9,0.0,0,0,0,0,1
Blake Martinez,NYG,LB,1,77,4,5,9,1.0,0,0,0,0,0
Rayshawn Jenkins,LAC,S,1,51,3,6,9,1.0,0,0,0,0,0
Justin Simmons,DEN,S,1,68,7,1,8,0.0,0,0,0,0,0
Kamu Grugier-Hill,MIA,LB,1,20,6,2,8,1.0,0,0,0,0,0
Marcus Maye,NYJ,S,1,60,4,4,8,0.0,0,0,0,0,0
Mike Hilton,PIT,CB,1,37,8,0,8,0.0,0,0,1,0,1
Nate Gerry,PHI,LB,1,70,4,4,8,0.0,0,0,0,0,1
Vonn Bell,CIN,S,1,91,3,5,8,0.0,0,0,0,0,0
Joe Schobert,JAX,LB,1,61,6,2,8,0.0,0,0,0,0,0
Juston Burris,CAR,S,1,78,7,1,8,0.0,0,0,0,0,0
Joe Thomas,DAL,LB,1,76,4,4,8,0.0,0,0,0,0,0
Troy Hill,LAR,CB,1,61,4,4,8,0.0,0,0,0,0,0
Anthony Harris,MIN,S,1,75,6,2,8,0.0,0,0,0,0,1
Jonathan Jones,NE,CB,1,49,5,3,8,0.0,0,0,0,0,2
Jon Bostic,WAS,LB,1,63,5,3,8,0.0,0,0,0,0,0
Adrian Phillips,NE,S,1,35,5,3,8,0.0,0,0,0,0,0
Jamel Dean,TB,CB,1,55,6,2,8,0.0,0,0,0,0,0
Nasir Adderley,LAC,S,1,46,6,2,8,0.0,0,0,0,0,0
Jerome Baker,MIA,LB,1,59,3,5,8,0.0,0,0,0,0,1
Khari Willis,IND,S,1,57,6,2,8,0.0,0,0,0,0,0
Taylor Rapp,LAR,S,1,55,6,2,8,0.0,0,0,0,0,0
Mackensie Alexander,CIN,CB,1,84,7,1,8,0.0,0,0,0,0,0
Carl Lawson,CIN,DE,1,47,4,4,8,2.0,1,0,0,0,0
Keanu Neal,ATL,S,1,68,5,3,8,0.0,0,0,0,0,0
Jaylon Smith,DAL,LB,1,76,4,4,8,0.0,0,0,0,0,0
Josh Jones,JAX,S,1,61,7,1,8,0.0,0,0,0,0,0
Matt Milano,BUF,LB,1,69,6,2,8,1.0,0,0,0,0,1
John Johnson,LAR,S,1,62,6,2,8,0.0,0,0,1,0,1
Jayon Brown,TEN,LB,1,65,6,2,8,0.0,0,0,0,0,1
Isaac Yiadom,NYG,CB,1,59,4,4,8,0.0,0,0,0,0,1
Budda Baker,ARI,S,1,66,8,0,8,0.0,0,0,0,0,1
Nicholas Morrow,LV,LB,1,69,7,1,8,0.0,0,0,0,0,0
Mykal Walker,ATL,LB,1,72,6,2,8,0.0,1,0,0,0,0
Sione Takitaki,CLE,LB,1,41,3,4,7,0.0,0,0,0,0,0
Fred Warner,SF,LB,1,45,3,4,7,0.0,0,0,1,0,1
Rashaan Evans,TEN,LB,1,51,4,3,7,0.0,0,1,0,0,0
Avonte Maddox,PHI,CB,1,39,7,0,7,0.0,0,0,0,0,1
Josey Jewell,DEN,LB,1,62,5,2,7,0.0,0,0,0,0,0
Eddie Jackson,CHI,S,1,68,5,2,7,0.0,0,0,0,0,0
Jessie Bates,CIN,S,1,91,2,5,7,0.0,0,0,0,0,1
Devin White,TB,LB,1,63,3,4,7,0.0,0,0,0,0,0
Holton Hill,MIN,CB,1,75,4,3,7,0.0,0,0,0,0,1
Isaiah Oliver,ATL,CB,1,82,6,1,7,0.0,0,0,0,0,2
Darnell Savage,GB,S,1,61,5,2,7,0.0,0,0,0,0,0
Blessuan Austin,NYJ,CB,1,59,7,0,7,0.0,0,0,0,0,0
Ugo Amadi,SEA,S,1,69,6,1,7,0.0,0,0,0,0,2
Logan Ryan,NYG,S,1,77,4,3,7,0.0,0,0,0,0,2
