,,,,Pass Defense Stats,,,,,,,,,,
Name,Team,Pos,G,DEF SNAPS,Depth Chart,QB Rating Against,Comp,Att,Comp %,Yards,TD,INT,PassDef,INT Drops
Xavier Rhodes,IND,CB,1,53,#1 RCB,0.0,1,5,20.0,11,0,2,1,0
Donte Jackson,CAR,CB,1,38,#1 LCB,2.8,2,6,33.3,15,0,1,1,0
Xavien Howard,MIA,CB,1,66,#1 LCB,6.3,1,4,25.0,18,0,1,0,0
Lavonte David,TB,LB,1,63,#1 RILB,16.7,2,4,50.0,8,0,1,1,0
B.J. Goodson,CLE,LB,1,60,#1 MLB,16.7,4,8,50.0,23,0,1,1,0
Bradley Roby,HOU,CB,1,69,#1 LCB,39.6,0,4,0.0,0,0,0,1,0
Pierre Desir,NYJ,CB,1,59,#1 LCB,39.6,0,4,0.0,0,0,0,2,0
Janoris Jenkins,NO,CB,1,61,#1 LCB,39.6,1,6,16.7,5,0,0,-1,0
Amani Oruwariye,DET,CB,1,65,#1 RCB,39.6,1,5,20.0,14,0,0,2,0
Roquan Smith,CHI,LB,1,68,#1 LILB,39.6,1,5,20.0,2,0,0,1,0
Rashad Fenton,KC,CB,1,54,#2 RCB,39.6,0,5,0.0,0,0,0,0,0
Trayvon Mullen,LV,CB,1,55,#1 RCB,39.6,1,5,20.0,8,0,0,4,0
Jaylon Johnson,CHI,CB,1,66,#1 LCB,39.6,1,6,16.7,13,0,0,2,0
Noah Igbinoghene,MIA,CB,1,66,#2 LCB,39.6,1,4,25.0,2,0,0,1,0
Fred Warner,SF,LB,1,45,#1 MLB,41.0,4,6,66.7,33,0,1,0,0
Michael Ojemudia,DEN,CB,1,66,#1 LCB,42.4,2,6,33.3,14,0,0,0,0
Essang Bassey,DEN,CB,1,39,#2 LCB,42.4,1,3,33.3,8,0,0,0,0
Byron Murphy,ARI,CB,1,62,#1 RCB,42.4,2,6,33.3,11,0,0,0,0
Jimmy Smith,BAL,CB,1,66,#2 RCB,42.4,1,3,33.3,2,0,0,0,0
Vince Williams,PIT,LB,1,33,#1 LILB,42.4,1,3,33.3,8,0,0,0,0
Deion Jones,ATL,LB,1,76,#1 MLB,42.4,1,3,33.3,5,0,0,0,0
Dre Kirkpatrick,ARI,CB,1,43,#2 RCB,43.7,1,3,33.3,10,0,0,2,0
Akeem Davis-Gaither,CIN,LB,1,25,#2 WLB,43.7,1,3,33.3,10,0,0,0,0
Jayon Brown,TEN,LB,1,65,#1 LILB,45.1,1,3,33.3,11,0,0,2,1
Rasul Douglas,CAR,CB,1,78,#1 RCB,50.7,1,3,33.3,15,0,0,0,0
Darius Leonard,IND,LB,1,57,#1 WLB,52.1,1,3,33.3,16,0,0,2,0
William Jackson,CIN,CB,1,88,#1 RCB,54.5,3,7,42.9,28,0,0,0,0
Eric Murray,HOU,S,1,73,#1 SS,56.3,3,6,50.0,13,0,0,1,0
Antoine Winfield,TB,S,1,63,#1 SS,56.3,2,4,50.0,9,0,0,0,0
Marlon Humphrey,BAL,CB,1,74,#1 LCB,56.3,3,6,50.0,18,0,0,2,0
Kyle Fuller,CHI,CB,1,66,#1 RCB,59.6,2,5,40.0,29,0,0,1,0
Karl Joseph,CLE,S,1,65,#1 SS,60.4,2,4,50.0,16,1,1,0,0
Darius Phillips,CIN,CB,1,89,#2 RCB,60.4,2,5,40.0,30,0,0,1,0
Dontae Johnson,SF,CB,1,43,#2 RCB,61.3,2,5,40.0,31,0,0,1,0
Darious Williams,LAR,CB,1,53,#2 LCB,61.8,1,3,33.3,23,0,0,0,0
Tre Boston,CAR,S,1,78,#1 FS,62.5,2,4,50.0,18,0,0,3,0
Terrance Mitchell,CLE,CB,1,65,#2 RCB,63.2,2,6,33.3,48,0,0,1,0
Vonn Bell,CIN,S,1,91,#1 SS,63.5,2,4,50.0,19,0,0,0,0
Matt Milano,BUF,LB,1,69,#1 WLB,63.5,2,4,50.0,19,0,0,0,0
Malcolm Smith,CLE,LB,1,26,#2 WLB,63.9,2,3,66.7,33,0,1,0,0
Stephon Gilmore,NE,CB,1,58,#3 RCB,64.6,2,4,50.0,20,0,0,1,0
