,,,,Fantasy,Defensive Stats,,,,,,,
Name,Team,Pos,G,Pts,SOLO,AST,TOT TCKL,SACK,FUM Forced,FUM Rec,INT,TD
Jordan Poyer,BUF,S,1,13.0,10,3,13,0.0,0,0,0,0
Shaq Thompson,CAR,LB,1,16.0,8,4,12,0.0,1,1,0,0
Tracy Walker,DET,S,1,12.0,10,2,12,0.0,0,0,0,0
Jeremy Chinn,CAR,S,1,12.0,6,6,12,0.0,0,0,0,0
Julian Love,NYG,S,1,12.0,10,2,12,0.0,0,0,0,0
Kyzir White,LAC,LB,1,11.0,8,3,11,0.0,0,0,0,0
Zach Cunningham,HOU,LB,1,11.0,8,3,11,0.0,0,0,0,0
Myles Jack,JAX,LB,1,11.0,7,4,11,0.0,0,0,0,0
Shaquill Griffin,SEA,CB,1,13.0,11,0,11,0.0,0,0,1,0
Benardrick McKinney,HOU,LB,1,11.0,7,4,11,0.0,0,0,0,0
Bradley McDougald,NYJ,S,1,10.0,5,5,10,0.0,0,0,0,0
Eric Kendricks,MIN,LB,1,10.0,5,5,10,0.0,0,0,0,0
Darius Leonard,IND,LB,1,10.0,6,4,10,0.0,0,0,0,0
Chuck Clark,BAL,S,1,12.0,6,4,10,0.0,1,0,0,0
Taron Johnson,BUF,CB,1,10.0,9,1,10,0.0,0,0,0,0
Ty Summers,GB,LB,1,9.0,6,3,9,0.0,0,0,0,0
Jonathan Allen,WAS,DT,1,11.0,6,3,9,1.0,0,0,0,0
Krys Barnes,GB,LB,1,9.0,4,5,9,0.0,0,0,0,0
Trevon Diggs,DAL,CB,1,11.0,9,0,9,0.0,1,0,0,0
Levi Wallace,BUF,CB,1,11.0,6,3,9,0.0,0,0,1,0
Avery Williamson,NYJ,LB,1,9.0,5,4,9,0.0,0,0,0,0
Micah Hyde,BUF,S,1,9.0,7,2,9,0.0,0,0,0,0
Malcolm Jenkins,NO,S,1,9.0,8,1,9,0.0,0,0,0,0
Carlos Dunlap,CIN,DE,1,9.0,9,0,9,0.0,0,0,0,0
K.J. Wright,SEA,LB,1,9.0,7,2,9,0.0,0,0,0,0
Harrison Smith,MIN,S,1,11.0,4,5,9,0.0,0,0,1,0
Bobby Wagner,SEA,LB,1,9.0,4,5,9,0.0,0,0,0,0
Blake Martinez,NYG,LB,1,11.0,4,5,9,1.0,0,0,0,0
