,,,Fantasy,,Receiving,,,,,,Rushing,,,,This Week,
,Name,Games,Points,Pts/G,REC,YDS,TD,TAR,YPT,Catch %,ATT,YDS,TD,YPC,Opp,Opp WRs This Week
32,Seahawks,1,88.00,88.0,27,401,2,36,11.14,75.0,1,-1,0,-1.00,MIN,"Adam Thielen, Justin Jefferson, Chad Beebe"
31,Vikings,1,82.40,82.4,22,315,4,27,11.67,81.5,1,19,0,19.00,@SEA,"Tyler Lockett, DK Metcalf, David Moore"
T29,Giants,1,53.70,53.7,16,199,3,21,9.48,76.2,1,8,0,8.00,@DAL,"Amari Cooper, Michael Gallup, CeeDee Lamb"
T29,Jets,1,53.70,53.7,23,247,1,31,7.97,74.2,0,0,0,0.00,ARI,"DeAndre Hopkins, Christian Kirk, Larry Fitzgerald"
28,Lions,1,47.90,47.9,14,201,2,22,9.14,63.6,5,18,0,3.60,-,Bye Week
27,Raiders,1,46.60,46.6,16,211,1,27,7.81,59.3,1,5,0,5.00,@KC,"Tyreek Hill, Sammy Watkins, Mecole Hardman"
26,Falcons,1,46.40,46.4,16,232,1,20,11.60,80.0,1,12,0,12.00,CAR,"D.J. Moore, Robby Anderson, Curtis Samuel"
25,Steelers,1,45.60,45.6,14,166,2,18,9.22,77.8,0,0,0,0.00,PHI,"Greg Ward, John Hightower, J.J. Arcega-Whiteside"
24,Packers,1,45.20,45.2,11,192,2,16,12.00,68.8,0,0,0,0.00,-,Bye Week
23,Colts,1,44.90,44.9,13,129,3,14,9.21,92.9,2,10,0,5.00,@CLE,"Odell Beckham, Jarvis Landry, Donovan Peoples-Jones"
22,Texans,1,43.70,43.7,16,154,2,22,7.00,72.7,1,3,0,3.00,JAX,"DJ Chark, Laviska Shenault, Keelan Cole"
21,Browns,1,43.40,43.4,13,214,1,15,14.27,86.7,0,0,0,0.00,IND,"T.Y. Hilton, Zach Pascal, Daurice Fountain"
20,49ers,1,40.50,40.5,19,185,0,26,7.12,73.1,0,0,0,0.00,MIA,"DeVante Parker, Preston Williams, Isaiah Ford"
19,Broncos,1,39.70,39.7,18,187,0,25,7.48,72.0,0,0,0,0.00,@NE,"Julian Edelman, N'Keal Harry, Damiere Byrd"
18,Rams,1,37.00,37.0,18,190,0,25,7.60,72.0,0,0,0,0.00,@WAS,"Terry McLaurin, Dontrelle Inman, Isaiah Wright"
17,Cowboys,1,35.70,35.7,12,193,0,17,11.35,70.6,1,14,0,14.00,NYG,"Darius Slayton, Golden Tate, C.J. Board"
16,Saints,1,35.60,35.6,13,160,1,19,8.42,68.4,1,6,0,6.00,LAC,"Keenan Allen, Mike Williams, Jalen Guyton"
15,Bears,1,33.50,33.5,13,205,0,28,7.32,46.4,0,0,0,0.00,TB,"Mike Evans, Scotty Miller, Tyler Johnson"
14,Bills,1,33.20,33.2,11,132,1,22,6.00,50.0,0,0,0,0.00,@TEN,"A.J. Brown, Kalif Raymond, Nick Westbrook-Ikhine"
13,Chiefs,1,32.30,32.3,13,163,0,22,7.41,59.1,0,0,0,0.00,LV,"Henry Ruggs, Hunter Renfrow, Nelson Agholor"
12,Jaguars,1,30.10,30.1,14,152,0,23,6.61,60.9,1,9,0,9.00,@HOU,"Will Fuller, Brandin Cooks, Randall Cobb"
11,Panthers,1,24.90,24.9,7,108,1,9,12.00,77.8,2,11,0,5.50,@ATL,"Julio Jones, Calvin Ridley, Russell Gage"
10,Chargers,1,24.80,24.8,13,118,0,22,5.36,59.1,0,0,0,0.00,@NO,"Michael Thomas, Emmanuel Sanders, Tre'Quan Smith"
9,Patriots,1,23.60,23.6,11,126,0,19,6.63,57.9,0,0,0,0.00,DEN,"Jerry Jeudy, Tim Patrick, DaeSean Hamilton"
8,Eagles,1,23.20,23.2,10,132,0,15,8.80,66.7,0,0,0,0.00,@PIT,"JuJu Smith-Schuster, Diontae Johnson, James Washington"
7,Football Team,1,22.00,22.0,9,130,0,22,5.91,40.9,0,0,0,0.00,LAR,"Cooper Kupp, Robert Woods, Josh Reynolds"
6,Bengals,1,21.20,21.2,9,122,0,18,6.78,50.0,0,0,0,0.00,@BAL,"Marquise Brown, Willie Snead, Miles Boykin"
5,Titans,1,21.00,21.0,10,110,0,17,6.47,58.8,0,0,0,0.00,BUF,"Stefon Diggs, John Brown, Cole Beasley"
4,Dolphins,1,20.90,20.9,10,96,0,13,7.38,76.9,1,23,0,23.00,@SF,"Deebo Samuel, Kendrick Bourne, Brandon Aiyuk"
3,Ravens,1,20.40,20.4,10,104,0,20,5.20,50.0,0,0,0,0.00,CIN,"A.J. Green, Tyler Boyd, Tee Higgins"
2,Buccaneers,1,20.20,20.2,8,53,1,12,4.42,66.7,1,9,0,9.00,@CHI,"Allen Robinson, Darnell Mooney, Anthony Miller"
1,Cardinals,1,8.10,8.1,4,41,0,11,3.73,36.4,0,0,0,0.00,@NYJ,"Jamison Crowder, Breshad Perriman, Chris Hogan"
