,,,,Fantasy,Extra Points,,Field Goals,,Field Goals Made,,,
Name,Team,Pos,G,Pts,XPM,XPA,FGM,FGA,0-29,30-39,40-49,50+
Harrison Butker,KC,K,16,147.0,45,48,34,38,9,9,13,3
Josh Lambo,JAX,K,16,118.0,19,20,33,34,12,9,8,4
Wil Lutz,NO,K,16,144.0,48,49,32,36,10,6,13,3
Zane Gonzalez,ARI,K,16,127.0,34,35,31,35,12,12,5,2
Chris Boswell,PIT,K,16,115.0,28,28,29,31,12,7,9,1
Brandon McManus,DEN,K,16,112.0,25,26,29,34,6,9,10,4
Justin Tucker,BAL,K,16,141.0,57,59,28,29,8,9,10,1
Dan Bailey,MIN,K,16,121.0,40,44,27,29,10,9,5,3
Randy Bullock,CIN,K,16,105.0,24,25,27,31,10,6,10,1
Matt Gay,TB,K,16,124.0,43,48,27,35,6,5,11,5
Matt Prater,DET,K,16,113.0,35,36,26,31,11,2,6,7
Dustin Hopkins,WAS,K,16,96.0,21,22,25,30,7,8,8,2
Austin Seibert,CLE,K,16,105.0,30,35,25,29,6,9,9,1
Joey Slye,CAR,K,16,106.0,31,35,25,32,4,5,8,8
Greg Zuerlein,LAR,K,16,114.0,42,42,24,33,7,7,5,5
Robbie Gould,SF,K,13,110.0,41,42,23,31,9,8,6,0
Jason Myers,SEA,K,16,109.0,40,44,23,28,6,11,4,2
Younghoe Koo,ATL,K,8,84.0,15,16,23,26,6,9,7,1
Eddy Pineiro,CHI,K,16,96.0,27,29,23,28,9,9,3,2
Jason Sanders,MIA,K,16,104.1,29,30,23,30,7,8,5,3
Jake Elliott,PHI,K,16,101.0,35,37,22,26,7,8,5,2
Mason Crosby,GB,K,16,106.0,40,41,22,24,3,11,7,1
Stephen Hauschka,BUF,K,16,96.0,30,32,22,28,5,7,9,1
Brett Maher,DAL,K,13,96.0,36,36,20,30,9,6,1,4
Ka'imi Fairbairn,HOU,K,16,100.0,40,45,20,25,5,8,4,3
Sam Ficken,NYJ,K,15,80.0,23,26,19,27,2,7,7,3
Daniel Carlson,OAK,K,16,91.0,34,36,19,26,8,5,6,0
Chase McLaughlin,LAC/SF/IND,K,11,80.0,26,26,18,23,6,4,5,3
Adam Vinatieri,IND,K,12,73.0,22,28,17,25,6,6,3,2
Nick Folk,NE,K,7,54.0,12,12,14,17,6,3,4,1
Michael Badgley,LAC,K,8,58.0,19,19,13,16,5,2,6,0
Aldrick Rosas,NYG,K,16,71.0,35,39,12,17,6,5,1,0
Kai Forbath,NE/DAL,K,4,44.0,11,12,11,11,2,1,7,1
Matt Bryant,ATL,K,7,41.0,14,15,9,14,1,3,3,2
Stephen Gostkowski,NE,K,4,32.0,11,15,7,8,3,3,1,0
Ty Long,LAC,P,16,30.0,9,9,7,9,0,2,4,1
Mike Nugent,NE,K,4,30.0,15,16,5,8,3,2,0,0
Cairo Santos,TEN,K,5,24.0,12,12,4,9,0,1,2,1
Cody Parkey,TEN,K,3,14.0,5,6,3,3,0,0,2,1
Ryan Succop,TEN,K,6,27.0,24,25,1,6,0,1,0,0
Kaare Vedvik,,K,1,0.0,0,1,0,1,0,0,0,0
Greg Joseph,,K,2,9.0,9,9,0,0,0,0,0,0
