,,,Extra Points,,,Field Goals,,,0-29,,30-39,,40-49,,50+,
Name,Team,G,XPM,XPA,XP%,FGM,FGA,FG%,FGM,FGA,FGM,FGA,FGM,FGA,FGM,FGA
Harrison Butker,KC,16,45,48,93.8,34,38,89.5,9,9,9,10,13,13,3,6
Josh Lambo,JAX,16,19,20,95.0,33,34,97.1,12,12,9,9,8,9,4,4
Wil Lutz,NO,16,48,49,98.0,32,36,88.9,10,10,6,6,13,15,3,5
Zane Gonzalez,ARI,16,34,35,97.1,31,35,88.6,12,12,12,13,5,8,2,2
Chris Boswell,PIT,16,28,28,100.0,29,31,93.5,12,12,7,7,9,10,1,2
Brandon McManus,DEN,16,25,26,96.2,29,34,85.3,6,6,9,9,10,12,4,7
Justin Tucker,BAL,16,57,59,96.6,28,29,96.6,8,8,9,9,10,11,1,1
Dan Bailey,MIN,16,40,44,90.9,27,29,93.1,10,10,9,9,5,7,3,3
Randy Bullock,CIN,16,24,25,96.0,27,31,87.1,10,10,6,6,10,12,1,3
Matt Gay,TB,16,43,48,89.6,27,35,77.1,6,6,5,7,11,14,5,8
Matt Prater,DET,16,35,36,97.2,26,31,83.9,11,11,2,3,6,9,7,8
Dustin Hopkins,WAS,16,21,22,95.5,25,30,83.3,7,8,8,9,8,10,2,3
Austin Seibert,CLE,16,30,35,85.7,25,29,86.2,6,6,9,9,9,12,1,2
Joey Slye,CAR,16,31,35,88.6,25,32,78.1,4,5,5,5,8,11,8,11
Greg Zuerlein,LAR,16,42,42,100.0,24,33,72.7,7,7,7,8,5,11,5,7
Robbie Gould,SF,13,41,42,97.6,23,31,74.2,9,9,8,10,6,8,0,4
Jason Myers,SEA,16,40,44,90.9,23,28,82.1,6,6,11,11,4,7,2,4
Younghoe Koo,ATL,8,15,16,93.8,23,26,88.5,6,6,9,10,7,9,1,1
Eddy Pineiro,CHI,16,27,29,93.1,23,28,82.1,9,9,9,10,3,7,2,2
Jason Sanders,MIA,16,29,30,96.7,23,30,76.7,7,7,8,9,5,9,3,5
Jake Elliott,PHI,16,35,37,94.6,22,26,84.6,7,7,8,8,5,7,2,4
Mason Crosby,GB,16,40,41,97.6,22,24,91.7,3,3,11,11,7,8,1,2
Stephen Hauschka,BUF,16,30,32,93.8,22,28,78.6,5,5,7,8,9,10,1,5
Brett Maher,DAL,13,36,36,100.0,20,30,66.7,9,9,6,8,1,5,4,8
Ka'imi Fairbairn,HOU,16,40,45,88.9,20,25,80.0,5,5,8,8,4,6,3,6
Sam Ficken,NYJ,15,23,26,88.5,19,27,70.4,2,2,7,8,7,11,3,6
Daniel Carlson,OAK,16,34,36,94.4,19,26,73.1,8,8,5,6,6,10,0,2
Chase McLaughlin,LAC/SF/IND,11,26,26,100.0,18,23,78.3,6,6,4,4,5,10,3,3
Adam Vinatieri,IND,12,22,28,78.6,17,25,68.0,6,7,6,6,3,7,2,5
Nick Folk,NE,7,12,12,100.0,14,17,82.4,6,6,3,3,4,7,1,1
Michael Badgley,LAC,8,19,19,100.0,13,16,81.3,5,5,2,2,6,8,0,1
Aldrick Rosas,NYG,16,35,39,89.7,12,17,70.6,6,6,5,6,1,4,0,1
Kai Forbath,NE/DAL,4,11,12,91.7,11,11,100.0,2,2,1,1,7,7,1,1
Matt Bryant,ATL,7,14,15,93.3,9,14,64.3,1,1,3,4,3,3,2,6
Stephen Gostkowski,NE,4,11,15,73.3,7,8,87.5,3,3,3,3,1,2,0,0
Ty Long,LAC,16,9,9,100.0,7,9,77.8,0,0,2,3,4,5,1,1
Mike Nugent,NE,4,15,16,93.8,5,8,62.5,3,4,2,3,0,1,0,0
Cairo Santos,TEN,5,12,12,100.0,4,9,44.4,0,0,1,3,2,3,1,3
Cody Parkey,TEN,3,5,6,83.3,3,3,100.0,0,0,0,0,2,2,1,1
Ryan Succop,TEN,6,24,25,96.0,1,6,16.7,0,0,1,1,0,4,0,1
Kaare Vedvik,,1,0,1,0.0,0,1,0.0,0,0,0,0,0,1,0,0
Greg Joseph,,2,9,9,100.0,0,0,0.0,0,0,0,0,0,0,0,0
